날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,58100,3600,4438993,1415614,1138982,276632,1089688,731902,357786,-634418
2020-11-10,54500,2200,3155193,821589,683405,138184,971052,546360,424692,-562876
2020-11-09,52300,700,1662698,570903,368621,202282,221845,230790,-8945,-193337
2020-11-06,51600,-600,2214532,648551,762958,-114407,248443,313999,-65556,179963
2020-11-05,52200,700,2424158,898997,851324,47673,323462,688549,-365087,317414
2020-11-04,51500,500,2941439,1024917,865707,159210,437286,425980,11306,-170516
2020-11-03,51000,-500,1913867,641943,594233,47710,124029,688719,-564690,516980
2020-11-02,51500,1000,1651148,610442,551505,58937,246486,219283,27203,-86140
2020-10-30,50500,-2500,2559004,611919,510196,101723,564844,872220,-307376,205653
2020-10-29,53000,-800,3225860,1122414,688516,433898,441476,899187,-457711,23813
2020-10-28,53800,900,3567700,1192863,700515,492348,525768,811319,-285551,-206797
2020-10-27,52900,4950,9347585,3709950,1460370,2249580,1925433,895352,1030081,-3279661
2020-10-26,47950,1700,3113034,1650255,1021061,629194,415466,567957,-152491,-476703
2020-10-23,46250,1050,1851587,793491,528010,265481,290625,505533,-214908,-50573
2020-10-22,45200,-250,1650240,545273,772615,-227342,468115,310942,157173,70169
2020-10-21,45450,-1400,2311018,820292,1009081,-188789,270674,600449,-329775,518564
2020-10-20,46850,150,4399855,2062669,1605427,457242,556868,879252,-322384,-134858
2020-10-19,46700,-450,1536628,456107,511234,-55127,245692,302622,-56930,112057
2020-10-16,47150,-1750,2521703,490752,1305961,-815209,253838,321559,-67721,882930
2020-10-15,48900,-250,1242544,342726,515528,-172802,220952,150412,70540,102262
2020-10-14,49150,-1150,1954410,308347,665682,-357335,518675,632435,-113760,471095
2020-10-13,50300,600,2299747,746421,871289,-124868,454996,282358,172638,-47770
2020-10-12,49700,-1200,2479740,734873,659269,75604,437918,1049363,-611445,535841
2020-10-08,50900,600,2672889,777736,1165470,-387734,1006725,464026,542699,-154965
2020-10-07,50300,-300,2181955,645753,444769,200984,224326,747647,-523321,322337
2020-10-06,50600,100,3120855,781317,722058,59259,515706,802080,-286374,227115
2020-10-05,50500,3600,4185612,1473196,709214,763982,839450,485918,353532,-1117514
2020-09-29,46900,1400,1721133,785445,461794,323651,304554,577705,-273151,-50500
2020-09-28,45500,1500,1378684,628357,369544,258813,85893,376993,-291100,32287
2020-09-25,44000,-550,1776722,730677,634802,95875,206485,429402,-222917,127042
2020-09-24,44550,-1450,1801827,704962,635452,69510,226477,392494,-166017,96507
2020-09-23,46000,-300,2303855,884368,861749,22619,327095,526041,-198946,176327
2020-09-22,46300,-2150,2512697,834619,818769,15850,179407,552426,-373019,357169
2020-09-21,48450,650,3041594,1057073,882711,174362,345084,684122,-339038,164676
2020-09-18,47800,-700,2291761,788389,615811,172578,337051,634038,-296987,124409
2020-09-17,48500,1750,6283484,1896650,1636577,260073,710759,649711,61048,-321121
2020-09-16,46750,2100,4289868,1606866,983170,623696,881710,459238,422472,-1046168
2020-09-15,44650,250,2173691,815238,499422,315816,467196,408324,58872,-374688
2020-09-14,44400,2100,2473674,783730,557084,226646,649761,420389,229372,-456018
2020-09-11,42300,150,784409,240287,283948,-43661,196426,180248,16178,27483
2020-09-10,42150,50,1182951,487414,560298,-72884,375755,299502,76253,-3369
2020-09-09,42100,-200,1352778,342415,467713,-125298,604958,548569,56389,68909
2020-09-08,42300,0,1018948,354743,470813,-116070,315332,205787,109545,6525
2020-09-07,42300,150,875590,295382,327549,-32167,277442,180325,97117,-64950
2020-09-04,42150,-550,1510688,488692,693309,-204617,567342,189161,378181,-173564
2020-09-03,42700,500,1405908,435398,450181,-14783,503444,476600,26844,-12061
2020-09-02,42200,-950,1776692,503508,642517,-139009,208501,488904,-280403,419412
2020-09-01,43150,700,1787286,699961,718034,-18073,489801,547508,-57707,75780
2020-08-31,42450,-300,2765135,1213994,700132,513862,476026,1013895,-537869,24007
2020-08-28,42750,550,2038560,703846,514323,189523,291139,320768,-29629,-159894
2020-08-27,42200,-1000,1517260,435376,604341,-168965,432813,297436,135377,33588
2020-08-26,43200,200,1613088,504171,644421,-140250,394152,376275,17877,122373
2020-08-25,43000,1450,2755909,1023376,754431,268945,400313,582125,-181812,-87133
2020-08-24,41550,800,1804120,540771,458792,81979,671507,738501,-66994,-14985
2020-08-21,40750,500,1815543,533752,617598,-83846,660158,443201,216957,-133111
2020-08-20,40250,-2050,2611942,556318,755426,-199108,783927,467375,316552,-117444
2020-08-19,42300,-400,2489110,583620,500655,82965,719004,1200386,-481382,398417
2020-08-18,42700,-1700,1896768,654489,550531,103958,584901,413733,171168,-275126
2020-08-14,44400,-500,1557534,641638,408921,232717,262312,388421,-126109,-106608
2020-08-13,44900,-350,2245671,654340,773127,-118787,696845,687140,9705,109082
2020-08-12,45250,-1950,2734266,823684,731713,91971,432065,855874,-423809,331838
2020-08-11,47200,850,3721633,1002963,1006824,-3861,654226,677847,-23621,27482
2020-08-10,46350,4100,6774254,1960266,1926981,33285,1053606,336519,717087,-750372
2020-08-07,42250,100,2249386,710294,722111,-11817,518811,317106,201705,-189888
2020-08-06,42150,1050,2504981,982331,743144,239187,194632,220832,-26200,-212987
2020-08-05,41100,-50,1501565,407769,442633,-34864,326969,284323,42646,-7782
2020-08-04,41150,1450,1998358,774198,478835,295363,412404,410301,2103,-297466
2020-08-03,39700,-700,1823829,644061,476288,167773,172019,426598,-254579,86806
2020-07-31,40400,-300,1812196,597524,597003,521,339140,371741,-32601,32080
2020-07-30,40700,1050,2577431,825165,680125,145040,92003,120138,-28135,-116905
2020-07-29,39650,1950,3410420,1221876,783747,438129,825960,142026,683934,-1122063
2020-07-28,37700,0,1698056,688806,612846,75960,303175,151635,151540,-227500
2020-07-27,37700,800,2159629,833515,683263,150252,563202,318454,244748,-395000
2020-07-24,36900,200,2719769,1205263,798151,407112,503882,282787,221095,-628207
2020-07-23,36700,900,2882165,1162443,1032237,130206,404228,491795,-87567,-42639
2020-07-22,35800,-900,2156629,650103,720202,-70099,390336,365052,25284,44815
2020-07-21,36700,-1300,3208266,642857,649176,-6319,241100,1072137,-831037,837356
2020-07-20,38000,1200,2899647,772725,690159,82566,682177,237099,445078,-527644
2020-07-17,36800,1500,2720640,883863,469974,413889,393217,177617,215600,-629489
2020-07-16,35300,100,1891487,760909,560589,200320,343578,331415,12163,-212483
2020-07-15,35200,1200,2955272,1022038,582386,439652,512514,379956,132558,-572210
2020-07-14,34000,200,1413638,399714,509257,-109543,286326,222507,63819,45724
2020-07-13,33800,1750,1924926,591555,314222,277333,700257,169844,530413,-807746
2020-07-10,32050,-450,1064282,310667,510597,-199930,100466,231334,-130868,330798
2020-07-09,32500,-350,1154644,413011,598299,-185288,212087,237743,-25656,210944
2020-07-08,32850,650,1704734,597730,399454,198276,630521,326441,304080,-502356
2020-07-07,32200,-750,1771225,421678,533369,-111691,419638,729180,-309542,421233
2020-07-06,32950,800,1611615,444867,287535,157332,464723,350922,113801,-271133
2020-07-03,32150,-50,916274,200831,171346,29485,154206,449610,-295404,265919
2020-07-02,32200,0,1062611,320421,222657,97764,283034,504128,-221094,123330
2020-07-01,32200,150,885004,341279,371735,-30456,232771,242711,-9940,40396
2020-06-30,32050,-50,1193847,400605,247448,153157,301607,500455,-198848,45691
2020-06-29,32100,-950,1259626,311107,480722,-169615,159111,371864,-212753,382368
2020-06-26,33050,500,1329381,469515,385747,83768,323501,389939,-66438,-17330
2020-06-25,32550,-1200,1495320,331905,709389,-377484,170926,346929,-176003,553487
2020-06-24,33750,1500,2345625,915199,607382,307817,390715,377906,12809,-320626
2020-06-23,32250,-250,1553679,631571,712573,-81002,281587,393299,-111712,192714
2020-06-22,32500,-550,1231961,309196,586864,-277668,364341,275573,88768,188900
2020-06-19,33050,-350,1486816,432570,643814,-211244,468079,572895,-104816,316060
2020-06-18,33400,150,1287718,581920,510709,71211,261433,198443,62990,-134201
2020-06-17,33250,-1000,1719716,486801,685637,-198836,258379,500306,-241927,440763
2020-06-16,34250,2050,1866950,677401,471623,205778,504064,563197,-59133,-146645
2020-06-15,32200,-2800,2407518,493442,1014732,-521290,447895,535341,-87446,608736
2020-06-12,35000,-700,2008295,805818,744455,61363,267412,311764,-44352,-17011
2020-06-11,35700,-400,2230100,668025,1178416,-510391,492241,319764,172477,337914
2020-06-10,36100,-600,1597092,582659,563005,19654,217605,579584,-361979,342325
2020-06-09,36700,-750,2151648,694040,845948,-151908,522656,662751,-140095,292003
2020-06-08,37450,900,2553633,825828,1192909,-367081,938958,326449,612509,-245428
2020-06-05,36550,550,1795559,831991,579556,252435,306921,490526,-183605,-68830
2020-06-04,36000,-800,2735073,999632,904773,94859,441228,765688,-324460,229601
2020-06-03,36800,300,3786425,1414811,1081158,333653,428417,1186538,-758121,424468
2020-06-02,36500,1900,3154171,1100976,868719,232257,838896,390528,448368,-680625
2020-06-01,34600,350,2524579,757764,833392,-75628,660123,440293,219830,-144202
2020-05-29,34250,2150,5053078,1108124,1011961,96163,2530855,1302430,1228425,-1324588
2020-05-28,32100,150,2215603,616145,516099,100046,806867,535799,271068,-371114
2020-05-27,31950,450,2250605,883010,488260,394750,330082,370169,-40087,-354663
2020-05-26,31500,1100,2664764,992263,390599,601664,472160,457849,14311,-615975
2020-05-25,30400,300,1126618,403309,501804,-98495,134261,121355,12906,85589
2020-05-22,30100,-500,1764649,412141,785080,-372939,485834,400306,85528,287411
2020-05-21,30600,-250,2071411,621773,494289,127484,155814,846838,-691024,563540
2020-05-20,30850,-850,1969201,566289,532429,33860,156264,711477,-555213,521353
2020-05-19,31700,2350,5443583,2332154,809983,1522171,1699549,1254142,445407,-1967578
2020-05-18,29350,250,1708727,572386,502622,69764,771899,722088,49811,-119575
