날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,512000,-21000,656555,131293,123948,7345,174505,211328,-36823,29478
2020-11-10,533000,0,596508,150891,181799,-30908,121698,120839,859,30049
2020-11-09,533000,34000,824167,209037,189580,19457,213455,81038,132417,-151874
2020-11-06,499000,15000,865926,253836,228792,25044,289556,71271,218285,-243329
2020-11-05,484000,24500,727072,245906,137475,108431,226493,26719,199774,-308205
2020-11-04,459500,0,493759,156782,133179,23603,71353,74264,-2911,-20692
2020-11-03,459500,19500,712258,252388,134937,117451,207867,53320,154547,-271998
2020-11-02,440000,-2000,460501,111865,114308,-2443,73808,167012,-93204,95647
2020-10-30,442000,10500,1316269,311775,188309,123466,609286,286953,322333,-445799
2020-10-29,431500,1500,261803,77724,104544,-26820,61541,65128,-3587,30407
2020-10-28,430000,0,257709,54086,123154,-69068,88428,23947,64481,4587
2020-10-27,430000,12500,399221,167383,125094,42289,99024,69069,29955,-72244
2020-10-26,417500,-7000,174312,58555,58070,485,30099,35675,-5576,5091
2020-10-23,424500,-5000,143468,49691,53252,-3561,29168,19232,9936,-6375
2020-10-22,429500,-3500,193326,69279,55968,13311,47545,59852,-12307,-1004
2020-10-21,433000,500,239137,86243,110723,-24480,83205,39300,43905,-19425
2020-10-20,432500,19500,317386,106775,85108,21667,92937,30583,62354,-84021
2020-10-19,413000,-7000,283672,95278,122901,-27623,53928,53315,613,27010
2020-10-16,420000,-9000,301054,86367,109102,-22735,42607,76769,-34162,56897
2020-10-15,429000,-9500,273763,71407,122579,-51172,46931,48560,-1629,52801
2020-10-14,438500,-7000,286567,74108,93970,-19862,84009,91157,-7148,27010
2020-10-13,445500,5500,262374,56541,94753,-38212,130502,60950,69552,-31340
2020-10-12,440000,-5000,279158,59350,63343,-3993,67477,102746,-35269,39262
2020-10-08,445000,5500,389076,128795,123169,5626,170045,74811,95234,-100860
2020-10-07,439500,3000,207266,83277,62095,21182,67252,53971,13281,-34463
2020-10-06,436500,0,174258,52358,60674,-8316,29925,38132,-8207,16523
2020-10-05,436500,3000,287112,71905,73818,-1913,146749,116276,30473,-28560
2020-09-29,433500,12500,290281,85747,73222,12525,95544,101506,-5962,-6563
2020-09-28,421000,9000,229317,84532,59600,24932,60942,52370,8572,-33504
2020-09-25,412000,2000,293217,106288,77811,28477,86607,46665,39942,-68419
2020-09-24,410000,-26500,722856,183568,219387,-35819,120722,149322,-28600,64419
2020-09-23,436500,-10000,589077,201991,236590,-34599,48392,74670,-26278,60877
2020-09-22,446500,500,441003,109229,146736,-37507,98840,49771,49069,-11562
2020-09-21,446000,-7000,424967,111654,120415,-8761,66182,60021,6161,2600
2020-09-18,453000,7500,394156,111209,106904,4305,80146,58994,21152,-25457
2020-09-17,445500,-4000,655397,218912,199731,19181,51374,81907,-30533,11352
2020-09-16,449500,-3000,365621,97696,110331,-12635,50624,71381,-20757,33392
2020-09-15,452500,16500,410696,149226,96506,52720,56244,30739,25505,-78225
2020-09-14,436000,6500,305388,137081,73222,63859,33700,74314,-40614,-23245
2020-09-11,429500,-500,207772,38590,69333,-30743,49141,36532,12609,18134
2020-09-10,430000,500,288498,86704,142751,-56047,37632,50595,-12963,69010
2020-09-09,429500,-6000,281121,70442,111593,-41151,61616,43577,18039,23112
2020-09-08,435500,5500,326350,95373,98775,-3402,57321,33244,24077,-20675
2020-09-07,430000,-9000,325832,57860,91066,-33206,39054,79865,-40811,74017
2020-09-04,439000,-13500,428480,91957,150988,-59031,34620,62550,-27930,86961
2020-09-03,452500,500,391863,120042,110019,10023,52736,95761,-43025,33002
2020-09-02,452000,-2500,285532,77003,88324,-11321,42742,61983,-19241,30562
2020-09-01,454500,2000,367552,124228,104077,20151,79174,98623,-19449,-702
2020-08-31,452500,-13500,623312,166285,138982,27303,152125,207839,-55714,28411
2020-08-28,466000,-3000,463429,121952,148559,-26607,145933,93734,52199,-25592
2020-08-27,469000,12500,769495,187127,189684,-2557,247650,32733,214917,-212360
2020-08-26,456500,12500,650896,190683,181522,9161,152383,38591,113792,-122953
2020-08-25,444000,6000,410725,120243,154919,-34676,66499,53304,13195,21481
2020-08-24,438000,14500,528611,204959,180223,24736,135006,72401,62605,-87341
2020-08-21,423500,9000,633292,219615,188285,31330,107553,108524,-971,-30359
2020-08-20,414500,-20000,726581,202901,245403,-42502,94478,95060,-582,43084
2020-08-19,434500,1500,551050,155494,143994,11500,100998,127375,-26377,14877
2020-08-18,433000,-11000,774253,283500,173743,109757,131788,158139,-26351,-83406
2020-08-14,444000,-27000,1061360,178394,380586,-202192,103455,267318,-163863,366055
2020-08-13,471000,-4500,710421,251511,244293,7218,70189,121257,-51068,43850
2020-08-12,475500,3000,691109,196884,193564,3320,70249,99445,-29196,25876
2020-08-11,472500,-1000,1018301,265093,224212,40881,137623,448716,-311093,270212
2020-08-10,473500,-14500,831429,189237,214072,-24835,61233,293943,-232710,257545
2020-08-07,488000,18500,1191900,268200,322245,-54045,161694,193741,-32047,86092
2020-08-06,469500,1500,718320,190435,187463,2972,53050,122798,-69748,66776
2020-08-05,468000,52000,1319206,282114,263125,18989,315136,95952,219184,-238173
2020-08-04,416000,1500,556265,117805,133904,-16099,101085,148276,-47191,63290
2020-08-03,414500,17000,1058971,218001,182597,35404,183934,236008,-52074,16670
2020-07-31,397500,14000,951940,187533,181604,5929,428961,84090,344871,-350800
2020-07-30,383500,-2000,305365,74233,104312,-30079,33077,54038,-20961,51040
2020-07-29,385500,-7500,648131,83480,247526,-164046,134169,216945,-82776,246822
2020-07-28,393000,15000,1061859,410248,220763,189485,308207,57333,250874,-440359
2020-07-27,378000,2500,333007,102220,55166,47054,41818,131450,-89632,42578
2020-07-24,375500,-10000,394902,75932,94047,-18115,21124,111584,-90460,108575
2020-07-23,385500,-2500,239291,87127,97754,-10627,9814,30576,-20762,31389
2020-07-22,388000,1000,254554,88100,83096,5004,17168,31524,-14356,9352
2020-07-21,387000,8500,392214,139418,111886,27532,82628,30521,52107,-79639
2020-07-20,378500,-5000,258083,89745,104007,-14262,29481,26325,3156,11106
2020-07-17,383500,-2500,357349,116634,123510,-6876,34220,72589,-38369,45245
2020-07-16,386000,-7000,425923,113937,133300,-19363,40523,68409,-27886,47249
2020-07-15,393000,1000,372670,130741,118732,12009,85661,48681,36980,-48989
2020-07-14,392000,-2000,401601,106670,142256,-35586,143094,83438,59656,-24070
2020-07-13,394000,3000,415777,116649,151132,-34483,80866,81556,-690,35173
2020-07-10,391000,-2000,385485,99382,143874,-44492,41348,39256,2092,42400
2020-07-09,393000,7500,705556,280945,260496,20449,131349,121992,9357,-29806
2020-07-08,385500,-5500,502917,154362,207784,-53422,37691,98066,-60375,113797
2020-07-07,391000,3000,766258,252226,182720,69506,93452,70607,22845,-92351
2020-07-06,388000,7000,517651,150285,99013,51272,100279,43525,56754,-108026
2020-07-03,381000,9500,540737,166622,101091,65531,98042,17914,80128,-145659
2020-07-02,371500,1000,461526,158199,117156,41043,43990,197496,-153506,112463
