날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-11-11,"61,300","1,100",25628510,10408477,7892021,2516456,11505883,4013242,7492641,-10009097,,
2020-11-10,"60,200",0,19073552,9426666,11630302,-2203636,5397909,4456509,941400,1262236,,
2020-11-09,"60,200",100,15892961,8354943,7342976,1011967,4850555,2715228,2135327,-3147294,,
2020-11-06,"60,100",-200,16910230,8318707,8954209,-635502,5091351,2483093,2608258,-1972756,,
2020-11-05,"60,300","1,800",20639475,9984962,7935436,2049526,8267046,1307283,6959763,-9009289,,
2020-11-04,"58,500",-300,21718561,12848309,10327082,2521227,2254620,7964082,-5709462,3188235,,
2020-11-03,"58,800","1,400",14950919,9015302,7151295,1864007,2415909,1990900,425009,-2289016,,
2020-11-02,"57,400",800,20489076,10606785,11413908,-807123,3381286,3813111,-431825,1238948,,
2020-10-30,"56,600","-1,500",26907844,8665245,11314279,-2649034,5193660,11569686,-6376026,9025060,,
2020-10-29,"58,100",-900,22636966,8065279,12611948,-4546669,2681878,5621701,-2939823,7486492,,
2020-10-28,"59,000",-800,14428882,5986879,8050393,-2063514,2225833,3532209,-1306376,3369890,,
2020-10-27,"59,800",-600,17260416,6402172,9127410,-2725238,5658698,5585484,73214,2652024,,
2020-10-26,"60,400",200,13268226,7414586,6726804,687782,2424782,1599757,825025,-1512807,,
2020-10-23,"60,200",100,9322232,4165179,4224150,-58971,3108494,3248030,-139536,198507,,
2020-10-22,"60,100",-800,14294095,6139033,6044341,94692,3560649,6241458,-2680809,2586117,,
2020-10-21,"60,900",0,15703443,8448717,8910433,-461716,4388715,2922594,1466121,-1004405,,
2020-10-20,"60,900",900,19326115,9016172,7345042,1671130,7717089,2894679,4822410,-6493540,,
2020-10-19,"60,000",500,14474985,9625220,8725632,899588,2889113,2558502,330611,-1230199,,
2020-10-16,"59,500",-500,16554190,8305276,8177542,127734,4098148,4665031,-566883,439149,,
2020-10-15,"60,000",-900,17756232,8351348,8589349,-238001,4574371,5387130,-812759,1050760,,
2020-10-14,"60,900",0,16086716,6563331,6766020,-202689,6982421,5082248,1900173,-1697484,,
2020-10-13,"60,900",500,19247631,9478852,8857169,621683,5362762,3215378,2147384,-2769067,,
2020-10-12,"60,400",700,16145837,6819275,6060359,758916,6725428,3535849,3189579,-3948495,,
2020-10-08,"59,700",-200,24589924,9921649,13257993,-3336344,8333020,3618629,4714391,-1378047,,
2020-10-07,"59,900",900,14861838,8541375,6536197,2005178,3719424,2579867,1139557,-3144735,,
2020-10-06,"59,000",300,14463826,7646332,8077745,-431413,3572373,2800801,771572,-340159,,
2020-10-05,"58,700",500,20228289,9093181,7502291,1590890,7149302,8152084,-1002782,-588108,,
2020-09-29,"58,200",0,15503563,6270202,5968135,302067,5433642,6983926,-1550284,1248217,,
2020-09-28,"58,200",300,12614080,5725234,4658138,1067096,3250366,4709979,-1459613,392517,,
2020-09-25,"57,900",100,11444683,4331440,4489045,-157605,2862475,3809778,-947303,1104908,,
2020-09-24,"57,800",-800,17564020,8213923,8516139,-302216,3446415,4809350,-1362935,1665151,,
2020-09-23,"58,600",400,20111398,10711496,12496178,-1784682,3120467,3253766,-133299,1917981,,
2020-09-22,"58,200","-1,000",20830381,8504108,12529285,-4025177,3388954,3414729,-25775,4050952,,
2020-09-21,"59,200",-100,15140387,7691994,7067776,624218,2664453,3599587,-935134,310916,,
2020-09-18,"59,300",-200,18884571,8330120,8140234,189886,5540795,7440673,-1899878,1709992,,
2020-09-17,"59,500","-1,500",25108356,8553983,10705017,-2151034,5205810,7280868,-2075058,4226092,,
2020-09-16,"61,000",0,17041444,6109998,7813547,-1703549,6177163,3054760,3122403,-1418854,,
2020-09-15,"61,000",600,17877075,5483976,7350982,-1867006,6272689,2114260,4158429,-2291423,,
2020-09-14,"60,400","1,400",20648281,9431478,7939575,1491903,3193759,2095183,1098576,-2590479,,
2020-09-11,"59,000",-200,16017098,6147564,7229185,-1081621,3142133,3779831,-637698,1719319,,
2020-09-10,"59,200",800,29923293,12039173,13494751,-1455578,10900679,5422626,5478053,-4022475,,
2020-09-09,"58,400",-300,30597399,12809298,12488363,320935,8451069,6165997,2285072,-2606007,,
2020-09-08,"58,700","2,200",31517520,13837893,10949638,2888255,7896969,3326225,4570744,-7458999,,
2020-09-07,"56,500",900,18685880,7276449,8174334,-897885,3295549,3374248,-78699,976584,,
2020-09-04,"55,600",-800,22139109,7897948,10406928,-2508980,4974290,6902893,-1928603,4437583,,
2020-09-03,"56,400","2,000",28384920,11438303,11173267,265036,9914188,5893732,4020456,-4285492,,
2020-09-02,"54,400",200,16905723,7518797,7459268,59529,3948623,5165164,-1216541,1157012,,
2020-09-01,"54,200",200,19363117,8325888,9278228,-952340,4957472,6405494,-1448022,2400362,,
2020-08-31,"54,000","-1,400",32671367,11677827,12187693,-509866,5716788,15619837,-9903049,10412915,,
2020-08-28,"55,400",-200,14619888,7529973,7101937,428036,1197127,3907779,-2710652,2282616,,
2020-08-27,"55,600",-800,16196568,6363117,9211509,-2848392,3181723,3116919,64804,2783588,,
2020-08-26,"56,400",0,17651593,7824319,11055547,-3231228,4559522,3422578,1136944,2094284,,
2020-08-25,"56,400",300,14021705,7467436,8646072,-1178636,2344432,2047839,296593,882043,,
2020-08-24,"56,100",200,15055896,8068103,9261564,-1193461,2418206,2239571,178635,1014826,,
2020-08-21,"55,900",500,21142288,10371369,11939098,-1567729,4136361,2992949,1143412,424317,,
2020-08-20,"55,400","-2,400",30386029,13010476,18274923,-5264447,2436221,2828721,-392500,5656947,,
2020-08-19,"57,800",-600,16930719,8422351,9220692,-798341,2956240,3511191,-554951,1353292,,
2020-08-18,"58,400",400,25307825,12186973,8582567,3604406,6819004,5568290,1250714,-4855120,,
2020-08-14,"58,000",-700,15672548,7882446,7242288,640158,2359963,3604501,-1244538,604380,,
2020-08-13,"58,700",-300,22089460,12226356,12000424,225932,3391503,4710498,-1318995,1093063,,
2020-08-12,"59,000",800,18573934,9597930,9650420,-52490,3573916,3350903,223013,-170523,,
2020-08-11,"58,200",400,24907912,12976398,12057921,918477,4402766,3104862,1297904,-2216381,,
2020-08-10,"57,800",300,17774291,8519154,9147785,-628631,3221111,3433228,-212117,840748,,
2020-08-07,"57,500",-500,18751717,8182263,11540534,-3358271,4620572,3159960,1460612,1897659,,
2020-08-06,"58,000","1,100",21625874,11635513,11487757,147756,3374350,2742886,631464,-779220,,
2020-08-05,"56,900",-400,17739706,6249162,9129786,-2880624,3176366,4648358,-1471992,4352616,,
2020-08-04,"57,300",500,19419694,9707257,10329448,-622191,3907225,5088040,-1180815,1803006,,
2020-08-03,"56,800","-1,100",21158940,7834321,9426432,-1592111,3214984,6318264,-3103280,4695391,,
2020-07-31,"57,900","-1,100",21943345,8912779,11098657,-2185878,4444432,5753021,-1308589,3494467,,
2020-07-30,"59,000",0,19285354,8608310,9636325,-1028015,5024632,3448079,1576553,-548538,,
2020-07-29,"59,000",400,36476611,12869490,14322654,-1453164,12655537,7890072,4765465,-3312301,,
2020-07-28,"58,600","3,000",48431566,16570592,16356101,214491,20943599,5080226,15863373,-16077864,,
2020-07-27,"55,600","1,400",21054421,7941945,6377707,1564238,9067372,2124314,6943058,-8507296,,
2020-07-24,"54,200",100,10994535,4729772,5789967,-1060195,3519611,2118457,1401154,-340959,,
2020-07-23,"54,100",-600,16214932,4985462,7734677,-2749215,4505195,5765090,-1259895,4009110,,
2020-07-22,"54,700",-600,12885057,5022943,5934137,-911194,3722251,4114814,-392563,1303757,,
2020-07-21,"55,300","1,100",18297260,7307011,5774394,1532617,7629555,1948244,5681311,-7213928,,
2020-07-20,"54,200",-200,10507530,4463568,5641250,-1177682,3448811,2312199,1136612,41070,,
2020-07-17,"54,400",600,10096174,4248884,3887454,361430,3937473,2406605,1530868,-1892298,,
2020-07-16,"53,800",-900,16779127,7189935,7148904,41031,5306672,6498134,-1191462,1150431,,
2020-07-15,"54,700",900,24051450,9083044,6919714,2163330,10892786,5467321,5425465,-7588795,,
2020-07-14,"53,800",400,14269484,6236669,7848374,-1611705,5301335,3005816,2295519,-683814,,
2020-07-13,"53,400",700,12240188,5554184,4451949,1102235,4047948,2965273,1082675,-2184910,,
2020-07-10,"52,700",-100,13714746,4794904,8391496,-3596592,3610216,2005688,1604528,1992064,,
2020-07-09,"52,800",-200,17054850,7672370,9955619,-2283249,4729719,3219462,1510257,772992,,
2020-07-08,"53,000",-400,19664652,8894979,10392756,-1497777,5193371,5409395,-216024,1713801,,
2020-07-07,"53,400","-1,600",30760032,11690461,15754835,-4064374,5103654,5726685,-623031,4687405,,
2020-07-06,"55,000","1,400",19856623,10962106,6599152,4362954,3072581,1723880,1348701,-5711655,,
2020-07-03,"53,600",700,11887868,6409811,5418146,991665,2769143,1150631,1618512,-2610177,,
2020-07-02,"52,900",300,14142583,6957082,7427264,-470182,4101713,4188287,-86574,556756,,
