날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,123000,6500,1551092,405513,268314,137199,340370,127502,212868,-350067
2020-11-10,116500,1500,548716,114751,165730,-50979,167005,24232,142773,-91794
2020-11-09,115000,0,470472,146003,136404,9599,37234,39755,-2521,-7078
2020-11-06,115000,-1500,456819,97396,149125,-51729,60549,48762,11787,39942
2020-11-05,116500,2500,536669,134658,108724,25934,102928,32052,70876,-96810
2020-11-04,114000,1500,826560,256460,185736,70724,228934,70088,158846,-229570
2020-11-03,112500,500,487902,116127,103216,12911,44727,35088,9639,-22550
2020-11-02,112000,1500,500486,111471,110168,1303,57467,25272,32195,-33498
2020-10-30,110500,-500,1172993,277802,311481,-33679,142580,140380,2200,31479
2020-10-29,111000,-2000,1151122,229718,419198,-189480,166442,77311,89131,100349
2020-10-28,113000,-2500,1529935,360235,518329,-158094,185692,114128,71564,86530
2020-10-27,115500,-2500,2862367,422337,588436,-166099,597892,470166,127726,38373
2020-10-26,118000,14000,9493136,2344988,1499246,845742,376260,1145223,-768963,-76779
2020-10-23,104000,-500,285334,58075,129642,-71567,81180,29349,51831,19736
2020-10-22,104500,500,216486,65012,75093,-10081,78905,39346,39559,-29478
2020-10-21,104000,1500,208146,61784,76693,-14909,78043,34556,43487,-28578
2020-10-20,102500,-500,281942,63322,119209,-55887,24541,39447,-14906,70793
2020-10-19,103000,1000,401448,151105,170037,-18932,66745,80114,-13369,32301
2020-10-16,102000,-500,344823,104718,212594,-107876,23327,19870,3457,104419
2020-10-15,102500,-1500,272073,76158,80215,-4057,19110,54803,-35693,39750
2020-10-14,104000,-1500,268768,48076,81802,-33726,88355,93386,-5031,38757
2020-10-13,105500,500,263342,79977,115002,-35025,26763,31471,-4708,39733
2020-10-12,105000,500,259281,78951,110669,-31718,19381,40435,-21054,52772
2020-10-08,104500,-500,435015,126068,204858,-78790,76221,105576,-29355,108145
2020-10-07,105000,1000,319146,99735,107358,-7623,77850,133230,-55380,63003
2020-10-06,104000,-1000,272047,64784,98815,-34031,26874,59398,-32524,66555
2020-10-05,105000,0,291328,105841,114006,-8165,43295,98997,-55702,63867
2020-09-29,105000,500,315583,102226,95033,7193,80947,128547,-47600,40407
2020-09-28,104500,2000,201432,78586,78570,16,30469,28082,2387,-2403
2020-09-25,102500,500,287351,80086,126039,-45953,13686,61940,-48254,94207
2020-09-24,102000,-3500,452821,86134,93072,-6938,45847,89263,-43416,50354
2020-09-23,105500,0,335294,76854,116532,-39678,41253,82641,-41388,81066
2020-09-22,105500,-3000,592653,75227,141437,-66210,39548,76852,-37304,103514
2020-09-21,108500,-1000,364751,98179,98865,-686,24152,52064,-27912,28598
2020-09-18,109500,500,312258,91121,107043,-15922,60080,103810,-43730,59652
2020-09-17,109000,-2000,396882,73601,129360,-55759,21172,85915,-64743,120502
2020-09-16,111000,-2500,413185,110419,120599,-10180,14911,111628,-96717,106897
2020-09-15,113500,-500,492371,96310,153584,-57274,108942,74900,34042,23232
2020-09-14,114000,1000,433719,91487,94320,-2833,44972,54720,-9748,12581
2020-09-11,113000,4500,1495263,395769,296809,98960,204798,126009,78789,-177749
2020-09-10,108500,500,619678,144236,285945,-141709,77737,100384,-22647,164356
2020-09-09,108000,-3000,480233,88231,162081,-73850,27694,55141,-27447,101297
2020-09-08,111000,2000,441253,116235,139750,-23515,62813,46887,15926,7589
2020-09-07,109000,1500,373531,61475,125722,-64247,51864,47154,4710,59537
