날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,761000,9000,117807,24454,11174,13280,21628,14358,7270,-20550
2020-11-10,752000,-9000,210011,13664,62862,-49198,16918,37079,-20161,69359
2020-11-09,761000,-16000,263933,26307,90159,-63852,21177,41222,-20045,83897
2020-11-06,777000,-4000,157305,35489,16435,19054,17600,33559,-15959,-3095
2020-11-05,781000,48000,447218,142471,18776,123695,133052,52863,80189,-203884
2020-11-04,733000,34000,252251,73425,10633,62792,47598,16602,30996,-93788
2020-11-03,699000,1000,97868,28471,6274,22197,13912,27440,-13528,-8669
2020-11-02,698000,16000,84738,25547,6787,18760,7590,20605,-13015,-5745
2020-10-30,682000,-15000,251134,52744,13609,39135,56292,66308,-10016,-29119
2020-10-29,697000,60000,301106,47551,14924,32627,87570,49300,38270,-70897
2020-10-28,637000,2000,55140,6483,12697,-6214,11140,17763,-6623,12837
2020-10-27,635000,5000,127882,14657,12079,2578,45873,37915,7958,-10536
2020-10-26,630000,-6000,189595,17005,33255,-16250,48611,46105,2506,13744
2020-10-23,636000,-22000,196988,22778,47041,-24263,29864,54600,-24736,48999
2020-10-22,658000,-30000,186612,15767,63281,-47514,6520,59757,-53237,100751
2020-10-21,688000,6000,46859,11759,14824,-3065,5283,8288,-3005,6070
2020-10-20,682000,-4000,81702,15015,9186,5829,9748,30515,-20767,14938
2020-10-19,686000,-1000,58832,20243,12600,7643,5713,16377,-10664,3021
2020-10-16,687000,-17000,113875,10784,31936,-21152,18503,19305,-802,21954
2020-10-15,704000,-3000,67044,14646,15815,-1169,21384,15956,5428,-4259
2020-10-14,707000,-16000,64578,6922,13020,-6098,15681,22388,-6707,12805
2020-10-13,723000,4000,57458,15714,13625,2089,20048,4952,15096,-17185
2020-10-12,719000,4000,54650,13689,8319,5370,19849,12332,7517,-12887
2020-10-08,715000,-6000,75344,13477,19917,-6440,11037,15815,-4778,11218
2020-10-07,721000,9000,87946,28380,14113,14267,12466,16512,-4046,-10221
2020-10-06,712000,27000,101544,16569,9551,7018,21214,7243,13971,-20989
2020-10-05,685000,-5000,69478,10692,19056,-8364,13709,17007,-3298,11662
2020-09-29,690000,5000,69147,10674,18560,-7886,12394,20452,-8058,15944
2020-09-28,685000,10000,59316,8885,5683,3202,11282,13787,-2505,-697
2020-09-25,675000,2000,109274,10884,14557,-3673,25379,19792,5587,-1914
2020-09-24,673000,-32000,186230,11402,27141,-15739,35331,35682,-351,16090
2020-09-23,705000,-26000,199488,10329,51252,-40923,22380,41003,-18623,59546
2020-09-22,731000,-9000,174966,6654,26487,-19833,14755,27092,-12337,32170
2020-09-21,740000,-18000,96630,9798,19007,-9209,7374,14947,-7573,16782
2020-09-18,758000,1000,64797,7504,11961,-4457,17062,16757,305,4152
2020-09-17,757000,-19000,121310,15888,22134,-6246,19156,48562,-29406,35652
2020-09-16,776000,3000,79971,8217,17387,-9170,26856,10105,16751,-7581
2020-09-15,773000,10000,93709,7217,16187,-8970,35354,18223,17131,-8161
2020-09-14,763000,2000,77199,11886,23138,-11252,27845,18636,9209,2043
2020-09-11,761000,-3000,72604,9294,13618,-4324,25906,22696,3210,1114
2020-09-10,764000,5000,84507,18173,27891,-9718,25057,20348,4709,5009
2020-09-09,759000,-15000,129170,6810,33573,-26763,37973,25495,12478,14285
2020-09-08,774000,-2000,71815,8151,18211,-10060,6116,12643,-6527,16587
2020-09-07,776000,3000,85511,12078,11275,803,15988,18616,-2628,1825
2020-09-04,773000,-6000,124897,24280,21545,2735,16288,25224,-8936,6201
2020-09-03,779000,9000,132075,11834,19369,-7535,39973,29161,10812,-3277
2020-09-02,770000,-11000,188679,10591,13649,-3058,29030,63047,-34017,37075
2020-09-01,781000,3000,162447,19170,14217,4953,28609,42582,-13973,9020
2020-08-31,778000,-21000,233612,24670,22611,2059,19233,70900,-51667,49608
2020-08-28,799000,-2000,100079,12434,15474,-3040,11942,18260,-6318,9358
2020-08-27,801000,-11000,132306,10246,19082,-8836,15998,12574,3424,5412
2020-08-26,812000,-3000,101158,10272,17499,-7227,11878,13597,-1719,8946
2020-08-25,815000,-5000,104240,10701,17407,-6706,8653,22965,-14312,21018
2020-08-24,820000,21000,131478,30869,10748,20121,22856,8159,14697,-34818
2020-08-21,799000,5000,143094,13049,18854,-5805,37345,24398,12947,-7142
2020-08-20,794000,-15000,201445,48394,27267,21127,26251,29727,-3476,-17651
2020-08-19,809000,7000,150028,17584,10650,6934,25124,29946,-4822,-2112
2020-08-18,802000,2000,271955,46864,13065,33799,62064,38776,23288,-57087
2020-08-14,800000,-20000,216375,15307,14818,489,31104,52819,-21715,21226
2020-08-13,820000,-23000,366305,31759,47143,-15384,29442,83011,-53569,68953
2020-08-12,843000,39000,760424,42405,35497,6908,133558,74888,58670,-65578
2020-08-11,804000,33000,761446,51176,31801,19375,144660,35424,109236,-128611
2020-08-10,771000,3000,177707,15030,16113,-1083,18098,23373,-5275,6358
2020-08-07,768000,-10000,167220,7510,17828,-10318,13805,32678,-18873,29191
2020-08-06,778000,-9000,286882,26843,21859,4984,22313,80723,-58410,53426
2020-08-05,787000,52000,521095,42420,12454,29966,141998,62740,79258,-109224
2020-08-04,735000,-1000,108754,13755,11865,1890,17196,25521,-8325,6435
2020-08-03,736000,3000,163725,13266,15834,-2568,22960,40038,-17078,19646
2020-07-31,733000,-3000,95025,7378,18477,-11099,19560,23847,-4287,15386
2020-07-30,736000,-5000,143504,14162,22129,-7967,17338,22185,-4847,12814
2020-07-29,741000,-20000,191530,17463,40374,-22911,13476,56177,-42701,65612
2020-07-28,761000,7000,167728,16002,18478,-2476,67787,67468,319,2157
2020-07-27,754000,-1000,93656,16118,7004,9114,5953,26858,-20905,11791
2020-07-24,755000,-20000,145328,13363,18400,-5037,20677,16035,4642,395
2020-07-23,775000,-15000,200661,12997,18048,-5051,21156,37644,-16488,21539
2020-07-22,790000,40000,371837,45433,23119,22314,78099,41409,36690,-59004
2020-07-21,750000,11000,167336,28549,17188,11361,30506,32100,-1594,-9767
2020-07-20,739000,-4000,190729,11066,16219,-5153,84355,96792,-12437,17590
2020-07-17,743000,11000,148719,8951,15549,-6598,40885,26977,13908,-7310
2020-07-16,732000,-17000,118279,10779,12637,-1858,10451,38163,-27712,29570
2020-07-15,749000,14000,167363,20392,12987,7405,20707,43638,-22931,15526
2020-07-14,735000,5000,169708,19402,14075,5327,20194,47952,-27758,22431
2020-07-13,730000,-1000,179922,16265,11780,4485,38527,57151,-18624,14139
2020-07-10,731000,-10000,163506,9097,21092,-11995,37859,39087,-1228,13223
2020-07-09,741000,5000,204703,26478,16022,10456,47670,48431,-761,-9695
2020-07-08,736000,-15000,287658,19030,26755,-7725,50751,90202,-39451,47176
2020-07-07,751000,-3000,253614,17755,18159,-404,79812,114521,-34709,35113
2020-07-06,754000,-17000,250485,22329,13848,8481,26874,99278,-72404,63923
2020-07-03,771000,-15000,225308,11868,22555,-10687,14906,109559,-94653,105340
2020-07-02,786000,34000,266716,39958,12652,27306,65177,49285,15892,-43198
2020-07-01,752000,-23000,225298,13507,13539,-32,30118,60849,-30731,30763
2020-06-30,775000,-9000,230619,22449,26232,-3783,49623,49960,-337,4120
2020-06-29,784000,-26000,174433,18514,19695,-1181,21207,46954,-25747,26928
2020-06-26,810000,-5000,175138,9320,23837,-14517,16431,31289,-14858,29375
2020-06-25,815000,-4000,163339,20084,23021,-2937,18217,26764,-8547,11484
2020-06-24,819000,17000,284743,38759,19096,19663,49621,57321,-7700,-11963
2020-06-23,802000,9000,292065,35973,16184,19789,53819,65949,-12130,-7659
2020-06-22,793000,-8000,175790,18105,12155,5950,25840,36865,-11025,5075
2020-06-19,801000,-9000,349718,17360,28636,-11276,78867,59916,18951,-7675
2020-06-18,810000,-14000,189462,14150,21531,-7381,20980,27560,-6580,13961
2020-06-17,824000,-2000,278676,18250,26686,-8436,34753,29738,5015,3421
2020-06-16,826000,18000,404083,31845,37607,-5762,45644,68822,-23178,28940
2020-06-15,808000,3000,846654,32547,45832,-13285,77492,121472,-43980,57265
2020-06-12,805000,58000,789465,57765,44969,12796,137714,105493,32221,-45017
2020-06-11,747000,43000,593199,38922,63848,-24926,84264,54510,29754,-4828
2020-06-10,704000,28000,282781,44836,13440,31396,49095,19366,29729,-61125
2020-06-09,676000,12000,296132,39394,28456,10938,47003,29984,17019,-27957
2020-06-08,664000,-1000,298766,22955,33196,-10241,37115,75053,-37938,48179
2020-06-05,665000,15000,326076,56874,22973,33901,54874,48594,6280,-40181
2020-06-04,650000,24000,578811,51228,23348,27880,225938,143671,82267,-110147
2020-06-03,626000,-3000,185023,36034,45629,-9595,16020,28497,-12477,22072
2020-06-02,629000,0,83476,13788,15799,-2011,15739,10578,5161,-3150
2020-06-01,629000,7000,118807,12878,13603,-725,22172,24082,-1910,2635
2020-05-29,622000,11000,149536,14372,14558,-186,64959,46556,18403,-18217
2020-05-28,611000,-13000,223388,20847,42916,-22069,29651,43105,-13454,35523
2020-05-27,624000,-21000,207579,9632,24311,-14679,18558,46222,-27664,42343
2020-05-26,645000,13000,233836,19557,11040,8517,50668,18198,32470,-40987
2020-05-25,632000,14000,226644,23151,7212,15939,66465,11284,55181,-71120
2020-05-22,618000,9000,397591,31146,27326,3820,54374,68593,-14219,10399
2020-05-21,609000,9000,164932,11106,20852,-9746,44932,19065,25867,-16121
2020-05-20,600000,0,101649,12445,14052,-1607,16968,27152,-10184,11791
2020-05-19,600000,3000,186947,14867,31282,-16415,30198,43474,-13276,29691
2020-05-18,597000,-8000,218856,11122,20101,-8979,43392,30173,13219,-4240
2020-05-15,605000,-7000,147881,28147,20261,7886,13672,28130,-14458,6572
2020-05-14,612000,-4000,190133,26130,19866,6264,23292,39926,-16634,10370
2020-05-13,616000,24000,510468,65275,11940,53335,116795,29054,87741,-141076
2020-05-12,592000,6000,188243,33404,17605,15799,58053,23257,34796,-50595
2020-05-11,586000,-2000,164802,11739,20834,-9095,43889,42391,1498,7597
2020-05-08,588000,21000,438329,50548,20400,30148,111097,36136,74961,-105109
2020-05-07,567000,-8000,138941,14222,11109,3113,22227,17356,4871,-7984
2020-05-06,575000,19000,204420,26615,10604,16011,32170,24926,7244,-23255
2020-05-04,556000,-25000,302753,22441,44602,-22161,44975,84247,-39272,61433
2020-04-29,581000,-7000,157790,15298,24322,-9024,18491,28877,-10386,19410
2020-04-28,588000,0,189318,11417,17192,-5775,16879,15821,1058,4717
2020-04-27,588000,-3000,176447,14761,8686,6075,13884,22768,-8884,2809
2020-04-24,591000,-10000,400836,18276,18954,-678,58805,46211,12594,-11916
2020-04-23,601000,21000,1028524,36422,32958,3464,114796,63115,51681,-55145
2020-04-22,580000,1000,625247,45335,27385,17950,64351,50495,13856,-31806
2020-04-21,579000,13000,997287,72605,25389,47216,133885,73621,60264,-107480
2020-04-20,566000,0,472857,36127,25925,10202,29301,59653,-30352,20150
2020-04-17,566000,26000,776987,56364,44485,11879,66732,71881,-5149,-6730
2020-04-16,540000,-2000,297720,37573,16042,21531,43197,81332,-38135,16604
2020-04-14,542000,3000,539127,22484,17657,4827,41570,60507,-18937,14110
2020-04-13,539000,-20000,1184911,36971,23541,13430,52928,163728,-110800,97370
2020-04-10,559000,80500,3037570,116088,128810,-12722,361593,128584,233009,-220287
2020-04-09,478500,1000,125253,18385,30774,-12389,22818,21669,1149,11240
2020-04-08,477500,-5000,124190,16563,22666,-6103,19502,24882,-5380,11483
2020-04-07,482500,5500,177208,33931,22046,11885,34849,23719,11130,-23015
2020-04-06,477000,9500,219399,34610,8588,26022,31527,32978,-1451,-24571
2020-04-03,467500,3000,220451,51885,15720,36165,32101,27320,4781,-40946
2020-04-02,464500,12000,187474,23581,14463,9118,38449,35677,2772,-11890
2020-04-01,452500,-29500,313016,28553,30834,-2281,43366,67675,-24309,26590
2020-03-31,482000,32000,665621,73127,26015,47112,91141,89296,1845,-48957
2020-03-30,450000,7000,216938,31432,14338,17094,47327,65003,-17676,582
2020-03-27,443000,-13500,399994,22529,37531,-15002,76373,124310,-47937,62939
2020-03-26,456500,-18500,324101,24768,45920,-21152,58588,101272,-42684,63836
2020-03-25,475000,-1000,431318,24400,36676,-12276,105469,133457,-27988,40264
2020-03-24,476000,40000,509039,46571,25387,21184,127020,84239,42781,-63965
2020-03-23,436000,6000,589740,35307,30714,4593,117898,90512,27386,-31979
2020-03-20,430000,64000,586738,47917,21616,26301,101257,77629,23628,-49929
2020-03-19,366000,-34500,470624,65163,23157,42006,69906,62931,6975,-48981
2020-03-18,400500,-17000,276886,17634,17085,549,88836,48426,40410,-40959
2020-03-17,417500,-12500,423614,31995,12215,19780,97991,80900,17091,-36871
2020-03-16,430000,-26500,218369,10133,16606,-6473,65740,26538,39202,-32729
