날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,56900,1400,3285787,170706,256049,-85343,1754401,1340717,413684,-328341
2020-11-10,55500,500,2606507,21091,63579,-42488,1694978,1104857,590121,-547633
2020-11-09,55000,1200,2142600,74420,106977,-32557,1136755,399366,737389,-704832
2020-11-06,53800,300,2389344,122095,222889,-100794,1616325,399735,1216590,-1115796
2020-11-05,53500,1300,2026073,201714,123113,78601,1064884,537867,527017,-605618
2020-11-04,52200,0,1447736,48650,88618,-39968,532326,663947,-131621,171589
2020-11-03,52200,1000,1960143,245436,263103,-17667,811793,858114,-46321,63988
2020-11-02,51200,1100,2743951,343309,383299,-39990,536971,599079,-62108,102098
2020-10-30,50100,-1600,3581887,155064,586215,-431151,732233,1652289,-920056,1351207
2020-10-29,51700,-1200,3300363,141046,421114,-280068,202124,1430196,-1228072,1508140
2020-10-28,52900,-500,2083260,146250,554997,-408747,497676,887647,-389971,798718
2020-10-27,53400,-100,1808876,118030,231211,-113181,673467,992259,-318792,431973
2020-10-26,53500,200,2292408,211645,271422,-59777,420339,918063,-497724,557501
2020-10-23,53300,-200,1455825,76355,108969,-32614,612010,791243,-179233,211847
2020-10-22,53500,300,2123010,78077,603618,-525541,1185607,761221,424386,101155
2020-10-21,53200,-100,1801444,236925,130953,105972,344314,1240613,-896299,790327
2020-10-20,53300,300,1808384,333344,210892,122452,270434,621315,-350881,228429
2020-10-19,53000,0,1602973,267901,277943,-10042,322467,608624,-286157,296199
2020-10-16,53000,-200,1977121,224053,356084,-132031,733805,694904,38901,93130
2020-10-15,53200,-400,2462706,135778,191133,-55355,1014255,1207210,-192955,248310
2020-10-14,53600,200,3346129,431012,1098642,-667630,1548162,1132849,415313,252317
2020-10-13,53400,1100,3716282,531820,751675,-219855,1886216,1066898,819318,-599463
2020-10-12,52300,600,3716137,215317,103743,111574,2528745,1923449,605296,-716870
2020-10-08,51700,300,2263004,227731,185938,41793,1093729,835070,258659,-300452
2020-10-07,51400,500,1757262,211326,176367,34959,894714,882220,12494,-47453
2020-10-06,50900,200,1735208,136704,173619,-36915,712535,876277,-163742,200657
2020-10-05,50700,200,2058949,245288,197600,47688,806926,1041014,-234088,186400
2020-09-29,50500,0,2656730,297821,507902,-210081,1257460,1638296,-380836,590917
2020-09-28,50500,-200,1784371,160357,173825,-13468,579451,964303,-384852,398320
2020-09-25,50700,400,2041736,157517,239084,-81567,425989,1084597,-658608,740175
2020-09-24,50300,-600,1926490,171575,242357,-70782,399483,750850,-351367,422149
2020-09-23,50900,-100,1875836,252424,339140,-86716,340495,779696,-439201,525917
2020-09-22,51000,-300,2117503,255146,633371,-378225,440339,557229,-116890,495115
2020-09-21,51300,400,1636797,268421,391105,-122684,182256,486536,-304280,426964
2020-09-18,50900,-100,2188690,155044,165038,-9994,867069,1320983,-453914,463908
2020-09-17,51000,-700,2505013,234314,341189,-106875,688955,854265,-165310,272185
2020-09-16,51700,-300,2490139,268368,234132,34236,573896,1484113,-910217,875981
2020-09-15,52000,100,2939585,544507,241657,302850,512821,1536494,-1023673,720823
2020-09-14,51900,1000,2360763,217324,166674,50650,378505,904122,-525617,474967
2020-09-11,50900,200,1801308,99931,94195,5736,710394,765365,-54971,49235
2020-09-10,50700,1200,2645971,217752,178589,39163,1380570,644822,735748,-774911
2020-09-09,49500,-500,2349972,259905,129913,129992,491042,1032435,-541393,411401
2020-09-08,50000,1500,2548510,247118,354035,-106917,539765,380019,159746,-52829
2020-09-07,48500,1000,2015714,172925,154757,18168,601940,779420,-177480,159312
2020-09-04,47500,-400,2886358,145523,264229,-118706,920803,1792674,-871871,990577
2020-09-03,47900,800,3836969,1142766,444285,698481,1015058,2450262,-1435204,736723
