날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,296500,20000,2765598,343880,282433,61447,289977,139589,150388,-211835
2020-11-10,276500,-8500,1046021,117149,236096,-118947,102267,61040,41227,77720
2020-11-09,285000,7500,886316,176452,139068,37384,73139,128057,-54918,17534
2020-11-06,277500,5500,1189737,155225,179992,-24767,127980,123385,4595,20172
2020-11-05,272000,1500,965754,181784,156375,25409,120082,179712,-59630,34221
2020-11-04,270500,11500,1326699,288095,186920,101175,144866,158555,-13689,-87486
2020-11-03,259000,14500,1016373,179035,85534,93501,141402,78831,62571,-156072
2020-11-02,244500,3500,486328,67908,103648,-35740,37693,55085,-17392,53132
2020-10-30,241000,-12000,825115,108633,139091,-30458,86568,306428,-219860,250318
2020-10-29,253000,10500,986149,212060,143172,68888,84089,114300,-30211,-38677
2020-10-28,242500,3500,426527,63639,110173,-46534,35804,53402,-17598,64132
2020-10-27,239000,1000,687981,100953,150555,-49602,148495,145923,2572,47030
2020-10-26,238000,0,945429,83388,115943,-32555,65980,206957,-140977,173532
2020-10-23,238000,500,723304,103008,124866,-21858,155659,86923,68736,-46878
2020-10-22,237500,-6500,831654,64395,121033,-56638,202604,74710,127894,-71256
2020-10-21,244000,-1500,625587,95397,150531,-55134,130244,76720,53524,1610
2020-10-20,245500,-10000,1215368,162943,169465,-6522,119555,116421,3134,3388
2020-10-19,255500,-1000,517772,118439,122137,-3698,28458,142297,-113839,117537
2020-10-16,256500,1500,543139,104130,77591,26539,78645,115929,-37284,10745
2020-10-15,255000,-7000,627073,76508,90314,-13806,65456,142876,-77420,91226
2020-10-14,262000,-8500,585306,56388,87953,-31565,95118,148011,-52893,84458
2020-10-13,270500,-3000,541433,60153,113939,-53786,32527,96850,-64323,118109
2020-10-12,273500,11500,774825,115726,83394,32332,42101,78770,-36669,4337
2020-10-08,262000,1500,874989,155969,184054,-28085,91439,178497,-87058,115143
2020-10-07,260500,2500,492558,138225,70410,67815,40922,131737,-90815,23000
2020-10-06,258000,3500,556717,116381,103475,12906,92960,91861,1099,-14005
2020-10-05,254500,-3000,639048,111947,112465,-518,100446,195005,-94559,95077
2020-09-29,257500,2500,686838,113633,65222,48411,203566,164642,38924,-87335
2020-09-28,255000,-3500,1037814,87937,183843,-95906,79827,277577,-197750,293656
2020-09-25,258500,8500,1251340,170506,157637,12869,238753,151215,87538,-100407
2020-09-24,250000,-16000,1321525,114437,176259,-61822,275699,142079,133620,-71798
2020-09-23,266000,-2000,1302410,158573,220615,-62042,275175,136204,138971,-76929
2020-09-22,268000,-10500,1337964,156106,177924,-21818,280907,216391,64516,-42698
2020-09-21,278500,-13000,1074281,88333,154408,-66075,65741,72912,-7171,73246
2020-09-18,291500,0,754705,92280,114935,-22655,81454,178796,-97342,119997
2020-09-17,291500,-5500,685924,62158,138788,-76630,26589,110742,-84153,160783
2020-09-16,297000,1000,438867,60709,96547,-35838,49826,40392,9434,26404
2020-09-15,296000,0,413089,74508,80005,-5497,48544,40122,8422,-2925
2020-09-14,296000,-2500,508097,69186,116200,-47014,33092,79011,-45919,92933
2020-09-11,298500,0,1022761,168182,135043,33139,85211,96943,-11732,-21407
