날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,33650,700,5100704,1619480,750482,868998,1200937,1430664,-229727,-639271
2020-11-10,32950,1200,7202607,2222095,1034503,1187592,2743041,1231741,1511300,-2698892
2020-11-09,31750,150,2496771,899451,501119,398332,312424,912361,-599937,201605
2020-11-06,31600,100,1947300,624333,546189,78144,667448,358827,308621,-386765
2020-11-05,31500,350,3089844,1011011,909679,101332,551923,852104,-300181,198849
2020-11-04,31150,-850,4538264,983639,1515254,-531615,544888,1248588,-703700,1235315
2020-11-03,32000,250,3435765,1283102,624650,658452,561798,670038,-108240,-550212
2020-11-02,31750,1400,3894347,1453687,641636,812051,1136929,488195,648734,-1460785
2020-10-30,30350,-1100,4189440,812071,796686,15385,1237603,1518148,-280545,265160
2020-10-29,31450,-50,3103420,874029,691503,182526,738332,673611,64721,-247247
2020-10-28,31500,1300,4419345,1713384,600723,1112661,1367469,577379,790090,-1902751
2020-10-27,30200,-750,4310484,1124079,871422,252657,728442,1428757,-700315,447658
2020-10-26,30950,-400,3771465,1770994,783462,987532,199190,968743,-769553,-217979
2020-10-23,31350,1150,6673095,2214500,876901,1337599,1568677,908296,660381,-1997980
2020-10-22,30200,1000,4540090,1702929,669373,1033556,955271,764550,190721,-1224277
2020-10-21,29200,200,3384480,1541113,411825,1129288,588987,1861810,-1272823,143535
2020-10-20,29000,0,3020408,716016,556084,159932,1042839,1602405,-559566,399634
2020-10-19,29000,1050,3804406,1740911,535767,1205144,953457,1056400,-102943,-1102201
2020-10-16,27950,-100,1591701,415382,272722,142660,319708,933498,-613790,471130
2020-10-15,28050,100,1332326,362294,242831,119463,288390,614992,-326602,207139
2020-10-14,27950,-400,2222501,291062,435034,-143972,462252,1382820,-920568,1064540
2020-10-13,28350,-100,1886424,298257,528818,-230561,206761,999762,-793001,1023562
2020-10-12,28450,100,2396584,493837,335672,158165,729224,1600165,-870941,712776
2020-10-08,28350,-150,2335648,544594,743602,-199008,674903,1290455,-615552,814560
2020-10-07,28500,150,1520212,554084,225075,329009,420850,856890,-436040,107031
2020-10-06,28350,-200,2128923,514424,485246,29178,342023,1088147,-746124,716946
2020-10-05,28550,950,3155972,603786,542545,61241,991223,1548667,-557444,496203
2020-09-29,27600,100,1715571,404086,317548,86538,674905,1054597,-379692,293154
2020-09-28,27500,150,1193407,318988,238558,80430,427286,714478,-287192,206762
2020-09-25,27350,150,1927889,381991,271322,110669,947269,1315568,-368299,257630
2020-09-24,27200,-400,1870808,402719,345412,57307,844280,952470,-108190,50883
2020-09-23,27600,0,1771865,337437,435665,-98228,543250,867859,-324609,422837
2020-09-22,27600,-550,2362160,273149,516848,-243699,268456,1107548,-839092,1082791
2020-09-21,28150,-200,1366916,314671,199300,115371,232322,682789,-450467,335096
2020-09-18,28350,-200,2219918,311450,256045,55405,470771,1556535,-1085764,1030359
2020-09-17,28550,-150,1612471,349571,387893,-38322,266434,729103,-462669,500991
2020-09-16,28700,-50,1244882,227979,367002,-139023,201112,392643,-191531,330554
2020-09-15,28750,0,1471145,250242,416136,-165894,255769,593430,-337661,503555
2020-09-14,28750,300,2004641,320879,315867,5012,259243,1008409,-749166,744154
2020-09-11,28450,-50,1732675,290874,297989,-7115,408378,1080177,-671799,678914
2020-09-10,28500,100,1994874,474591,863963,-389372,551565,584454,-32889,422261
2020-09-09,28400,-650,4212332,520561,709341,-188780,482030,2786325,-2304295,2493075
2020-09-08,29050,-50,2761485,501933,551354,-49421,422700,1655142,-1232442,1281863
2020-09-07,29100,-550,3761770,348578,621917,-273339,365787,2125315,-1759528,2032867
2020-09-04,29650,-350,2284285,327597,779444,-451847,292577,854587,-562010,1013857
2020-09-03,30000,-200,1618528,412672,511193,-98521,298898,645241,-346343,444864
