날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,801000,4000,116090,32253,32343,-90,21385,52488,-31103,31193
2020-11-10,797000,-47000,172812,33893,52889,-18996,25203,92504,-67301,86297
2020-11-09,844000,-4000,71482,26258,25175,1083,22899,27343,-4444,3361
2020-11-06,848000,5000,91315,25452,24817,635,40445,32131,8314,-8949
2020-11-05,843000,6000,108701,37300,31764,5536,44880,34181,10699,-16235
2020-11-04,837000,55000,197108,76785,28129,48656,76545,21262,55283,-103939
2020-11-03,782000,4000,48350,25139,13316,11823,7721,23692,-15971,4148
2020-11-02,778000,2000,48696,28815,16874,11941,8546,21217,-12671,730
2020-10-30,776000,-37000,92285,29992,21483,8509,28033,52083,-24050,15541
2020-10-29,813000,11000,88029,45077,21446,23631,27142,28452,-1310,-22321
2020-10-28,802000,20000,78286,36108,19881,16227,28031,37302,-9271,-6956
2020-10-27,782000,-14000,81633,32460,20860,11600,25839,44472,-18633,7033
2020-10-26,796000,0,49132,31654,16809,14845,5230,13194,-7964,-6881
2020-10-23,796000,-15000,80718,35848,24972,10876,18669,39267,-20598,9722
2020-10-22,811000,2000,85163,39422,13211,26211,28275,32822,-4547,-21664
2020-10-21,809000,15000,108005,44629,11936,32693,41596,41193,403,-33096
2020-10-20,794000,23000,147983,49328,20712,28616,75761,46669,29092,-57708
2020-10-19,771000,4000,105467,30951,15743,15208,54477,41059,13418,-28626
2020-10-16,767000,17000,135943,29891,25896,3995,82922,37315,45607,-49602
2020-10-15,750000,-2000,72571,11613,25525,-13912,35800,21493,14307,-395
2020-10-14,752000,-2000,94309,11449,13192,-1743,60462,62969,-2507,4250
2020-10-13,754000,0,77742,11505,22447,-10942,35498,35489,9,10933
2020-10-12,754000,3000,123601,16311,21852,-5541,67209,63569,3640,1901
2020-10-08,751000,-17000,226092,30005,65384,-35379,85927,121787,-35860,71239
2020-10-07,768000,-20000,172973,30243,64766,-34523,22562,72781,-50219,84742
2020-10-06,788000,-1000,69582,15827,20736,-4909,27722,35094,-7372,12281
2020-10-05,789000,-17000,111800,29858,20876,8982,44298,70517,-26219,17237
2020-09-29,806000,7000,76019,16141,25466,-9325,38990,31070,7920,1405
2020-09-28,799000,15000,76993,28550,22511,6039,36777,21155,15622,-21661
2020-09-25,784000,-3000,67824,16937,16730,207,33873,32531,1342,-1549
