날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,355500,-500,713843,146062,268105,-122043,123863,71934,51929,70114
2020-11-10,356000,-15500,1105100,142397,406166,-263769,123523,256104,-132581,396350
2020-11-09,371500,1000,593735,178831,165727,13104,51747,120048,-68301,55197
2020-11-06,370500,7500,1315572,449811,353582,96229,267792,94610,173182,-269411
2020-11-05,363000,3500,1061367,237557,245231,-7674,245700,198467,47233,-39559
2020-11-04,359500,23000,1431026,536151,313942,222209,359571,128003,231568,-453777
2020-11-03,336500,2000,403786,118156,166910,-48754,50124,72442,-22318,71072
2020-11-02,334500,4500,319856,136321,129271,7050,63667,24593,39074,-46124
2020-10-30,330000,-13000,553748,91448,137097,-45649,57151,234769,-177618,223267
2020-10-29,343000,-3500,491546,154004,184145,-30141,30254,119612,-89358,119499
2020-10-28,346500,12500,629567,253709,188331,65378,105938,133165,-27227,-38151
2020-10-27,334000,4500,812610,237839,239154,-1315,181897,144098,37799,-36484
2020-10-26,329500,-10500,714722,97932,183576,-85644,171129,78791,92338,-6694
2020-10-23,340000,-9000,622592,77741,191425,-113684,51118,134211,-83093,196777
2020-10-22,349000,-4500,376380,97492,137173,-39681,54736,63899,-9163,48844
2020-10-21,353500,1000,516282,179467,173830,5637,44558,145629,-101071,95434
2020-10-20,352500,-500,759973,125553,198283,-72730,91825,83912,7913,64817
2020-10-19,353000,-4500,362402,96096,137977,-41881,23011,36729,-13718,55599
2020-10-16,357500,-4500,400405,90633,102749,-12116,31515,72144,-40629,52745
2020-10-15,362000,-6500,422566,76667,139495,-62828,45615,35799,9816,53012
2020-10-14,368500,-3500,333008,61269,101208,-39939,74055,51355,22700,17239
2020-10-13,372000,500,302317,70156,92770,-22614,37779,21164,16615,5999
2020-10-12,371500,-7500,471624,69406,167996,-98590,49932,52656,-2724,101314
2020-10-08,379000,-1500,624658,234389,276829,-42440,156157,43026,113131,-70691
2020-10-07,380500,-1000,398285,157823,112341,45482,26481,44109,-17628,-27854
2020-10-06,381500,11000,765339,216806,120673,96133,286062,68139,217923,-314056
2020-10-05,370500,6000,522228,151512,112626,38886,175358,61670,113688,-152574
2020-09-29,364500,-4500,612054,104365,146418,-42053,75518,209688,-134170,176223
2020-09-28,369000,17500,674705,176014,118241,57773,147733,74962,72771,-130544
2020-09-25,351500,-500,449701,130055,126542,3513,57917,55326,2591,-6104
2020-09-24,352000,-13500,763638,167359,192411,-25052,44438,171375,-126937,151989
2020-09-23,365500,12500,930394,244005,185046,58959,129388,100207,29181,-88140
2020-09-22,353000,-11500,880318,170024,189958,-19934,124185,84017,40168,-20234
2020-09-21,364500,-8500,530255,83327,103629,-20302,23555,69864,-46309,66611
2020-09-18,373000,2000,495271,125846,102430,23416,81799,84565,-2766,-20650
2020-09-17,371000,-6000,617702,105021,147772,-42751,63743,57894,5849,36902
2020-09-16,377000,-4000,485743,86296,100484,-14188,13682,126471,-112789,126977
2020-09-15,381000,7500,860038,185853,139603,46250,113247,165911,-52664,6414
2020-09-14,373500,-5500,830231,116363,233169,-116806,145782,92598,53184,63622
2020-09-11,379000,-6500,792840,60848,153598,-92750,84014,126069,-42055,134805
2020-09-10,385500,1500,936708,144450,210119,-65669,146787,157460,-10673,76342
2020-09-09,384000,-6000,935573,91854,224111,-132257,152919,141753,11166,121091
2020-09-08,390000,-2000,1020539,158162,179453,-21291,59820,75125,-15305,36596
2020-09-07,392000,-10000,928939,82605,225276,-142671,30776,89089,-58313,200984
2020-09-04,402000,-8000,1168529,124707,203843,-79136,86663,163590,-76927,156063
2020-09-03,410000,-2000,739215,108744,149791,-41047,90067,118576,-28509,69556
2020-09-02,412000,10500,921655,206314,192152,14162,158408,66837,91571,-105733
2020-09-01,401500,-5500,1100736,170327,211254,-40927,107409,164479,-57070,97997
2020-08-31,407000,1500,1629751,242446,302561,-60115,139235,321229,-181994,242109
2020-08-28,405500,-5000,1506996,221681,347310,-125629,87219,323690,-236471,362100
2020-08-27,410500,18500,1981840,540973,453599,87374,140243,97331,42912,-130286
2020-08-26,392000,11000,1351029,287614,264746,22868,240358,72740,167618,-190486
2020-08-25,381000,1000,887733,225534,236130,-10596,87357,117196,-29839,40435
2020-08-24,380000,10000,969648,259265,229414,29851,98628,57981,40647,-70498
2020-08-21,370000,5500,1021460,249501,222103,27398,172779,64876,107903,-135301
2020-08-20,364500,-12000,1686740,449054,414949,34105,107899,158486,-50587,16482
2020-08-19,376500,-1500,1359266,265233,249253,15980,68080,284705,-216625,200645
2020-08-18,378000,15500,3032037,629574,470263,159311,449786,194858,254928,-414239
2020-08-14,362500,2000,825802,163743,112642,51101,51747,82751,-31004,-20097
2020-08-13,360500,6500,1117859,383548,244786,138762,72335,124797,-52462,-86300
2020-08-12,354000,1500,729434,149448,154565,-5117,87369,106919,-19550,24667
2020-08-11,352500,-3500,750285,122035,163480,-41445,47995,157164,-109169,150614
2020-08-10,356000,3000,1086391,147728,217453,-69725,120760,126191,-5431,75156
2020-08-07,353000,-11000,1899111,147185,350313,-203128,100355,381410,-281055,484183
2020-08-06,364000,-6500,1848898,279894,584447,-304553,124993,323582,-198589,503142
2020-08-05,370500,500,1075879,243662,261359,-17697,57080,122209,-65129,82826
2020-08-04,370000,4000,1714642,330317,410690,-80373,86084,181899,-95815,176188
2020-08-03,366000,22500,1636803,377682,308938,68744,125157,128910,-3753,-64991
2020-07-31,343500,11500,1078837,254082,195282,58800,208974,111692,97282,-156082
2020-07-30,332000,500,615872,176942,216144,-39202,64951,53919,11032,28170
2020-07-29,331500,2000,618435,215792,224204,-8412,74828,35850,38978,-30566
2020-07-28,329500,3000,873063,259347,240393,18954,106531,95527,11004,-29958
2020-07-27,326500,2000,603322,165397,117306,48091,119372,96579,22793,-70884
2020-07-24,324500,-5000,907643,222135,260579,-38444,86895,110628,-23733,62177
2020-07-23,329500,11500,1260435,296512,267218,29294,227332,122251,105081,-134375
2020-07-22,318000,2000,1159298,328006,331059,-3053,99376,138483,-39107,42160
2020-07-21,316000,6000,1676630,353226,351907,1319,178911,381909,-202998,201679
2020-07-20,310000,-15000,1534422,227665,352866,-125201,73933,316564,-242631,367832
2020-07-17,325000,3000,1268587,211963,247259,-35296,107789,170174,-62385,97681
2020-07-16,322000,-15500,1941508,333692,529374,-195682,246309,218442,27867,167815
2020-07-15,337500,-5500,1487417,291119,394472,-103353,141543,205951,-64408,167761
2020-07-14,343000,-9000,1212519,193457,314388,-120931,99596,106660,-7064,127995
2020-07-13,352000,-3500,1391744,249208,260421,-11213,71295,223682,-152387,163600
2020-07-10,355500,0,2566935,326448,455968,-129520,71858,398995,-327137,456657
2020-07-09,355500,27500,2463503,333479,560378,-226899,176507,203305,-26798,253697
2020-07-08,328000,17500,1869663,455580,551396,-95816,288579,146677,141902,-46086
2020-07-07,310500,10000,1552820,388438,528041,-139603,293228,100400,192828,-53225
2020-07-06,300500,6500,1344851,339938,337650,2288,100988,190409,-89421,87133
2020-07-03,294000,8500,1604493,467209,452410,14799,195454,75486,119968,-134767
2020-07-02,285500,16000,1378545,448333,297662,150671,340691,108730,231961,-382632
2020-07-01,269500,2000,578023,187839,200604,-12765,119279,52860,66419,-53654
2020-06-30,267500,0,624089,205101,199843,5258,111536,125691,-14155,8897
2020-06-29,267500,-7000,778818,191547,265247,-73700,156062,95070,60992,12708
2020-06-26,274500,0,812726,181823,204119,-22296,134787,114961,19826,2470
2020-06-25,274500,-8000,900258,162362,264237,-101875,107329,192589,-85260,187135
2020-06-24,282500,1000,1081233,222445,272959,-50514,155605,168074,-12469,62983
2020-06-23,281500,7500,2166267,806890,821722,-14832,135032,180755,-45723,60555
2020-06-22,274000,10500,2008656,571704,554836,16868,455488,178483,277005,-293873
2020-06-19,263500,0,920126,252183,314203,-62020,169686,166656,3030,58990
2020-06-18,263500,500,981144,319066,295057,24009,208217,71555,136662,-160671
2020-06-17,263000,0,1162204,358050,427617,-69567,107737,98930,8807,60760
2020-06-16,263000,10500,915456,257993,197283,60710,125608,67454,58154,-118864
2020-06-15,252500,-13500,1549230,385308,414231,-28923,92413,125226,-32813,61736
2020-06-12,266000,1000,1688975,602233,373719,228514,126127,137161,-11034,-217480
2020-06-11,265000,3000,1724551,811364,494476,316888,141325,281891,-140566,-176322
2020-06-10,262000,7500,1575452,612517,291577,320940,148933,105600,43333,-364273
2020-06-09,254500,-2000,834862,173686,165639,8047,106257,165289,-59032,50985
2020-06-08,256500,5500,1417078,280107,225718,54389,182993,181532,1461,-55850
2020-06-05,251000,-3000,1007264,221096,253256,-32160,110540,213121,-102581,134741
2020-06-04,254000,4500,1228950,153375,209510,-56135,227263,99762,127501,-71366
2020-06-03,249500,-10000,2302391,248120,721313,-473193,183167,204794,-21627,494820
2020-06-02,259500,-4500,978846,125540,265690,-140150,90052,96390,-6338,146488
2020-06-01,264000,500,1083698,146443,219091,-72648,104965,151280,-46315,118963
2020-05-29,263500,-3500,1645822,209813,287421,-77608,450628,592205,-141577,219185
2020-05-28,267000,6500,2495048,454327,544712,-90385,249357,226054,23303,67082
2020-05-27,260500,-9500,2015974,257130,533078,-275948,207361,208841,-1480,277428
2020-05-26,270000,2000,3274293,392931,774152,-381221,396987,408575,-11588,392809
2020-05-25,268000,21000,2653776,361627,713609,-351982,182760,175203,7557,344425
2020-05-22,247000,9500,1887064,538386,687001,-148615,177055,96858,80197,68418
2020-05-21,237500,6000,1408737,342656,430603,-87947,90808,203091,-112283,200230
2020-05-20,231500,11500,1773960,592589,462344,130245,190932,204505,-13573,-116672
2020-05-19,220000,-1000,1308903,361655,540722,-179067,184799,79649,105150,73917
2020-05-18,221000,-500,744533,153908,199290,-45382,87630,95293,-7663,53045
2020-05-15,221500,-3500,1524083,364500,443334,-78834,124675,248794,-124119,202953
2020-05-14,225000,8500,1459813,419711,519560,-99849,272584,151804,120780,-20931
2020-05-13,216500,2000,1113608,297713,424775,-127062,263971,185149,78822,48240
2020-05-12,214500,7000,1563095,452160,574839,-122679,320817,145079,175738,-53059
2020-05-11,207500,1500,1048413,283268,401116,-117848,164097,104489,59608,58240
2020-05-08,206000,0,1405404,355733,454497,-98764,263686,119104,144582,-45818
2020-05-07,206000,6500,2629709,690940,765078,-74138,579762,297931,281831,-207693
2020-05-06,199500,13000,2035947,748954,466608,282346,313729,204794,108935,-391281
2020-05-04,186500,2500,1019409,297608,310611,-13003,249433,132391,117042,-104039
2020-04-29,184000,-1000,659512,139559,242541,-102982,153300,169910,-16610,119592
2020-04-28,185000,1000,668638,175712,247050,-71338,155361,111133,44228,27110
2020-04-27,184000,1000,721963,278413,258772,19641,72891,128273,-55382,35741
2020-04-24,183000,-2500,1073684,389760,381633,8127,85353,206903,-121550,113423
2020-04-23,185500,8500,1509799,394749,284843,109906,402655,204957,197698,-307604
2020-04-22,177000,1500,686146,245344,221347,23997,95019,114909,-19890,-4107
2020-04-21,175500,500,1232126,395326,347763,47563,197357,120085,77272,-124835
2020-04-20,175000,3000,859303,184040,232420,-48380,129722,87975,41747,6633
2020-04-17,172000,6500,947794,186706,168802,17904,142637,94934,47703,-65607
2020-04-16,165500,6000,1005533,282215,182371,99844,215007,179966,35041,-134885
2020-04-14,159500,2000,430759,166300,127659,38641,62626,63921,-1295,-37346
2020-04-13,157500,-3500,470251,75048,130145,-55097,50656,106350,-55694,110791
2020-04-10,161000,3000,753323,143070,204609,-61539,218345,123471,94874,-33335
2020-04-09,158000,0,726920,241169,411244,-170075,205419,119939,85480,84595
2020-04-08,158000,-2000,738303,287306,314489,-27183,85949,193523,-107574,134757
2020-04-07,160000,-500,920798,304307,241479,62828,111806,316138,-204332,141504
2020-04-06,160500,3000,807805,268456,119048,149408,130103,240613,-110510,-38898
2020-04-03,157500,500,545749,146586,143932,2654,82969,101829,-18860,16206
2020-04-02,157000,6500,1043790,329567,182375,147192,237745,204710,33035,-180227
2020-04-01,150500,-5000,794295,119420,211422,-92002,82615,210201,-127586,219588
2020-03-31,155500,2500,1042474,301600,289212,12388,164368,178145,-13777,1389
2020-03-30,153000,500,668254,229422,189234,40188,131768,131855,-87,-40101
2020-03-27,152500,2000,958988,179952,161486,18466,186991,195439,-8448,-10018
2020-03-26,150500,-4000,893688,101227,187225,-85998,153113,242911,-89798,175796
2020-03-25,154500,0,1290376,139382,301796,-162414,155674,256841,-101167,263581
2020-03-24,154500,11000,1271387,327437,266298,61139,236419,230599,5820,-66959
2020-03-23,143500,-6000,1569378,397596,392900,4696,287899,485724,-197825,193129
2020-03-20,149500,15500,1765756,475365,429414,45951,413177,325027,88150,-134101
2020-03-19,134000,-7000,2157141,641820,555369,86451,391836,474019,-82183,-4268
2020-03-18,141000,-6500,1107527,314552,293065,21487,190888,272679,-81791,60304
2020-03-17,147500,0,1221046,374555,281738,92817,222405,341901,-119496,26679
2020-03-16,147500,-11500,1252484,260077,272241,-12164,166179,480482,-314303,326467
2020-03-13,159000,-2000,1601985,500225,329401,170824,337679,421568,-83889,-86935
2020-03-12,161000,-8000,1218070,386661,342295,44366,310023,396400,-86377,42011
2020-03-11,169000,-4000,550227,170892,200253,-29361,137106,168213,-31107,60468
2020-03-10,173000,5500,950875,378590,178538,200052,235651,228363,7288,-207340
2020-03-09,167500,-8000,805638,193177,211746,-18569,137727,248188,-110461,129030
2020-03-06,175500,-4000,568424,142854,219794,-76940,113541,112904,637,76303
2020-03-05,179500,0,821744,147113,218869,-71756,196364,393027,-196663,268419
2020-03-04,179500,4500,709188,152627,177630,-25003,311379,242701,68678,-43675
2020-03-03,175000,0,629017,134204,178032,-43828,119639,188698,-69059,112887
2020-03-02,175000,3000,793495,214228,221823,-7595,189254,240910,-51656,59251
