날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,243000,2000,423677,165285,192624,-27339,129386,49716,79670,-52331
2020-11-10,241000,8500,544843,176050,177875,-1825,209926,57900,152026,-150201
2020-11-09,232500,3000,332444,132205,121728,10477,56352,66225,-9873,-604
2020-11-06,229500,-3500,428049,94278,147983,-53705,138394,130887,7507,46198
2020-11-05,233000,6500,381030,110367,144883,-34516,97291,26259,71032,-36516
2020-11-04,226500,500,481871,179001,242654,-63653,58481,33439,25042,38611
2020-11-03,226000,-500,453788,86006,232004,-145998,46538,101060,-54522,200520
2020-11-02,226500,1000,428586,142514,199101,-56587,35603,89447,-53844,110431
2020-10-30,225500,-12500,888786,185620,334822,-149202,111678,333835,-222157,371359
2020-10-29,238000,-14500,696270,206537,237501,-30964,58010,224077,-166067,197031
2020-10-28,252500,8000,487858,260703,184389,76314,38871,95656,-56785,-19529
2020-10-27,244500,1000,796662,402009,286772,115237,173303,196108,-22805,-92432
2020-10-26,243500,9000,788372,394565,232375,162190,133866,72343,61523,-223713
2020-10-23,234500,500,372397,208769,144361,64408,54120,92295,-38175,-26233
2020-10-22,234000,2500,372056,172211,127664,44547,79682,103825,-24143,-20404
2020-10-21,231500,-6000,476527,222231,207337,14894,82852,151191,-68339,53445
2020-10-20,237500,15000,1301084,649469,295261,354208,313757,426032,-112275,-241933
2020-10-19,222500,-6500,524241,194556,205855,-11299,81775,203463,-121688,132987
2020-10-16,229000,-5500,446765,240685,146254,94431,55734,172073,-116339,21908
2020-10-15,234500,3000,602103,297216,187790,109426,102672,136232,-33560,-75866
2020-10-14,231500,-4000,402918,93489,135534,-42045,144367,127363,17004,25041
2020-10-13,235500,8500,433346,226281,138889,87392,70334,59287,11047,-98439
2020-10-12,227000,-2000,343564,107421,116728,-9307,90787,154639,-63852,73159
2020-10-08,229000,-6000,499234,107245,298259,-191014,79118,102231,-23113,214127
2020-10-07,235000,1500,257835,82942,103849,-20907,79784,63812,15972,4935
2020-10-06,233500,-2500,309606,78408,128639,-50231,98621,79679,18942,31289
2020-10-05,236000,6000,471265,179022,130770,48252,117120,176386,-59266,11014
2020-09-29,230000,5000,421193,146819,99590,47229,107553,210140,-102587,55358
2020-09-28,225000,3000,197119,64336,53218,11118,53362,88078,-34716,23598
2020-09-25,222000,1000,340801,95154,106045,-10891,136844,140766,-3922,14813
2020-09-24,221000,-7000,481274,122098,192382,-70284,148387,149648,-1261,71545
2020-09-23,228000,-6000,411626,152441,182301,-29860,22398,73554,-51156,81016
2020-09-22,234000,-8500,408883,73941,165578,-91637,120671,73989,46682,44955
2020-09-21,242500,2500,425049,185230,156226,29004,76081,56743,19338,-48342
2020-09-18,240000,-2000,465237,125968,141353,-15385,204603,165967,38636,-23251
2020-09-17,242000,-500,592993,206701,174145,32556,124701,91871,32830,-65386
2020-09-16,242500,8500,658710,215338,159219,56119,210711,69836,140875,-196994
2020-09-15,234000,1500,306934,84157,111154,-26997,94991,44851,50140,-23143
2020-09-14,232500,6500,417530,161295,128920,32375,59460,39216,20244,-52619
2020-09-11,226000,2000,236329,90582,82095,8487,35236,68299,-33063,24576
2020-09-10,224000,500,335130,155839,198467,-42628,58677,61260,-2583,45211
2020-09-09,223500,-2000,260718,77342,103445,-26103,56821,62473,-5652,31755
2020-09-08,225500,0,279719,76243,113277,-37034,17950,49701,-31751,68785
2020-09-07,225500,-4500,272841,45942,82554,-36612,15477,80448,-64971,101583
2020-09-04,230000,-3500,442319,76649,186724,-110075,112227,64903,47324,62751
2020-09-03,233500,-2000,425972,110871,118301,-7430,122542,175669,-53127,60557
2020-09-02,235500,-3000,564954,170458,137685,32773,115207,212558,-97351,64578
2020-09-01,238500,14500,915042,387291,174277,213014,163668,144912,18756,-231770
2020-08-31,224000,-2000,805029,332783,203906,128877,140140,356823,-216683,87806
2020-08-28,226000,9000,778178,356650,144729,211921,176534,210201,-33667,-178254
2020-08-27,217000,-6500,322599,88826,104976,-16150,31820,77170,-45350,61500
2020-08-26,223500,4000,345505,118942,119253,-311,86004,50067,35937,-35626
2020-08-25,219500,2500,377235,147220,149952,-2732,84449,52800,31649,-28917
2020-08-24,217000,6000,295989,117794,118123,-329,88402,53301,35101,-34772
2020-08-21,211000,6500,392349,118790,127795,-9005,154308,103855,50453,-41448
2020-08-20,204500,-12500,519337,176656,199303,-22647,45395,117716,-72321,94968
2020-08-19,217000,2500,369044,122861,88751,34110,86473,148360,-61887,27777
2020-08-18,214500,-9500,535693,198906,163030,35876,104746,138230,-33484,-2392
2020-08-14,224000,-4000,462365,148029,148308,-279,48892,131122,-82230,82509
2020-08-13,228000,-1500,983401,352588,338465,14123,115203,199146,-83943,69820
2020-08-12,229500,-9500,604103,141425,220607,-79182,71288,154580,-83292,162474
2020-08-11,239000,1000,626321,188158,185256,2902,70388,158048,-87660,84758
2020-08-10,238000,14500,1265411,406267,331933,74334,145225,183196,-37971,-36363
2020-08-07,223500,1000,635205,231494,183579,47915,59326,103289,-43963,-3952
2020-08-06,222500,10000,831406,324758,139028,185730,113074,78363,34711,-220441
2020-08-05,212500,4500,435388,151471,140267,11204,89001,100974,-11973,769
2020-08-04,208000,2000,371368,121331,95968,25363,65509,128358,-62849,37486
2020-08-03,206000,500,292704,77332,113107,-35775,91844,113466,-21622,57397
2020-07-31,205500,-7500,386250,72674,181375,-108701,43568,113505,-69937,178638
2020-07-30,213000,1000,399720,155571,131602,23969,65954,73038,-7084,-16885
2020-07-29,212000,8000,557688,230901,124388,106513,136292,168134,-31842,-74671
2020-07-28,204000,500,333839,74649,166435,-91786,69630,76925,-7295,99081
2020-07-27,203500,0,394211,135921,169442,-33521,75436,94683,-19247,52768
2020-07-24,203500,-8000,566590,174686,263670,-88984,57460,129943,-72483,161467
2020-07-23,211500,500,511415,199734,216375,-16641,90718,153480,-62762,79403
2020-07-22,211000,-6000,386754,128134,152083,-23949,51223,107392,-56169,80118
2020-07-21,217000,-7000,558469,185694,169231,16463,83320,232430,-149110,132647
2020-07-20,224000,3500,434885,216765,147001,69764,53505,76373,-22868,-46896
2020-07-17,220500,7500,436200,172367,121609,50758,83546,75428,8118,-58876
2020-07-16,213000,-2500,402205,159094,140213,18881,92572,107736,-15164,-3717
2020-07-15,215500,5500,815163,335446,175035,160411,162755,194663,-31908,-128503
2020-07-14,210000,5500,549007,161253,143429,17824,140606,148686,-8080,-9744
2020-07-13,204500,12000,416475,194764,81503,113261,65148,31157,33991,-147252
2020-07-10,192500,-5000,280706,77700,139516,-61816,32042,65319,-33277,95093
2020-07-09,197500,-1500,299020,151118,132451,18667,42087,83721,-41634,22967
2020-07-08,199000,-2000,271449,114649,84475,30174,69859,134343,-64484,34310
2020-07-07,201000,-3500,352141,106981,93407,13574,101433,144472,-43039,29465
2020-07-06,204500,9000,336074,151800,66611,85189,41736,31177,10559,-95748
2020-07-03,195500,1000,165056,80201,60401,19800,14395,47238,-32843,13043
2020-07-02,194500,500,253093,97881,58862,39019,88406,130853,-42447,3428
2020-07-01,194000,2000,173150,75583,54982,20601,30797,33863,-3066,-17535
2020-06-30,192000,0,253317,90653,57959,32694,81282,115078,-33796,1102
2020-06-29,192000,-6500,212889,65095,90757,-25662,21117,48147,-27030,52692
2020-06-26,198500,4500,295836,90617,94752,-4135,57234,62620,-5386,9521
2020-06-25,194000,-11000,392726,82161,176895,-94734,56654,82977,-26323,121057
2020-06-24,205000,12000,734730,231189,136907,94282,112287,158637,-46350,-47932
2020-06-23,193000,9000,579311,219641,131474,88167,101926,176962,-75036,-13131
2020-06-22,184000,-1500,204828,51990,86831,-34841,45559,68598,-23039,57880
2020-06-19,185500,-2500,319737,88171,78068,10103,104453,199517,-95064,84961
