날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,
2020-11-11,175500,2000,4140745,1240154,1041670,198484,913625,1331328,-417703,219219,
2020-11-10,173500,1000,1796342,562821,464073,98748,417002,551172,-134170,35422,
2020-11-09,172500,2000,1521010,442711,379640,63071,236907,462075,-225168,162097,
2020-11-06,170500,-4500,2233192,587863,711300,-123437,164370,819188,-654818,778255,
2020-11-05,175000,3500,1299430,438284,330964,107320,301769,45594,256175,-363495,
2020-11-04,171500,1000,1699252,584587,634782,-50195,219423,184723,34700,15495,
2020-11-03,170500,0,1006364,319206,328003,-8797,55154,144921,-89767,98564,
2020-11-02,170500,6000,1052301,454111,356715,97396,175798,69599,106199,-203595,
2020-10-30,164500,-5500,1452259,342614,592599,-249985,155801,292400,-136599,386584,
2020-10-29,170000,-3500,1484537,389200,595868,-206668,135748,203295,-67547,274215,
2020-10-28,173500,1000,1419988,569298,571785,-2487,278340,303863,-25523,28010,
2020-10-27,172500,1000,3317704,1251963,1300054,-48091,545161,369010,176151,-128060,
2020-10-26,171500,4500,3018359,1519650,1077909,441741,292862,278384,14478,-456219,
2020-10-23,167000,4500,1883932,791789,647128,144661,194189,186055,8134,-152795,
2020-10-22,162500,-3000,1700524,407191,525519,-118328,328584,216172,112412,5916,
2020-10-21,165500,-2000,1760669,799928,910690,-110762,110925,170604,-59679,170441,
2020-10-20,167500,-500,5697398,2005844,1751522,254322,594157,823843,-229686,-24636,
2020-10-19,168000,-4000,2230634,558051,920507,-362456,69171,213239,-144068,506524,
2020-10-16,172000,-4000,3197258,569978,1469864,-899886,112957,323588,-210631,1110517,
2020-10-15,176000,-2000,1587551,408393,610763,-202370,117973,149848,-31875,234245,
2020-10-14,178000,-1000,1930046,455225,777344,-322119,330787,366966,-36179,358298,
2020-10-13,179000,-1000,1728432,427329,797328,-369999,248571,138819,109752,260247,
2020-10-12,180000,-500,1655359,317211,475168,-157957,331361,358038,-26677,184634,
2020-10-08,180500,-2500,1750474,356303,689564,-333261,181544,374501,-192957,526218,
2020-10-07,183000,500,1512423,433204,359085,74119,153996,367347,-213351,139232,
2020-10-06,182500,-4500,2143171,416124,415615,509,130869,425290,-294421,293912,
2020-10-05,187000,8500,2732820,607218,336792,270426,557591,337041,220550,-490976,
2020-09-29,178500,3000,1475249,282548,266944,15604,399544,299441,100103,-115707,
2020-09-28,175500,5500,1374871,359279,332206,27073,263535,69474,194061,-221134,
2020-09-25,170000,-1500,2076987,477428,497972,-20544,180234,236073,-55839,76383,
2020-09-24,171500,-8000,2841908,698006,825321,-127315,162798,504756,-341958,469273,
2020-09-23,179500,0,3481682,920042,1063345,-143303,222221,314794,-92573,235876,
2020-09-22,179500,-5500,3042046,724455,1050681,-326226,134820,394567,-259747,585973,
2020-09-21,185000,4000,3133848,968910,905897,63013,303840,273023,30817,-93830,
2020-09-18,181000,-3000,2584103,754440,864690,-110250,228479,558905,-330426,440676,
2020-09-17,184000,500,4383978,1040609,1089020,-48411,403815,399262,4553,43858,
2020-09-16,183500,4500,3401835,945776,729497,216279,569767,333657,236110,-452389,
2020-09-15,179000,-1000,2644009,753776,697650,56126,98200,257109,-158909,102783,
2020-09-14,180000,8500,3145262,989426,661467,327959,229119,173347,55772,-383731,
2020-09-11,171500,2500,1538378,466606,481611,-15005,212272,162953,49319,-34314,
2020-09-10,169000,1500,1326177,436508,548864,-112356,189145,167851,21294,91062,
2020-09-09,167500,-500,1685225,319295,515692,-196397,141677,159674,-17997,214394,
2020-09-08,168000,-2000,1933504,480333,736126,-255793,66445,250049,-183604,439397,
2020-09-07,170000,-2500,1516649,325372,478525,-153153,121929,153305,-31376,184529,
2020-09-04,172500,-4000,2886867,648899,944090,-295191,272885,255732,17153,278038,
2020-09-03,176500,500,1841550,381389,493517,-112128,319445,371777,-52332,164460,
2020-09-02,176000,-4000,2825239,668237,859756,-191519,234831,522809,-287978,479497,
2020-09-01,180000,3500,2704194,653513,690206,-36693,379237,288651,90586,-53893,
2020-08-31,176500,4500,5275614,1265543,962668,302875,932187,1501135,-568948,266073,
2020-08-28,172000,8500,5571784,1504633,1078484,426149,612285,298167,314118,-740267,
2020-08-27,163500,-4000,2427108,488676,809357,-320681,138600,195549,-56949,377630,
2020-08-26,167500,1500,2638394,640156,755594,-115438,216238,279091,-62853,178291,
2020-08-25,166000,4500,3304089,964798,762302,202496,311021,518601,-207580,5084,
2020-08-24,161500,5500,2904566,931720,768423,163297,255807,349780,-93973,-69324,
2020-08-21,156000,1000,3348383,756623,686027,70596,419972,605367,-185395,114799,
2020-08-20,155000,-9500,3630223,724525,876430,-151905,167302,550325,-383023,534928,
