,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,47250.0,2550.0,3407691,884544,854532,30012,1762715,522588,1240127,-1270139,760432,2030571,22.315168834263435,,59.587885169165865,
1,2020-11-10,44700.0,1750.0,2913985,1396830,796542,600288,844863,578974,265889,-866177,672292,1538469,23.071223770884203,0.7560549366207674,52.79605076896415,-6.791834400201715
2,2020-11-09,42950.0,300.0,1350713,629356,326852,302504,342785,446503,-103718,-198786,378572,577358,28.027567662412373,4.956343891528171,42.744683733702125,-10.051367035262025
3,2020-11-06,42650.0,-250.0,1403645,462238,485593,-23355,487379,458247,29132,-5777,454028,459805,32.34635538188075,4.318787719468375,32.75792668374126,-9.986757049960865
4,2020-11-05,42900.0,1350.0,2077254,730164,696842,33322,811022,526355,284667,-317989,536068,854057,25.806569634719683,-6.539785747161066,41.11471201884796,8.3567853351067
5,2020-11-04,41550.0,-1100.0,2640754,831033,1423294,-592261,616188,564361,51827,540434,1193533,653099,45.196674889065775,19.390105254346093,24.73153500856195,-16.383177010286012
6,2020-11-03,42650.0,650.0,1535972,561080,313972,247108,591781,539127,52654,-299762,383111,682873,24.94257707822799,-20.254097810837784,44.45868804900089,19.727153040438942
7,2020-11-02,42000.0,1900.0,1789683,866684,497246,369438,574651,559173,15478,-384916,348348,733264,19.464229140020887,-5.478347938207104,40.97172516026581,-3.4869628887350785
8,2020-10-30,40100.0,-900.0,1936145,458729,543965,-85236,558237,842995,-284758,369994,919179,549185,47.474698434259835,28.01046929423895,28.36486936670549,-12.606855793560321
9,2020-10-29,41000.0,-1050.0,1903504,368936,675072,-306136,556345,791516,-235171,541307,978223,436916,51.39064588254083,3.9159474482809955,22.953248325193957,-5.411621041511534
10,2020-10-28,42050.0,300.0,1186091,376885,506374,-129489,351796,276088,75708,53781,457410,403629,38.564494629838684,-12.826151252702147,34.03018824019405,11.076939915000093
11,2020-10-27,41750.0,-650.0,2088168,567027,747669,-180642,910923,761456,149467,31175,610218,579043,29.222648752399234,-9.34184587743945,27.72971331808552,-6.300474922108531
12,2020-10-26,42400.0,150.0,2149785,894045,683473,210572,635927,690134,-54207,-156365,619813,776178,28.831394767383717,-0.391253985015517,36.104912816863084,8.375199498777565
13,2020-10-23,42250.0,350.0,2912806,1161290,792735,368555,819297,647770,171527,-540082,932219,1472301,32.00415681648555,3.1727620491018307,50.54579673345908,14.440883916595993
14,2020-10-22,41900.0,450.0,2432512,931314,710683,220631,778912,517339,261573,-482204,722286,1204490,29.693008708692908,-2.31114810779264,49.51630248894969,-1.0294942445093866
15,2020-10-21,41450.0,700.0,2378411,1188187,490004,698183,610759,841352,-230593,-467590,579465,1047055,24.363535150148564,-5.329473558544343,44.02329958951586,-5.493002899433833
16,2020-10-20,40750.0,50.0,1531385,561009,510248,50761,229510,506632,-277122,226361,740866,514505,48.37882047950058,24.015285329352018,33.597364477254246,-10.425935112261612
17,2020-10-19,40700.0,1300.0,2737109,1225562,559519,666043,736966,403916,333050,-999093,774581,1773674,28.299238356967148,-20.079582122533434,64.80099988710715,31.203635409852907
18,2020-10-16,39400.0,350.0,1459454,441637,400370,41267,527545,403398,124147,-165414,490272,655686,33.592836773204226,5.293598416237078,44.926801392849654,-19.8741984942575
19,2020-10-15,39050.0,300.0,1506358,448331,400359,47972,512032,736699,-224667,176695,545995,369300,36.24603181979317,2.653195046588941,24.51608448987558,-20.410716902974073
20,2020-10-14,38750.0,-1450.0,2599729,562347,812844,-250497,543081,1224800,-681719,932216,1494301,562085,57.47910647609808,21.233074656304915,21.620907409964655,-2.895177079910926
21,2020-10-13,40200.0,-550.0,1829831,780327,699391,80936,509128,580313,-71185,-9751,540376,550127,29.531470392620957,-27.947636083477125,30.064361134990065,8.44345372502541
22,2020-10-12,40750.0,900.0,2172164,1095048,604682,490366,686256,616436,69820,-560186,390860,951046,17.994037282636118,-11.537433109984839,43.78334232590173,13.718981190911663
23,2020-10-08,39850.0,-50.0,1601362,468032,686826,-218794,643101,399324,243777,-24983,490229,515212,30.61325296841064,12.619215685774524,32.17336242523552,-11.609979900666211
24,2020-10-07,39900.0,900.0,1673843,843608,400291,443317,480736,487322,-6586,-436731,349499,786230,20.880034746388997,-9.733218222021645,46.97154990043869,14.798187475203171
25,2020-10-06,39000.0,-50.0,1696809,583113,539609,43504,378523,440333,-61810,18306,735173,716867,43.32679753584522,22.446762789456226,42.247948944165195,-4.7236009562734935
26,2020-10-05,39050.0,1500.0,2800737,1076419,435049,641370,1197017,563879,633138,-1274508,527301,1801809,18.827222977380597,-24.499574558464627,64.33338796181148,22.085439017646287
27,2020-09-29,37550.0,-650.0,1950270,473026,361782,111244,569395,1176213,-606818,495574,907849,412275,46.549913601706436,27.72269062432584,21.13938070113369,-43.19400726067779
28,2020-09-28,38200.0,0.0,988581,341778,221293,120485,334194,355103,-20909,-99576,312609,412185,31.62199152118036,-14.927922080526077,41.69461076027154,20.55523005913785
29,2020-09-25,38200.0,1000.0,1918648,557147,524981,32166,1001054,328634,672420,-704586,360447,1065033,18.78651008418428,-12.83548143699608,55.509556729530374,13.814945969258837
30,2020-09-24,37200.0,-350.0,1637655,503178,490423,12755,614361,686446,-72085,59330,520116,460786,31.759802888886853,12.973292804702574,28.136939709523677,-27.372617020006697
