,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,692000.0,-10000.0,528736,148378,162920,-14542,181923,172537,9386,5156,198435,193279,37.530071718210976,,36.55491587484113,
1,2020-11-10,702000.0,-32000.0,563688,136629,191701,-55072,108232,156277,-48045,103117,318827,215710,56.560898937000616,19.03082721878964,38.26762322419495,1.7127073493538205
2,2020-11-09,734000.0,14000.0,601476,202293,159584,42709,138896,135442,3454,-46163,260287,306450,43.27471087790701,-13.286188059093604,50.94966382698561,12.682040602790664
3,2020-11-06,720000.0,43000.0,1268197,321295,224882,96413,609680,90228,519452,-615865,337222,953087,26.590663753344312,-16.6840471245627,75.15291394002666,24.20325011304105
4,2020-11-05,677000.0,27000.0,446583,165063,103703,61360,169737,24753,144984,-206344,111783,318127,25.030733368713094,-1.559930384631219,71.23580610995045,-3.917107830076219
5,2020-11-04,650000.0,-6000.0,472730,151251,163877,-12626,126449,108444,18005,-5379,195030,200409,41.256108137837664,16.22537476912457,42.39396695788293,-28.841839152067514
6,2020-11-03,656000.0,33000.0,638480,202196,162437,39759,295527,40032,255495,-295254,140757,436011,22.045639644154868,-19.210468493682797,68.28890489913545,25.894937941252515
7,2020-11-02,623000.0,12000.0,505856,127849,178817,-50968,162117,50512,111605,-60637,215890,276527,42.67815346659919,20.632513822444324,54.6651616270243,-13.623743272111149
8,2020-10-30,611000.0,-40000.0,820454,178619,244331,-65712,215036,239175,-24139,89851,426799,336948,52.01985729852009,9.341703831920896,41.06848159677447,-13.596680030249829
9,2020-10-29,651000.0,9000.0,386081,114444,106926,7518,166170,66682,99488,-107006,105467,212473,27.31732460286831,-24.702532695651776,55.033270220497776,13.964788623723308
10,2020-10-28,642000.0,10000.0,368105,67140,147413,-80273,116267,47214,69053,11220,184698,173478,50.17535757460507,22.858032971736762,47.12731421741079,-7.905956003086985
11,2020-10-27,632000.0,-14000.0,261388,79605,111873,-32268,91972,64380,27592,4676,89811,85135,34.359266684009974,-15.816090890595099,32.570355180804015,-14.556959036606777
12,2020-10-26,646000.0,-4000.0,264208,70121,96175,-26054,118585,59067,59518,-33464,75502,108966,28.5767274268758,-5.782539257134175,41.24250590443893,8.672150723634914
13,2020-10-23,650000.0,11000.0,405718,75575,111552,-35977,235942,97555,138387,-102410,94201,196611,23.218343775725998,-5.358383651149801,48.46001409846248,7.2175081940235515
14,2020-10-22,639000.0,22000.0,512433,138062,151005,-12943,235893,85939,149954,-137011,138478,275489,27.023630406316535,3.805286630590537,53.7609794841472,5.300965385684719
15,2020-10-21,617000.0,-4000.0,241633,77692,96043,-18351,69057,62129,6928,11423,94884,83461,39.26781524046798,12.244184834151447,34.540398041658214,-19.220581442488985
16,2020-10-20,621000.0,6000.0,483397,134985,111947,23038,157477,200186,-42709,19671,190935,171264,39.498590185706576,0.23077494523859343,35.4292641452057,0.8888661035474854
17,2020-10-19,615000.0,-25000.0,473127,133432,214821,-81389,83377,81642,1735,79654,256318,176664,54.17530599606448,14.676715810357905,37.339657216772665,1.9103930715669648
18,2020-10-16,640000.0,3000.0,310579,120916,131585,-10669,88304,37098,51206,-40537,101359,141896,32.63549692670786,-21.53980906935662,45.687570634202565,8.3479134174299
19,2020-10-15,637000.0,9000.0,531454,122247,153518,-31271,228829,87157,141672,-110401,180378,290779,33.94047274082047,1.304975814112609,54.713860465816424,9.026289831613859
20,2020-10-14,628000.0,-16000.0,725349,121300,239154,-117854,223257,204570,18687,99167,380792,281625,52.49776314574088,18.557290404920415,38.82613748692009,-15.887722978896335
21,2020-10-13,644000.0,-28000.0,678451,97242,272663,-175421,72841,86769,-13928,189349,508368,319019,74.93068769889057,22.432924553149682,47.02167142505502,8.195533938134929
22,2020-10-12,672000.0,-20000.0,551057,121110,173640,-52530,110527,100553,9974,42556,319420,276864,57.964965511734725,-16.96572218715584,50.24235242452233,3.2206809994673122
23,2020-10-08,692000.0,12000.0,564700,147943,205330,-57387,208328,46842,161486,-104099,208429,312528,36.90968655923499,-21.055278952499734,55.34407650079688,5.10172407627455
24,2020-10-07,680000.0,6000.0,294545,88454,67497,20957,106472,52657,53815,-74772,99619,174391,33.82131762549016,-3.0883689337448317,59.20691235634623,3.862835855549349
25,2020-10-06,674000.0,15000.0,451956,118834,90130,28704,189229,50548,138681,-167385,143893,311278,31.837833771429075,-1.9834838540610846,68.8735186611086,9.666606304762375
26,2020-10-05,659000.0,5000.0,443499,102090,86707,15383,207919,136862,71057,-86440,133490,219930,30.099278690594566,-1.7385550808345087,49.5897397739341,-19.283778887174506
27,2020-09-29,654000.0,28000.0,677451,138300,156793,-18493,285222,111707,173515,-155022,253929,408951,37.48300615099838,7.3837274604038114,60.36613718187736,10.776397407943264
28,2020-09-28,626000.0,-1000.0,367111,74058,66273,7785,105959,98250,7709,-15494,187094,202588,50.963877410374515,13.480871259376137,55.184399268885976,-5.181737912991387
