,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,280000.0,-3000.0,1183499,244647,466277,-221630,207275,345437,-138162,359792,,,731577,371785,61.81475438509031,,31.414052736842198,
1,2020-11-10,283000.0,-15000.0,1728995,196530,738403,-541873,266074,591863,-325789,867662,,,1266391,398729,73.24434136593801,11.429586980847702,23.061315966789955,-8.352736770052243
2,2020-11-09,298000.0,-3000.0,678531,225460,295277,-69817,117886,176735,-58849,128666,,,335185,206519,49.398627328744006,-23.845714037194007,30.436192303667774,7.3748763368778185
3,2020-11-06,301000.0,2000.0,968971,305436,295470,9966,343337,218171,125166,-135132,,,320198,455330,33.04515821422932,-16.353469114514688,46.991086420543034,16.55489411687526
4,2020-11-05,299000.0,500.0,1082388,292990,366862,-73872,342543,246017,96526,-22654,,,446855,469509,41.284179055939276,8.239020841709959,43.37714387077462,-3.6139425497684172
5,2020-11-04,298500.0,15500.0,1623712,621163,418937,202226,507735,234027,273708,-475934,,,494814,970748,30.474246664433103,-10.809932391506173,59.78572554738771,16.408581676613096
6,2020-11-03,283000.0,-2500.0,1066923,182294,450618,-268324,210641,359214,-148573,416897,,,673988,257091,63.17119417240045,32.696947507967344,24.096490562111793,-35.68923498527592
7,2020-11-02,285500.0,-4500.0,503831,109467,246798,-137331,151213,160351,-9138,146469,,,243151,96682,48.2604285960967,-14.910765576303746,19.189371039098425,-4.9071195230133675
8,2020-10-30,290000.0,-8500.0,939833,195885,318070,-122185,514276,437606,76670,45515,,,229672,184157,24.43753305108461,-23.82289554501209,19.59465139019379,0.40528035109536376
9,2020-10-29,298500.0,0.0,785050,255309,283192,-27883,239839,149426,90413,-62530,,,289902,352432,36.92783899114706,12.490305940062452,44.89293675562066,25.29828536542687
10,2020-10-28,298500.0,15000.0,698195,301549,229723,71826,222756,99616,123140,-194966,,,173890,368856,24.90564956781415,-12.022189423332911,52.82994005972543,7.9370033041047705
11,2020-10-27,283500.0,2000.0,2071432,164275,199631,-35356,175701,145074,30627,4729,,,1731456,1726727,83.58739268293624,58.68174311512209,83.35909650908164,30.529156449356208
12,2020-10-26,281500.0,-5000.0,349163,68044,135398,-67354,138305,78034,60271,7083,,,142814,135731,40.90181376606342,-42.68557891687282,38.87324831096078,-44.485848198120856
13,2020-10-23,286500.0,-6500.0,451654,134472,187787,-53315,99495,141847,-42352,95667,,,217687,122020,48.19773543464688,7.2959216685834605,27.0162558064359,-11.856992504524882
14,2020-10-22,293000.0,-4500.0,416425,168701,146030,22671,130678,177478,-46800,24129,,,117046,92917,28.107342258509938,-20.090393176136942,22.31302155250045,-4.703234253935449
15,2020-10-21,297500.0,7500.0,640501,231182,249268,-18086,241175,144791,96384,-78298,,,168144,246442,26.251949645668,-1.8553926128419391,38.47644265973043,16.16342110722998
16,2020-10-20,290000.0,4000.0,535870,173995,187663,-13668,212851,90776,122075,-108407,,,149024,257431,27.809729971821522,1.557780326153523,48.039823091421425,9.563380431690994
17,2020-10-19,286000.0,-7500.0,434420,174731,187966,-13235,76656,107245,-30589,43824,,,183033,139209,42.13272869573224,14.322998723910718,32.04479535932968,-15.995027732091742
18,2020-10-16,293500.0,1000.0,446832,157821,138747,19074,209799,174608,35191,-54265,,,79212,133477,17.727468041680094,-24.405260654052146,29.87185340351631,-2.1729419558133714
19,2020-10-15,292500.0,-6000.0,624097,151681,230906,-79225,241197,264372,-23175,102400,,,231219,128819,37.04856777071513,19.321099729035037,20.64086191729811,-9.230991486218201
20,2020-10-14,298500.0,3500.0,759464,221702,247809,-26107,419787,257361,162426,-136319,,,117975,254294,15.533981860891366,-21.514585909823765,33.483351416261996,12.842489498963886
21,2020-10-13,295000.0,3000.0,636487,209550,260256,-50706,283120,201195,81925,-31219,,,143817,175036,22.595433999437535,7.061452138546169,27.500326008229546,-5.98302540803245
22,2020-10-12,292000.0,-9000.0,914860,208676,381291,-172615,323628,348954,-25326,197941,,,382556,184615,41.81579695253919,19.220362953101652,20.179590319830357,-7.320735688399189
23,2020-10-08,301000.0,-4000.0,756735,291294,435847,-144553,261801,187960,73841,70712,,,203640,132928,26.910345100993084,-14.905451851546104,17.56599073651939,-2.613599583310968
24,2020-10-07,305000.0,0.0,534644,209363,226166,-16803,212275,134890,77385,-60582,,,113006,173588,21.13668160495582,-5.773663496037262,32.46795998832868,14.901969251809291
25,2020-10-06,305000.0,6500.0,868540,314857,201395,113462,345213,239776,105437,-218899,,,208470,427369,24.002348769198885,2.865667164243064,49.205448223455456,16.737488235126776
26,2020-10-05,298500.0,2000.0,906516,232146,305708,-73562,483773,345254,138519,-64957,,,190597,255554,21.0252218383349,-2.977126930863985,28.19078758676074,-21.014660636694714
27,2020-09-29,296500.0,-2000.0,765489,146684,238985,-92301,400580,383010,17570,74731,,,218225,143494,28.507921080511935,7.482699242177034,18.745403265102436,-9.445384321658306
28,2020-09-28,298500.0,3500.0,724465,274753,256801,17952,258799,264589,-5790,-12162,,,190913,203075,26.35227374683387,-2.155647333678065,28.031029794400002,9.285626529297566
29,2020-09-25,295000.0,1000.0,648182,222278,221190,1088,236444,261436,-24992,23904,,,189460,165556,29.229444816425016,2.877171069591146,25.54159171343851,-2.4894380809614916
30,2020-09-24,294000.0,-2500.0,848971,269366,300607,-31241,375932,280436,95496,-64255,,,203673,267928,23.99057211612646,-5.238872700298554,31.559146307706627,6.017554594268116
31,2020-09-23,296500.0,12000.0,984136,439510,377067,62443,242603,177921,64682,-127125,,,302023,429148,30.689152718729932,6.698580602603471,43.606574701057575,12.047428393350948
32,2020-09-22,284500.0,-7500.0,864846,156138,336150,-180012,337132,163975,173157,6855,,,371576,364721,42.96441216124027,12.275259442510336,42.171785497071156,-1.4347892039864192
33,2020-09-21,292000.0,-6000.0,656024,170175,251110,-80935,160926,137131,23795,57140,,,324923,267783,49.529133080497054,6.564720919256786,40.81908588710169,-1.3526996099694628
34,2020-09-18,298000.0,-2500.0,750488,154739,256703,-101964,233691,291301,-57610,159574,,,362058,202484,48.243009881570394,-1.28612319892666,26.98031147733208,-13.838774409769613
35,2020-09-17,300500.0,-6500.0,823516,157968,349928,-191960,173555,199621,-26066,218026,,,491993,273967,59.74298009996163,11.499970218391233,33.267963221115316,6.287651743783236
36,2020-09-16,307000.0,-5000.0,696219,182622,289150,-106528,148377,237316,-88939,195467,,,365220,169753,52.45763186583532,-7.28534823412631,24.382126888234883,-8.885836332880434
37,2020-09-15,312000.0,9000.0,797985,255401,289323,-33922,190648,113679,76969,-43047,,,351936,394983,44.1030846444482,-8.354547221387115,49.49754694637117,25.11542005813629
38,2020-09-14,303000.0,-3000.0,608816,170770,276373,-105603,117051,139332,-22281,127884,,,320995,193111,52.72446847651836,8.621383832070158,31.719107250794988,-17.778439695576186
39,2020-09-11,306000.0,-1500.0,517023,125939,213881,-87942,143003,143336,-333,88275,,,248081,159806,47.98258491401736,-4.741883562501002,30.908876394280334,-0.8102308565146537
40,2020-09-10,307500.0,3000.0,834946,295461,421855,-126394,213276,225165,-11889,138283,,,326209,187926,39.069472756321964,-8.913112157695394,22.507563363379187,-8.401313030901147
41,2020-09-09,304500.0,-6500.0,925825,228851,309961,-81110,242189,250998,-8809,89919,,,454785,364866,49.12213431264008,10.052661556318114,39.40982367078011,16.902260307400926
42,2020-09-08,311000.0,-3500.0,989171,252451,328133,-75682,145760,236499,-90739,166421,,,590960,424539,59.74295647567509,10.620822163035015,42.91866623667697,3.508842565896856
43,2020-09-07,314500.0,-14000.0,1308247,231198,440682,-209484,121313,424106,-302793,512277,,,955736,443459,73.05470603028327,13.311749554608177,33.897192196886365,-9.021474039790604
44,2020-09-04,328500.0,-10500.0,1174337,297112,407071,-109959,228654,340985,-112331,222290,,,648571,426281,55.228694999816916,-17.826011030466354,36.29971635058761,2.4025241537012434
45,2020-09-03,339000.0,6500.0,776547,201830,264414,-62584,373847,160626,213221,-150637,,,200870,351507,25.867075656721354,-29.361619343095562,45.265386383567254,8.965670032979645
46,2020-09-02,332500.0,8000.0,808064,214742,298299,-83557,324259,204644,119615,-36058,,,269063,305121,33.297238832567714,7.43016317584636,37.759509147790276,-7.505877235776978
47,2020-09-01,324500.0,2000.0,691864,209747,244340,-34593,191464,200129,-8665,43258,,,290653,247395,42.01013493981476,8.712896107247047,35.75775007805002,-2.0017590697402525
48,2020-08-31,322500.0,-10500.0,1528978,433418,440487,-7069,303433,744876,-441443,448512,,,792127,343615,51.80761266676171,9.797477726946951,22.47350844812679,-13.284241629923233
49,2020-08-28,333000.0,-4000.0,969408,294066,347853,-53787,231667,310840,-79173,132960,,,443675,310715,45.76762312669175,-6.039989540069961,32.052035881692746,9.578527433565956
50,2020-08-27,337000.0,3000.0,1232239,448326,442495,5831,221957,264021,-42064,36233,,,561956,525723,45.60446471828923,-0.1631584084025235,42.66404488090379,10.612008999211042
51,2020-08-26,334000.0,9000.0,1155853,353685,341542,12143,341987,267048,74939,-87082,,,460181,547263,39.813107722175744,-5.791356996113485,47.34711074851214,4.683065867608349
52,2020-08-25,325000.0,5000.0,897649,246533,307794,-61261,305282,188716,116566,-55305,,,345834,401139,38.52664014553573,-1.286467576640014,44.68773429257984,-2.6593764559322963
53,2020-08-24,320000.0,7500.0,783392,317899,242712,75187,183388,141227,42161,-117348,,,282105,399453,36.01070728319922,-2.5159328623365127,50.99018116090029,6.302446868320452
54,2020-08-21,312500.0,7000.0,781961,294142,248027,46115,158053,180674,-22621,-23494,,,329766,353260,42.171668408015236,6.160961124816019,45.17616607477867,-5.814015086121621
