,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,238500.0,1500.0,394571,227139,111880,115259,107648,163668,-56020,-59239,59784,119023,15.151645711418224,,30.16516672538022,
1,2020-11-10,237000.0,3000.0,465479,195634,149026,46608,180384,112899,67485,-114093,89461,203554,19.21912696383725,4.067481252419027,43.730007153921015,13.564840428540794
2,2020-11-09,234000.0,6000.0,346313,162017,137702,24315,110782,49086,61696,-86011,73514,159525,21.227617790842388,2.0084908270051365,46.06382087880039,2.333813724879377
3,2020-11-06,228000.0,1000.0,292212,133812,114342,19470,97092,83437,13655,-33125,61308,94433,20.98065787852655,-0.24695991231583747,32.316605751988284,-13.747215126812108
4,2020-11-05,227000.0,8000.0,492058,196742,162481,34261,203502,117928,85574,-119835,91814,211649,18.65918245410094,-2.3214754244256106,43.01301879046779,10.696413038479506
5,2020-11-04,219000.0,-1500.0,317582,168511,149228,19283,78307,77217,1090,-20373,70764,91137,22.28211926368623,3.6229368095852905,28.697155380342714,-14.315863410125075
6,2020-11-03,220500.0,4500.0,317709,160203,67084,93119,114884,87019,27865,-120984,42622,163606,13.4154210299362,-8.86669823375003,51.49555096015537,22.798395579812656
7,2020-11-02,216000.0,8000.0,442086,220150,153415,66735,160468,140618,19850,-86585,61468,148053,13.904082011192392,0.4886609812561922,33.489637762788234,-18.005913197367136
8,2020-10-30,208000.0,-4000.0,369989,136121,122416,13705,150225,162935,-12710,-995,83643,84638,22.60688831289579,8.702806301703399,22.875815226939178,-10.613822535849057
9,2020-10-29,212000.0,-4000.0,450580,119218,127973,-8755,202421,171727,30694,-21939,128941,150880,28.616671845177326,6.009783532281535,33.485729504194595,10.609914277255417
10,2020-10-28,216000.0,-4000.0,298845,117391,92678,24713,77766,142334,-64568,39855,103688,63833,34.69624721845773,6.079575373280402,21.35990229048503,-12.125827213709563
11,2020-10-27,220000.0,2000.0,511872,132221,139788,-7567,309849,276042,33807,-26240,69802,96042,13.636612278069519,-21.059634940388207,18.762893848462113,-2.5970084420229185
12,2020-10-26,218000.0,-2000.0,600037,255318,230084,25234,126552,212003,-85451,60217,218167,157950,36.35892453298713,22.72231225491761,26.323376725101955,7.560482876639842
13,2020-10-23,220000.0,10000.0,903396,534850,290407,244443,147669,141915,5754,-250197,220877,471074,24.449632276432485,-11.909292256554647,52.14479585918025,25.821419134078294
14,2020-10-22,210000.0,3000.0,463459,177434,88887,88547,221941,231187,-9246,-79301,64084,143385,13.827328846780407,-10.622303429652078,30.938011776662012,-21.206784082518237
15,2020-10-21,207000.0,500.0,249347,129874,96424,33450,54688,109652,-54964,21514,64785,43271,25.98186463041464,12.154535783634234,17.35372793737242,-13.584283839289593
16,2020-10-20,206500.0,-2000.0,350583,173734,87259,86475,66696,185119,-118423,31948,110153,78205,31.419949056286246,5.438084425871605,22.307128411816887,4.953400474444468
17,2020-10-19,208500.0,6500.0,424316,314458,119946,194512,54841,100861,-46020,-148492,55017,203509,12.966044174624573,-18.45390488166167,47.96166064913885,25.654532237321963
18,2020-10-16,202000.0,-3000.0,269441,127199,82693,44506,59970,122503,-62533,18027,82272,64245,30.534328480075416,17.568284305450845,23.843809962106732,-24.117850687032117
19,2020-10-15,205000.0,4500.0,309713,162520,76567,85953,87927,82234,5693,-91646,59266,150912,19.13578054521444,-11.398547934860975,48.726401539489785,24.882591577383053
20,2020-10-14,200500.0,-4500.0,300335,108160,91917,16243,94652,143804,-49152,32909,97523,64614,32.47140692892936,13.33562638371492,21.51397606006626,-27.212425479423526
21,2020-10-13,205000.0,-2000.0,190587,96168,89063,7105,39775,54465,-14690,7585,54644,47059,28.671420401181614,-3.7999865277477483,24.69161065550116,3.1776345954349026
22,2020-10-12,207000.0,-1000.0,269502,107167,92296,14871,43446,125090,-81644,66773,118889,52116,44.114329392731776,15.442908991550162,19.337889885789345,-5.353720769711817
23,2020-10-08,208000.0,3000.0,554481,231012,191163,39849,188621,102132,86489,-126338,134848,261186,24.319679123360405,-19.79465026937137,47.1045896973927,27.766699811603353
24,2020-10-07,205000.0,3000.0,294582,163965,92323,71642,59297,83368,-24071,-47571,71320,118891,24.21057634207114,-0.1091027812892662,40.359220862102916,-6.745368835289781
25,2020-10-06,202000.0,-3000.0,277292,128713,71303,57410,68749,118412,-49663,-7747,79830,87577,28.789146459328073,4.578570117256934,31.582952266924398,-8.776268595178518
26,2020-10-05,205000.0,9000.0,723156,306726,137718,169008,316501,146203,170298,-339306,99929,439235,13.818456875141742,-14.970689584186331,60.73862347819834,29.155671211273944
27,2020-09-29,196000.0,2000.0,351353,156918,59115,97803,132358,178156,-45798,-52005,62077,114082,17.66798632714108,3.849529451999338,32.46933995155869,-28.269283526639654
28,2020-09-28,194000.0,0.0,243804,141706,79732,61974,51918,73027,-21109,-40865,50180,91045,20.582106938360322,2.914120611219243,37.34352184541681,4.874181893858122
29,2020-09-25,194000.0,6000.0,348033,173804,87919,85885,111413,135846,-24433,-61452,62816,124268,18.048863182514303,-2.5332437558460192,35.70580950656978,-1.637712338847031
30,2020-09-24,188000.0,-7000.0,369215,133096,138528,-5432,50300,140729,-90429,95861,185819,89958,50.32812859715884,32.279265414644534,24.3646655742589,-11.341143932310878
31,2020-09-23,195000.0,500.0,450482,250183,166359,83824,60123,159471,-99348,15524,140176,124652,31.116892572844197,-19.21123602431464,27.670805936752192,3.3061403624932915
32,2020-09-22,194500.0,3500.0,953120,560929,236146,324783,191354,319066,-127712,-197071,200837,397908,21.071533490011753,-10.045359082832444,41.747943595769684,14.077137659017492
33,2020-09-21,191000.0,-1000.0,358087,180838,93713,87125,79868,137800,-57932,-29193,97381,126574,27.194787858816433,6.12325436880468,35.34727594132152,-6.4006676544481635
34,2020-09-18,192000.0,2000.0,522946,214227,123910,90317,172457,195403,-22946,-67371,136262,203633,26.056610051515833,-1.1381778073006004,38.93958458425918,3.5923086429376596
35,2020-09-17,190000.0,1000.0,299058,101598,95783,5815,120893,114219,6674,-12489,76567,89056,25.602725892636215,-0.4538841588796174,29.778838887439896,-9.160745696819284
36,2020-09-16,189000.0,-500.0,200188,90520,83080,7440,38111,63442,-25331,17891,71557,53666,35.74489979419346,10.142173901557243,26.80780066737267,-2.971038220067225
37,2020-09-15,189500.0,-500.0,276837,101023,100121,902,77895,94868,-16973,16071,97919,81848,35.37063326072743,-0.37426653346602734,29.565412137828396,2.757611470455725
38,2020-09-14,190000.0,4500.0,258053,108808,76850,31958,85258,72352,12906,-44864,63987,108851,24.796069024580223,-10.574564236147207,42.181644855901695,12.616232718073299
39,2020-09-11,185500.0,0.0,202517,76386,73297,3089,47833,86753,-38920,35831,78298,42467,38.66243327720636,13.866364252626138,20.969597614027464,-21.21204724187423
40,2020-09-10,185500.0,500.0,412264,212633,182367,30266,103997,159370,-55373,25107,95634,70527,23.197271651174976,-15.465161626031385,17.10724196146159,-3.862355652565874
