,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,230500.0,3500.0,353850,126903,87741,39162,120928,96434,24494,-63656,106019,169675,29.96156563515614,,47.951109227073616,
1,2020-11-10,227000.0,1500.0,485633,73459,91640,-18181,274424,294782,-20358,38539,137750,99211,28.365041090700178,-1.5965245444559635,20.429213006529622,-27.521896220543994
2,2020-11-09,225500.0,-1500.0,334885,102508,112636,-10128,67153,156161,-89008,99136,165224,66088,49.337533780252926,20.972492689552748,19.734535736148228,-0.6946772703813942
3,2020-11-06,227000.0,4000.0,356362,108490,115981,-7491,149575,69797,79778,-72287,98297,170584,27.583468495518602,-21.754065284734324,47.868178986536165,28.133643250387937
4,2020-11-05,223000.0,4500.0,409377,104209,154336,-50127,170141,147324,22817,27310,135027,107717,32.983533515561454,5.400065020042852,26.312421069087904,-21.55575791744826
5,2020-11-04,218500.0,-500.0,301637,102251,82446,19805,51038,162899,-111861,92056,148348,56292,49.18096917818438,16.197435662622922,18.662166776622232,-7.650254292465672
6,2020-11-03,219000.0,4000.0,396439,127159,107656,19503,150988,216080,-65092,45589,118292,72703,29.83863847905983,-19.342330699124545,18.339013063800483,-0.32315371282174965
7,2020-11-02,215000.0,1000.0,291912,86111,75269,10842,74177,160409,-86232,75390,131624,56234,45.09030118665899,15.25166270759916,19.264024774589604,0.9250117107891214
8,2020-10-30,214000.0,-8500.0,507996,76999,96276,-19277,93217,298776,-205559,224836,337780,112944,66.49264954842164,21.402348361762648,22.23324593107032,2.9692211564807174
9,2020-10-29,222500.0,-7000.0,389701,68829,110243,-41414,27784,197651,-169867,211281,293088,81807,75.2084290263561,8.715779477934461,20.992247902879388,-1.2409980281909334
10,2020-10-28,229500.0,-3000.0,366158,124285,92376,31909,33895,232089,-198194,166285,207978,41693,56.80006991517323,-18.408359111182868,11.386614521599965,-9.605633381279423
11,2020-10-27,232500.0,-1500.0,198183,92687,74085,18602,15235,77966,-62731,44129,90261,46132,45.544269690134875,-11.255800225038357,23.27747586826317,11.890861346663206
12,2020-10-26,234000.0,-4500.0,150976,82226,40666,41560,12490,50233,-37743,-3817,56260,60077,37.264200932598555,-8.28006875753632,39.79241733785502,16.51494146959185
13,2020-10-23,238500.0,0.0,147788,100042,41991,58051,17290,34846,-17556,-40495,30456,70951,20.60789779955071,-16.656303133047846,48.00863398922781,8.21621665137279
14,2020-10-22,238500.0,500.0,186902,106193,68412,37781,35878,69787,-33909,-3872,44831,48703,23.986367187082,3.3784693875312897,26.058041112454656,-21.950592876773154
15,2020-10-21,238000.0,5000.0,207784,97913,66078,31835,72898,38635,34263,-66098,36973,103071,17.7939591113849,-6.192408075697099,49.60487814268664,23.54683703023198
16,2020-10-20,233000.0,500.0,193210,104140,60899,43241,34104,71432,-37328,-5913,54966,60879,28.44883805186067,10.654878940475768,31.50923865224367,-18.095639490442966
17,2020-10-19,232500.0,-2000.0,238800,142368,97668,44700,24225,69336,-45111,411,72207,71796,30.23743718592965,1.7885991340689813,30.065326633165828,-1.4439120190778425
