,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,87000.0,500.0,2638617,967653,808978,158675,1060492,718705,341787,-500462,610472,1110934,23.136059534218116,,42.10288950613143,
1,2020-11-10,86500.0,500.0,2849783,741434,1324288,-582854,1532873,635836,897037,-314183,575476,889659,20.19367790459835,-2.942381629619767,31.218482249350217,-10.884407256781216
2,2020-11-09,86000.0,-300.0,2444330,897306,1104587,-207281,692363,473793,218570,-11289,854661,865950,34.96504154512689,14.771363640528538,35.42688589511236,4.2084036457621465
3,2020-11-06,86300.0,200.0,2863808,1002988,784804,218184,1022018,356074,665944,-884128,838802,1722930,29.28974288779136,-5.675298657335528,60.162203611415286,24.735317716302923
4,2020-11-05,86100.0,2900.0,4082325,1648680,797836,850844,1720394,825942,894452,-1745296,713251,2458547,17.4716858652851,-11.81805702250626,60.22418597245442,0.061982361039135014
5,2020-11-04,83200.0,1800.0,3782296,1775754,1079128,696626,835365,602790,232575,-929201,1171177,2100378,30.964710324099435,13.493024458814336,55.53182511363468,-4.69236085881974
6,2020-11-03,81400.0,1800.0,2057723,754274,330793,423481,527335,934520,-407185,-16296,776114,792410,37.71712713518778,6.752416811088345,38.50907046283684,-17.022754650797843
7,2020-11-02,79600.0,-300.0,2000394,775729,709152,66577,392042,866336,-474294,407717,832623,424906,41.62295027879508,3.9058231436073,21.24111550024645,-17.267954962590387
8,2020-10-30,79900.0,-1800.0,2710477,441951,787943,-345992,1026134,1290066,-263932,609924,1242392,632468,45.836655319340466,4.213705040545385,23.334195420215703,2.0930799199692522
9,2020-10-29,81700.0,-1200.0,2637314,564905,1094118,-529213,645393,851689,-206296,735509,1427016,691507,54.10868785438518,8.272032535044715,26.220123959452685,2.885928539236982
