,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,58100.0,3600.0,4438993,1415614,1138982,276632,1089688,731902,357786,-634418,1933691,2568109,43.561478921007534,,57.853414051340025,
1,2020-11-10,54500.0,2200.0,3155193,821589,683405,138184,971052,546360,424692,-562876,1362552,1925428,43.184426436037356,-0.3770524849701786,61.024095831855604,3.1706817805155794
2,2020-11-09,52300.0,700.0,1662698,570903,368621,202282,221845,230790,-8945,-193337,869950,1063287,52.321588165740266,9.13716172970291,63.94949654116382,2.9254007093082137
3,2020-11-06,51600.0,-600.0,2214532,648551,762958,-114407,248443,313999,-65556,179963,1317538,1137575,59.49509873869513,7.173510572954861,51.36864132015252,-12.580855221011298
4,2020-11-05,52200.0,700.0,2424158,898997,851324,47673,323462,688549,-365087,317414,1201699,884285,49.57181008828632,-9.923288650408807,36.47802659727625,-14.890614722876272
5,2020-11-04,51500.0,500.0,2941439,1024917,865707,159210,437286,425980,11306,-170516,1479236,1649752,50.28953515609197,0.7177250678056524,56.086561713501446,19.608535116225198
6,2020-11-03,51000.0,-500.0,1913867,641943,594233,47710,124029,688719,-564690,516980,1147895,630915,59.97778320019103,9.688248044099055,32.96545684731489,-23.121104866186556
7,2020-11-02,51500.0,1000.0,1651148,610442,551505,58937,246486,219283,27203,-86140,794220,880360,48.10107876459288,-11.87670443559815,53.31805507440883,20.352598227093942
8,2020-10-30,50500.0,-2500.0,2559004,611919,510196,101723,564844,872220,-307376,205653,1382241,1176588,54.014804197257995,5.913725432665117,45.97835720459991,-7.339697869808923
9,2020-10-29,53000.0,-800.0,3225860,1122414,688516,433898,441476,899187,-457711,23813,1661970,1638157,51.52021476443491,-2.4945894328230835,50.782024018401295,4.803666813801385
10,2020-10-28,53800.0,900.0,3567700,1192863,700515,492348,525768,811319,-285551,-206797,1849069,2055866,51.82804047425512,0.3078257098202073,57.62440788182863,6.842383863427337
11,2020-10-27,52900.0,4950.0,9347585,3709950,1460370,2249580,1925433,895352,1030081,-3279661,3712202,6991863,39.71295259684721,-12.115087877407909,74.7986030616464,17.174195179817772
12,2020-10-26,47950.0,1700.0,3113034,1650255,1021061,629194,415466,567957,-152491,-476703,1047313,1524016,33.642838465625495,-6.070114131221715,48.955970284937464,-25.84263277670894
13,2020-10-23,46250.0,1050.0,1851587,793491,528010,265481,290625,505533,-214908,-50573,767471,818044,41.44936208776579,7.806523622140297,44.18069472295928,-4.775275561978184
14,2020-10-22,45200.0,-250.0,1650240,545273,772615,-227342,468115,310942,157173,70169,636852,566683,38.59147760325771,-2.8578844845080837,34.33942941632732,-9.84126530663196
