,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,123000.0,6500.0,1551092,405513,268314,137199,340370,127502,212868,-350067,805209,1155276,51.912394622627154,,74.48146209251288,
1,2020-11-10,116500.0,1500.0,548716,114751,165730,-50979,167005,24232,142773,-91794,266960,358754,48.651761567003696,-3.260633055623458,65.38063406206489,-9.100828030448
2,2020-11-09,115000.0,0.0,470472,146003,136404,9599,37234,39755,-2521,-7078,287235,294313,61.052517471815534,12.400755904811838,62.55696407012532,-2.8236699919395676
3,2020-11-06,115000.0,-1500.0,456819,97396,149125,-51729,60549,48762,11787,39942,298874,258932,65.42503704968489,4.372519577869355,56.68153032163723,-5.875433748488085
4,2020-11-05,116500.0,2500.0,536669,134658,108724,25934,102928,32052,70876,-96810,299083,395893,55.7295092505809,-9.695527799103992,73.76856125470262,17.087030933065385
5,2020-11-04,114000.0,1500.0,826560,256460,185736,70724,228934,70088,158846,-229570,341166,570736,41.275406504065046,-14.45410274651585,69.0495547812621,-4.7190064734405155
6,2020-11-03,112500.0,500.0,487902,116127,103216,12911,44727,35088,9639,-22550,327048,349598,67.03149402953872,25.756087525473674,71.6533238232268,2.6037690419646964
7,2020-11-02,112000.0,1500.0,500486,111471,110168,1303,57467,25272,32195,-33498,331548,365046,66.24520965621416,-0.7862843733245626,72.93830396854257,1.284980145315771
8,2020-10-30,110500.0,-500.0,1172993,277802,311481,-33679,142580,140380,2200,31479,752611,721132,64.16159346219457,-2.0836161940195836,61.477945733691506,-11.460358234851064
9,2020-10-29,111000.0,-2000.0,1151122,229718,419198,-189480,166442,77311,89131,100349,754962,654613,65.58488153297391,1.4232880707793356,56.867386775684935,-4.610558958006571
10,2020-10-28,113000.0,-2500.0,1529935,360235,518329,-158094,185692,114128,71564,86530,984008,897478,64.31698078676546,-1.2679007462084542,58.661184952301895,1.79379817661696
11,2020-10-27,115500.0,-2500.0,2862367,422337,588436,-166099,597892,470166,127726,38373,1842138,1803765,64.35715615782323,0.0401753710577708,63.01655238479202,4.355367432490127
12,2020-10-26,118000.0,14000.0,9493136,2344988,1499246,845742,376260,1145223,-768963,-76779,6771888,6848667,71.33457268493784,6.977416527114613,72.1433570529275,9.126804668135478
13,2020-10-23,104000.0,-500.0,285334,58075,129642,-71567,81180,29349,51831,19736,146079,126343,51.19579159861776,-20.13878108632008,44.27898532947353,-27.86437172345397
14,2020-10-22,104500.0,500.0,216486,65012,75093,-10081,78905,39346,39559,-29478,72569,102047,33.5213362526907,-17.674455345927058,47.137921158874015,2.8589358294004867
15,2020-10-21,104000.0,1500.0,208146,61784,76693,-14909,78043,34556,43487,-28578,68319,96897,32.822634112594045,-0.6987021400966569,46.55241993600646,-0.5855012228675562
16,2020-10-20,102500.0,-500.0,281942,63322,119209,-55887,24541,39447,-14906,70793,194079,123286,68.83649828688169,36.01386417428765,43.72743330188478,-2.8249866341216787
17,2020-10-19,103000.0,1000.0,401448,151105,170037,-18932,66745,80114,-13369,32301,183598,151297,45.733943125884295,-23.102555160997397,37.6878200912696,-6.03961321061518
18,2020-10-16,102000.0,-500.0,344823,104718,212594,-107876,23327,19870,3457,104419,216778,112359,62.86645612386644,17.132512997982147,32.58454337442688,-5.103276716842721
19,2020-10-15,102500.0,-1500.0,272073,76158,80215,-4057,19110,54803,-35693,39750,176805,137055,64.98439756976988,2.1179414459034405,50.37434806099833,17.78980468657145
20,2020-10-14,104000.0,-1500.0,268768,48076,81802,-33726,88355,93386,-5031,38757,132337,93580,49.23837659245148,-15.746020977318402,34.818133111084656,-15.556214949913674
21,2020-10-13,105500.0,500.0,263342,79977,115002,-35025,26763,31471,-4708,39733,156602,116869,59.467156777118724,10.228780184667244,44.37917233103721,9.561039219952555
22,2020-10-12,105000.0,500.0,259281,78951,110669,-31718,19381,40435,-21054,52772,160949,108177,62.07512312896048,2.6079663518417533,41.721915605077115,-2.657256725960096
23,2020-10-08,104500.0,-500.0,435015,126068,204858,-78790,76221,105576,-29355,108145,232726,124581,53.49838511315702,-8.576738015803457,28.638322816454604,-13.08359278862251
24,2020-10-07,105000.0,1000.0,319146,99735,107358,-7623,77850,133230,-55380,63003,141561,78558,44.35618807693031,-9.142197036226712,24.61506645861142,-4.023256357843184
25,2020-10-06,104000.0,-1000.0,272047,64784,98815,-34031,26874,59398,-32524,66555,180389,113834,66.30802765698574,21.951839580055434,41.84350498259492,17.228438523983503
26,2020-10-05,105000.0,0.0,291328,105841,114006,-8165,43295,98997,-55702,63867,142192,78325,48.80821616871705,-17.49981148826869,26.885503624780316,-14.958001357814606
27,2020-09-29,105000.0,500.0,315583,102226,95033,7193,80947,128547,-47600,40407,132410,92003,41.95726639267641,-6.850949776040643,29.153344761916834,2.267841137136518
28,2020-09-28,104500.0,2000.0,201432,78586,78570,16,30469,28082,2387,-2403,92377,94780,45.86014138766432,3.9028749949879114,47.05309980539339,17.899755043476553
29,2020-09-25,102500.0,500.0,287351,80086,126039,-45953,13686,61940,-48254,94207,193579,99372,67.36673963201798,21.50659824435366,34.58209646042645,-12.471003344966938
30,2020-09-24,102000.0,-3500.0,452821,86134,93072,-6938,45847,89263,-43416,50354,320840,270486,70.85360440438937,3.4868647723713906,59.733537093023514,25.151440632597065
31,2020-09-23,105500.0,0.0,335294,76854,116532,-39678,41253,82641,-41388,81066,217187,136121,64.77509290354136,-6.078511500848009,40.59750547280893,-19.13603162021458
32,2020-09-22,105500.0,-3000.0,592653,75227,141437,-66210,39548,76852,-37304,103514,477878,374364,80.63369290292971,15.858599999388346,63.1674858644097,22.569980391600765
33,2020-09-21,108500.0,-1000.0,364751,98179,98865,-686,24152,52064,-27912,28598,242420,213822,66.46177803487859,-14.171914868051118,58.62136087358225,-4.546124990827451
34,2020-09-18,109500.0,500.0,312258,91121,107043,-15922,60080,103810,-43730,59652,161057,101405,51.5781821442525,-14.88359589062609,32.474748445195964,-26.146612428386284
35,2020-09-17,109000.0,-2000.0,396882,73601,129360,-55759,21172,85915,-64743,120502,302109,181607,76.12061015616732,24.542428011914815,45.758437016543965,13.283688571348002
36,2020-09-16,111000.0,-2500.0,413185,110419,120599,-10180,14911,111628,-96717,106897,287855,180958,69.66734029550928,-6.45326986065804,43.79587835957259,-1.9625586569713747
37,2020-09-15,113500.0,-500.0,492371,96310,153584,-57274,108942,74900,34042,23232,287119,263887,58.31354811717181,-11.353792178337464,53.59515487305304,9.79927651348045
38,2020-09-14,114000.0,1000.0,433719,91487,94320,-2833,44972,54720,-9748,12581,297260,284679,68.5374631962169,10.223915079045092,65.63673715009027,12.041582277037229
39,2020-09-11,113000.0,4500.0,1495263,395769,296809,98960,204798,126009,78789,-177749,894696,1072445,59.835360067091884,-8.702103129125021,71.72283404324189,6.08609689315162
40,2020-09-10,108500.0,500.0,619678,144236,285945,-141709,77737,100384,-22647,164356,397705,233349,64.17929957171306,4.343939504621176,37.65649256549369,-34.066341477748196
41,2020-09-09,108000.0,-3000.0,480233,88231,162081,-73850,27694,55141,-27447,101297,364308,263011,75.8606759635427,11.681376391829644,54.76737333752574,17.110880772032047
42,2020-09-08,111000.0,2000.0,441253,116235,139750,-23515,62813,46887,15926,7589,262205,254616,59.422825453877934,-16.43785050966477,57.702950461526605,2.935577124000865
43,2020-09-07,109000.0,1500.0,373531,61475,125722,-64247,51864,47154,4710,59537,260192,200655,69.65740460631112,10.234579152433184,53.7184330082376,-3.9845174532890084
44,2020-09-04,107500.0,-2000.0,534339,85341,239230,-153889,44427,69032,-24605,178494,404571,226077,75.71429373487616,6.056889128565047,42.30965735235497,-11.408775655882629
45,2020-09-03,109500.0,1000.0,453620,104555,132707,-28152,78037,72966,5071,23081,271028,247947,59.74780653410343,-15.966487200772733,54.65962700057317,12.349969648218199
46,2020-09-02,108500.0,-2000.0,605126,81595,186277,-104682,47651,146436,-98785,203467,475880,272413,78.64147301553726,18.893666481433826,45.01756658943757,-9.642060411135596
47,2020-09-01,110500.0,2500.0,782824,195768,230637,-34869,131960,129822,2138,32731,455096,422365,58.13516192656331,-20.506311088973945,53.954017761335884,8.936451171898312
48,2020-08-31,108000.0,-4500.0,1059470,192779,197106,-4327,335964,522591,-186627,190954,530727,339773,50.093631721521135,-8.041530205042179,32.07009164959839,-21.883926111737495
