,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,761000.0,9000.0,117807,24454,11174,13280,21628,14358,7270,-20550,71725,92275,60.88347891042128,,78.32726408447715,
1,2020-11-10,752000.0,-9000.0,210011,13664,62862,-49198,16918,37079,-20161,69359,179429,110070,85.43790563351443,24.55442672309315,52.41154034788654,-25.915723736590607
2,2020-11-09,761000.0,-16000.0,263933,26307,90159,-63852,21177,41222,-20045,83897,216449,132552,82.00907048379702,-3.4288351497174148,50.22183660247108,-2.189703745415464
3,2020-11-06,777000.0,-4000.0,157305,35489,16435,19054,17600,33559,-15959,-3095,104216,107311,66.25091382982104,-15.758156653975973,68.21842916626935,17.996592563798266
4,2020-11-05,781000.0,48000.0,447218,142471,18776,123695,133052,52863,80189,-203884,171695,375579,38.39179102808921,-27.859122801731836,83.98119038142472,15.762761215155379
5,2020-11-04,733000.0,34000.0,252251,73425,10633,62792,47598,16602,30996,-93788,131228,225016,52.02278682740603,13.630995799316821,89.20321425881365,5.222023877388921
6,2020-11-03,699000.0,1000.0,97868,28471,6274,22197,13912,27440,-13528,-8669,55485,64154,56.69370989496056,4.670923067554533,65.55155924306209,-23.651655015751558
7,2020-11-02,698000.0,16000.0,84738,25547,6787,18760,7590,20605,-13015,-5745,51601,57346,60.894757959829114,4.2010480648685515,67.67447898227478,2.1229197392126906
8,2020-10-30,682000.0,-15000.0,251134,52744,13609,39135,56292,66308,-10016,-29119,142098,171217,56.58254159134167,-4.312216368487441,68.17754664840284,0.5030676661280609
9,2020-10-29,697000.0,60000.0,301106,47551,14924,32627,87570,49300,38270,-70897,165985,236882,55.125105444594254,-1.457436146747419,78.67063426168858,10.493087613285738
10,2020-10-28,637000.0,2000.0,55140,6483,12697,-6214,11140,17763,-6623,12837,37517,24680,68.03953572723975,12.914430282645498,44.75879579252811,-33.911838469160465
11,2020-10-27,635000.0,5000.0,127882,14657,12079,2578,45873,37915,7958,-10536,67352,77888,52.667302669648585,-15.372233057591167,60.90614785505388,16.14735206252577
12,2020-10-26,630000.0,-6000.0,189595,17005,33255,-16250,48611,46105,2506,13744,123979,110235,65.39149239167699,12.724189722028406,58.142356074791,-2.7637917802628778
13,2020-10-23,636000.0,-22000.0,196988,22778,47041,-24263,29864,54600,-24736,48999,144346,95347,73.27654476414807,7.88505237247108,48.402440757812656,-9.739915316978347
14,2020-10-22,658000.0,-30000.0,186612,15767,63281,-47514,6520,59757,-53237,100751,164325,63574,88.05703813259598,14.780493368447907,34.06747690395044,-14.334963853862213
15,2020-10-21,688000.0,6000.0,46859,11759,14824,-3065,5283,8288,-3005,6070,29817,23747,63.63131949038605,-24.42571864220993,50.67756460871977,16.610087704769327
16,2020-10-20,682000.0,-4000.0,81702,15015,9186,5829,9748,30515,-20767,14938,56939,42001,69.69107243396735,6.059752943581302,51.4075542826369,0.7299896739171317
17,2020-10-19,686000.0,-1000.0,58832,20243,12600,7643,5713,16377,-10664,3021,32876,29855,55.881153113951584,-13.809919320015766,50.74619254827305,-0.6613617343638509
18,2020-10-16,687000.0,-17000.0,113875,10784,31936,-21152,18503,19305,-802,21954,84588,62634,74.2814489571899,18.40029584323831,55.002414928649834,4.256222380376784
19,2020-10-15,704000.0,-3000.0,67044,14646,15815,-1169,21384,15956,5428,-4259,31014,35273,46.25917308036514,-28.022275876824757,52.61171767794285,-2.3906972507069852
20,2020-10-14,707000.0,-16000.0,64578,6922,13020,-6098,15681,22388,-6707,12805,41975,29170,64.99891603951811,18.73974295915297,45.17018179565797,-7.441535882284882
21,2020-10-13,723000.0,4000.0,57458,15714,13625,2089,20048,4952,15096,-17185,21696,38881,37.759754951442794,-27.239161088075313,67.66855790316406,22.49837610750609
22,2020-10-12,719000.0,4000.0,54650,13689,8319,5370,19849,12332,7517,-12887,21112,33999,38.63129002744739,0.8715350760045979,62.21225983531564,-5.456298067848415
23,2020-10-08,715000.0,-6000.0,75344,13477,19917,-6440,11037,15815,-4778,11218,50830,39612,67.46389891696751,28.832608889520117,52.57485665746443,-9.637403177851212
24,2020-10-07,721000.0,9000.0,87946,28380,14113,14267,12466,16512,-4046,-10221,47100,57321,53.555590930798445,-13.908307986169063,65.17749528119528,12.602638623730847
25,2020-10-06,712000.0,27000.0,101544,16569,9551,7018,21214,7243,13971,-20989,63761,84750,62.79149925155597,9.235908320757524,83.46135665327346,18.283861372078178
26,2020-10-05,685000.0,-5000.0,69478,10692,19056,-8364,13709,17007,-3298,11662,45077,33415,64.87953021100205,2.0880309594460797,48.09436080485909,-35.36699584841436
27,2020-09-29,690000.0,5000.0,69147,10674,18560,-7886,12394,20452,-8058,15944,46079,30135,66.63918897421436,1.7596587632123146,43.58106642370602,-4.513294381153074
28,2020-09-28,685000.0,10000.0,59316,8885,5683,3202,11282,13787,-2505,-697,39149,39846,66.00074178973632,-0.6384471844780393,67.17580416750961,23.59473774380359
29,2020-09-25,675000.0,2000.0,109274,10884,14557,-3673,25379,19792,5587,-1914,73011,74925,66.8146128081703,0.8138710184339715,68.56617310613686,1.3903689386272475
30,2020-09-24,673000.0,-32000.0,186230,11402,27141,-15739,35331,35682,-351,16090,139497,123407,74.90576169253073,8.091148884360436,66.26590774848306,-2.3002653576537995
31,2020-09-23,705000.0,-26000.0,199488,10329,51252,-40923,22380,41003,-18623,59546,166779,107233,83.6035250240616,8.697763331530865,53.754110522938724,-12.511797225544335
32,2020-09-22,731000.0,-9000.0,174966,6654,26487,-19833,14755,27092,-12337,32170,153557,121387,87.76390841649234,4.160383392430745,69.37747905307316,15.623368530134435
33,2020-09-21,740000.0,-18000.0,96630,9798,19007,-9209,7374,14947,-7573,16782,79458,62676,82.2291213908724,-5.5347870256199485,64.86184414778019,-4.51563490529297
34,2020-09-18,758000.0,1000.0,64797,7504,11961,-4457,17062,16757,305,4152,40231,36079,62.087750976125434,-20.14137041474696,55.68004691575227,-9.181797232027918
35,2020-09-17,757000.0,-19000.0,121310,15888,22134,-6246,19156,48562,-29406,35652,86266,50614,71.11202703816669,9.024276062041253,41.72285879152584,-13.957188124226434
36,2020-09-16,776000.0,3000.0,79971,8217,17387,-9170,26856,10105,16751,-7581,44898,52479,56.14285178377162,-14.969175254395068,65.62253817008666,23.89967937856082
37,2020-09-15,773000.0,10000.0,93709,7217,16187,-8970,35354,18223,17131,-8161,51138,59299,54.57106574608629,-1.571786037685328,63.279941094238545,-2.3425970758481114
38,2020-09-14,763000.0,2000.0,77199,11886,23138,-11252,27845,18636,9209,2043,37468,35425,48.53430743921553,-6.036758306870759,45.88790010233293,-17.392040991905617
39,2020-09-11,761000.0,-3000.0,72604,9294,13618,-4324,25906,22696,3210,1114,37404,36290,51.51782270949259,2.98351527027706,49.983471985014596,4.095571882681668
40,2020-09-10,764000.0,5000.0,84507,18173,27891,-9718,25057,20348,4709,5009,41277,36268,48.84447442223721,-2.6733482872553793,42.917154791910725,-7.06631719310387
41,2020-09-09,759000.0,-15000.0,129170,6810,33573,-26763,37973,25495,12478,14285,84387,70102,65.33018502748315,16.48571060524594,54.27111558411396,11.353960792203232
42,2020-09-08,774000.0,-2000.0,71815,8151,18211,-10060,6116,12643,-6527,16587,57548,40961,80.1336768084662,14.803491780983052,57.036830745665945,2.765715161551988
43,2020-09-07,776000.0,3000.0,85511,12078,11275,803,15988,18616,-2628,1825,57445,55620,67.17849165604424,-12.955185152421961,65.04426331115295,8.007432565487
44,2020-09-04,773000.0,-6000.0,124897,24280,21545,2735,16288,25224,-8936,6201,84329,78128,67.51883552046887,0.34034386442462505,62.553944450226986,-2.49031886092596
45,2020-09-03,779000.0,9000.0,132075,11834,19369,-7535,39973,29161,10812,-3277,80268,83545,60.77455990914253,-6.744275611326337,63.25572591330684,0.701781463079854
46,2020-09-02,770000.0,-11000.0,188679,10591,13649,-3058,29030,63047,-34017,37075,149058,111983,79.00084270109551,18.226282791952976,59.3510671563873,-3.904658756919538
47,2020-09-01,781000.0,3000.0,162447,19170,14217,4953,28609,42582,-13973,9020,114668,105648,70.58794560687485,-8.412897094220654,65.03536538070878,5.684298224321481
48,2020-08-31,778000.0,-21000.0,233612,24670,22611,2059,19233,70900,-51667,49608,189709,140101,81.20687293460952,10.618927327734667,59.97166241460199,-5.063702966106796
49,2020-08-28,799000.0,-2000.0,100079,12434,15474,-3040,11942,18260,-6318,9358,75703,66345,75.64324183894723,-5.563631095662288,66.29262882322965,6.320966408627662
50,2020-08-27,801000.0,-11000.0,132306,10246,19082,-8836,15998,12574,3424,5412,106062,100650,80.16416489048116,4.520923051533927,76.07364745363022,9.781018630400567
51,2020-08-26,812000.0,-3000.0,101158,10272,17499,-7227,11878,13597,-1719,8946,79008,70062,78.10356076632594,-2.060604124155219,69.25996955258111,-6.813677901049104
52,2020-08-25,815000.0,-5000.0,104240,10701,17407,-6706,8653,22965,-14312,21018,84886,63868,81.43323100537222,3.32967023904628,61.27014581734459,-7.98982373523652
53,2020-08-24,820000.0,21000.0,131478,30869,10748,20121,22856,8159,14697,-34818,77753,112571,59.13765040539102,-22.2955805999812,85.61964739348028,24.349501576135687
54,2020-08-21,799000.0,5000.0,143094,13049,18854,-5805,37345,24398,12947,-7142,92700,99842,64.78259046500902,5.644940059618001,69.77371518023118,-15.8459322132491
55,2020-08-20,794000.0,-15000.0,201445,48394,27267,21127,26251,29727,-3476,-17651,126800,144451,62.94522077986547,-1.8373696851435497,71.7074139343245,1.933698754093328
56,2020-08-19,809000.0,7000.0,150028,17584,10650,6934,25124,29946,-4822,-2112,107320,109432,71.53331378142747,8.588093001561994,72.94105100381262,1.2336370694881111
57,2020-08-18,802000.0,2000.0,271955,46864,13065,33799,62064,38776,23288,-57087,163027,220114,59.946314647643916,-11.58699913378355,80.9376551267673,7.996604122954679
58,2020-08-14,800000.0,-20000.0,216375,15307,14818,489,31104,52819,-21715,21226,169964,148738,78.55066435586366,18.604349708219743,68.74084344309648,-12.196811683670816
59,2020-08-13,820000.0,-23000.0,366305,31759,47143,-15384,29442,83011,-53569,68953,305104,236151,83.29233835191985,4.741673996056193,64.46840747464545,-4.272435968451035
60,2020-08-12,843000.0,39000.0,760424,42405,35497,6908,133558,74888,58670,-65578,584461,650039,76.85988343345291,-6.432454918466945,85.48375643062292,21.015348955977473
61,2020-08-11,804000.0,33000.0,761446,51176,31801,19375,144660,35424,109236,-128611,565610,694221,74.28103897059016,-2.5788444628627474,91.17140283092957,5.687646400306647
62,2020-08-10,771000.0,3000.0,177707,15030,16113,-1083,18098,23373,-5275,6358,144579,138221,81.35807818487736,7.077039214287197,77.7802787734867,-13.391124057442866
63,2020-08-07,768000.0,-10000.0,167220,7510,17828,-10318,13805,32678,-18873,29191,145905,116714,87.25331898098314,5.8952407961057816,69.79667503887094,-7.983603734615755
64,2020-08-06,778000.0,-9000.0,286882,26843,21859,4984,22313,80723,-58410,53426,237726,184300,82.86542899171087,-4.387889989272267,64.24244114304835,-5.554233895822591
65,2020-08-05,787000.0,52000.0,521095,42420,12454,29966,141998,62740,79258,-109224,336677,445901,64.60952417505446,-18.25590481665641,85.57000163118049,21.327560488132136
66,2020-08-04,735000.0,-1000.0,108754,13755,11865,1890,17196,25521,-8325,6435,77803,71368,71.54035713628924,6.930832961234785,65.62333339463376,-19.946668236546728
67,2020-08-03,736000.0,3000.0,163725,13266,15834,-2568,22960,40038,-17078,19646,127499,107853,77.87387387387388,6.333516737584631,65.87448465414568,0.2511512595119143
68,2020-07-31,733000.0,-3000.0,95025,7378,18477,-11099,19560,23847,-4287,15386,68087,52701,71.65167061299658,-6.2222032608772935,55.46014206787687,-10.414342586268802
69,2020-07-30,736000.0,-5000.0,143504,14162,22129,-7967,17338,22185,-4847,12814,112004,99190,78.04939235143272,6.3977217384361325,69.12002452893299,13.659882461056114
70,2020-07-29,741000.0,-20000.0,191530,17463,40374,-22911,13476,56177,-42701,65612,160591,94979,83.84639482065472,5.797002469222008,49.58962042499869,-19.530404103934295
71,2020-07-28,761000.0,7000.0,167728,16002,18478,-2476,67787,67468,319,2157,83939,81782,50.04471525326719,-33.80167956738753,48.75870456930268,-0.8309158556960128
72,2020-07-27,754000.0,-1000.0,93656,16118,7004,9114,5953,26858,-20905,11791,71585,59794,76.43397112838473,26.389255875117534,63.844281199282484,15.085576629979805
73,2020-07-24,755000.0,-20000.0,145328,13363,18400,-5037,20677,16035,4642,395,111288,110893,76.57712209622372,0.1431509678389915,76.30532313112408,12.4610419318416
74,2020-07-23,775000.0,-15000.0,200661,12997,18048,-5051,21156,37644,-16488,21539,166508,144969,82.97975191990471,6.402629823680996,72.24572786939166,-4.059595261732426
75,2020-07-22,790000.0,40000.0,371837,45433,23119,22314,78099,41409,36690,-59004,248305,307309,66.77791612991713,-16.201835789987584,82.64615947310247,10.400431603710814
76,2020-07-21,750000.0,11000.0,167336,28549,17188,11361,30506,32100,-1594,-9767,108281,118048,64.70872974135871,-2.069186388558421,70.54548931491131,-12.100670158191164
77,2020-07-20,739000.0,-4000.0,190729,11066,16219,-5153,84355,96792,-12437,17590,95308,77718,49.97037681736914,-14.738352923989567,40.747867393002636,-29.79762192190867
78,2020-07-17,743000.0,11000.0,148719,8951,15549,-6598,40885,26977,13908,-7310,98883,106193,66.48982308918161,16.51944627181247,71.40513317061034,30.657265777607705
79,2020-07-16,732000.0,-17000.0,118279,10779,12637,-1858,10451,38163,-27712,29570,97049,67479,82.05091351803786,15.561090428856247,57.05070215338311,-14.354431017227235
80,2020-07-15,749000.0,14000.0,167363,20392,12987,7405,20707,43638,-22931,15526,126264,110738,75.44319831742979,-6.6077152006080695,66.16635696061853,9.115654807235423
