,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,"61,300","1,100",25628510,10408477,7892021,2516456,11505883,4013242,7492641,-10009097,,,3714150,13723247,14.492258816450898,,53.54680002856193,
1,2020-11-10,"60,200",0,19073552,9426666,11630302,-2203636,5397909,4456509,941400,1262236,,,4248977,2986741,22.276799832563963,7.7845410161130655,15.659070738371122,-37.88772929019081
2,2020-11-09,"60,200",100,15892961,8354943,7342976,1011967,4850555,2715228,2135327,-3147294,,,2687463,5834757,16.90976904807103,-5.367030784492933,36.71283784060126,21.05376710223014
3,2020-11-06,"60,100",-200,16910230,8318707,8954209,-635502,5091351,2483093,2608258,-1972756,,,3500172,5472928,20.69854756558604,3.7887785175150093,32.36459823432325,-4.348239606278007
4,2020-11-05,"60,300","1,800",20639475,9984962,7935436,2049526,8267046,1307283,6959763,-9009289,,,2387467,11396756,11.567479308461092,-9.131068257124948,55.218245619135175,22.85364738481192
5,2020-11-04,"58,500",-300,21718561,12848309,10327082,2521227,2254620,7964082,-5709462,3188235,,,6615632,3427397,30.460728958976606,18.893249650515514,15.7809580478191,-39.43728757131608
6,2020-11-03,"58,800","1,400",14950919,9015302,7151295,1864007,2415909,1990900,425009,-2289016,,,3519708,5808724,23.541750176025968,-6.918978782950639,38.85195284651064,23.070994798691544
7,2020-11-02,"57,400",800,20489076,10606785,11413908,-807123,3381286,3813111,-431825,1238948,,,6501005,5262057,31.729127267623003,8.187377091597035,25.682256242301992,-13.16969660420865
8,2020-10-30,"56,600","-1,500",26907844,8665245,11314279,-2649034,5193660,11569686,-6376026,9025060,,,13048939,4023879,48.494925866226964,16.76579859860396,14.95429734169709,-10.727958900604902
9,2020-10-29,"58,100",-900,22636966,8065279,12611948,-4546669,2681878,5621701,-2939823,7486492,,,11889809,4403317,52.52386295937362,4.028937093146659,19.451886794369884,4.497589452672793
10,2020-10-28,"59,000",-800,14428882,5986879,8050393,-2063514,2225833,3532209,-1306376,3369890,,,6216170,2846280,43.081439019322495,-9.442423940051128,19.726268466260937,0.274381671891053
11,2020-10-27,"59,800",-600,17260416,6402172,9127410,-2725238,5658698,5585484,73214,2652024,,,5199546,2547522,30.124105931166433,-12.957333088156062,14.759331408930121,-4.966937057330815
12,2020-10-26,"60,400",200,13268226,7414586,6726804,687782,2424782,1599757,825025,-1512807,,,3428858,4941665,25.8426258340791,-4.281480097087332,37.24435354055621,22.48502213162609
13,2020-10-23,"60,200",100,9322232,4165179,4224150,-58971,3108494,3248030,-139536,198507,,,2048559,1850052,21.974984102519652,-3.8676417315594485,19.8455906267941,-17.398762913762113
14,2020-10-22,"60,100",-800,14294095,6139033,6044341,94692,3560649,6241458,-2680809,2586117,,,4594413,2008296,32.14203487524044,10.167050772720788,14.049829667425604,-5.795760959368495
15,2020-10-21,"60,900",0,15703443,8448717,8910433,-461716,4388715,2922594,1466121,-1004405,,,2866011,3870416,18.250844735132286,-13.891190140108154,24.646926154983976,10.597096487558373
16,2020-10-20,"60,900",900,19326115,9016172,7345042,1671130,7717089,2894679,4822410,-6493540,,,2592854,9086394,13.416322939193936,-4.83452179593835,47.01614369985897,22.369217544874996
17,2020-10-19,"60,000",500,14474985,9625220,8725632,899588,2889113,2558502,330611,-1230199,,,1960652,3190851,13.54510557351182,0.12878263431788461,22.04389849108652,-24.972245208772453
18,2020-10-16,"59,500",-500,16554190,8305276,8177542,127734,4098148,4665031,-566883,439149,,,4150766,3711617,25.073809108147245,11.528703534635424,22.421012444583514,0.3771139534969947
19,2020-10-15,"60,000",-900,17756232,8351348,8589349,-238001,4574371,5387130,-812759,1050760,,,4830513,3779753,27.204606247541708,2.1307971393944634,21.286909294719734,-1.1341031498637797
20,2020-10-14,"60,900",0,16086716,6563331,6766020,-202689,6982421,5082248,1900173,-1697484,,,2540964,4238448,15.795417784462659,-11.40918846307905,26.347503119965566,5.060593825245832
21,2020-10-13,"60,900",500,19247631,9478852,8857169,621683,5362762,3215378,2147384,-2769067,,,4406017,7175084,22.891217106146726,7.095799321684067,37.277751220396944,10.930248100431378
22,2020-10-12,"60,400",700,16145837,6819275,6060359,758916,6725428,3535849,3189579,-3948495,,,2601134,6549629,16.110245631737765,-6.780971474408961,40.56543491675285,3.2876836963559057
23,2020-10-08,"59,700",-200,24589924,9921649,13257993,-3336344,8333020,3618629,4714391,-1378047,,,6335255,7713302,25.763621717578307,9.653376085840542,31.367734198771824,-9.197700717981025
24,2020-10-07,"59,900",900,14861838,8541375,6536197,2005178,3719424,2579867,1139557,-3144735,,,2601039,5745774,17.5014624705235,-8.262159247054807,38.6612611441465,7.293526945374676
25,2020-10-06,"59,000",300,14463826,7646332,8077745,-431413,3572373,2800801,771572,-340159,,,3245121,3585280,22.436117525196998,4.934655054673499,24.78790881472164,-13.873352329424861
26,2020-10-05,"58,700",500,20228289,9093181,7502291,1590890,7149302,8152084,-1002782,-588108,,,3985806,4573914,19.704118326567315,-2.7319991986296834,22.61147247797379,-2.176436336747848
27,2020-09-29,"58,200",0,15503563,6270202,5968135,302067,5433642,6983926,-1550284,1248217,,,3799719,2551502,24.50868229451514,4.804563967947825,16.457520119729896,-6.153952358243895
28,2020-09-28,"58,200",300,12614080,5725234,4658138,1067096,3250366,4709979,-1459613,392517,,,3638480,3245963,28.844592709099672,4.335910414584532,25.732855666049364,9.275335546319468
29,2020-09-25,"57,900",100,11444683,4331440,4489045,-157605,2862475,3809778,-947303,1104908,,,4250768,3145860,37.14185880028307,8.297266091183396,27.487524119278795,1.7546684532294314
30,2020-09-24,"57,800",-800,17564020,8213923,8516139,-302216,3446415,4809350,-1362935,1665151,,,5903682,4238531,33.612362090227634,-3.529496710055433,24.13189577329108,-3.3556283459877143
31,2020-09-23,"58,600",400,20111398,10711496,12496178,-1784682,3120467,3253766,-133299,1917981,,,6279435,4361454,31.223264538845086,-2.389097551382548,21.686478483494785,-2.4454172897962962
32,2020-09-22,"58,200","-1,000",20830381,8504108,12529285,-4025177,3388954,3414729,-25775,4050952,,,8937319,4886367,42.90521138331555,11.681946844470467,23.45788586392155,1.7714073804267656
33,2020-09-21,"59,200",-100,15140387,7691994,7067776,624218,2664453,3599587,-935134,310916,,,4783940,4473024,31.59721082426757,-11.308000559047983,29.543656975214706,6.085771111293155
34,2020-09-18,"59,300",-200,18884571,8330120,8140234,189886,5540795,7440673,-1899878,1709992,,,5013656,3303664,26.548953640514263,-5.048257183753307,17.493984904396292,-12.049672070818414
35,2020-09-17,"59,500","-1,500",25108356,8553983,10705017,-2151034,5205810,7280868,-2075058,4226092,,,11348563,7122471,45.19835149700761,18.649397856493344,28.366934896095948,10.872949991699656
36,2020-09-16,"61,000",0,17041444,6109998,7813547,-1703549,6177163,3054760,3122403,-1418854,,,4754283,6173137,27.898357674384872,-17.299993822622735,36.22426010377994,7.857325207683992
37,2020-09-15,"61,000",600,17877075,5483976,7350982,-1867006,6272689,2114260,4158429,-2291423,,,6120410,8411833,34.23608168562251,6.337724011237636,47.05374341160397,10.829483307824027
38,2020-09-14,"60,400","1,400",20648281,9431478,7939575,1491903,3193759,2095183,1098576,-2590479,,,8023044,10613523,38.85574784651565,4.619666160893139,51.40148470470738,4.347741293103411
39,2020-09-11,"59,000",-200,16017098,6147564,7229185,-1081621,3142133,3779831,-637698,1719319,,,6727401,5008082,42.00137253327662,3.145624686760975,31.267099695587802,-20.134385009119576
40,2020-09-10,"59,200",800,29923293,12039173,13494751,-1455578,10900679,5422626,5478053,-4022475,,,6983441,11005916,23.337809110782025,-18.663563422494597,36.780430549538785,5.513330853950983
41,2020-09-09,"58,400",-300,30597399,12809298,12488363,320935,8451069,6165997,2285072,-2606007,,,9337032,11943039,30.515770311064678,7.1779612002826525,39.032857008532,2.252426458993213
42,2020-09-08,"58,700","2,200",31517520,13837893,10949638,2888255,7896969,3326225,4570744,-7458999,,,9782658,17241657,31.038793661430216,0.5230233503655377,54.7049926517061,15.672135643174101
43,2020-09-07,"56,500",900,18685880,7276449,8174334,-897885,3295549,3374248,-78699,976584,,,8113882,7137298,43.42253080935979,12.383737147929576,38.19621018651517,-16.508782465190933
44,2020-09-04,"55,600",-800,22139109,7897948,10406928,-2508980,4974290,6902893,-1928603,4437583,,,9266871,4829288,41.85747041581484,-1.5650603935449539,21.813380113897086,-16.38283007261808
45,2020-09-03,"56,400","2,000",28384920,11438303,11173267,265036,9914188,5893732,4020456,-4285492,,,7032429,11317921,24.775229241442286,-17.08224117437255,39.873006511908436,18.05962639801135
46,2020-09-02,"54,400",200,16905723,7518797,7459268,59529,3948623,5165164,-1216541,1157012,,,5438303,4281291,32.16841421097459,7.393184969532303,25.324506973171157,-14.548499538737278
47,2020-09-01,"54,200",200,19363117,8325888,9278228,-952340,4957472,6405494,-1448022,2400362,,,6079757,3679395,31.39864826515276,-0.7697659458218276,19.00208008865515,-6.322426884516009
48,2020-08-31,"54,000","-1,400",32671367,11677827,12187693,-509866,5716788,15619837,-9903049,10412915,,,15276752,4863837,46.75883932251748,15.36019105736472,14.887154859482923,-4.114925229172226
49,2020-08-28,"55,400",-200,14619888,7529973,7101937,428036,1197127,3907779,-2710652,2282616,,,5892788,3610172,40.306656247982204,-6.452183074535277,24.6935681039417,9.806413244458778
50,2020-08-27,"55,600",-800,16196568,6363117,9211509,-2848392,3181723,3116919,64804,2783588,,,6651728,3868140,41.06874987342998,0.7620936254477755,23.88246695225803,-0.811101151683669
51,2020-08-26,"56,400",0,17651593,7824319,11055547,-3231228,4559522,3422578,1136944,2094284,,,5267752,3173468,29.842926924499107,-11.225822948930873,17.978366031892985,-5.904100920365046
52,2020-08-25,"56,400",300,14021705,7467436,8646072,-1178636,2344432,2047839,296593,882043,,,4209837,3327794,30.023716801915317,0.18078987741620978,23.733162265216677,5.754796233323692
53,2020-08-24,"56,100",200,15055896,8068103,9261564,-1193461,2418206,2239571,178635,1014826,,,4569587,3554761,30.35081405982082,0.32709725790550337,23.610424779767342,-0.12273748544933483
54,2020-08-21,"55,900",500,21142288,10371369,11939098,-1567729,4136361,2992949,1143412,424317,,,6634558,6210241,31.380510945645995,1.0296968858251745,29.373552190756268,5.7631274109889254
55,2020-08-20,"55,400","-2,400",30386029,13010476,18274923,-5264447,2436221,2828721,-392500,5656947,,,14939332,9282385,49.16513441094919,17.7846234653032,30.54820029297017,1.1746481022139008
56,2020-08-19,"57,800",-600,16930719,8422351,9220692,-798341,2956240,3511191,-554951,1353292,,,5552128,4198836,32.793220417868845,-16.371913993080348,24.800104472822447,-5.7480958201477215
57,2020-08-18,"58,400",400,25307825,12186973,8582567,3604406,6819004,5568290,1250714,-4855120,,,6301848,11156968,24.90078859009022,-7.892431827778626,44.08505274554412,19.28494827272167
58,2020-08-14,"58,000",-700,15672548,7882446,7242288,640158,2359963,3604501,-1244538,604380,,,5430139,4825759,34.64745490012218,9.746666310031959,30.791157889578646,-13.293894855965473
59,2020-08-13,"58,700",-300,22089460,12226356,12000424,225932,3391503,4710498,-1318995,1093063,,,6471601,5378538,29.297234970886564,-5.350219929235614,24.3488885649536,-6.442269324625045
60,2020-08-12,"59,000",800,18573934,9597930,9650420,-52490,3573916,3350903,223013,-170523,,,5402088,5572611,29.084242465812576,-0.21299250507398781,30.002319379405566,5.653430814451966
61,2020-08-11,"58,200",400,24907912,12976398,12057921,918477,4402766,3104862,1297904,-2216381,,,7528748,9745129,30.22633129585491,1.1420888300423329,39.12463236581212,9.122312986406552
62,2020-08-10,"57,800",300,17774291,8519154,9147785,-628631,3221111,3433228,-212117,840748,,,6034026,5193278,33.94805452436893,3.721723228514019,29.21791929703413,-9.90671306877799
63,2020-08-07,"57,500",-500,18751717,8182263,11540534,-3358271,4620572,3159960,1460612,1897659,,,5948882,4051223,31.72446555160789,-2.223588972761039,21.604544266533033,-7.613375030501096
64,2020-08-06,"58,000","1,100",21625874,11635513,11487757,147756,3374350,2742886,631464,-779220,,,6616011,7395231,30.593034066507556,-1.1314314851003324,34.19621791933126,12.591673652798228
65,2020-08-05,"56,900",-400,17739706,6249162,9129786,-2880624,3176366,4648358,-1471992,4352616,,,8314178,3961562,46.86762001579959,16.27458594929203,22.331610230744523,-11.864607688586737
