,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,56900.0,1400.0,3285787,170706,256049,-85343,1754401,1340717,413684,-328341,1360680,1689021,41.411083554716114,,51.403849366985746,
1,2020-11-10,55500.0,500.0,2606507,21091,63579,-42488,1694978,1104857,590121,-547633,890438,1438071,34.16211811439601,-7.248965440320106,55.17234367680578,3.768494309820035
2,2020-11-09,55000.0,1200.0,2142600,74420,106977,-32557,1136755,399366,737389,-704832,931425,1636257,43.471716605992725,9.309598491596716,76.36782413889667,21.195480462090885
3,2020-11-06,53800.0,300.0,2389344,122095,222889,-100794,1616325,399735,1216590,-1115796,650924,1766720,27.242791326824435,-16.22892527916829,73.94163418913308,-2.4261899497635824
4,2020-11-05,53500.0,1300.0,2026073,201714,123113,78601,1064884,537867,527017,-605618,759475,1365093,37.48507580921319,10.242284482388758,67.37629887965537,-6.565335309477717
5,2020-11-04,52200.0,0.0,1447736,48650,88618,-39968,532326,663947,-131621,171589,866760,695171,59.87003155271403,22.38495574350084,48.01780158813485,-19.358497291520514
6,2020-11-03,52200.0,1000.0,1960143,245436,263103,-17667,811793,858114,-46321,63988,902914,838926,46.063680047833245,-13.806351504880787,42.799224342305635,-5.218577245829216
7,2020-11-02,51200.0,1100.0,2743951,343309,383299,-39990,536971,599079,-62108,102098,1863671,1761573,67.91925220238991,21.85557215455667,64.19841316408346,21.399188821777827
8,2020-10-30,50100.0,-1600.0,3581887,155064,586215,-431151,732233,1652289,-920056,1351207,2694590,1343383,75.22822467598782,7.308972473597905,37.50489616227424,-26.69351700180922
9,2020-10-29,51700.0,-1200.0,3300363,141046,421114,-280068,202124,1430196,-1228072,1508140,2957193,1449053,89.60205286509392,14.373828189106106,43.9058673242913,6.400971162017058
10,2020-10-28,52900.0,-500.0,2083260,146250,554997,-408747,497676,887647,-389971,798718,1439334,640616,69.09046398433225,-20.51158888076168,30.750650422894886,-13.155216901396415
11,2020-10-27,53400.0,-100.0,1808876,118030,231211,-113181,673467,992259,-318792,431973,1017379,585406,56.243711564529576,-12.84675241980267,32.36297015384139,1.6123197309465027
12,2020-10-26,53500.0,200.0,2292408,211645,271422,-59777,420339,918063,-497724,557501,1660424,1102923,72.43143454393808,16.187722979408505,48.11198530104589,15.749015147204503
13,2020-10-23,53300.0,-200.0,1455825,76355,108969,-32614,612010,791243,-179233,211847,767460,555613,52.71650095306784,-19.71493359087024,38.164820634348224,-9.947164666697667
14,2020-10-22,53500.0,300.0,2123010,78077,603618,-525541,1185607,761221,424386,101155,859326,758171,40.47677589837071,-12.239725054697132,35.71207860537633,-2.4527420289718975
15,2020-10-21,53200.0,-100.0,1801444,236925,130953,105972,344314,1240613,-896299,790327,1220205,429878,67.73482828220028,27.258052383829572,23.86296770812748,-11.849110897248845
16,2020-10-20,53300.0,300.0,1808384,333344,210892,122452,270434,621315,-350881,228429,1204606,976177,66.61229031002264,-1.1225379721776392,53.98062579629105,30.11765808816357
17,2020-10-19,53000.0,0.0,1602973,267901,277943,-10042,322467,608624,-286157,296199,1012605,716406,63.170433937439995,-3.4418563725826488,44.69233106234478,-9.288294733946273
18,2020-10-16,53000.0,-200.0,1977121,224053,356084,-132031,733805,694904,38901,93130,1019263,926133,51.55288927688291,-11.617544660557087,46.8425048340491,2.150173771704324
19,2020-10-15,53200.0,-400.0,2462706,135778,191133,-55355,1014255,1207210,-192955,248310,1312673,1064363,53.3020587922391,1.7491695153561935,43.21924744569591,-3.6232573883531884
20,2020-10-14,53600.0,200.0,3346129,431012,1098642,-667630,1548162,1132849,415313,252317,1366955,1114638,40.851832072224354,-12.450226720014747,33.31126803539254,-9.907979410303376
21,2020-10-13,53400.0,1100.0,3716282,531820,751675,-219855,1886216,1066898,819318,-599463,1298246,1897709,34.9340012410253,-5.917830831199055,51.06472006160997,17.75345202621743
22,2020-10-12,52300.0,600.0,3716137,215317,103743,111574,2528745,1923449,605296,-716870,972075,1688945,26.15821214341667,-8.77578909760863,45.44894335165792,-5.615776709952051
23,2020-10-08,51700.0,300.0,2263004,227731,185938,41793,1093729,835070,258659,-300452,941544,1241996,41.60593618040445,15.447724036987779,54.88262504175865,9.433681690100734
24,2020-10-07,51400.0,500.0,1757262,211326,176367,34959,894714,882220,12494,-47453,651222,698675,37.05890185982511,-4.5470343205793355,39.7592959957024,-15.123329046056249
25,2020-10-06,50900.0,200.0,1735208,136704,173619,-36915,712535,876277,-163742,200657,885969,685312,51.058374557978055,13.999472698152942,39.4945159312313,-0.264780064471104
26,2020-10-05,50700.0,200.0,2058949,245288,197600,47688,806926,1041014,-234088,186400,1006735,820335,48.895577306674426,-2.1627972513036298,39.84241474655273,0.34789881532142886
27,2020-09-29,50500.0,0.0,2656730,297821,507902,-210081,1257460,1638296,-380836,590917,1101449,510532,41.45882344084645,-7.436753865827974,19.216555690642256,-20.62585905591047
28,2020-09-28,50500.0,-200.0,1784371,160357,173825,-13468,579451,964303,-384852,398320,1044563,646243,58.539563801474024,17.080740360627573,36.21685176457138,17.000296073929125
29,2020-09-25,50700.0,400.0,2041736,157517,239084,-81567,425989,1084597,-658608,740175,1458230,718055,71.42108480234467,12.881521000870642,35.168846511008276,-1.0480052535631046
30,2020-09-24,50300.0,-600.0,1926490,171575,242357,-70782,399483,750850,-351367,422149,1355432,933283,70.35759334333424,-1.0634914590104216,48.44473628204663,13.27588977103835
31,2020-09-23,50900.0,-100.0,1875836,252424,339140,-86716,340495,779696,-439201,525917,1282917,757000,68.39174640000512,-1.965846943329126,40.35534023230176,-8.08939604974487
32,2020-09-22,51000.0,-300.0,2117503,255146,633371,-378225,440339,557229,-116890,495115,1422018,926903,67.15541843388179,-1.2363279661233264,43.77339725138524,3.4180570190834842
33,2020-09-21,51300.0,400.0,1636797,268421,391105,-122684,182256,486536,-304280,426964,1186120,759156,72.46591972003858,5.310501286156793,46.38058354212526,2.6071862907400174
34,2020-09-18,50900.0,-100.0,2188690,155044,165038,-9994,867069,1320983,-453914,463908,1166577,702669,53.30023895572237,-19.165680764316214,32.10454655524537,-14.276036986879888
35,2020-09-17,51000.0,-700.0,2505013,234314,341189,-106875,688955,854265,-165310,272185,1581744,1309559,63.143145364914275,9.842906409191905,52.277533090646635,20.172986535401265
36,2020-09-16,51700.0,-300.0,2490139,268368,234132,34236,573896,1484113,-910217,875981,1647875,771894,66.17602471187351,3.032879346959234,30.99802862410492,-21.279504466541717
37,2020-09-15,52000.0,100.0,2939585,544507,241657,302850,512821,1536494,-1023673,720823,1882257,1161434,64.03138538263055,-2.1446393292429633,39.51013493401279,8.512106309907871
38,2020-09-14,51900.0,1000.0,2360763,217324,166674,50650,378505,904122,-525617,474967,1764934,1289967,74.76116831719236,10.729782934561811,54.64195262294436,15.13181768893157
39,2020-09-11,50900.0,200.0,1801308,99931,94195,5736,710394,765365,-54971,49235,990983,941748,55.014633810542115,-19.746534506650242,52.28134222465008,-2.360610398294277
40,2020-09-10,50700.0,1200.0,2645971,217752,178589,39163,1380570,644822,735748,-774911,1047649,1822560,39.59412253573451,-15.420511274807602,68.88057352102498,16.599231296374903
41,2020-09-09,49500.0,-500.0,2349972,259905,129913,129992,491042,1032435,-541393,411401,1599025,1187624,68.04442776339464,28.450305227660124,50.53779364179658,-18.342779879228402
42,2020-09-08,50000.0,1500.0,2548510,247118,354035,-106917,539765,380019,159746,-52829,1761627,1814456,69.12380175082696,1.0793739874323194,71.1967384864097,20.658944844613117
43,2020-09-07,48500.0,1000.0,2015714,172925,154757,18168,601940,779420,-177480,159312,1240849,1081537,61.55878264476012,-7.565019106066835,53.65528046141467,-17.54145802499503
44,2020-09-04,47500.0,-400.0,2886358,145523,264229,-118706,920803,1792674,-871871,990577,1820032,829455,63.056349905313205,1.4975672605530832,28.737079738549408,-24.91820072286526
45,2020-09-03,47900.0,800.0,3836969,1142766,444285,698481,1015058,2450262,-1435204,736723,1679145,942422,43.762276943076685,-19.29407296223652,24.561626638109406,-4.175453100440002
46,2020-09-02,47100.0,0.0,1881394,68856,87159,-18303,580546,1191111,-610565,628868,1231992,603124,65.4829344624252,21.72065751934852,32.05729368755295,7.495667049443544
