,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,296500.0,20000.0,2765598,343880,282433,61447,289977,139589,150388,-211835,2131741,2343576,77.08065308117811,,84.74029848155806,
1,2020-11-10,276500.0,-8500.0,1046021,117149,236096,-118947,102267,61040,41227,77720,826605,748885,79.0237480891875,1.9430950080093936,71.59368693362754,-13.146611547930519
2,2020-11-09,285000.0,7500.0,886316,176452,139068,37384,73139,128057,-54918,17534,636725,619191,71.83950193836058,-7.184246150826922,69.86120074555802,-1.7324861880695153
3,2020-11-06,277500.0,5500.0,1189737,155225,179992,-24767,127980,123385,4595,20172,906532,886360,76.1959996200841,4.356497681723511,74.50049884974578,4.639298104187759
4,2020-11-05,272000.0,1500.0,965754,181784,156375,25409,120082,179712,-59630,34221,663888,629667,68.74297181269765,-7.453027807386448,65.19952285985873,-9.30097598988705
5,2020-11-04,270500.0,11500.0,1326699,288095,186920,101175,144866,158555,-13689,-87486,893738,981224,67.36554410608586,-1.3774277066117833,73.95980550222771,8.760282642368978
6,2020-11-03,259000.0,14500.0,1016373,179035,85534,93501,141402,78831,62571,-156072,695936,852008,68.4724997614065,1.1069556553206326,83.82827957846185,9.868474076234136
7,2020-11-02,244500.0,3500.0,486328,67908,103648,-35740,37693,55085,-17392,53132,380727,327595,78.28605385665641,9.813554095249913,67.3609169120429,-16.46736266641895
8,2020-10-30,241000.0,-12000.0,825115,108633,139091,-30458,86568,306428,-219860,250318,629914,379596,76.34257042957648,-1.9434834270799257,46.005223514298,-21.355693397744894
9,2020-10-29,253000.0,10500.0,986149,212060,143172,68888,84089,114300,-30211,-38677,690000,728677,69.96914259407046,-6.373427835506021,73.89116654785433,27.885943033556323
10,2020-10-28,242500.0,3500.0,426527,63639,110173,-46534,35804,53402,-17598,64132,327084,262952,76.68541499131356,6.716272397243102,61.64955559671487,-12.241610951139457
11,2020-10-27,239000.0,1000.0,687981,100953,150555,-49602,148495,145923,2572,47030,438533,391503,63.742021945373494,-12.94339304594007,56.9060773480663,-4.743478248648572
12,2020-10-26,238000.0,0.0,945429,83388,115943,-32555,65980,206957,-140977,173532,796061,622529,84.20103466257117,20.45901271719768,65.84619257501092,8.94011522694462
13,2020-10-23,238000.0,500.0,723304,103008,124866,-21858,155659,86923,68736,-46878,464637,511515,64.23813500270978,-19.962899659861392,70.71922732350437,4.873034748493453
14,2020-10-22,237500.0,-6500.0,831654,64395,121033,-56638,202604,74710,127894,-71256,564655,635911,67.8954228561397,3.6572878534299207,76.46340906194162,5.744181738437248
15,2020-10-21,244000.0,-1500.0,625587,95397,150531,-55134,130244,76720,53524,1610,399946,398336,63.931315708286775,-3.9641071478529284,63.67395741919189,-12.789451642749725
16,2020-10-20,245500.0,-10000.0,1215368,162943,169465,-6522,119555,116421,3134,3388,932870,929482,76.75617590721492,12.82486019892815,76.47741260260267,12.803455183410776
17,2020-10-19,255500.0,-1000.0,517772,118439,122137,-3698,28458,142297,-113839,117537,370875,253338,71.62901817788526,-5.127157729329667,48.92848589726752,-27.54892670533515
18,2020-10-16,256500.0,1500.0,543139,104130,77591,26539,78645,115929,-37284,10745,360364,349619,66.34839332104673,-5.280624856838529,64.37007837772651,15.441592480458993
19,2020-10-15,255000.0,-7000.0,627073,76508,90314,-13806,65456,142876,-77420,91226,485109,393883,77.36084953426476,11.01245621321803,62.812942033862086,-1.5571363438644283
20,2020-10-14,262000.0,-8500.0,585306,56388,87953,-31565,95118,148011,-52893,84458,433800,349342,74.11507826675277,-3.2457712675119836,59.6853611615121,-3.127580872349988
21,2020-10-13,270500.0,-3000.0,541433,60153,113939,-53786,32527,96850,-64323,118109,448753,330644,82.8824619112614,8.767383644508627,61.06831316155461,1.3829520000425148
22,2020-10-12,273500.0,11500.0,774825,115726,83394,32332,42101,78770,-36669,4337,616998,612661,79.63062627044818,-3.2518356408132263,79.0708869744781,18.002573812923487
23,2020-10-08,262000.0,1500.0,874989,155969,184054,-28085,91439,178497,-87058,115143,627581,512438,71.72444453587417,-7.906181734574005,58.565079103851595,-20.505807870626505
