,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,33650.0,700.0,5100704,1619480,750482,868998,1200937,1430664,-229727,-639271,2280287,2919558,44.7053387140285,,57.238334159363106,
1,2020-11-10,32950.0,1200.0,7202607,2222095,1034503,1187592,2743041,1231741,1511300,-2698892,2237471,4936363,31.06473808719537,-13.64060062683313,68.5357815579831,11.297447398619994
2,2020-11-09,31750.0,150.0,2496771,899451,501119,398332,312424,912361,-599937,201605,1284896,1083291,51.46230871794009,20.39757063074472,43.387679526876916,-25.148102031106184
3,2020-11-06,31600.0,100.0,1947300,624333,546189,78144,667448,358827,308621,-386765,655519,1042284,33.66296923945977,-17.79933947848032,53.5245724849792,10.136892958102287
4,2020-11-05,31500.0,350.0,3089844,1011011,909679,101332,551923,852104,-300181,198849,1526910,1328061,49.417057948556625,15.754088709096855,42.981490327667025,-10.543082157312178
5,2020-11-04,31150.0,-850.0,4538264,983639,1515254,-531615,544888,1248588,-703700,1235315,3009737,1774422,66.31912555109179,16.902067602535162,39.09913570475406,-3.8823546229129633
6,2020-11-03,32000.0,250.0,3435765,1283102,624650,658452,561798,670038,-108240,-550212,1590865,2141077,46.30307951795306,-20.01604603313873,62.31732961945884,23.218193914704777
7,2020-11-02,31750.0,1400.0,3894347,1453687,641636,812051,1136929,488195,648734,-1460785,1303731,2764516,33.477525243641615,-12.825554274311443,70.98792172346225,8.670592104003411
8,2020-10-30,30350.0,-1100.0,4189440,812071,796686,15385,1237603,1518148,-280545,265160,2139766,1874606,51.07522723800795,17.597701994366332,44.74598036969141,-26.24194135377084
9,2020-10-29,31450.0,-50.0,3103420,874029,691503,182526,738332,673611,64721,-247247,1491059,1738306,48.04567219390221,-3.0295550441057344,56.01259255917665,11.266612189485244
10,2020-10-28,31500.0,1300.0,4419345,1713384,600723,1112661,1367469,577379,790090,-1902751,1338492,3241243,30.287112682988088,-17.758559510914125,73.34215817049812,17.32956561132147
11,2020-10-27,30200.0,-750.0,4310484,1124079,871422,252657,728442,1428757,-700315,447658,2457963,2010305,57.02290044459044,26.735787761602353,46.63757016613447,-26.70458800436365
12,2020-10-26,30950.0,-400.0,3771465,1770994,783462,987532,199190,968743,-769553,-217979,1801281,2019260,47.7607773106737,-9.262123133916738,53.54046769624006,6.902897530105584
13,2020-10-23,31350.0,1150.0,6673095,2214500,876901,1337599,1568677,908296,660381,-1997980,2889918,4887898,43.30701121443648,-4.453766096237224,73.24784076953797,19.707373073297916
