,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,801000.0,4000.0,116090,32253,32343,-90,21385,52488,-31103,31193,62452,31259,53.79619260918253,,26.926522525626666,
1,2020-11-10,797000.0,-47000.0,172812,33893,52889,-18996,25203,92504,-67301,86297,113716,27419,65.80330069671088,12.007108087528344,15.866375020253223,-11.060147505373443
2,2020-11-09,844000.0,-4000.0,71482,26258,25175,1083,22899,27343,-4444,3361,22325,18964,31.231638734226795,-34.571661962484086,26.52975574270446,10.663380722451237
3,2020-11-06,848000.0,5000.0,91315,25452,24817,635,40445,32131,8314,-8949,25418,34367,27.83551442807863,-3.3961243061481667,37.635656792421834,11.105901049717374
4,2020-11-05,843000.0,6000.0,108701,37300,31764,5536,44880,34181,10699,-16235,26521,42756,24.398119612515064,-3.4373948155635645,39.33358478762845,1.6979279952066193
5,2020-11-04,837000.0,55000.0,197108,76785,28129,48656,76545,21262,55283,-103939,43778,147717,22.210158897660165,-2.187960714854899,74.94216368691275,35.608578899284296
6,2020-11-03,782000.0,4000.0,48350,25139,13316,11823,7721,23692,-15971,4148,15490,11342,32.037228541882115,9.82706964422195,23.458117890382628,-51.484045796530125
7,2020-11-02,778000.0,2000.0,48696,28815,16874,11941,8546,21217,-12671,730,11335,10605,23.27706587810087,-8.760162663781244,21.777969443075406,-1.6801484473072215
8,2020-10-30,776000.0,-37000.0,92285,29992,21483,8509,28033,52083,-24050,15541,34260,18719,37.12412634772715,13.847060469626278,20.283903126185187,-1.494066316890219
9,2020-10-29,813000.0,11000.0,88029,45077,21446,23631,27142,28452,-1310,-22321,15810,38131,17.95999045769008,-19.16413589003707,43.31640709311704,23.032503966931856
10,2020-10-28,802000.0,20000.0,78286,36108,19881,16227,28031,37302,-9271,-6956,14147,21103,18.070919449199092,0.11092899150901303,26.956288480698976,-16.360118612418066
11,2020-10-27,782000.0,-14000.0,81633,32460,20860,11600,25839,44472,-18633,7033,23334,16301,28.5840285178788,10.513109068679707,19.968640133279433,-6.987648347419544
12,2020-10-26,796000.0,0.0,49132,31654,16809,14845,5230,13194,-7964,-6881,12248,19129,24.92876333143369,-3.65526518644511,38.93389237157046,18.965252238291026
13,2020-10-23,796000.0,-15000.0,80718,35848,24972,10876,18669,39267,-20598,9722,26201,16479,32.459922198270526,7.5311588668368366,20.41552070170222,-18.518371669868237
