,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,355500.0,-500.0,713843,146062,268105,-122043,123863,71934,51929,70114,443918,373804,62.18706354198332,,52.36501583681565,
1,2020-11-10,356000.0,-15500.0,1105100,142397,406166,-263769,123523,256104,-132581,396350,839180,442830,75.93701927427382,13.749955732290502,40.07148674328115,-12.293529093534502
2,2020-11-09,371500.0,1000.0,593735,178831,165727,13104,51747,120048,-68301,55197,363157,307960,61.16482942726974,-14.772189847004086,51.868257724405666,11.796770981124517
3,2020-11-06,370500.0,7500.0,1315572,449811,353582,96229,267792,94610,173182,-269411,597969,867380,45.45315649770594,-15.711672929563797,65.9317772041363,14.06351947973063
4,2020-11-05,363000.0,3500.0,1061367,237557,245231,-7674,245700,198467,47233,-39559,578110,617669,54.46843551759194,9.015279019886002,58.195610001064665,-7.736167203071631
5,2020-11-04,359500.0,23000.0,1431026,536151,313942,222209,359571,128003,231568,-453777,535304,989081,37.40700728009135,-17.061428237500593,69.11691331953438,10.921303318469711
6,2020-11-03,336500.0,2000.0,403786,118156,166910,-48754,50124,72442,-22318,71072,235506,164434,58.32445899560659,20.91745171551524,40.72305627238191,-28.393857047152466
7,2020-11-02,334500.0,4500.0,319856,136321,129271,7050,63667,24593,39074,-46124,119868,165992,37.47561402631184,-20.848844969294753,51.895853133910265,11.172796861528354
8,2020-10-30,330000.0,-13000.0,553748,91448,137097,-45649,57151,234769,-177618,223267,405149,181882,73.16486921848929,35.68925519217745,32.845626530479564,-19.0502266034307
9,2020-10-29,343000.0,-3500.0,491546,154004,184145,-30141,30254,119612,-89358,119499,307288,187789,62.51459680274074,-10.650272415748546,38.203748987887195,5.358122457407632
10,2020-10-28,346500.0,12500.0,629567,253709,188331,65378,105938,133165,-27227,-38151,269920,308071,42.87391175204545,-19.64068505069529,48.93379100238736,10.730042014500164
11,2020-10-27,334000.0,4500.0,812610,237839,239154,-1315,181897,144098,37799,-36484,392874,429358,48.347177612877026,5.4732658608315745,52.83690823396218,3.903117231574818
12,2020-10-26,329500.0,-10500.0,714722,97932,183576,-85644,171129,78791,92338,-6694,445661,452355,62.35445389955815,14.007276286681126,63.29104183164923,10.454133597687054
13,2020-10-23,340000.0,-9000.0,622592,77741,191425,-113684,51118,134211,-83093,196777,493733,296956,79.30281789679276,16.94836399723461,47.696725945723685,-15.594315885925546
14,2020-10-22,349000.0,-4500.0,376380,97492,137173,-39681,54736,63899,-9163,48844,224152,175308,59.55470535097508,-19.748112545817683,46.57739518571656,-1.1193307600071236
15,2020-10-21,353500.0,1000.0,516282,179467,173830,5637,44558,145629,-101071,95434,292257,196823,56.60801654909526,-2.946688801879816,38.123157499196175,-8.454237686520386
16,2020-10-20,352500.0,-500.0,759973,125553,198283,-72730,91825,83912,7913,64817,542595,477778,71.39661540607364,14.788598856978375,62.86775977567625,24.744602276480073
17,2020-10-19,353000.0,-4500.0,362402,96096,137977,-41881,23011,36729,-13718,55599,243295,187696,67.13401140170309,-4.262604004370544,51.79220865227013,-11.075551123406115
18,2020-10-16,357500.0,-4500.0,400405,90633,102749,-12116,31515,72144,-40629,52745,278257,225512,69.49388743896804,2.3598760372649537,56.32097501279954,4.52876636052941
19,2020-10-15,362000.0,-6500.0,422566,76667,139495,-62828,45615,35799,9816,53012,300284,247272,71.06203527969596,1.5681478407279172,58.516776077583145,2.195801064783602
20,2020-10-14,368500.0,-3500.0,333008,61269,101208,-39939,74055,51355,22700,17239,197684,180445,59.36313842310095,-11.698896856595013,54.18638591265075,-4.330390164932396
21,2020-10-13,372000.0,500.0,302317,70156,92770,-22614,37779,21164,16615,5999,194382,188383,64.2974096726284,4.934271249527455,62.313068732489405,8.126682819838656
22,2020-10-12,371500.0,-7500.0,471624,69406,167996,-98590,49932,52656,-2724,101314,352286,250972,74.69636829338626,10.398958620757853,53.21442505046393,-9.098643682025475
23,2020-10-08,379000.0,-1500.0,624658,234389,276829,-42440,156157,43026,113131,-70691,234112,304803,37.478428195908805,-37.21794009747745,48.795180722891565,-4.419244327572365
24,2020-10-07,380500.0,-1000.0,398285,157823,112341,45482,26481,44109,-17628,-27854,213981,241835,53.725598503584116,16.24717030767531,60.719083068656865,11.923902345765299
25,2020-10-06,381500.0,11000.0,765339,216806,120673,96133,286062,68139,217923,-314056,262471,576527,34.29473736474948,-19.430861138834636,75.32962517263591,14.61054210397905
26,2020-10-05,370500.0,6000.0,522228,151512,112626,38886,175358,61670,113688,-152574,195358,347932,37.40856484141026,3.1138274766607807,66.6245394731803,-8.705085699455609
27,2020-09-29,364500.0,-4500.0,612054,104365,146418,-42053,75518,209688,-134170,176223,432171,255948,70.60994618121931,33.20138133980905,41.817878814614396,-24.80666065856591
28,2020-09-28,369000.0,17500.0,674705,176014,118241,57773,147733,74962,72771,-130544,350958,481502,52.01651091958708,-18.593435261632237,71.36481869854232,29.546939883927926
29,2020-09-25,351500.0,-500.0,449701,130055,126542,3513,57917,55326,2591,-6104,261729,267833,58.20067111258369,6.184160192996615,59.558017438253415,-11.806801260288907
30,2020-09-24,352000.0,-13500.0,763638,167359,192411,-25052,44438,171375,-126937,151989,551841,399852,72.26473800413285,14.06406689154916,52.36145922544452,-7.196558212808895
31,2020-09-23,365500.0,12500.0,930394,244005,185046,58959,129388,100207,29181,-88140,557001,645141,59.86721754439517,-12.397520459737684,69.3406234348029,16.979164209358373
32,2020-09-22,353000.0,-11500.0,880318,170024,189958,-19934,124185,84017,40168,-20234,586109,606343,66.57923613966771,6.712018595272546,68.87772373165151,-0.46289970315137907
33,2020-09-21,364500.0,-8500.0,530255,83327,103629,-20302,23555,69864,-46309,66611,423373,356762,79.84328294876994,13.264046809102226,67.28121375564587,-1.596509976005649
34,2020-09-18,373000.0,2000.0,495271,125846,102430,23416,81799,84565,-2766,-20650,287626,308276,58.07446832138364,-21.7688146273863,62.24390283299446,-5.0373109226514075
35,2020-09-17,371000.0,-6000.0,617702,105021,147772,-42751,63743,57894,5849,36902,448938,412036,72.6787350534724,14.604266732088753,66.70465693813522,4.460754105140758
36,2020-09-16,377000.0,-4000.0,485743,86296,100484,-14188,13682,126471,-112789,126977,385765,258788,79.4175109059729,6.73877585250051,53.276732757857545,-13.427924180277671
37,2020-09-15,381000.0,7500.0,860038,185853,139603,46250,113247,165911,-52664,6414,560938,554524,65.22246691425264,-14.195043991720269,64.47668591387823,11.199953156020683
38,2020-09-14,373500.0,-5500.0,830231,116363,233169,-116806,145782,92598,53184,63622,568086,504464,68.42505278651363,3.202585872260997,60.761884343032236,-3.7148015708459923
39,2020-09-11,379000.0,-6500.0,792840,60848,153598,-92750,84014,126069,-42055,134805,647978,513173,81.728722062459,13.303669275945367,64.72592200191716,3.9640376588849193
40,2020-09-10,385500.0,1500.0,936708,144450,210119,-65669,146787,157460,-10673,76342,645471,569129,68.90845386182247,-12.820268200636534,60.758422048279726,-3.9674999536374287
