,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,243000.0,2000.0,423677,165285,192624,-27339,129386,49716,79670,-52331,129006,181337,30.449139320756142,,42.80076567762706,
1,2020-11-10,241000.0,8500.0,544843,176050,177875,-1825,209926,57900,152026,-150201,158867,309068,29.158307989641052,-1.2908313311150899,56.72606604104301,13.92530036341595
2,2020-11-09,232500.0,3000.0,332444,132205,121728,10477,56352,66225,-9873,-604,143887,144491,43.28157524274765,14.123267253106597,43.46325997762029,-13.262806063422723
3,2020-11-06,229500.0,-3500.0,428049,94278,147983,-53705,138394,130887,7507,46198,195377,149179,45.643606222652075,2.362030979904425,34.85091660066955,-8.61234337695074
4,2020-11-05,233000.0,6500.0,381030,110367,144883,-34516,97291,26259,71032,-36516,173372,209888,45.50087919586384,-0.14272702678823634,55.08437655827625,20.233459957606698
5,2020-11-04,226500.0,500.0,481871,179001,242654,-63653,58481,33439,25042,38611,244389,205778,50.71668558597633,5.2158063901124905,42.70396018851518,-12.380416369761065
6,2020-11-03,226000.0,-500.0,453788,86006,232004,-145998,46538,101060,-54522,200520,321244,120724,70.79164720089557,20.07496161491924,26.603612259469177,-16.100347929046006
7,2020-11-02,226500.0,1000.0,428586,142514,199101,-56587,35603,89447,-53844,110431,250469,140038,58.44077968015754,-12.350867520738028,32.67442240297163,6.070810143502452
8,2020-10-30,225500.0,-12500.0,888786,185620,334822,-149202,111678,333835,-222157,371359,591488,220129,66.55010317444244,8.1093234942849,24.76737932415677,-7.9070430788148585
9,2020-10-29,238000.0,-14500.0,696270,206537,237501,-30964,58010,224077,-166067,197031,431723,234692,62.00511295905324,-4.544990215389198,33.707038936044924,8.939659611888153
10,2020-10-28,252500.0,8000.0,487858,260703,184389,76314,38871,95656,-56785,-19529,188284,207813,38.59401711153655,-23.41109584751669,42.59702618384858,8.889987247803653
11,2020-10-27,244500.0,1000.0,796662,402009,286772,115237,173303,196108,-22805,-92432,221350,313782,27.78468158390886,-10.809335527627692,39.38709264405733,-3.209933539791244
12,2020-10-26,243500.0,9000.0,788372,394565,232375,162190,133866,72343,61523,-223713,259941,483654,32.97187114712344,5.187189563214577,61.34844971663124,21.961357072573904
13,2020-10-23,234500.0,500.0,372397,208769,144361,64408,54120,92295,-38175,-26233,109508,135741,29.40625193006388,-3.565619217059556,36.45061587499362,-24.897833841637613
14,2020-10-22,234000.0,2500.0,372056,172211,127664,44547,79682,103825,-24143,-20404,120163,140567,32.29701980347045,2.890767873406567,37.78114047347711,1.3305245984834855
15,2020-10-21,231500.0,-6000.0,476527,222231,207337,14894,82852,151191,-68339,53445,171444,117999,35.97781447850804,3.680794675037589,24.762290489311205,-13.018849984165904
16,2020-10-20,237500.0,15000.0,1301084,649469,295261,354208,313757,426032,-112275,-241933,337858,579791,25.967424086377207,-10.01039039213083,44.56214971516059,19.79985922584938
17,2020-10-19,222500.0,-6500.0,524241,194556,205855,-11299,81775,203463,-121688,132987,247910,114923,47.289319225318124,21.321895138940917,21.921787880001755,-22.64036183515883
18,2020-10-16,229000.0,-5500.0,446765,240685,146254,94431,55734,172073,-116339,21908,150346,128438,33.65214374447417,-13.637175480843958,28.748447170212525,6.82665929021077
19,2020-10-15,234500.0,3000.0,602103,297216,187790,109426,102672,136232,-33560,-75866,202215,278081,33.58478532742737,-0.06735841704679757,46.18495506582761,17.436507895615083
20,2020-10-14,231500.0,-4000.0,402918,93489,135534,-42045,144367,127363,17004,25041,165062,140021,40.96664830064678,7.3818629732194125,34.751736085258045,-11.433218980569563
21,2020-10-13,235500.0,8500.0,433346,226281,138889,87392,70334,59287,11047,-98439,136731,235170,31.552385391811622,-9.414262908835159,54.268413692522834,19.51667760726479
22,2020-10-12,227000.0,-2000.0,343564,107421,116728,-9307,90787,154639,-63852,73159,145356,72197,42.30827444086109,10.755889049049468,21.01413419333807,-33.25427949918476
23,2020-10-08,229000.0,-6000.0,499234,107245,298259,-191014,79118,102231,-23113,214127,312871,98744,62.67021076288874,20.361936322027653,19.779101583626115,-1.2350326097119542
24,2020-10-07,235000.0,1500.0,257835,82942,103849,-20907,79784,63812,15972,4935,95109,90174,36.887544359764966,-25.782666403123777,34.97352958287277,15.194427999246656
