,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
0,2020-11-11,175500.0,2000.0,4140745,1240154,1041670,198484,913625,1331328,-417703,219219,,1986966,1767747,47.98571271594846,,42.69152048725531,
1,2020-11-10,173500.0,1000.0,1796342,562821,464073,98748,417002,551172,-134170,35422,,816519,781097,45.45454039375576,-2.5311723221927025,43.482644173548245,0.7911236862929343
2,2020-11-09,172500.0,2000.0,1521010,442711,379640,63071,236907,462075,-225168,162097,,841392,679295,55.31797950046351,9.863439106707752,44.6607846102261,1.1781404366778574
3,2020-11-06,170500.0,-4500.0,2233192,587863,711300,-123437,164370,819188,-654818,778255,,1480959,702704,66.31579371590082,10.997814215437316,31.466349512267644,-13.194435097958458
4,2020-11-05,175000.0,3500.0,1299430,438284,330964,107320,301769,45594,256175,-363495,,559377,922872,43.047874837428715,-23.26791887847211,71.02129395196354,39.5549444396959
5,2020-11-04,171500.0,1000.0,1699252,584587,634782,-50195,219423,184723,34700,15495,,895242,879747,52.684475286773235,9.63660044934452,51.77260347494074,-19.248690477022805
6,2020-11-03,170500.0,0.0,1006364,319206,328003,-8797,55154,144921,-89767,98564,,632004,533440,62.80073611536183,10.116260828588594,53.0066655802473,1.2340621053065632
7,2020-11-02,170500.0,6000.0,1052301,454111,356715,97396,175798,69599,106199,-203595,,422392,625987,40.13984591861074,-22.66089019675109,59.48744703274064,6.480781452493339
8,2020-10-30,164500.0,-5500.0,1452259,342614,592599,-249985,155801,292400,-136599,386584,,953844,567260,65.68001988625996,25.540173967649217,39.0605257051256,-20.42692132761504
9,2020-10-29,170000.0,-3500.0,1484537,389200,595868,-206668,135748,203295,-67547,274215,,959589,685374,64.63894129954323,-1.041078586716722,46.167525632570964,7.106999927445365
10,2020-10-28,173500.0,1000.0,1419988,569298,571785,-2487,278340,303863,-25523,28010,,572350,544340,40.306678647988576,-24.332262651554657,38.33412676726846,-7.833398865302506
11,2020-10-27,172500.0,1000.0,3317704,1251963,1300054,-48091,545161,369010,176151,-128060,,1520580,1648640,45.832298481118265,5.525619833129689,49.692196772225614,11.358070004957156
12,2020-10-26,171500.0,4500.0,3018359,1519650,1077909,441741,292862,278384,14478,-456219,,1205847,1662066,39.95041676619647,-5.881881714921796,55.065219213486536,5.373022441260922
13,2020-10-23,167000.0,4500.0,1883932,791789,647128,144661,194189,186055,8134,-152795,,897954,1050749,47.66382226110072,7.713405494904251,55.77425299851587,0.7090337850293338
14,2020-10-22,162500.0,-3000.0,1700524,407191,525519,-118328,328584,216172,112412,5916,,964749,958833,56.732454231754446,9.068631970653726,56.38456146458386,0.6103084660679912
15,2020-10-21,165500.0,-2000.0,1760669,799928,910690,-110762,110925,170604,-59679,170441,,849816,679375,48.26665318694201,-8.465801044812437,38.586185137581225,-17.798376327002636
16,2020-10-20,167500.0,-500.0,5697398,2005844,1751522,254322,594157,823843,-229686,-24636,,3097397,3122033,54.365115443927216,6.098462256985208,54.79752336066394,16.211338223082713
17,2020-10-19,168000.0,-4000.0,2230634,558051,920507,-362456,69171,213239,-144068,506524,,1603412,1096888,71.88144715807255,17.51633171414533,49.17382233033299,-5.623701030330949
18,2020-10-16,172000.0,-4000.0,3197258,569978,1469864,-899886,112957,323588,-210631,1110517,,2514323,1403806,78.63997838147563,6.758531223403082,43.90655993354306,-5.267262396789931
19,2020-10-15,176000.0,-2000.0,1587551,408393,610763,-202370,117973,149848,-31875,234245,,1061185,826940,66.84415177843105,-11.795826603044574,52.08903524989118,8.182475316348125
20,2020-10-14,178000.0,-1000.0,1930046,455225,777344,-322119,330787,366966,-36179,358298,,1144034,785736,59.27496028592064,-7.569191492510413,40.71073953677788,-11.378295713113303
21,2020-10-13,179000.0,-1000.0,1728432,427329,797328,-369999,248571,138819,109752,260247,,1052532,792285,60.895192868449556,1.6202325825289137,45.838366797189586,5.127627260411707
22,2020-10-12,180000.0,-500.0,1655359,317211,475168,-157957,331361,358038,-26677,184634,,1006787,822153,60.81985841137784,-0.07533445707171893,49.66614492687085,3.8277781296812634
23,2020-10-08,180500.0,-2500.0,1750474,356303,689564,-333261,181544,374501,-192957,526218,,1212627,686409,69.27420801451493,8.45434960313709,39.212750375041274,-10.453394551829575
24,2020-10-07,183000.0,500.0,1512423,433204,359085,74119,153996,367347,-213351,139232,,925223,785991,61.17488295271891,-8.099325061796016,51.968992801617006,12.756242426575731
25,2020-10-06,182500.0,-4500.0,2143171,416124,415615,509,130869,425290,-294421,293912,,1596178,1302266,74.47739821040878,13.302515257689869,60.763513504055446,8.79452070243844
