,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,47250.0,2550.0,3407691,884544,854532,30012,1762715,522588,1240127,-1270139,760432,2030571,22.315168834263435,,59.58788516916586,,-37.272716334902434,0.8807136562558049,36.39200267864663
1,1,2020-11-10,44700.0,1750.0,2913985,1396830,796542,600288,844863,578974,265889,-866177,672292,1538469,23.071223770884203,0.7560549366207674,52.79605076896415,-6.791834400201715,-29.724826998079948,20.60024330941992,9.124583688660032
2,2,2020-11-09,42950.0,300.0,1350713,629356,326852,302504,342785,446503,-103718,-198786,378572,577358,28.027567662412373,4.956343891528171,42.74468373370213,-10.051367035262023,-14.717116071289755,22.395875363604258,-7.678759292314504
3,3,2020-11-06,42650.0,-250.0,1403645,462238,485593,-23355,487379,458247,29132,-5777,454028,459805,32.34635538188075,4.318787719468375,32.75792668374126,-9.986757049960863,-0.41157130186051316,-1.6638822494291647,2.075453551289678
4,4,2020-11-05,42900.0,1350.0,2077254,730164,696842,33322,811022,526355,284667,-317989,536068,854057,25.806569634719683,-6.5397857471610665,41.11471201884796,8.3567853351067,-15.308142384128278,1.6041370000972437,13.704005384031033
5,5,2020-11-04,41550.0,-1100.0,2640754,831033,1423294,-592261,616188,564361,51827,540434,1193533,653099,45.19667488906578,19.390105254346093,24.73153500856195,-16.383177010286012,20.465139880503827,-22.427723294180375,1.9625834136765485
6,6,2020-11-03,42650.0,650.0,1535972,561080,313972,247108,591781,539127,52654,-299762,383111,682873,24.942577078227988,-20.254097810837788,44.45868804900089,19.727153040438946,-19.516110970772903,16.088053688478695,3.4280572822942084
7,7,2020-11-02,42000.0,1900.0,1789683,866684,497246,369438,574651,559173,15478,-384916,348348,733264,19.464229140020887,-5.478347938207103,40.97172516026581,-3.4869628887350785,-21.507496020244925,20.642650122954734,0.8648458972901905
8,8,2020-10-30,40100.0,-900.0,1936145,458729,543965,-85236,558237,842995,-284758,369994,919179,549185,47.47469843425984,28.01046929423895,28.364869366705488,-12.606855793560321,19.10982906755434,-4.402356228484954,-14.707472839069387
9,9,2020-10-29,41000.0,-1050.0,1903504,368936,675072,-306136,556345,791516,-235171,541307,978223,436916,51.390645882540824,3.915947448280996,22.953248325193965,-5.411621041511535,28.437397557346873,-16.082761055400987,-12.354636501945885
10,10,2020-10-28,42050.0,300.0,1186091,376885,506374,-129489,351796,276088,75708,53781,457410,403629,38.564494629838684,-12.826151252702148,34.03018824019405,11.076939915000093,4.534306389644639,-10.917290494574194,6.382984104929554
