,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,86800.0,900.0,960361,227702,230372,-2670,326591,353667,-27076,29746,406068,376322,42.2828498866572,,39.185472962771286,,3.0973769238859137,-0.2780204527255897,-2.819356471160324
1,1,2020-11-10,85900.0,-1400.0,898189,98093,520892,-422799,167241,117701,49540,373259,632855,259596,70.45900139057592,28.17615150391872,28.902157563719893,-10.283315399051403,41.55684382685604,-47.07238676937705,5.515542942521006
2,2,2020-11-09,87300.0,200.0,586050,134698,230406,-95708,107707,101321,6386,89322,343645,254323,58.637488268919036,-11.821513121656885,43.39612661035748,14.493969046637588,15.241361658561557,-16.331029775616415,1.0896681170548588
3,3,2020-11-06,87100.0,600.0,707090,137305,222207,-84902,223806,90793,133013,-48111,345979,394090,48.929980624814384,-9.70750764410466,55.73406497051293,12.337938360155464,-6.804084345698567,-12.00724094528278,18.811325290981348
4,4,2020-11-05,86500.0,400.0,754241,121867,423509,-301642,94960,106327,-11367,313009,537414,224405,71.25229203928187,22.32231141446749,29.752426611653306,-25.981638358859634,41.49986542762857,-39.9927874512258,-1.5070779764027677
5,5,2020-11-04,86100.0,-200.0,602908,172933,290730,-117797,126020,125867,153,117644,303955,186311,50.41482282537303,-20.83746921390884,30.902061342692413,1.1496347310391108,19.51276148268061,-19.53813848879099,0.025377006110385
6,6,2020-11-03,86300.0,800.0,409909,156615,132446,24169,63791,52395,11396,-35565,189503,225068,46.230504819362345,-4.184318006010685,54.906820782173604,24.00475943948119,-8.676315962811259,5.896186714612267,2.7801292481989903
7,7,2020-11-02,85500.0,1500.0,510392,155044,171043,-15999,126171,34417,91754,-75755,229177,304932,44.90215363877177,-1.3283511805905732,59.7446668443079,4.837846062134297,-14.842513205536138,-3.13464944591608,17.97716265145222
8,8,2020-10-30,84000.0,-3200.0,981485,97529,297793,-200264,197937,194765,3172,197092,686019,488927,69.89602490104281,24.993871262271036,49.81502519141912,-9.929641652888774,20.080999709623683,-20.404183456700817,0.3231837470771331
9,9,2020-10-29,87200.0,-2800.0,786668,88682,266910,-178228,67833,276150,-208317,386545,630153,243608,80.10405914566245,10.208034244619654,30.96706615751499,-18.847959033904136,49.136992988147476,-22.656063294807975,-26.4809296933395
10,10,2020-10-28,90000.0,600.0,375683,84419,136598,-52179,189494,85681,103813,-51634,101770,153404,27.089327970656115,-53.014731175006354,40.83336216970157,9.866296012186591,-13.744034199045473,-13.889103313165622,27.633137512211093
11,11,2020-10-27,89400.0,300.0,523862,120429,213295,-92866,239962,106470,133492,-40626,163471,204097,31.204973828985487,4.11564585832938,38.96006963666004,-1.8732925330415424,-7.75509580767454,-17.727187694469155,25.482283502143694
12,12,2020-10-26,89100.0,-500.0,397433,58782,176104,-117322,192994,54283,138711,-21389,145657,167046,36.64944783145838,5.444474002472887,42.03123545352299,3.0711658168629508,-5.3817876220646,-29.51994424217415,34.901731864238755
13,13,2020-10-23,89600.0,1200.0,453141,81570,104443,-22873,243517,80136,163381,-140508,128054,268562,28.259195261519046,-8.390252569939339,59.26676244259513,17.23552698907214,-31.007567181076087,-5.047656248275923,36.05522342935201
14,14,2020-10-22,88400.0,-2000.0,598631,61032,163954,-102922,90287,162995,-72708,175630,447312,271682,74.72249181883329,46.463296557314266,45.38388422918292,-13.882878213412214,29.338607589650387,-17.192895122370878,-12.145712467279509
15,15,2020-10-21,90400.0,-300.0,502901,95328,234823,-139495,208219,109819,98400,41095,199354,158259,39.640804054873634,-35.08168776395968,31.469215611024836,-13.914668618158084,8.171588443848789,-27.738063754098718,19.56647531024993
16,16,2020-10-20,90700.0,1600.0,498432,155571,109207,46364,132363,56622,75741,-122105,210498,332603,42.23203967642527,2.5912356215516468,66.72986485618901,35.26064924516417,-24.49782517976374,9.301970980996405,15.195854198767334
17,17,2020-10-19,89100.0,-800.0,487840,131845,176204,-44359,102685,106597,-3912,48271,253310,205039,51.92481141357821,9.692771737152944,42.02996884224336,-24.699896013945647,9.894842571334864,-9.092940308297802,-0.8019022630370614
18,18,2020-10-16,89900.0,-1500.0,749853,105345,204723,-99378,126294,94888,31406,67972,518214,450242,69.10874531408156,17.18393390050334,60.044035297585,18.014066455341638,9.064710016496567,-13.252997587527155,4.188287571030589
19,19,2020-10-15,91400.0,0.0,678538,138792,221875,-83083,237421,98953,138468,-55385,302325,357710,44.55535283211847,-24.55339248196309,52.71775493782221,-7.326280359762792,-8.162402105703734,-12.244413724802444,20.406815830506176
20,20,2020-10-14,91400.0,-300.0,847948,145916,286077,-140161,233661,209185,24476,115685,468371,352686,55.23581634722884,10.680463515110377,41.592880695514346,-11.12487424230786,13.642935651714492,-16.529433408652416,2.8864977569379255
21,21,2020-10-13,91700.0,-200.0,1015570,183145,332429,-149284,222436,108736,113700,35584,609989,574405,60.06370806542138,4.827891718192539,56.55986293411581,14.966982238601467,3.5038451313055723,-14.699528343688765,11.195683212383194
22,22,2020-10-12,91900.0,-1400.0,1139080,91128,370907,-279779,183841,257672,-73831,353610,864111,510501,75.86043122519929,15.796723159777914,44.81695754468518,-11.742905389430632,31.0434736805141,-24.561839379148083,-6.4816343013660145
23,23,2020-10-08,93300.0,-2800.0,2181852,362224,793552,-431328,355135,347626,7509,423819,1464493,1040674,67.12155544922386,-8.73887577597543,47.696819032638324,2.8798614879531432,19.424736416585542,-19.768893582149477,0.3441571655639338
24,24,2020-10-07,96100.0,1700.0,1263545,315330,264567,50763,464674,302556,162118,-212881,483541,696422,38.268601434851945,-28.85295401437192,55.1165174172665,7.419698384628178,-16.847915982414555,4.01750630171462,12.830409680699935
25,25,2020-10-06,94400.0,2300.0,2733167,517620,599783,-82163,703876,269804,434072,-351909,1511671,1863580,55.308402303993866,17.03980086914192,68.18390533765408,13.06738792038758,-12.87550303366022,-3.006146349637618,15.881649383297837
26,26,2020-10-05,92100.0,400.0,1007727,186363,302059,-115696,452195,307831,144364,-28668,369169,397837,36.63383039255672,-18.67457191143715,39.478648483170545,-28.705256854483533,-2.844818090613827,-11.48088718472364,14.325705275337468
27,27,2020-09-29,91700.0,0.0,808542,158547,136412,22135,292357,253973,38384,-60519,357638,418157,44.232457930447644,7.598627537890928,51.71741232984805,12.238763846677498,-7.484954399400403,2.737643808237544,4.747310591162859
28,28,2020-09-28,91700.0,-1200.0,905918,195510,285272,-89762,188274,191387,-3113,92875,522134,429259,57.63590082104562,13.403442890597972,47.383869180212784,-4.333543149635267,10.252031640832834,-9.90840230572745,-0.3436293351053848
29,29,2020-09-25,92900.0,3400.0,1625943,554999,280100,274899,376890,189412,187478,-462377,694054,1156431,42.68624422873373,-14.94965659231189,71.12371097879814,23.73984179858537,-28.437466750064424,16.907050247148884,11.53041650291554
30,30,2020-09-24,89500.0,-1700.0,1150871,461461,310539,150922,225442,341006,-115564,-35358,463968,499326,40.31450961923621,-2.371734609497516,43.386791395386616,-27.73691958341152,-3.0722817761504113,13.113719956450375,-10.041438180299965
31,31,2020-09-23,91200.0,2300.0,1121711,380964,325952,55012,377624,209150,168474,-223486,363123,586609,32.37224204808547,-7.942267571150744,52.29591222694615,8.909120831559541,-19.923670178860686,4.904293530151706,15.019376648708981
32,32,2020-09-22,88900.0,-2000.0,1054942,156623,366137,-209514,337702,311847,25855,183659,560617,376958,53.14197368196545,20.769731633879978,35.732580558931204,-16.56333166801496,17.409393123034253,-19.860238761941414,2.4508456389071624
33,33,2020-09-21,90900.0,1000.0,1050515,279686,389868,-110182,221416,110478,110938,-756,549413,550169,52.299396010528156,-0.842577671437283,52.371360713554786,16.638780154623575,-0.07196470302661076,-10.48837950909792,10.56034421212453
34,34,2020-09-18,89900.0,-700.0,931059,204413,329501,-125088,276960,289058,-12098,137186,449686,312500,48.29833555123789,-4.001060459290272,33.563930964632746,-18.807429748922036,14.734404586605145,-13.43502398881274,-1.2993805977924062
