,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,238500.0,1500.0,394571,227139,111880,115259,107648,163668,-56020,-59239,59784,119023,15.151645711418226,,30.16516672538022,,-15.013521013961999,29.21121927359081,-14.197698259628812
1,1,2020-11-10,237000.0,3000.0,465479,195634,149026,46608,180384,112899,67485,-114093,89461,203554,19.21912696383725,4.067481252419027,43.730007153921015,13.564840428540794,-24.510880190083764,10.012911431020518,14.497968759063244
2,2,2020-11-09,234000.0,6000.0,346313,162017,137702,24315,110782,49086,61696,-86011,73514,159525,21.227617790842388,2.0084908270051365,46.06382087880039,2.333813724879377,-24.836203087958005,7.021105185193741,17.81509790276426
3,3,2020-11-06,228000.0,1000.0,292212,133812,114342,19470,97092,83437,13655,-33125,61308,94433,20.98065787852655,-0.2469599123158375,32.316605751988284,-13.747215126812108,-11.335947873461734,6.662970719888301,4.672977153573433
4,4,2020-11-05,227000.0,8000.0,492058,196742,162481,34261,203502,117928,85574,-119835,91814,211649,18.65918245410094,-2.3214754244256106,43.01301879046779,10.696413038479506,-24.35383633636685,6.96279706863825,17.3910392677286
5,5,2020-11-04,219000.0,-1500.0,317582,168511,149228,19283,78307,77217,1090,-20373,70764,91137,22.282119263686234,3.6229368095852905,28.697155380342718,-14.315863410125074,-6.415036116656486,6.071817672286213,0.3432184443702729
6,6,2020-11-03,220500.0,4500.0,317709,160203,67084,93119,114884,87019,27865,-120984,42622,163606,13.4154210299362,-8.86669823375003,51.49555096015536,22.798395579812656,-38.080129930219165,29.309525383291,8.770604546928164
7,7,2020-11-02,216000.0,8000.0,442086,220150,153415,66735,160468,140618,19850,-86585,61468,148053,13.904082011192394,0.4886609812561922,33.489637762788234,-18.005913197367136,-19.585555751595844,15.095479160163407,4.4900765914324365
8,8,2020-10-30,208000.0,-4000.0,369989,136121,122416,13705,150225,162935,-12710,-995,83643,84638,22.60688831289579,8.702806301703399,22.875815226939178,-10.613822535849057,-0.2689269140433905,3.704164177853936,-3.4352372638105457
9,9,2020-10-29,212000.0,-4000.0,450580,119218,127973,-8755,202421,171727,30694,-21939,128941,150880,28.616671845177326,6.009783532281535,33.485729504194595,10.609914277255417,-4.869057659017266,-1.943051178481069,6.812108837498336
10,10,2020-10-28,216000.0,-4000.0,298845,117391,92678,24713,77766,142334,-64568,39855,103688,63833,34.696247218457735,6.079575373280402,21.35990229048503,-12.125827213709565,13.336344927972695,8.269504258060199,-21.605849186032895
11,11,2020-10-27,220000.0,2000.0,511872,132221,139788,-7567,309849,276042,33807,-26240,69802,96042,13.63661227806952,-21.059634940388207,18.762893848462113,-2.5970084420229185,-5.126281570392599,-1.4782992623155788,6.604580832708177
12,12,2020-10-26,218000.0,-2000.0,600037,255318,230084,25234,126552,212003,-85451,60217,218167,157950,36.35892453298713,22.722312254917608,26.32337672510195,7.560482876639843,10.03554780788518,4.205407333214452,-14.240955141099633
13,13,2020-10-23,220000.0,10000.0,903396,534850,290407,244443,147669,141915,5754,-250197,220877,471074,24.449632276432485,-11.909292256554648,52.14479585918025,25.821419134078287,-27.695163582747764,27.058233598554786,0.6369299841929785
