,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,230500.0,3500.0,353850,126903,87741,39162,120928,96434,24494,-63656,106019,169675,29.96156563515614,,47.95110922707362,,-17.989543591917478,11.067401441288682,6.9221421506287975
1,1,2020-11-10,227000.0,1500.0,485633,73459,91640,-18181,274424,294782,-20358,38539,137750,99211,28.365041090700178,-1.5965245444559637,20.429213006529626,-27.521896220543994,7.935828084170557,-3.7437735903449725,-4.192054493825585
2,2,2020-11-09,225500.0,-1500.0,334885,102508,112636,-10128,67153,156161,-89008,99136,165224,66088,49.33753378025293,20.972492689552745,19.734535736148228,-0.6946772703813942,29.60299804410469,-3.0243217821043045,-26.57867626200039
3,3,2020-11-06,227000.0,4000.0,356362,108490,115981,-7491,149575,69797,79778,-72287,98297,170584,27.583468495518602,-21.754065284734324,47.86817898653617,28.133643250387937,-20.28471049101756,-2.102075978920311,22.38678646993787
4,4,2020-11-05,223000.0,4500.0,409377,104209,154336,-50127,170141,147324,22817,27310,135027,107717,32.98353351556145,5.400065020042851,26.312421069087907,-21.555757917448265,6.671112446473544,-12.24470353732623,5.573591090852686
5,5,2020-11-04,218500.0,-500.0,301637,102251,82446,19805,51038,162899,-111861,92056,148348,56292,49.180969178184384,16.197435662622922,18.662166776622232,-7.6502542924656725,30.51880240156214,6.565839071466697,-37.08464147302884
6,6,2020-11-03,219000.0,4000.0,396439,127159,107656,19503,150988,216080,-65092,45589,118292,72703,29.83863847905983,-19.342330699124545,18.339013063800486,-0.32315371282174965,11.499625415259347,4.919546260584856,-16.419171675844204
7,7,2020-11-02,215000.0,1000.0,291912,86111,75269,10842,74177,160409,-86232,75390,131624,56234,45.09030118665899,15.251662707599161,19.264024774589604,0.9250117107891214,25.82627641206939,3.714133026391515,-29.540409438460905
8,8,2020-10-30,214000.0,-8500.0,507996,76999,96276,-19277,93217,298776,-205559,224836,337780,112944,66.49264954842164,21.402348361762648,22.233245931070318,2.9692211564807174,44.25940361735132,-3.79471491901511,-40.46468869833621
9,9,2020-10-29,222500.0,-7000.0,389701,68829,110243,-41414,27784,197651,-169867,211281,293088,81807,75.2084290263561,8.715779477934461,20.992247902879384,-1.2409980281909334,54.216181123476716,-10.62712181903562,-43.5890593044411
10,10,2020-10-28,229500.0,-3000.0,366158,124285,92376,31909,33895,232089,-198194,166285,207978,41693,56.800069915173225,-18.408359111182865,11.386614521599965,-9.605633381279423,45.413455393573265,8.714543994668968,-54.12799938824224
11,11,2020-10-27,232500.0,-1500.0,198183,92687,74085,18602,15235,77966,-62731,44129,90261,46132,45.544269690134875,-11.255800225038355,23.277475868263174,11.890861346663206,22.266793821871705,9.386274302033979,-31.653068123905683
12,12,2020-10-26,234000.0,-4500.0,150976,82226,40666,41560,12490,50233,-37743,-3817,56260,60077,37.26420093259856,-8.28006875753632,39.79241733785503,16.51494146959185,-2.5282164052564644,27.527554048325563,-24.999337643069097
13,13,2020-10-23,238500.0,0.0,147788,100042,41991,58051,17290,34846,-17556,-40495,30456,70951,20.607897799550713,-16.656303133047846,48.00863398922781,8.21621665137279,-27.400736189677104,39.27991447208163,-11.879178282404526
14,14,2020-10-22,238500.0,500.0,186902,106193,68412,37781,35878,69787,-33909,-3872,44831,48703,23.986367187082,3.3784693875312897,26.058041112454656,-21.950592876773158,-2.071673925372655,20.214336925233546,-18.14266299986089
15,15,2020-10-21,238000.0,5000.0,207784,97913,66078,31835,72898,38635,34263,-66098,36973,103071,17.7939591113849,-6.192408075697099,49.604878142686644,23.54683703023198,-31.810919031301736,15.321198937358025,16.48972009394371
16,16,2020-10-20,233000.0,500.0,193210,104140,60899,43241,34104,71432,-37328,-5913,54966,60879,28.448838051860672,10.654878940475768,31.50923865224367,-18.09563949044297,-3.060400600383003,22.38031157807567,-19.319910977692665
17,17,2020-10-19,232500.0,-2000.0,238800,142368,97668,44700,24225,69336,-45111,411,72207,71796,30.237437185929647,1.7885991340689813,30.065326633165828,-1.4439120190778425,0.1721105527638191,18.718592964824122,-18.89070351758794
18,18,2020-10-16,234500.0,0.0,313341,197295,100920,96375,63069,114637,-51568,-44807,52977,97784,16.90713950616102,-13.330297679768632,31.206896001480818,1.1415693683149897,-14.299756495319796,30.757226152977108,-16.457469657657313
19,19,2020-10-15,234500.0,4000.0,654059,278628,117878,160750,225879,324530,-98651,-62099,149552,211651,22.865215523370214,5.958076017209197,32.35961893346013,1.1527229319793155,-9.494403410089916,24.577293485755874,-15.082890075665956
20,20,2020-10-14,230500.0,-12000.0,860420,239492,176327,63165,110294,337504,-227210,164045,510634,346589,59.347063062225416,36.481847538855206,40.28137421259385,7.921755279133719,19.065688849631574,7.341182213337673,-26.40687106296925
21,21,2020-10-13,242500.0,3000.0,184800,86484,77359,9125,41584,24456,17128,-26253,56732,82985,30.699134199134196,-28.647928863091227,44.90530303030303,4.623928817709178,-14.206168831168831,4.937770562770563,9.268398268398268
22,22,2020-10-12,239500.0,-500.0,189246,94088,86727,7361,42151,51309,-9158,1797,53007,51210,28.00957483909832,-2.6895593600358834,27.06001712057322,-17.84528590972981,0.9495577185250943,3.8896462805026264,-4.8392039990277205
23,23,2020-10-08,240000.0,-1000.0,233062,95588,131509,-35921,68825,45945,22880,13041,68649,55608,29.455252250474125,1.4456774113758082,23.859745475452886,-3.2002716451203383,5.595506775021239,-15.412636980717577,9.817130205696339
24,24,2020-10-07,241000.0,0.0,179764,115551,71955,43596,15677,57720,-42043,-1553,48536,50089,26.999844240226068,-2.4554080102480533,27.863754700607466,4.0040092251545785,-0.863910460381389,24.251796800249217,-23.387886339867826
25,25,2020-10-06,241000.0,500.0,181255,87672,88998,-1326,53064,23152,29912,-28586,40519,69105,22.354693663623074,-4.6451505766029975,38.12584480428127,10.262090103673804,-15.771151140658189,-0.7315660257648064,16.502717166422997
26,26,2020-10-05,240500.0,2500.0,247547,128777,85492,43285,65832,83416,-17584,-25701,52938,78639,21.38502991351137,-0.9696637501116996,31.767300755008137,-6.358544049273129,-10.382270841496766,17.485568397112466,-7.103297555615701
27,27,2020-09-29,238000.0,5000.0,225845,102722,63666,39056,85915,65992,19923,-58979,37208,96187,16.47501605083132,-4.910013862680053,42.589829307711035,10.822528552702906,-26.114813256879717,17.293276362106756,8.821536894772963
28,28,2020-09-28,233000.0,2000.0,108166,58278,33955,24323,16171,29217,-13046,-11277,33717,44994,31.171532644269,14.696516593437677,41.59717471294122,-0.9926545947698244,-10.425642068672227,22.486733354288777,-12.061091285616552
29,29,2020-09-25,231000.0,500.0,162365,85719,57011,28708,18644,34457,-15813,-12895,58002,70897,35.72321621039017,4.5516835661211745,43.66519878052536,2.0680240675841404,-7.941982570135189,17.681150494256766,-9.739167924121578
30,30,2020-09-24,230500.0,-2500.0,237132,86255,74356,11899,83738,52620,31118,-43017,67139,110156,28.312922760319147,-7.4102934500710225,46.453452085758144,2.788253305232786,-18.140529325438997,5.017880336690114,13.122648988748882
31,31,2020-09-23,233000.0,-4500.0,352067,126716,135486,-8770,60765,62286,-1521,10291,164586,154295,46.74848821389111,18.43556545357196,43.8254650393249,-2.6279870464332404,2.9230231745662048,-2.4910031329264033,-0.4320200416398015
32,32,2020-09-22,237500.0,-3000.0,236983,68523,84495,-15972,70181,36723,33458,-17486,98279,115765,41.47090719587481,-5.277581018016292,48.84949553343489,5.0240304941099865,-7.378588337560078,-6.739723946443416,14.118312284003494
33,33,2020-09-21,240500.0,-3500.0,214090,110047,72870,37177,23870,29572,-5702,-31475,80173,111648,37.448269419403054,-4.022637776471761,52.1500303610631,3.300534827628212,-14.70176094166005,17.36512681582512,-2.6633658741650708
34,34,2020-09-18,244000.0,0.0,220441,71797,68994,2803,97293,76358,20935,-23738,51351,75089,23.294668414677854,-14.153601004725205,34.06308263889204,-18.086947722171058,-10.768414224214188,1.271542045263812,9.496872178950376
35,35,2020-09-17,244000.0,1000.0,182401,68201,70435,-2234,48194,20962,27232,-24998,66006,91004,36.187301604706114,12.892633190028265,49.89227032746531,15.82918768857327,-13.704968722759196,-1.2247739869847205,14.929742709743916
36,36,2020-09-16,243000.0,-3000.0,214144,72955,103078,-30123,27299,16295,11004,19119,113890,94771,53.18383891213389,16.99653730742778,44.255734459055596,-5.636535868409723,8.928104453078303,-14.066702779438135,5.1385983263598325
37,37,2020-09-15,246000.0,-2000.0,242579,93672,122187,-28515,11916,27410,-15494,44009,136991,92982,56.47273671669848,3.288897804564584,38.33060569958653,-5.925128759469062,18.14213101711195,-11.754933444362456,-6.387197572749496
38,38,2020-09-14,248000.0,5000.0,280140,87841,72379,15462,99221,29581,69640,-85102,93078,178180,33.22553009209681,-23.247206624601674,63.6039123295495,25.273306629962978,-30.3783822374527,5.519383165560077,24.858999071892626
39,39,2020-09-11,243000.0,3000.0,252239,93013,65914,27099,32629,47768,-15139,-11960,126597,138557,50.189304588108904,16.963774496012086,54.93083940231288,-8.673072927236625,-4.741534814203989,10.743382268404172,-6.001847454200183
40,40,2020-09-10,240000.0,2000.0,307926,102175,171241,-69066,127046,49508,77538,-8472,78705,87177,25.55971239843339,-24.629592189675513,28.311022778199955,-26.61981662411293,-2.7513103797665672,-22.429414859414276,25.18072523918084
41,41,2020-09-09,238000.0,-3500.0,308688,122291,101941,20350,64175,65674,-1499,-18851,122222,141073,39.59402373918001,14.034311340746624,45.700837091172964,17.389814312973012,-6.106813351992951,6.592416938786088,-0.4856035867931374
42,42,2020-09-08,241500.0,-2000.0,295082,84361,124691,-40330,52463,61310,-8847,49177,158258,109081,53.63187181868091,14.037848079500895,36.96633478151836,-8.734502309654609,16.66553703716255,-13.667387370290292,-2.9981496668722594
43,43,2020-09-07,243500.0,6000.0,366779,104330,95858,8472,65062,65349,-287,-8185,197387,205572,53.816330815013956,0.18445899633304208,56.04791986455058,19.08158508303223,-2.231589049536642,2.3098378042363383,-0.07824875469969655
44,44,2020-09-04,237500.0,-3500.0,485708,105511,158675,-53164,143332,153270,-9938,63102,236865,173763,48.766954631177576,-5.0493761838363715,35.775198267271705,-20.272721597278892,12.991756363905886,-10.945671061625504,-2.0460853022803827
45,45,2020-09-03,241000.0,-1500.0,370100,87368,137457,-50089,93265,116016,-22751,72840,189467,116627,51.19346122669549,2.426506595517914,31.51229397460146,-4.262904292670239,19.681167252094028,-13.533909754120508,-6.147257497973521
46,46,2020-09-02,242500.0,500.0,370388,83298,176292,-92994,85464,53170,32294,60700,201626,140926,54.43642882598788,3.2429675992923923,38.04820890525611,6.535914930654652,16.388219920731775,-25.107184897998856,8.718964977267083
47,47,2020-09-01,242000.0,-6000.0,528401,124561,289348,-164787,178078,118819,59259,105528,225762,120234,42.725505818497695,-11.710923007490187,22.754309700397997,-15.293899204858118,19.9711961180997,-31.185974288466525,11.214778170366824
48,48,2020-08-31,248000.0,5500.0,2365827,199472,458695,-259223,1892124,1458260,433864,-174641,274231,448872,11.591337828167484,-31.13416799033021,18.9731539964672,-3.781155703930793,-7.381816168299711,-10.956971917219645,18.338788085519354
49,49,2020-08-28,242500.0,-3000.0,845757,166167,334962,-168795,171324,126036,45288,123507,508266,384759,60.09598501697296,48.50464718880548,45.49285433049919,26.51970033403198,14.603130686473774,-19.957860236450895,5.3547295499771215
50,50,2020-08-27,245500.0,-3000.0,578642,138557,191029,-52472,121090,174929,-53839,106311,318995,212684,55.12821399068854,-4.967771026284417,36.75571424127527,-8.73714008922392,18.372499749413283,-9.068128480131065,-9.304371269282216
51,51,2020-08-26,248500.0,1000.0,494139,118564,172175,-53611,114996,105713,9283,44328,260579,216251,52.733947330609396,-2.394266660079147,43.7631921382445,7.007477896969235,8.970755192364901,-10.849376390044096,1.8786211976791956
52,52,2020-08-25,247500.0,5500.0,632697,162082,202687,-40605,183286,105921,77365,-36760,287329,324089,45.41336532336964,-7.320582007239758,51.22341341906157,7.4602212808170725,-5.8100480956919345,-6.417763953361562,12.227812049053496
53,53,2020-08-24,242000.0,6500.0,537847,146102,184440,-38338,119970,106744,13226,25112,271775,246663,50.5301693604315,5.116804037061861,45.86118357079243,-5.362229848269138,4.668985789639061,-7.128049426695696,2.459063637056635
54,54,2020-08-21,235500.0,8000.0,559220,210853,207819,3034,152145,65816,86329,-89363,196222,285585,35.08851614749115,-15.441653212940352,51.06845248739316,5.207268916600724,-15.979936339902006,0.5425413969457459,15.43739494295626
55,55,2020-08-20,227500.0,-3500.0,673961,188287,266355,-78068,195520,161136,34384,43684,290154,246470,43.052046038272245,7.963529890781096,36.57036534754978,-14.498087139843378,6.4816806907224604,-11.583459577037841,5.101778886315381
56,56,2020-08-19,231000.0,2000.0,436293,161154,176920,-15766,154450,124156,30294,-14528,120689,135217,27.6623736800728,-15.389672358199453,30.992246036493825,-5.578119311055957,-3.329872356421029,-3.61362662247618,6.943498978897209
57,57,2020-08-18,229000.0,-8000.0,735510,202822,266903,-64081,297031,173298,123733,-59652,235657,295309,32.03994507212683,4.377571392054033,40.15023589074248,9.157989854248656,-8.110290818615654,-8.712458022324645,16.8227488409403
58,58,2020-08-14,237000.0,-5000.0,527180,232692,166273,66419,114077,203276,-89199,22780,180411,157631,34.22189764406844,2.181952571941615,29.900792898061386,-10.249442992681091,4.321104746007056,12.59892256914147,-16.920027315148527
59,59,2020-08-13,242000.0,500.0,955607,368965,413271,-44306,367157,218120,149037,-104731,219485,324216,22.968123925421228,-11.253773718647217,33.92775481971145,4.0269619216500665,-10.959630894290227,-4.636424806431933,15.59605570072216
60,60,2020-08-12,241500.0,4500.0,565000,202105,209579,-7474,143247,67500,75747,-68273,219648,287921,38.875752212389386,15.907628286968155,50.95946902654868,17.031714206837222,-12.083716814159292,-1.3228318584070797,13.406548672566371
