,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,512000.0,-21000.0,656555,131293,123948,7345,174505,211328,-36823,29478,350757,321279,53.42385634105293,,48.93405731431487,,4.48979902673805,1.1187181576562513,-5.608517184394301
1,1,2020-11-10,533000.0,0.0,596508,150891,181799,-30908,121698,120839,859,30049,323919,293870,54.302540787382576,0.8786844463296433,49.265055959014795,0.3309986446999247,5.037484828367767,-5.181489602821756,0.14400477445398888
2,2,2020-11-09,533000.0,34000.0,824167,209037,189580,19457,213455,81038,132417,-151874,401675,553549,48.73708847842732,-5.565452308955258,67.16466444300731,17.899608483992516,-18.427575964579994,2.360807943050377,16.06676802152962
3,3,2020-11-06,499000.0,15000.0,865926,253836,228792,25044,289556,71271,218285,-243329,322534,565863,37.24729364864896,-11.489794829778347,65.34773179232404,-1.816932650683256,-28.100438143675095,2.8921639955377247,25.20827414813737
4,4,2020-11-05,484000.0,24500.0,727072,245906,137475,108431,226493,26719,199774,-308205,254673,562878,35.02720500858237,-2.220088640066592,77.41709211742442,12.069360325100362,-42.38988710884204,14.913378592491528,27.476508516350513
5,5,2020-11-04,459500.0,0.0,493759,156782,133179,23603,71353,74264,-2911,-20692,265624,286316,53.796285232269184,18.76908022368681,57.98699365479921,-19.430098462625214,-4.19070842253002,4.780267296393585,-0.589558873863565
6,6,2020-11-03,459500.0,19500.0,712258,252388,134937,117451,207867,53320,154547,-271998,252003,524001,35.38085918304884,-18.415426049220343,73.56898764211843,15.581993987319242,-38.18812845906961,16.489951674814463,21.698176784255143
7,7,2020-11-02,440000.0,-2000.0,460501,111865,114308,-2443,73808,167012,-93204,95647,274828,179181,59.6802178496898,24.29935866664096,38.910013224726974,-34.65897441739146,20.770204624962812,-0.5305091628465519,-20.23969546211626
8,8,2020-10-30,442000.0,10500.0,1316269,311775,188309,123466,609286,286953,322333,-445799,395208,841007,30.02486573793047,-29.655352111759328,63.893246745156205,24.983233520429216,-33.86838100722573,9.379997553691533,24.488383453534194
9,9,2020-10-29,431500.0,1500.0,261803,77724,104544,-26820,61541,65128,-3587,30407,122538,92131,46.80542239775709,16.780556659826622,35.19096419827122,-28.70228254688498,11.614458199485872,-10.244344029671165,-1.370114169814708
10,10,2020-10-28,430000.0,0.0,257709,54086,123154,-69068,88428,23947,64481,4587,115195,110608,44.69964184409547,-2.105780553661617,42.919727289306934,7.7287630910357175,1.7799145547885407,-26.800771412717445,25.020856857928905
11,11,2020-10-27,430000.0,12500.0,399221,167383,125094,42289,99024,69069,29955,-72244,132814,205058,33.26828999476481,-11.43135184933067,51.36453242690139,8.444805137594457,-18.096242432136584,10.592879633085435,7.503362799051152
12,12,2020-10-26,417500.0,-7000.0,174312,58555,58070,485,30099,35675,-5576,5091,85658,80567,49.140621414475184,15.872331419710386,46.2199963284226,-5.1445360984787945,2.9206250860525955,0.2782367249529579,-3.1988618110055533
13,13,2020-10-23,424500.0,-5000.0,143468,49691,53252,-3561,29168,19232,9936,-6375,64609,70984,45.03373574595032,-4.106885668524875,49.47723534167897,3.257239013256388,-4.443499595728664,-2.4820865977081996,6.925586193436864
14,14,2020-10-22,429500.0,-3500.0,193326,69279,55968,13311,47545,59852,-12307,-1004,76502,77506,39.571500987968506,-5.462234757981803,40.090831031521894,-9.386404310157095,-0.5193300435533762,6.885261165078675,-6.365931121525299
15,15,2020-10-21,433000.0,500.0,239137,86243,110723,-24480,83205,39300,43905,-19425,69689,89114,29.14187265040541,-10.429628337563097,37.26483145644547,-2.825999575076416,-8.122958806040053,-10.23680986212924,18.35976866816929
16,16,2020-10-20,432500.0,19500.0,317386,106775,85108,21667,92937,30583,62354,-84021,117674,201695,37.0759894891394,7.9341168387339875,63.54880177449541,26.283970318049942,-26.472812285356003,6.826703131203015,19.646109154152988
17,17,2020-10-19,413000.0,-7000.0,283672,95278,122901,-27623,53928,53315,613,27010,134466,107456,47.40192898840914,10.325939499269744,37.880368876730884,-25.66843289776453,9.521560111678276,-9.737654756197298,0.21609464451902197
18,18,2020-10-16,420000.0,-9000.0,301054,86367,109102,-22735,42607,76769,-34162,56897,172080,115183,57.159180744982635,9.75725175657348,38.25991350388967,0.3795446271587935,18.89926724109296,-7.551801337965946,-11.347465903127015
19,19,2020-10-15,429000.0,-9500.0,273763,71407,122579,-51172,46931,48560,-1629,52801,155425,102624,56.773559611780996,-0.3856211332016386,37.48643900015707,-0.7734745037326007,19.287120611623923,-18.692080376091727,-0.5950402355321939
20,20,2020-10-14,438500.0,-7000.0,286567,74108,93970,-19862,84009,91157,-7148,27010,128450,101440,44.82372359692497,-11.949836014856011,35.3983536136401,-2.08808538651698,9.425369983284886,-6.931014387560326,-2.49435559572456
21,21,2020-10-13,445500.0,5500.0,262374,56541,94753,-38212,130502,60950,69552,-31340,75331,106671,28.711305236037106,-16.112418360887872,40.656086350019436,5.257732736379347,-11.94478111398233,-14.563943073627723,26.508724187610053
22,22,2020-10-12,440000.0,-5000.0,279158,59350,63343,-3993,67477,102746,-35269,39262,152331,113069,54.56802241024796,25.856717174210853,40.503585782961615,-0.1525005670578139,14.064436627286339,-1.430372763811175,-12.634063863475165
23,23,2020-10-08,445000.0,5500.0,389076,128795,123169,5626,170045,74811,95234,-100860,90236,191096,23.19238400723766,-31.375638403010306,49.11533993358624,8.61175415062462,-25.92295592634858,1.4459899865321941,24.476965939816385
24,24,2020-10-07,439500.0,3000.0,207266,83277,62095,21182,67252,53971,13281,-34463,56737,91200,27.374002489554485,4.181618482316825,44.001428116526576,-5.11391181705966,-16.627425626972105,10.219717657502919,6.407707969469184
25,25,2020-10-06,436500.0,0.0,174258,52358,60674,-8316,29925,38132,-8207,16523,91975,75452,52.78093401737654,25.40693152782205,43.299016400968675,-0.7024117155579077,9.481917616407856,-4.772234273318872,-4.709683343088983
26,26,2020-10-05,436500.0,3000.0,287112,71905,73818,-1913,146749,116276,30473,-28560,68458,97018,23.843656830783807,-28.93727718659273,33.790994455125535,-9.508021945843149,-9.94733762434172,-0.6662905068405361,10.613628131182256
27,27,2020-09-29,433500.0,12500.0,290281,85747,73222,12525,95544,101506,-5962,-6563,108990,115553,37.546377475618456,13.702720644834653,39.80729017744874,6.016295722323214,-2.2609127018302955,4.314784639711176,-2.053871937880881
28,28,2020-09-28,421000.0,9000.0,229317,84532,59600,24932,60942,52370,8572,-33504,83843,117347,36.56205165774889,-0.9843258178695748,51.172394545541756,11.365104368093018,-14.61034288779288,10.872285962226961,3.7380569255659197
29,29,2020-09-25,412000.0,2000.0,293217,106288,77811,28477,86607,46665,39942,-68419,100322,168741,34.2142508790418,-2.3478007787070823,57.54816398776333,6.375769442221568,-23.33391310872153,9.711919840936917,13.62199326778461
30,30,2020-09-24,410000.0,-26500.0,722856,183568,219387,-35819,120722,149322,-28600,64419,418566,354147,57.9044789003619,23.690228021320106,48.9927454430758,-8.555418544687534,8.911733457286099,-4.955205462775435,-3.956527994510663
31,31,2020-09-23,436500.0,-10000.0,589077,201991,236590,-34599,48392,74670,-26278,60877,338694,277817,57.49570938943465,-0.4087695109272431,47.16140674309132,-1.8313386999844847,10.334302646343348,-5.8734257151442,-4.460876931199147
32,32,2020-09-22,446500.0,500.0,441003,109229,146736,-37507,98840,49771,49069,-11562,232934,244496,52.81914181989692,-4.676567569537738,55.440892692339965,8.279485949248643,-2.6217508724430445,-8.504930805459374,11.126681677902418
33,33,2020-09-21,446000.0,-7000.0,424967,111654,120415,-8761,66182,60021,6161,2600,247131,244531,58.15298599655974,5.333844176662815,57.54117378525861,2.1002810929186566,0.6118122113011127,-2.0615718396957883,1.4497596283946754
34,34,2020-09-18,453000.0,7500.0,394156,111209,106904,4305,80146,58994,21152,-25457,202801,228258,51.45196318209034,-6.70102281446939,57.9105734785212,0.3693996932625865,-6.458610296430855,1.092207146409036,5.366403150021819
35,35,2020-09-17,445500.0,-4000.0,655397,218912,199731,19181,51374,81907,-30533,11352,385111,373759,58.7599577050246,7.307994522934243,57.027877759586936,-0.8826957189342579,1.7320799454376508,2.926623100197285,-4.658703045634936
36,36,2020-09-16,449500.0,-3000.0,365621,97696,110331,-12635,50624,71381,-20757,33392,217301,183909,59.43340234833339,0.6734446433087982,50.30044773139397,-6.727430028192963,9.132954616939399,-3.4557643023786926,-5.677190314560706
37,37,2020-09-15,452500.0,16500.0,410696,149226,96506,52720,56244,30739,25505,-78225,205226,283451,49.970294329625816,-9.463108018707581,69.01722928881703,18.71678155742305,-19.046934959191226,12.836745427274675,6.210189531916551
