,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,761000.0,9000.0,117807,24454,11174,13280,21628,14358,7270,-20550,71725,92275,60.88347891042129,,78.32726408447716,,-17.443785174055872,11.272674798611288,6.1711103754445835
1,1,2020-11-10,752000.0,-9000.0,210011,13664,62862,-49198,16918,37079,-20161,69359,179429,110070,85.43790563351443,24.554426723093147,52.41154034788654,-25.91572373659061,33.0263652856279,-23.42639195089781,-9.599973334730086
2,2,2020-11-09,761000.0,-16000.0,263933,26307,90159,-63852,21177,41222,-20045,83897,216449,132552,82.00907048379702,-3.4288351497174148,50.22183660247107,-2.189703745415464,31.787233881325943,-24.192503400484213,-7.594730480841728
3,3,2020-11-06,777000.0,-4000.0,157305,35489,16435,19054,17600,33559,-15959,-3095,104216,107311,66.25091382982104,-15.758156653975973,68.21842916626935,17.996592563798266,-1.9675153364483011,12.112774546263628,-10.145259209815327
4,4,2020-11-05,781000.0,48000.0,447218,142471,18776,123695,133052,52863,80189,-203884,171695,375579,38.39179102808921,-27.85912280173184,83.98119038142472,15.762761215155379,-45.58939935333551,27.658770443050145,17.930628910285364
5,5,2020-11-04,733000.0,34000.0,252251,73425,10633,62792,47598,16602,30996,-93788,131228,225016,52.02278682740604,13.630995799316821,89.20321425881365,5.222023877388921,-37.18042743140761,24.892666431451214,12.287760999956392
6,6,2020-11-03,699000.0,1000.0,97868,28471,6274,22197,13912,27440,-13528,-8669,55485,64154,56.69370989496056,4.670923067554534,65.5515592430621,-23.651655015751558,-8.857849348101524,22.680549311317286,-13.82269996321576
7,7,2020-11-02,698000.0,16000.0,84738,25547,6787,18760,7590,20605,-13015,-5745,51601,57346,60.89475795982912,4.201048064868552,67.67447898227478,2.1229197392126906,-6.779721022445656,22.138827916637165,-15.359106894191507
8,8,2020-10-30,682000.0,-15000.0,251134,52744,13609,39135,56292,66308,-10016,-29119,142098,171217,56.582541591341666,-4.312216368487442,68.17754664840284,0.5030676661280609,-11.59500505706117,15.583314087300007,-3.9883090302388364
9,9,2020-10-29,697000.0,60000.0,301106,47551,14924,32627,87570,49300,38270,-70897,165985,236882,55.12510544459426,-1.4574361467474188,78.67063426168858,10.493087613285738,-23.54552881709431,10.835718982683838,12.709809834410473
10,10,2020-10-28,637000.0,2000.0,55140,6483,12697,-6214,11140,17763,-6623,12837,37517,24680,68.03953572723975,12.914430282645498,44.758795792528105,-33.911838469160465,23.280739934711644,-11.26949582879942,-12.011244105912223
