,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,"61,300","1,100",25628510,10408477,7892021,2516456,11505883,4013242,7492641,-10009097,,,3714150,13723247,14.4922588164509,,53.546800028561925,,-39.05454121211104,9.818971138002171,29.235570074108875
1,1,2020-11-10,"60,200",0,19073552,9426666,11630302,-2203636,5397909,4456509,941400,1262236,,,4248977,2986741,22.276799832563963,7.7845410161130655,15.659070738371122,-37.88772929019081,6.617729094192838,-11.55335933233621,4.935630238143372
2,2,2020-11-09,"60,200",100,15892961,8354943,7342976,1011967,4850555,2715228,2135327,-3147294,,,2687463,5834757,16.90976904807103,-5.3670307844929335,36.71283784060126,21.05376710223014,-19.803068792530226,6.3673911991604335,13.435677593369794
3,3,2020-11-06,"60,100",-200,16910230,8318707,8954209,-635502,5091351,2483093,2608258,-1972756,,,3500172,5472928,20.69854756558604,3.788778517515009,32.364598234323246,-4.348239606278007,-11.666050668737208,-3.7580919952005383,15.424142663937747
4,4,2020-11-05,"60,300","1,800",20639475,9984962,7935436,2049526,8267046,1307283,6959763,-9009289,,,2387467,11396756,11.567479308461092,-9.131068257124948,55.21824561913518,22.85364738481192,-43.650766310674086,9.930126614170176,33.72063969650391
5,5,2020-11-04,"58,500",-300,21718561,12848309,10327082,2521227,2254620,7964082,-5709462,3188235,,,6615632,3427397,30.460728958976606,18.893249650515514,15.7809580478191,-39.43728757131608,14.679770911157512,11.608628214364662,-26.288399125522176
6,6,2020-11-03,"58,800","1,400",14950919,9015302,7151295,1864007,2415909,1990900,425009,-2289016,,,3519708,5808724,23.541750176025968,-6.918978782950639,38.85195284651064,23.070994798691544,-15.31020267048467,12.467507850186333,2.8426948202983375
7,7,2020-11-02,"57,400",800,20489076,10606785,11413908,-807123,3381286,3813111,-431825,1238948,,,6501005,5262057,31.729127267623007,8.187377091597035,25.68225624230199,-13.169696604208651,6.046871025321005,-3.9392845241044543,-2.107586501216551
8,8,2020-10-30,"56,600","-1,500",26907844,8665245,11314279,-2649034,5193660,11569686,-6376026,9025060,,,13048939,4023879,48.49492586622696,16.76579859860396,14.954297341697089,-10.727958900604902,33.54062852452987,-9.844839296674976,-23.695789227854895
9,9,2020-10-29,"58,100",-900,22636966,8065279,12611948,-4546669,2681878,5621701,-2939823,7486492,,,11889809,4403317,52.523862959373616,4.028937093146658,19.451886794369887,4.497589452672793,33.07197616500374,-20.085151870617292,-12.986824294386448
10,10,2020-10-28,"59,000",-800,14428882,5986879,8050393,-2063514,2225833,3532209,-1306376,3369890,,,6216170,2846280,43.08143901932249,-9.442423940051127,19.726268466260933,0.274381671891053,23.355170553061562,-14.301274346827427,-9.053896206234135
11,11,2020-10-27,"59,800",-600,17260416,6402172,9127410,-2725238,5658698,5585484,73214,2652024,,,5199546,2547522,30.124105931166433,-12.957333088156064,14.759331408930118,-4.966937057330815,15.364774522236312,-15.788947381105995,0.4241728588696819
12,12,2020-10-26,"60,400",200,13268226,7414586,6726804,687782,2424782,1599757,825025,-1512807,,,3428858,4941665,25.842625834079104,-4.281480097087332,37.24435354055621,22.485022131626092,-11.401727706477113,5.183677154730407,6.218050551746707
13,13,2020-10-23,"60,200",100,9322232,4165179,4224150,-58971,3108494,3248030,-139536,198507,,,2048559,1850052,21.97498410251965,-3.867641731559449,19.845590626794102,-17.398762913762113,2.1293934757255557,-0.6325845570030868,-1.4968089187224691
14,14,2020-10-22,"60,100",-800,14294095,6139033,6044341,94692,3560649,6241458,-2680809,2586117,,,4594413,2008296,32.14203487524044,10.167050772720788,14.049829667425607,-5.7957609593684944,18.092205207814835,0.6624553705568628,-18.7546605783717
