,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,56900.0,1400.0,3285787,170706,256049,-85343,1754401,1340717,413684,-328341,1360680,1689021,41.41108355471611,,51.40384936698575,,-9.992765812269633,-2.59733817195089,12.590103984220523
1,1,2020-11-10,55500.0,500.0,2606507,21091,63579,-42488,1694978,1104857,590121,-547633,890438,1438071,34.16211811439601,-7.248965440320107,55.17234367680578,3.768494309820035,-21.01022556240977,-1.6300742718128132,22.64029983422258
2,2,2020-11-09,55000.0,1200.0,2142600,74420,106977,-32557,1136755,399366,737389,-704832,931425,1636257,43.471716605992725,9.309598491596716,76.36782413889668,21.195480462090885,-32.89610753290395,-1.5195090077475963,34.41561654065154
3,3,2020-11-06,53800.0,300.0,2389344,122095,222889,-100794,1616325,399735,1216590,-1115796,650924,1766720,27.24279132682443,-16.228925279168287,73.94163418913308,-2.4261899497635824,-46.69884286230865,-4.218480051428342,50.91732291373699
4,4,2020-11-05,53500.0,1300.0,2026073,201714,123113,78601,1064884,537867,527017,-605618,759475,1365093,37.485075809213185,10.242284482388758,67.37629887965537,-6.565335309477718,-29.89122307044218,3.879475221277812,26.01174784916437
5,5,2020-11-04,52200.0,0.0,1447736,48650,88618,-39968,532326,663947,-131621,171589,866760,695171,59.87003155271403,22.38495574350084,48.01780158813485,-19.358497291520514,11.852229964579177,-2.7607243309553677,-9.09150563362381
6,6,2020-11-03,52200.0,1000.0,1960143,245436,263103,-17667,811793,858114,-46321,63988,902914,838926,46.06368004783325,-13.806351504880785,42.79922434230564,-5.2185772458292154,3.264455705527607,-0.9013117920478251,-2.363143913479782
7,7,2020-11-02,51200.0,1100.0,2743951,343309,383299,-39990,536971,599079,-62108,102098,1863671,1761573,67.91925220238991,21.855572154556672,64.19841316408346,21.399188821777827,3.7208390383064422,-1.4573875408124999,-2.263451497493942
8,8,2020-10-30,50100.0,-1600.0,3581887,155064,586215,-431151,732233,1652289,-920056,1351207,2694590,1343383,75.22822467598782,7.308972473597906,37.50489616227424,-26.69351700180922,37.72332851371358,-12.036979391030481,-25.6863491226831
9,9,2020-10-29,51700.0,-1200.0,3300363,141046,421114,-280068,202124,1430196,-1228072,1508140,2957193,1449053,89.60205286509392,14.373828189106105,43.90586732429129,6.400971162017058,45.69618554080263,-8.485975633589396,-37.21020990721324
10,10,2020-10-28,52900.0,-500.0,2083260,146250,554997,-408747,497676,887647,-389971,798718,1439334,640616,69.09046398433225,-20.511588880761682,30.750650422894893,-13.155216901396415,38.33981356143736,-19.62054664324184,-18.71926691819552
11,11,2020-10-27,53400.0,-100.0,1808876,118030,231211,-113181,673467,992259,-318792,431973,1017379,585406,56.24371156452958,-12.846752419802671,32.36297015384139,1.6123197309465027,23.880741410688184,-6.256979472335306,-17.623761938352878
12,12,2020-10-26,53500.0,200.0,2292408,211645,271422,-59777,420339,918063,-497724,557501,1660424,1102923,72.43143454393807,16.187722979408505,48.11198530104589,15.749015147204506,24.31944924289219,-2.6076073718116497,-21.71184187108054
13,13,2020-10-23,53300.0,-200.0,1455825,76355,108969,-32614,612010,791243,-179233,211847,767460,555613,52.71650095306784,-19.71493359087024,38.164820634348224,-9.947164666697669,14.551680318719626,-2.240241787302732,-12.311438531416893
14,14,2020-10-22,53500.0,300.0,2123010,78077,603618,-525541,1185607,761221,424386,101155,859326,758171,40.47677589837071,-12.239725054697132,35.71207860537633,-2.452742028971897,4.764697292994381,-24.75452305924136,19.98982576624698
15,15,2020-10-21,53200.0,-100.0,1801444,236925,130953,105972,344314,1240613,-896299,790327,1220205,429878,67.73482828220028,27.25805238382957,23.862967708127478,-11.849110897248845,43.8718605740728,5.8826141695217835,-49.754474743594585
16,16,2020-10-20,53300.0,300.0,1808384,333344,210892,122452,270434,621315,-350881,228429,1204606,976177,66.61229031002264,-1.1225379721776392,53.980625796291044,30.117658088163573,12.631664513731597,6.7713494479048695,-19.403013961636468
17,17,2020-10-19,53000.0,0.0,1602973,267901,277943,-10042,322467,608624,-286157,296199,1012605,716406,63.17043393744,-3.4418563725826488,44.69233106234478,-9.288294733946273,18.478102875095214,-0.6264609572338399,-17.851641917861375
18,18,2020-10-16,53000.0,-200.0,1977121,224053,356084,-132031,733805,694904,38901,93130,1019263,926133,51.55288927688291,-11.617544660557089,46.8425048340491,2.1501737717043237,4.7103844428337975,-6.677942321183175,1.9675578783493777
19,19,2020-10-15,53200.0,-400.0,2462706,135778,191133,-55355,1014255,1207210,-192955,248310,1312673,1064363,53.3020587922391,1.7491695153561937,43.219247445695906,-3.623257388353189,10.082811346543192,-2.2477307482094897,-7.835080598333703
20,20,2020-10-14,53600.0,200.0,3346129,431012,1098642,-667630,1548162,1132849,415313,252317,1366955,1114638,40.85183207222435,-12.450226720014749,33.31126803539254,-9.907979410303376,7.540564036831814,-19.952309071168507,12.411745034336692
21,21,2020-10-13,53400.0,1100.0,3716282,531820,751675,-219855,1886216,1066898,819318,-599463,1298246,1897709,34.9340012410253,-5.917830831199055,51.06472006160996,17.75345202621743,-16.130718820584658,-5.915993457977624,22.046712278562282
22,22,2020-10-12,52300.0,600.0,3716137,215317,103743,111574,2528745,1923449,605296,-716870,972075,1688945,26.158212143416673,-8.77578909760863,45.448943351657924,-5.61577670995205,-19.290731208241247,3.002418909744178,16.28831229849707
23,23,2020-10-08,51700.0,300.0,2263004,227731,185938,41793,1093729,835070,258659,-300452,941544,1241996,41.605936180404456,15.447724036987779,54.88262504175865,9.433681690100734,-13.2766888613542,1.8467930237860826,11.429895837568118
