,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,296500.0,20000.0,2765598,343880,282433,61447,289977,139589,150388,-211835,2131741,2343576,77.08065308117811,,84.74029848155807,,-7.659645400379954,2.22183412050486,5.437811279875094
1,1,2020-11-10,276500.0,-8500.0,1046021,117149,236096,-118947,102267,61040,41227,77720,826605,748885,79.02374808918749,1.9430950080093936,71.59368693362755,-13.146611547930519,7.430061155559974,-11.37137782128657,3.941316665726596
2,2,2020-11-09,285000.0,7500.0,886316,176452,139068,37384,73139,128057,-54918,17534,636725,619191,71.83950193836057,-7.184246150826922,69.86120074555802,-1.7324861880695153,1.978301192802567,4.21790873683878,-6.196209929641347
3,3,2020-11-06,277500.0,5500.0,1189737,155225,179992,-24767,127980,123385,4595,20172,906532,886360,76.1959996200841,4.3564976817235115,74.50049884974578,4.639298104187759,1.6955007703383185,-2.0817205819437405,0.386219811605422
4,4,2020-11-05,272000.0,1500.0,965754,181784,156375,25409,120082,179712,-59630,34221,663888,629667,68.74297181269765,-7.453027807386447,65.19952285985872,-9.30097598988705,3.5434489528389217,2.631001269474421,-6.174450222313343
5,5,2020-11-04,270500.0,11500.0,1326699,288095,186920,101175,144866,158555,-13689,-87486,893738,981224,67.36554410608586,-1.3774277066117833,73.95980550222771,8.760282642368978,-6.594261396141853,7.626070419891777,-1.0318090237499238
6,6,2020-11-03,259000.0,14500.0,1016373,179035,85534,93501,141402,78831,62571,-156072,695936,852008,68.4724997614065,1.1069556553206326,83.82827957846185,9.868474076234136,-15.355779817055353,9.199476963673769,6.156302853381583
7,7,2020-11-02,244500.0,3500.0,486328,67908,103648,-35740,37693,55085,-17392,53132,380727,327595,78.28605385665641,9.813554095249911,67.3609169120429,-16.46736266641895,10.925136944613511,-7.348949680051323,-3.5761872645621886
8,8,2020-10-30,241000.0,-12000.0,825115,108633,139091,-30458,86568,306428,-219860,250318,629914,379596,76.34257042957648,-1.9434834270799255,46.005223514298,-21.35569339774489,30.337346915278477,-3.691364234076462,-26.645982681202014
9,9,2020-10-29,253000.0,10500.0,986149,212060,143172,68888,84089,114300,-30211,-38677,690000,728677,69.96914259407046,-6.373427835506022,73.89116654785433,27.885943033556323,-3.92202395378386,6.985556949304821,-3.0635329955209607
10,10,2020-10-28,242500.0,3500.0,426527,63639,110173,-46534,35804,53402,-17598,64132,327084,262952,76.68541499131356,6.716272397243102,61.64955559671487,-12.241610951139455,15.0358593945987,-10.909977562967878,-4.125881831630823
11,11,2020-10-27,239000.0,1000.0,687981,100953,150555,-49602,148495,145923,2572,47030,438533,391503,63.74202194537349,-12.94339304594007,56.906077348066304,-4.743478248648572,6.8359445973071935,-7.209792130887336,0.3738475335801425
12,12,2020-10-26,238000.0,0.0,945429,83388,115943,-32555,65980,206957,-140977,173532,796061,622529,84.20103466257117,20.45901271719768,65.84619257501092,8.94011522694462,18.35484208756025,-3.443410345991079,-14.91143174156917
13,13,2020-10-23,238000.0,500.0,723304,103008,124866,-21858,155659,86923,68736,-46878,464637,511515,64.23813500270978,-19.962899659861392,70.71922732350437,4.8730347484934535,-6.481092320794576,-3.0219658677402585,9.503058188534835
14,14,2020-10-22,237500.0,-6500.0,831654,64395,121033,-56638,202604,74710,127894,-71256,564655,635911,67.8954228561397,3.6572878534299207,76.46340906194162,5.7441817384372476,-8.567986205801931,-6.8102840844870585,15.37827029028899
15,15,2020-10-21,244000.0,-1500.0,625587,95397,150531,-55134,130244,76720,53524,1610,399946,398336,63.93131570828678,-3.964107147852928,63.67395741919189,-12.789451642749725,0.25735828909488206,-8.813162677613185,8.555804388518304
16,16,2020-10-20,245500.0,-10000.0,1215368,162943,169465,-6522,119555,116421,3134,3388,932870,929482,76.75617590721492,12.824860198928151,76.47741260260267,12.803455183410776,0.27876330461226556,-0.5366275893391961,0.25786428472693046
17,17,2020-10-19,255500.0,-1000.0,517772,118439,122137,-3698,28458,142297,-113839,117537,370875,253338,71.62901817788527,-5.127157729329667,48.92848589726752,-27.54892670533515,22.700532280617722,-0.7142139783534065,-21.986318302264316
18,18,2020-10-16,256500.0,1500.0,543139,104130,77591,26539,78645,115929,-37284,10745,360364,349619,66.34839332104673,-5.280624856838529,64.3700783777265,15.441592480458992,1.9783149433202183,4.886226177829248,-6.8645411211494665
19,19,2020-10-15,255000.0,-7000.0,627073,76508,90314,-13806,65456,142876,-77420,91226,485109,393883,77.36084953426476,11.012456213218028,62.81294203386209,-1.5571363438644283,14.547907500402664,-2.201657542263819,-12.346249958138845
20,20,2020-10-14,262000.0,-8500.0,585306,56388,87953,-31565,95118,148011,-52893,84458,433800,349342,74.11507826675276,-3.245771267511984,59.6853611615121,-3.1275808723499883,14.429717105240677,-5.392905591263373,-9.036811513977304
21,21,2020-10-13,270500.0,-3000.0,541433,60153,113939,-53786,32527,96850,-64323,118109,448753,330644,82.8824619112614,8.767383644508628,61.06831316155461,1.3829520000425148,21.814148749706796,-9.93400845533981,-11.880140294366985
22,22,2020-10-12,273500.0,11500.0,774825,115726,83394,32332,42101,78770,-36669,4337,616998,612661,79.63062627044819,-3.2518356408132263,79.07088697447809,18.00257381292349,0.5597392959700578,4.172813215887459,-4.7325525118575165
23,23,2020-10-08,262000.0,1500.0,874989,155969,184054,-28085,91439,178497,-87058,115143,627581,512438,71.72444453587417,-7.906181734574004,58.5650791038516,-20.505807870626505,13.159365432022573,-3.2097546369154357,-9.949610795107139
24,24,2020-10-07,260500.0,2500.0,492558,138225,70410,67815,40922,131737,-90815,23000,313411,290411,63.62925787419959,-8.095186661674582,58.959757023538344,0.3946779196867425,4.669500850661242,13.767921747286614,-18.437422597947855
25,25,2020-10-06,258000.0,3500.0,556717,116381,103475,12906,92960,91861,1099,-14005,347376,361381,62.39723234605733,-1.232025528142259,64.91287314739806,5.953116123859723,-2.515640801340717,2.31823350104272,0.197407300297997
26,26,2020-10-05,254500.0,-3000.0,639048,111947,112465,-518,100446,195005,-94559,95077,426655,331578,66.76415543120392,4.366923085146588,51.88624328688925,-13.02662986050881,14.877912144314669,-0.0810580738849038,-14.796854070429765
27,27,2020-09-29,257500.0,2500.0,686838,113633,65222,48411,203566,164642,38924,-87335,369639,456974,53.81749408157383,-12.946661349630089,66.53301069538959,14.646767408500345,-12.715516613815776,7.048386955876058,5.667129657939718
28,28,2020-09-28,255000.0,-3500.0,1037814,87937,183843,-95906,79827,277577,-197750,293656,870050,576394,83.83486829046439,30.01737420889056,55.53923920856724,-10.993771486822352,28.295629081897143,-9.241154966111461,-19.05447411578568
29,29,2020-09-25,258500.0,8500.0,1251340,170506,157637,12869,238753,151215,87538,-100407,842081,942488,67.29434046701935,-16.540527823445036,75.31829878370387,19.77905957513664,-8.023958316684514,1.0284175364009782,6.995540780283536
30,30,2020-09-24,250000.0,-16000.0,1321525,114437,176259,-61822,275699,142079,133620,-71798,931389,1003187,70.47834887724409,3.1840084102247346,75.9113145797469,0.5930157960430051,-5.43296570250279,-4.678080248198104,10.111045950700895
31,31,2020-09-23,266000.0,-2000.0,1302410,158573,220615,-62042,275175,136204,138971,-76929,868662,945591,66.6965087798773,-3.7818400973667816,72.60317411567786,-3.3081404640690266,-5.906665335800555,-4.7636305003800645,10.67029583618062
32,32,2020-09-22,268000.0,-10500.0,1337964,156106,177924,-21818,280907,216391,64516,-42698,900951,943649,67.33746199449313,0.6409532146158199,70.5287287251376,-2.0744453905402622,-3.1912667306444717,-1.6306866253501588,4.821953355994631
33,33,2020-09-21,278500.0,-13000.0,1074281,88333,154408,-66075,65741,72912,-7171,73246,920207,846961,85.65794238192801,18.320480387434888,78.83980075976396,8.311072034626362,6.818141622164034,-6.150625395031653,-0.6675162271323797
34,34,2020-09-18,291500.0,0.0,754705,92280,114935,-22655,81454,178796,-97342,119997,580971,460974,76.97987955558794,-8.678062826340067,61.080024645391255,-17.759776114372713,15.8998549101967,-3.001835154133072,-12.898019756063627
35,35,2020-09-17,291500.0,-5500.0,685924,62158,138788,-76630,26589,110742,-84153,160783,597177,436394,87.06168613432392,10.08180657873598,63.62133414197493,2.541309496583672,23.440351992349008,-11.171791627060724,-12.268560365288282
36,36,2020-09-16,297000.0,1000.0,438867,60709,96547,-35838,49826,40392,9434,26404,328332,301928,74.81355399243962,-12.248132141884296,68.79715266812039,5.175818526145483,6.0164013243192125,-8.16602752086623,2.149626196547018
37,37,2020-09-15,296000.0,0.0,413089,74508,80005,-5497,48544,40122,8422,-2925,290037,292962,70.211746137031,-4.601807855408623,70.91982599391416,2.122673325793741,-0.7080798568831415,-1.3307059737732063,2.0387858306563476
