,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,801000.0,4000.0,116090,32253,32343,-90,21385,52488,-31103,31193,62452,31259,53.796192609182526,,26.926522525626662,,26.86967008355586,-0.07752605736928245,-26.79214402618658
1,1,2020-11-10,797000.0,-47000.0,172812,33893,52889,-18996,25203,92504,-67301,86297,113716,27419,65.80330069671088,12.007108087528346,15.866375020253225,-11.060147505373441,49.936925676457655,-10.992292201930422,-38.94463347452723
2,2,2020-11-09,844000.0,-4000.0,71482,26258,25175,1083,22899,27343,-4444,3361,22325,18964,31.2316387342268,-34.571661962484086,26.529755742704463,10.663380722451237,4.701882991522341,1.5150667300858958,-6.216949721608237
3,3,2020-11-06,848000.0,5000.0,91315,25452,24817,635,40445,32131,8314,-8949,25418,34367,27.83551442807863,-3.3961243061481667,37.63565679242184,11.105901049717374,-9.800142364343207,0.695395061052401,9.104747303290807
4,4,2020-11-05,843000.0,6000.0,108701,37300,31764,5536,44880,34181,10699,-16235,26521,42756,24.398119612515067,-3.4373948155635645,39.33358478762845,1.6979279952066193,-14.935465175113384,5.0928694308240035,9.842595744289381
5,5,2020-11-04,837000.0,55000.0,197108,76785,28129,48656,76545,21262,55283,-103939,43778,147717,22.210158897660165,-2.187960714854899,74.94216368691275,35.608578899284296,-52.73200478925259,24.684944294498447,28.047060494754145
6,6,2020-11-03,782000.0,4000.0,48350,25139,13316,11823,7721,23692,-15971,4148,15490,11342,32.037228541882115,9.82706964422195,23.458117890382628,-51.48404579653013,8.579110651499484,24.45294725956567,-33.03205791106515
7,7,2020-11-02,778000.0,2000.0,48696,28815,16874,11941,8546,21217,-12671,730,11335,10605,23.27706587810087,-8.760162663781244,21.777969443075403,-1.6801484473072217,1.499096435025464,24.521521274848038,-26.020617709873502
8,8,2020-10-30,776000.0,-37000.0,92285,29992,21483,8509,28033,52083,-24050,15541,34260,18719,37.12412634772715,13.847060469626276,20.283903126185187,-1.4940663168902188,16.84022322154196,9.220350002708999,-26.060573224250962
9,9,2020-10-29,813000.0,11000.0,88029,45077,21446,23631,27142,28452,-1310,-22321,15810,38131,17.95999045769008,-19.16413589003707,43.316407093117036,23.032503966931852,-25.35641663542696,26.844562587329175,-1.488145951902214
