,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,355500.0,-500.0,713843,146062,268105,-122043,123863,71934,51929,70114,443918,373804,62.18706354198332,,52.36501583681565,,9.822047705167662,-17.0966164828961,7.274568777728436
1,1,2020-11-10,356000.0,-15500.0,1105100,142397,406166,-263769,123523,256104,-132581,396350,839180,442830,75.93701927427381,13.749955732290502,40.07148674328115,-12.293529093534502,35.865532530992674,-23.868337706994843,-11.997194823997829
2,2,2020-11-09,371500.0,1000.0,593735,178831,165727,13104,51747,120048,-68301,55197,363157,307960,61.164829427269744,-14.772189847004087,51.86825772440567,11.796770981124515,9.296571702864073,2.2070452306163526,-11.503616933480425
3,3,2020-11-06,370500.0,7500.0,1315572,449811,353582,96229,267792,94610,173182,-269411,597969,867380,45.45315649770593,-15.711672929563795,65.9317772041363,14.06351947973063,-20.47862070643036,7.314612959229901,13.164007747200458
4,4,2020-11-05,363000.0,3500.0,1061367,237557,245231,-7674,245700,198467,47233,-39559,578110,617669,54.468435517591935,9.015279019886002,58.19561000106465,-7.7361672030716315,-3.727174483472729,-0.7230298285136055,4.450204311986335
5,5,2020-11-04,359500.0,23000.0,1431026,536151,313942,222209,359571,128003,231568,-453777,535304,989081,37.40700728009135,-17.061428237500593,69.11691331953438,10.921303318469713,-31.70990603944303,15.52794987652216,16.18195616292087
6,6,2020-11-03,336500.0,2000.0,403786,118156,166910,-48754,50124,72442,-22318,71072,235506,164434,58.32445899560659,20.917451715515238,40.7230562723819,-28.393857047152466,17.601402723224677,-12.074217531068438,-5.527185192156241
7,7,2020-11-02,334500.0,4500.0,319856,136321,129271,7050,63667,24593,39074,-46124,119868,165992,37.475614026311845,-20.848844969294753,51.89585313391026,11.172796861528354,-14.42023910759842,2.2041168525836627,12.216122255014756
8,8,2020-10-30,330000.0,-13000.0,553748,91448,137097,-45649,57151,234769,-177618,223267,405149,181882,73.1648692184893,35.689255192177455,32.845626530479564,-19.0502266034307,40.31924268800971,-8.243641512023519,-32.075601175986186
9,9,2020-10-29,343000.0,-3500.0,491546,154004,184145,-30141,30254,119612,-89358,119499,307288,187789,62.51459680274075,-10.650272415748548,38.2037489878872,5.358122457407632,24.310847814853545,-6.131877789667701,-18.17897002518584
