,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,243000.0,2000.0,423677,165285,192624,-27339,129386,49716,79670,-52331,129006,181337,30.449139320756146,,42.80076567762706,,-12.351626356870918,-6.452793047533852,18.804419404404772
1,1,2020-11-10,241000.0,8500.0,544843,176050,177875,-1825,209926,57900,152026,-150201,158867,309068,29.158307989641052,-1.29083133111509,56.726066041043005,13.92530036341595,-27.567758051401963,-0.33495887806212066,27.902716929464084
2,2,2020-11-09,232500.0,3000.0,332444,132205,121728,10477,56352,66225,-9873,-604,143887,144491,43.28157524274765,14.123267253106597,43.46325997762029,-13.262806063422726,-0.1816847348726402,3.151508223941476,-2.9698234890688355
3,3,2020-11-06,229500.0,-3500.0,428049,94278,147983,-53705,138394,130887,7507,46198,195377,149179,45.64360622265208,2.362030979904425,34.85091660066955,-8.61234337695074,10.79268962198253,-12.546460802384773,1.7537711804022438
4,4,2020-11-05,233000.0,6500.0,381030,110367,144883,-34516,97291,26259,71032,-36516,173372,209888,45.500879195863845,-0.14272702678823634,55.084376558276254,20.233459957606694,-9.583497362412409,-9.058604309371965,18.642101671784374
5,5,2020-11-04,226500.0,500.0,481871,179001,242654,-63653,58481,33439,25042,38611,244389,205778,50.71668558597632,5.2158063901124905,42.70396018851518,-12.380416369761065,8.012725397461146,-13.209551934023835,5.19682653656269
6,6,2020-11-03,226000.0,-500.0,453788,86006,232004,-145998,46538,101060,-54522,200520,321244,120724,70.79164720089557,20.07496161491924,26.603612259469177,-16.100347929046006,44.188034941426395,-32.17317337611396,-12.014861565312437
7,7,2020-11-02,226500.0,1000.0,428586,142514,199101,-56587,35603,89447,-53844,110431,250469,140038,58.44077968015754,-12.350867520738028,32.67442240297163,6.070810143502452,25.766357277185907,-13.203184425062881,-12.563172852123028
8,8,2020-10-30,225500.0,-12500.0,888786,185620,334822,-149202,111678,333835,-222157,371359,591488,220129,66.55010317444244,8.1093234942849,24.76737932415677,-7.907043078814858,41.78272385028567,-16.787168114709278,-24.995555735576392
9,9,2020-10-29,238000.0,-14500.0,696270,206537,237501,-30964,58010,224077,-166067,197031,431723,234692,62.00511295905324,-4.544990215389198,33.707038936044924,8.939659611888152,28.298074023008315,-4.447125396757005,-23.85094862625131
10,10,2020-10-28,252500.0,8000.0,487858,260703,184389,76314,38871,95656,-56785,-19529,188284,207813,38.594017111536544,-23.41109584751669,42.59702618384858,8.889987247803653,-4.003009072312025,15.642666513616668,-11.639657441304642
11,11,2020-10-27,244500.0,1000.0,796662,402009,286772,115237,173303,196108,-22805,-92432,221350,313782,27.78468158390886,-10.809335527627692,39.387092644057326,-3.2099335397912436,-11.60241106014847,14.464980129590717,-2.8625690694422476
12,12,2020-10-26,243500.0,9000.0,788372,394565,232375,162190,133866,72343,61523,-223713,259941,483654,32.971871147123444,5.187189563214577,61.348449716631244,21.961357072573904,-28.376578569507796,20.572775288823042,7.803803280684753
13,13,2020-10-23,234500.0,500.0,372397,208769,144361,64408,54120,92295,-38175,-26233,109508,135741,29.406251930063878,-3.5656192170595564,36.450615874993616,-24.89783384163761,-7.044363944929739,17.295520640606664,-10.251156695676926
14,14,2020-10-22,234000.0,2500.0,372056,172211,127664,44547,79682,103825,-24143,-20404,120163,140567,32.29701980347045,2.890767873406567,37.78114047347711,1.3305245984834857,-5.484120670006666,11.973197583159525,-6.489076913152859
15,15,2020-10-21,231500.0,-6000.0,476527,222231,207337,14894,82852,151191,-68339,53445,171444,117999,35.97781447850804,3.680794675037589,24.762290489311205,-13.018849984165904,11.215523989196834,3.1255311871100693,-14.341055176306904
16,16,2020-10-20,237500.0,15000.0,1301084,649469,295261,354208,313757,426032,-112275,-241933,337858,579791,25.96742408637721,-10.01039039213083,44.56214971516059,19.799859225849378,-18.594725628783383,27.224068545920172,-8.629342917136787
17,17,2020-10-19,222500.0,-6500.0,524241,194556,205855,-11299,81775,203463,-121688,132987,247910,114923,47.28931922531814,21.32189513894092,21.921787880001755,-22.64036183515883,25.367531345316372,-2.1553064334914667,-23.212224911824904
