,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,175500.0,2000.0,4140745,1240154,1041670,198484,913625,1331328,-417703,219219,,1986966,1767747,47.98571271594846,,42.69152048725531,,5.294192228693146,4.793436929827845,-10.087629158520992
1,1,2020-11-10,173500.0,1000.0,1796342,562821,464073,98748,417002,551172,-134170,35422,,816519,781097,45.454540393755764,-2.5311723221927025,43.48264417354825,0.7911236862929343,1.9718962202075105,5.497171474028888,-7.469067694236398
2,2,2020-11-09,172500.0,2000.0,1521010,442711,379640,63071,236907,462075,-225168,162097,,841392,679295,55.31797950046351,9.863439106707752,44.660784610226095,1.1781404366778574,10.657194890237408,4.146652553237652,-14.803847443475059
3,3,2020-11-06,170500.0,-4500.0,2233192,587863,711300,-123437,164370,819188,-654818,778255,,1480959,702704,66.31579371590082,10.997814215437318,31.466349512267648,-13.194435097958458,34.84944420363318,-5.527379643129655,-29.32206456050353
4,4,2020-11-05,175000.0,3500.0,1299430,438284,330964,107320,301769,45594,256175,-363495,,559377,922872,43.04787483742872,-23.26791887847211,71.02129395196354,39.554944439695895,-27.973419114534835,8.25900587180533,19.714413242729506
5,5,2020-11-04,171500.0,1000.0,1699252,584587,634782,-50195,219423,184723,34700,15495,,895242,879747,52.68447528677324,9.636600449344519,51.77260347494074,-19.248690477022805,0.9118718118325004,-2.9539467954135112,2.042074983581011
6,6,2020-11-03,170500.0,0.0,1006364,319206,328003,-8797,55154,144921,-89767,98564,,632004,533440,62.80073611536182,10.116260828588594,53.0066655802473,1.2340621053065632,9.794070535114532,-0.8741369921817553,-8.919933542932776
7,7,2020-11-02,170500.0,6000.0,1052301,454111,356715,97396,175798,69599,106199,-203595,,422392,625987,40.139845918610746,-22.66089019675109,59.48744703274064,6.480781452493338,-19.347601114129894,9.255526698159557,10.092074415970336
8,8,2020-10-30,164500.0,-5500.0,1452259,342614,592599,-249985,155801,292400,-136599,386584,,953844,567260,65.68001988625996,25.540173967649217,39.060525705125606,-20.42692132761504,26.619494181134357,-17.213527339131655,-9.4059668420027
9,9,2020-10-29,170000.0,-3500.0,1484537,389200,595868,-206668,135748,203295,-67547,274215,,959589,685374,64.63894129954323,-1.041078586716722,46.167525632570964,7.106999927445365,18.471415666972263,-13.921377506926403,-4.550038160045859
10,10,2020-10-28,173500.0,1000.0,1419988,569298,571785,-2487,278340,303863,-25523,28010,,572350,544340,40.306678647988576,-24.332262651554657,38.334126767268465,-7.833398865302505,1.9725518807201188,-0.17514232514640968,-1.797409555573709
11,11,2020-10-27,172500.0,1000.0,3317704,1251963,1300054,-48091,545161,369010,176151,-128060,,1520580,1648640,45.83229848111826,5.525619833129689,49.69219677222562,11.358070004957154,-3.8598982911073443,-1.449526540040944,5.309424831148288
12,12,2020-10-26,171500.0,4500.0,3018359,1519650,1077909,441741,292862,278384,14478,-456219,,1205847,1662066,39.95041676619647,-5.881881714921796,55.065219213486536,5.373022441260922,-15.114802447290067,14.635137834830118,0.4796646124599493
13,13,2020-10-23,167000.0,4500.0,1883932,791789,647128,144661,194189,186055,8134,-152795,,897954,1050749,47.66382226110072,7.713405494904251,55.77425299851586,0.7090337850293338,-8.11043073741515,7.678674177199602,0.4317565602155492
14,14,2020-10-22,162500.0,-3000.0,1700524,407191,525519,-118328,328584,216172,112412,5916,,964749,958833,56.73245423175445,9.068631970653726,56.384561464583854,0.6103084660679912,0.34789276717058976,-6.958325786639882,6.610433019469293
15,15,2020-10-21,165500.0,-2000.0,1760669,799928,910690,-110762,110925,170604,-59679,170441,,849816,679375,48.26665318694201,-8.465801044812437,38.586185137581225,-17.798376327002636,9.680468049360783,-6.290904196075469,-3.389563853285314
16,16,2020-10-20,167500.0,-500.0,5697398,2005844,1751522,254322,594157,823843,-229686,-24636,,3097397,3122033,54.36511544392722,6.098462256985207,54.79752336066394,16.211338223082713,-0.4324079167367279,4.4638271716316815,-4.031419254894954
17,17,2020-10-19,168000.0,-4000.0,2230634,558051,920507,-362456,69171,213239,-144068,506524,,1603412,1096888,71.88144715807255,17.51633171414533,49.173822330332996,-5.623701030330949,22.707624827739558,-16.249012612557685,-6.458612215181872
18,18,2020-10-16,172000.0,-4000.0,3197258,569978,1469864,-899886,112957,323588,-210631,1110517,,2514323,1403806,78.63997838147561,6.758531223403082,43.906559933543065,-5.267262396789931,34.73341844793257,-28.145554722202586,-6.587863725729985
19,19,2020-10-15,176000.0,-2000.0,1587551,408393,610763,-202370,117973,149848,-31875,234245,,1061185,826940,66.84415177843104,-11.795826603044574,52.089035249891175,8.182475316348125,14.75511652853987,-12.747307015648632,-2.007809512891239
20,20,2020-10-14,178000.0,-1000.0,1930046,455225,777344,-322119,330787,366966,-36179,358298,,1144034,785736,59.27496028592064,-7.569191492510412,40.71073953677788,-11.378295713113305,18.564220749142766,-16.689705841207928,-1.8745149079348369
21,21,2020-10-13,179000.0,-1000.0,1728432,427329,797328,-369999,248571,138819,109752,260247,,1052532,792285,60.89519286844956,1.6202325825289137,45.8383667971896,5.127627260411707,15.056826071259962,-21.40662750978922,6.349801438529257
22,22,2020-10-12,180000.0,-500.0,1655359,317211,475168,-157957,331361,358038,-26677,184634,,1006787,822153,60.81985841137784,-0.07533445707171893,49.66614492687085,3.827778129681264,11.153713484506985,-9.54215973695132,-1.6115537475556663
23,23,2020-10-08,180500.0,-2500.0,1750474,356303,689564,-333261,181544,374501,-192957,526218,,1212627,686409,69.27420801451493,8.454349603137091,39.21275037504128,-10.453394551829577,30.06145763947365,-19.038329046875305,-11.023128592598347
24,24,2020-10-07,183000.0,500.0,1512423,433204,359085,74119,153996,367347,-213351,139232,,925223,785991,61.1748829527189,-8.099325061796018,51.96899280161701,12.756242426575731,9.205890151101908,4.9006792411911215,-14.106569392293029
25,25,2020-10-06,182500.0,-4500.0,2143171,416124,415615,509,130869,425290,-294421,293912,,1596178,1302266,74.47739821040878,13.302515257689867,60.76351350405545,8.79452070243844,13.713884706353342,0.02374985477127117,-13.737634561124613
26,26,2020-10-05,187000.0,8500.0,2732820,607218,336792,270426,557591,337041,220550,-490976,,1568011,2058987,57.37703178401797,-17.100366426390806,75.34294245504644,14.579428950990994,-17.96591067102846,9.89549256811645,8.07041810291201
27,27,2020-09-29,178500.0,3000.0,1475249,282548,266944,15604,399544,299441,100103,-115707,,793157,908864,53.76427979276719,-3.612751991250782,61.6074981240455,-13.735444331000943,-7.843218331278313,1.0577197476493798,6.785498583628933
28,28,2020-09-28,175500.0,5500.0,1374871,359279,332206,27073,263535,69474,194061,-221134,,752057,973191,54.70018641748935,0.9359066247221576,70.78416811468131,9.176669990635807,-16.083981697191955,1.9691301947600903,14.114851502431865
29,29,2020-09-25,170000.0,-1500.0,2076987,477428,497972,-20544,180234,236073,-55839,76383,,1419325,1342942,68.33576714731484,13.635580729825492,64.65818033526449,-6.125987779416818,3.67758681205034,-0.9891251124826491,-2.688461699567691
30,30,2020-09-24,171500.0,-8000.0,2841908,698006,825321,-127315,162798,504756,-341958,469273,,1981104,1511831,69.71034952574115,1.374582378426311,53.197746021334964,-11.460434313929534,16.512603504406194,-4.479912790984085,-12.03269071342211
31,31,2020-09-23,179500.0,0.0,3481682,920042,1063345,-143303,222221,314794,-92573,235876,,2339419,2103543,67.19220767433671,-2.5181418514044367,60.417436170218885,7.219690148883919,6.774771504117838,-4.1159129409291255,-2.6588585631887116
32,32,2020-09-22,179500.0,-5500.0,3042046,724455,1050681,-326226,134820,394567,-259747,585973,,2182771,1596798,71.75338571474595,4.561178040409217,52.490922228000485,-7.926513942218385,19.262463486745435,-10.723900953503005,-8.53856253324243
33,33,2020-09-21,185000.0,4000.0,3133848,968910,905897,63013,303840,273023,30817,-93830,,1861098,1954928,59.3869900518468,-12.366395662899132,62.38107272592672,9.890150497926227,-2.994082674079917,2.0107229195544902,0.9833597545254269
34,34,2020-09-18,181000.0,-3000.0,2584103,754440,864690,-110250,228479,558905,-330426,440676,,1601184,1160508,61.96285519578747,2.575865143940668,44.90951018593299,-17.471562539993727,17.053345009854482,-4.266470802440924,-12.78687420741356
35,35,2020-09-17,184000.0,500.0,4383978,1040609,1089020,-48411,403815,399262,4553,43858,,2939554,2895696,67.05220692257123,5.089351726783762,66.05179131829586,21.14228113236286,1.0004156042753864,-1.104271052455099,0.10385544817971258
36,36,2020-09-16,183500.0,4500.0,3401835,945776,729497,216279,569767,333657,236110,-452389,,1886292,2338681,55.44925018409182,-11.602956738479405,68.74763179284122,2.6958404745453635,-13.298381608749395,6.3577157622283265,6.940665846521068
37,37,2020-09-15,179000.0,-1000.0,2644009,753776,697650,56126,98200,257109,-158909,102783,,1792033,1689250,67.77711422313615,12.327864039044329,63.889722009267,-4.857909783574228,3.887392213869166,2.12276130678829,-6.010153520657457
38,38,2020-09-14,180000.0,8500.0,3145262,989426,661467,327959,229119,173347,55772,-383731,,1926717,2310448,61.25775849515875,-6.5193557279773975,73.45804578442116,9.568323775154157,-12.20028728926239,10.427080478510216,1.7732068107521726
39,39,2020-09-11,171500.0,2500.0,1538378,466606,481611,-15005,212272,162953,49319,-34314,,859500,893814,55.87053376998371,-5.387224725175044,58.10106488782341,-15.35698089659774,-2.2305311178396985,-0.9753779630233922,3.205909080863091
40,40,2020-09-10,169000.0,1500.0,1326177,436508,548864,-112356,189145,167851,21294,91062,,700524,609462,52.82281324438594,-3.047720525597775,45.956308999477436,-12.144755888345964,6.866504244908485,-8.472172266597898,1.6056680216894126
41,41,2020-09-09,167500.0,-500.0,1685225,319295,515692,-196397,141677,159674,-17997,214394,,1224253,1009859,72.64626385200789,19.82345060762196,59.9242831075969,13.967974108119463,12.721980744410983,-11.654052129537599,-1.0679286148733849
42,42,2020-09-08,168000.0,-2000.0,1933504,480333,736126,-255793,66445,250049,-183604,439397,,1386726,947329,71.72087567442324,-0.9253881775846652,48.995450746416864,-10.928832361180037,22.725424928006355,-13.22950456787263,-9.495920360133725
43,43,2020-09-07,170000.0,-2500.0,1516649,325372,478525,-153153,121929,153305,-31376,184529,,1069348,884819,70.50728283208574,-1.2135928423374909,58.340393855137215,9.344943108720344,12.166888976948522,-10.098117626425099,-2.0687713505234235
44,44,2020-09-04,172500.0,-4000.0,2886867,648899,944090,-295191,272885,255732,17153,278038,,1965083,1687045,68.06974481332185,-2.437538018763888,58.43861182382146,0.0982179686842457,9.631132989500383,-10.225306534731251,0.594173545230868
45,45,2020-09-03,176500.0,500.0,1841550,381389,493517,-112128,319445,371777,-52332,164460,,1140716,976256,61.94325432380332,-6.126490489518523,53.012733838342704,-5.425877985478762,8.930520485460617,-6.088783904862751,-2.841736580597866
46,46,2020-09-02,176000.0,-4000.0,2825239,668237,859756,-191519,234831,522809,-287978,479497,,1922171,1442674,68.03569538718669,6.092441063383383,51.06378610800714,-1.9489477303355471,16.971909279179567,-6.778860124754047,-10.19304915442552
