,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,309000.0,2500.0,123351,47054,35626,11428,59676,62173,-2497,-8931,16621,25552,13.47455634733403,-3.0300097692145584,20.714870572593654,-3.0504351319806524,-7.240314225259625,9.264618851894188,-2.0243046266345632
16,232,232,2019-12-03,309500.0,500.0,97676,41430,45178,-3748,40125,29285,10840,-7092,16121,23213,16.504566116548588,-48.20304527936917,23.765305704574303,12.789433848597266,-7.260739588025718,-3.8371759695319216,11.09791555755764
17,231,231,2019-12-04,296500.0,-13000.0,316394,55693,144050,-88357,55970,137617,-81647,170004,204731,34727,64.70761139591775,21.68903631956467,10.975871855977044,-3.5066795884729647,53.73173953994071,-27.926256502967817,-25.80548303697289
18,230,230,2019-12-05,293500.0,-3000.0,199730,28288,85214,-56926,85521,85590,-69,56995,85921,28926,43.01857507635308,9.091600651389273,14.482551444450008,-9.918284971827939,28.53602363190307,-28.50147699394182,-0.034546637961247684
19,229,229,2019-12-06,294500.0,1000.0,155425,36179,53605,-17426,66515,63895,2620,14806,52731,37925,33.92697442496381,3.3922692713627813,24.400836416277947,4.130270706042957,9.526138008685859,-11.211838507318642,1.6857004986327808
20,228,228,2019-12-09,295000.0,500.0,150943,62013,40400,21613,42840,79946,-37106,15493,46090,30597,30.53470515360103,-2.83152629406268,20.270565710234987,-6.982274109474961,10.26413944336604,14.318650086456476,-24.58278952982252
21,227,227,2019-12-10,299000.0,4000.0,159077,41175,20138,21037,64824,95586,-30762,9725,53078,43353,33.366231447663715,2.875646168864133,27.252839819709948,9.733810064092076,6.113391627953758,13.224413334422954,-19.337804962376712
22,226,226,2019-12-11,300500.0,1500.0,137285,39026,43990,-4964,56400,69244,-12844,17808,41859,24051,30.49058527879957,18.50624748057797,17.519029755617876,2.8958458097796136,12.971555523181706,-3.6158356703208656,-9.355719852860835
23,225,225,2019-12-12,300500.0,0.0,246964,126176,147329,-21153,91191,63521,27670,-6517,29597,36114,11.984337798221604,-18.12141118237615,14.62318394583826,-11.12221194070563,-2.6388461476166567,-8.565215982896293,11.204062130512948
24,224,224,2019-12-13,303000.0,2500.0,223170,78156,47254,30902,77827,118460,-40633,9731,67187,57456,30.105748980597753,11.998658379384475,25.74539588654389,-19.59685892354592,4.3603530940538615,13.846843213693594,-18.207196307747452
25,223,223,2019-12-16,309000.0,6000.0,182481,60796,39268,21528,88643,60472,28171,-49699,33042,82741,18.10709060121328,-9.566822688285722,45.34225481008982,24.16766816183205,-27.235164208876537,11.797392605257533,15.437771603619009
26,222,222,2019-12-17,305500.0,-3500.0,176726,46697,44947,1750,81122,94358,-13236,11486,48907,37421,27.673913289499,-0.0006771951565553991,21.174586648257755,-2.117670359756236,6.499326641241241,0.9902334687595488,-7.489560110000792
27,221,221,2019-12-18,307000.0,1500.0,207013,36383,66905,-30522,113340,91890,21450,9072,57290,48218,27.674590484655557,-1.2055417131326749,23.292257008013987,-17.47750456383224,4.382333476641564,-14.744001584441554,10.361668107799993
28,220,220,2019-12-19,309000.0,2000.0,110138,29535,26949,2586,48795,38286,10509,-13095,31808,44903,28.880132197788228,6.9440503052319045,40.769761571846225,-13.734329025824346,-11.889629374058002,2.3479634640178686,9.541665910040132
29,219,219,2019-12-20,314500.0,5500.0,248130,55954,39766,16188,137746,73123,64623,-80811,54430,135241,21.936081892556324,-10.332049939475283,54.504090597670576,7.3798061387715865,-32.56800870511425,6.52399951638254,26.044009188731714
30,218,218,2019-12-23,313000.0,-1500.0,121761,48442,37741,10701,34029,26641,7388,-18089,39290,57379,32.26813183203161,-3.6107587414099314,47.12428445889899,-8.98915529852543,-14.856152626867388,8.788528346514894,6.0676242803524945
31,217,217,2019-12-24,312500.0,-500.0,224260,65003,67975,-2972,78795,30445,48350,-45378,80462,125840,35.87889057344154,-30.43199698913065,56.11343975742442,-1.8849718713780348,-20.234549183982878,-1.3252474806028716,21.559796664585747
32,216,216,2019-12-26,308000.0,-4500.0,166208,39949,56007,-16058,16045,13803,2242,13816,110214,96398,66.31088756257218,17.591447907975937,57.99841162880247,22.596532226040825,8.312475933769734,-9.661388140161725,1.3489122063919907
33,215,215,2019-12-27,310500.0,2500.0,149622,38617,68287,-29670,38110,28366,9744,19926,72895,52969,48.71943965459625,20.502385391030355,35.40187940276163,-22.39917391400268,13.317560251834625,-19.829971528251196,6.51241127641657
34,214,214,2019-12-30,317500.0,7000.0,168990,51910,23655,28255,69396,47657,21739,-49994,47684,97678,28.21705426356589,-20.261038298227987,57.801053316764296,31.53291659599812,-29.583999053198408,16.719924255873128,12.864074797325285
35,213,213,2020-01-02,314000.0,-3500.0,139496,34602,55636,-21034,37269,47217,-9948,30982,67625,36643,48.47809256179389,14.212807462115045,26.26813672076619,5.437984627207445,22.2099558410277,-15.078568561105694,-7.131387279922005
36,212,212,2020-01-03,311000.0,-3000.0,165030,45297,69198,-23901,63185,61456,1729,22172,56548,34376,34.26528509967884,-6.020193424287164,20.830152093558745,-12.757004268182499,13.4351330061201,-14.482821305217236,1.0476882990971341
