,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,232000.0,1500.0,212885,139051,60009,79042,47642,109806,-62164,-16878,26192,43070,12.303356272165725,1.1927599426874609,20.231580430749,-3.5439953685942704,-7.928224158583273,37.12896634333091,-29.20074218474763
16,232,232,2019-12-03,231000.0,-1000.0,172673,88402,64704,23698,65086,66915,-1829,-21869,19185,41054,11.110596329478264,-14.845615515123574,23.775575799343272,9.779693554583538,-12.664979469865004,13.724207027155375,-1.0592275572903695
17,231,231,2019-12-04,227000.0,-4000.0,222937,93748,66372,27376,71323,125363,-54040,26664,57866,31202,25.956211844601842,16.000745675947908,13.99588224475973,-9.751169300485437,11.960329599842106,12.279702337431653,-24.24003193727376
18,230,230,2019-12-05,229000.0,2000.0,215791,101708,81868,19840,92600,82679,9921,-29761,21483,51244,9.95546616865393,-0.5992322983157283,23.74705154524517,-1.2303630122886418,-13.791585376591241,9.194081310156587,4.597504066434652
19,229,229,2019-12-06,230500.0,1500.0,143898,46299,39484,6815,82411,68472,13939,-20754,15188,35942,10.554698466969658,-0.9264151715783822,24.97741455753381,-10.107966533678184,-14.422716090564151,4.735993550987505,9.686722539576644
20,228,228,2019-12-09,233000.0,2500.0,156065,80967,62456,18511,57180,38853,18327,-36838,17918,54756,11.481113638548038,-6.427045120414872,35.085381091211985,24.991516420139817,-23.60426745266395,11.861083522891107,11.743183929772849
21,227,227,2019-12-10,231500.0,-1500.0,124541,69373,44522,24851,32865,67448,-34583,9732,22303,12571,17.908158758962916,3.0972756473186625,10.093864671072176,-6.130485388905956,7.814294087890736,19.954071349997193,-27.76836543788793
22,226,226,2019-12-11,231000.0,-500.0,188402,86593,63657,22936,73905,94178,-20273,-2663,27904,30567,14.810883111644248,8.689371428451093,16.224350059978132,-6.5611643586340485,-1.4134669483338818,12.17396842920988,-10.760501480876
23,225,225,2019-12-12,235500.0,4500.0,494257,328092,249487,78605,135909,132151,3758,-82363,30256,112619,6.121511683193157,-4.798029916820195,22.78551441861218,-27.810372187706925,-16.66400273541902,15.903669548433303,0.7603331869857181
24,224,224,2019-12-13,243000.0,7500.0,419459,198178,127850,70328,175478,79380,96098,-166426,45803,212229,10.919541600013352,-4.262538321959095,50.59588660631911,26.95175602270676,-39.67634500630575,16.76635857139792,22.90998643490782
25,223,223,2019-12-16,242500.0,-500.0,213258,102289,59131,43158,78592,103704,-25112,-18046,32377,50423,15.182079921972447,4.827144031303419,23.644130583612338,-13.454830837105654,-8.462050661639893,20.237458852657344,-11.775408191017453
26,222,222,2019-12-17,247500.0,5000.0,369447,115563,90252,25311,215628,142134,73494,-98805,38256,137061,10.354935890669028,-0.7728537570282956,37.09896142071799,12.098571532849741,-26.744025530048965,6.851050353636651,19.892975176412314
27,221,221,2019-12-18,248500.0,1000.0,256484,38637,77278,-38641,189306,115084,74222,-35581,28541,64122,11.127789647697325,-14.954650400926836,25.000389887868252,3.0182924185346245,-13.872600240170927,-15.06565711701315,28.938257357184078
28,220,220,2019-12-19,246500.0,-2000.0,226225,70746,83623,-12877,96474,92873,3601,9276,59005,49729,26.082440048624157,9.2784807206879,21.98209746933363,0.8965943441709818,4.10034257929053,-5.692120676317825,1.591778097027296
29,219,219,2019-12-20,246000.0,-500.0,211349,83822,76106,7716,92012,90679,1333,-9049,35515,44564,16.803959327936262,-8.158896708397933,21.08550312516265,-1.1332765812063992,-4.281543797226388,3.6508334555640203,0.6307103416623688
30,218,218,2019-12-23,243500.0,-2500.0,142015,69316,51589,17727,37248,58872,-21624,3897,35451,31554,24.96285603633419,-8.608524060659423,22.218779706369048,-3.6411381257349014,2.7440763299651447,12.482484244622047,-15.226560574587193
31,217,217,2019-12-24,240000.0,-3500.0,191559,80149,74849,5300,47101,67173,-20072,14772,64309,49537,33.57138009699361,4.679243736793055,25.859917832103942,-20.87595356803211,7.711462264889668,2.766771595174333,-10.478233860064002
32,216,216,2019-12-26,243000.0,3000.0,158756,77363,59796,17567,35525,24764,10761,-28328,45868,74196,28.892136360200556,-16.604350119574974,46.73587140013606,33.770857619191005,-17.8437350399355,11.06540855148782,6.7783264884476795
33,215,215,2019-12-27,238500.0,-4500.0,201365,62204,87072,-24868,47547,88186,-40639,65507,91614,26107,45.49648647977554,19.611861428516885,12.96501378094505,-3.5382866145732907,32.531472698830484,-12.34971320735977,-20.18175949147071
34,214,214,2019-12-30,236500.0,-2000.0,151194,50755,43302,7453,61303,82940,-21637,14184,39136,24952,25.88462505125865,1.4593565310927126,16.503300395518337,0.02407500713564304,9.381324655740306,4.929428416471553,-14.31075307221186
35,213,213,2020-01-02,236000.0,-500.0,213578,95884,113651,-17767,65527,64731,796,16971,52167,35196,24.425268520165936,7.7248218943273725,16.479225388382698,-2.4569067515138063,7.946043131783236,-8.318740694266264,0.3726975624830273
36,212,212,2020-01-03,237000.0,1000.0,273831,122445,144031,-21586,105655,77947,27708,-6122,45731,51853,16.700446625838563,-18.411951600757,18.936132139896504,0.8849494113136664,-2.235685514057941,-7.882964310103677,10.118649824161619
37,211,211,2020-01-06,231000.0,-6000.0,217886,79866,123145,-43279,61515,55410,6105,37174,76505,39331,35.11239822659556,12.744109938307275,18.05118272858284,-9.238186640786534,17.06121549801272,-19.863139439890585,2.8019239418778628
38,210,210,2020-01-07,232000.0,1000.0,138750,51606,73785,-22179,56108,27101,29007,-6828,31036,37864,22.368288288288287,-6.413997365536613,27.289369369369375,7.025382348290377,-4.921081081081081,-15.984864864864864,20.905945945945945
39,209,209,2020-01-08,228000.0,-4000.0,340244,104663,166762,-62099,137651,104535,33116,28983,97930,68947,28.782285653824896,21.52762888840261,20.263987021079,3.566008558063458,8.518298632745912,-18.251313763064157,9.733015130318242
40,208,208,2020-01-09,234000.0,6000.0,337466,149224,205541,-56317,163760,75575,88185,-31868,24482,56350,7.254656765422294,-9.183307785749806,16.697978463015534,-3.0940153523638765,-9.443321697593241,-16.688199700117938,26.13152139771117
41,207,207,2020-01-10,237500.0,3500.0,248358,93476,149214,-55738,114057,49989,64068,-8330,40825,49155,16.437964551172097,-0.17059744303844582,19.79199381537941,-1.5678979596173193,-3.354029264207313,-22.44260301661312,25.796632280820432
42,206,206,2020-01-13,238500.0,1000.0,206237,76147,112216,-36069,95837,49969,45868,-9799,34253,44052,16.608561994210547,7.657037251425791,21.359891774996733,-15.395348233369921,-4.751329780786183,-17.489102343420438,22.240432124206613
43,205,205,2020-01-14,242000.0,3500.0,253387,99944,102811,-2867,130761,57443,73318,-70451,22682,93133,8.951524742784752,-0.20732093827512976,36.75524000836665,19.586794514620184,-27.803715265581893,-1.1314708331524506,28.93518609873435
44,204,204,2020-01-15,242000.0,0.0,205004,68355,104793,-36438,117873,65015,52858,-16420,18776,35196,9.158845681059884,-3.514661148888102,17.168445493746464,-3.090124119420647,-8.00959981268658,-17.774287330978908,25.78388714366549
45,203,203,2020-01-16,241500.0,-500.0,244731,108417,121904,-13487,105298,73248,32050,-18563,31016,49579,12.673506829947984,-6.0687878510394775,20.258569613167108,7.1464590708112805,-7.5850627832191275,-5.510948755981056,13.096011539200187
46,202,202,2020-01-17,241500.0,0.0,202782,73634,132927,-59293,91142,43266,47876,11417,38006,26589,18.742294680987467,5.948498451484561,13.11211054235583,-27.415619084362802,5.630184138631633,-29.239774733457605,23.609590594825967
47,201,201,2020-01-20,247000.0,5500.0,371516,167919,165330,2589,156066,55619,100447,-103036,47531,150567,12.793796229502902,-6.735849628967492,40.52772962671863,24.41037393992115,-27.73393339721573,0.6968744280192508,27.037058969196487
48,200,200,2020-01-21,244000.0,-3000.0,188964,111362,88442,22920,40698,70066,-29368,6448,36904,30456,19.5296458584704,-2.128777869429296,16.117355686797485,2.543220705203174,3.412290171672911,12.129294468787705,-15.541584640460615
49,199,199,2020-01-22,241500.0,-2500.0,204013,103102,86970,16132,56725,89350,-32625,16493,44186,27693,21.658423727899688,6.902493235434481,13.57413498159431,0.5426739293675222,8.084288746305383,7.907339238185803,-15.991627984491187
50,198,198,2020-01-23,240500.0,-1000.0,249642,84441,152148,-67707,128364,64962,63402,4305,36837,32532,14.755930492465213,-26.654492106900182,13.031461052226787,-2.3186958878106445,1.7244694402384215,-27.121638185882183,25.397168745643764
51,197,197,2020-01-28,226000.0,-14500.0,583981,245018,307527,-62509,97134,186812,-89678,152187,241829,89642,41.41042259936539,6.665172868805691,15.350156940037431,2.1522573440748545,26.06026565932796,-10.70394413516878,-15.356321524159176
52,196,196,2020-01-29,226500.0,500.0,203199,76645,145190,-68545,55952,31191,24761,43784,70602,26818,34.7452497305597,15.831184799740207,13.197899595962578,-13.930390564375507,21.54735013459712,-33.732941599122036,12.185591464524924
53,195,195,2020-01-30,224500.0,-2000.0,253901,94481,121275,-26794,111397,63747,47650,-20856,48023,68879,18.91406493081949,-10.033508554800653,27.128290160338093,14.019435150068743,-8.214225229518592,-10.552932048318043,18.76715727783664
54,194,194,2020-01-31,221000.0,-3500.0,359322,158430,131033,27397,96877,181186,-84309,56912,104015,47103,28.94757348562015,-7.666049959748772,13.10885501026934,-1.1337528168610602,15.838718475350802,7.624637511758256,-23.46335598710905
55,193,193,2020-02-03,214500.0,-6500.0,427513,172439,170421,2018,98546,196203,-97657,95639,156528,60889,36.61362344536892,-4.702600790736625,14.242607827130401,0.4269048838310194,22.371015618238513,0.4720324294231989,-22.84304804766171
56,192,192,2020-02-04,214000.0,-500.0,311725,75278,133490,-58212,107654,135168,-27514,85726,128793,43067,41.31622423610554,12.14670081068375,13.815702943299382,2.2754058403888475,27.50052129280616,-18.674151896703826,-8.826369396102335
57,191,191,2020-02-05,214500.0,500.0,297540,90635,146887,-56252,120114,116316,3798,52454,86791,34337,29.16952342542179,11.744281560865948,11.540297102910536,-22.194311516262736,17.629226322511258,-18.90569335215433,1.2764670296430731
58,190,190,2020-02-06,224000.0,9500.0,363840,202048,150405,51643,98392,90695,7697,-59340,63400,122740,17.425241864555847,-4.548949016408965,33.734608619173265,19.22915492737605,-16.309366754617415,14.193876429199648,2.115490325417766
59,189,189,2020-02-07,223000.0,-1000.0,285403,99837,144447,-44610,122851,99557,23294,21316,62715,41399,21.97419088096481,-16.955883805940637,14.505453691797216,0.2293089587260706,7.468737189167597,-15.630529461848687,8.161792272681089
60,188,188,2020-02-10,220500.0,-2500.0,289609,114289,152151,-37862,62575,96113,-33538,71400,112745,41345,38.93007468690545,14.249149581330926,14.276144733071144,-8.647869826337452,24.65392995383431,-13.073488738264349,-11.58044121556996
61,187,187,2020-02-11,222000.0,1500.0,212646,82148,85248,-3100,78015,78651,-636,3736,52483,48747,24.680925105574524,-5.5031690395373465,22.924014559408594,6.9245780615745565,1.7569105461659285,-1.4578219199984952,-0.2990886261674332
62,186,186,2020-02-12,222000.0,0.0,198757,91706,98758,-7052,47058,68199,-21141,28193,59993,31800,30.18409414511187,8.361853061657065,15.999436497834035,3.0356193123809696,14.184657647277833,-3.548051137821561,-10.636606509456273
63,185,185,2020-02-13,221000.0,-1000.0,379379,208072,226886,-18814,88518,103311,-14793,33607,82789,49182,21.82224108345481,-13.728929697387722,12.963817185453069,-8.761515007225585,8.858423898001734,-4.959156938048759,-3.899266959952976
64,184,184,2020-02-14,219500.0,-1500.0,217419,68846,98781,-29935,71278,71403,-125,30060,77295,47235,35.55117078084253,4.946610825745793,21.725332192678653,3.5892440344941114,13.825838588163867,-13.768345912730718,-0.057492675433149815
65,183,183,2020-02-17,218500.0,-1000.0,281494,124233,116358,7875,71111,114084,-42973,35098,86150,51052,30.604559955096732,5.242185329018955,18.13608815818455,3.707639275552129,12.468471796912189,2.7975729500451165,-15.266044746957304
66,182,182,2020-02-18,217500.0,-1000.0,181856,86583,106066,-19483,49150,49551,-401,19884,46123,26239,25.36237462607777,-3.4969221733502422,14.428448882632413,-4.0742007367476605,10.933925743445362,-10.713421608305472,-0.2205041351398909
67,181,181,2020-02-19,216500.0,-1000.0,190216,100320,82435,17885,35001,72586,-37585,19700,54895,35195,28.85929679942802,-1.7755107937057415,18.502649619380072,-1.8195428611582256,10.356647180047943,9.402468772343019,-19.759115952390967
