,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,42650.0,-600.0,1012449,436310,442272,-5962,323819,472515,-148696,154658,252320,97662,24.9217491448952,10.452335302742966,9.646115508040404,2.742528097365298,15.275633636854794,-0.5888691677309178,-14.686764469123876
16,232,232,2019-12-03,43000.0,350.0,943466,333837,585682,-251845,473115,292651,180464,71381,136514,65133,14.469413842152235,5.079756032110236,6.903587410675106,-0.47751798505446,7.565826431477128,-26.693595741658946,19.12776931018182
17,231,231,2019-12-04,42950.0,-50.0,1177913,387168,429322,-42154,680143,661648,18495,23659,110602,86943,9.389657810042,-4.683153270241418,7.381105395729567,-13.220697840072804,2.0085524143124323,-3.5787023320058444,1.570149917693412
18,230,230,2019-12-05,43750.0,800.0,1085604,419556,655463,-235907,513273,206487,306786,-70879,152775,223654,14.072811080283413,-7.560519643486407,20.60180323580237,14.030429950544095,-6.5289921555189565,-21.730483675447037,28.259475830965986
19,229,229,2019-12-06,43800.0,50.0,676997,240660,236882,3778,289880,395627,-105747,101969,146457,44488,21.633330723769824,-9.670513692387065,6.5713732852582805,-1.6730174471889772,15.061957438511545,0.5580526944727968,-15.62001013298434
20,228,228,2019-12-09,43350.0,-450.0,582117,244232,232997,11235,155660,301128,-145468,134233,182225,47992,31.303844416156892,12.074525144366667,8.244390732447258,-13.819029372059912,23.05945368370963,1.93002437654286,-24.98947806025249
21,227,227,2019-12-10,44050.0,700.0,628665,236352,242716,-6364,271425,247244,24181,-17817,120888,138705,19.229319271790217,6.464434301043919,22.06342010450717,11.26501913026631,-2.834100832716948,-1.0123038502222963,3.846404682939245
22,226,226,2019-12-11,44250.0,200.0,944325,328894,339141,-10247,494889,503212,-8323,18570,120542,101972,12.7648849707463,5.782136249883722,10.798400974240858,-2.299770271522789,1.9664839965054404,-1.0851137055568794,-0.8813702909485611
23,225,225,2019-12-12,45000.0,750.0,1837371,883172,963186,-80014,825900,633523,192377,-112363,128299,240662,6.98274872086258,-19.51366439768068,13.098171245763648,2.7713821506349468,-6.115422524901067,-4.354809126735971,10.47023165163704
24,224,224,2019-12-13,44450.0,-550.0,851436,338435,465781,-127346,287401,297729,-10328,137674,225600,87926,26.496413118543266,8.361679050359522,10.3267890951287,2.081364668657752,16.16962402341456,-14.956614472491179,-1.2130095509233811
25,223,223,2019-12-16,44450.0,0.0,734662,389038,238334,150704,212395,435752,-223357,72653,133229,60576,18.134734068183736,1.3238759657751409,8.245424426470949,-2.577278919300598,9.889309641712787,20.51337894160852,-30.40268858332131
26,222,222,2019-12-17,44650.0,200.0,892679,370893,366233,4660,371719,429834,-58115,53455,150067,96612,16.810858102408595,6.251999143493251,10.822703345771547,-12.829678949125547,5.988154756637044,0.5220241542592579,-6.510178910896302
27,221,221,2019-12-18,45250.0,600.0,780340,213059,376164,-163105,484886,219607,265279,-102174,82395,184569,10.558858958915343,-21.039081164260462,23.652382294897087,17.569822695026527,-13.093523335981752,-20.901786400799647,33.995309736781394
28,220,220,2019-12-19,44700.0,-550.0,729364,305651,322488,-16837,193249,362512,-169263,186100,230464,44364,31.597940123175807,8.583439427536128,6.082559599870572,-3.5912213015614087,25.51538052330524,-2.3084495533094587,-23.206930969995774
29,219,219,2019-12-20,44700.0,0.0,751826,272771,279708,-6937,306026,399388,-93362,100299,173029,72730,23.014500695639683,1.95179872840798,9.67378090143198,-4.3340639310415146,13.340719794207704,-0.9226868982982764,-12.418032895909427
30,218,218,2019-12-23,44750.0,50.0,564448,336016,328847,7169,109544,156534,-46990,39821,118888,79067,21.062701967231703,0.287848468795076,14.007844832473495,-7.822648199642957,7.054857134758207,1.2700904246272464,-8.324947559385452
31,217,217,2019-12-24,44700.0,-50.0,482930,316870,220987,95883,65732,156517,-90785,-5098,100328,105426,20.77485349843663,2.6374703782599447,21.83049303211645,-28.515341599565684,-1.0556395336798294,19.854430248690285,-18.798790715010462
32,216,216,2019-12-26,45100.0,400.0,439661,316700,182190,134510,43218,36120,7098,-141608,79743,221351,18.137383120176683,-17.362946623424893,50.34583463168214,43.466520789859466,-32.20845151150546,30.59402585173577,1.6144256597696862
33,215,215,2019-12-27,44350.0,-750.0,823367,339954,533442,-193488,191115,233283,-42168,235656,292298,56642,35.50032974360158,8.911629681428819,6.879313841822662,-3.4408991270118863,28.62101590177891,-23.49960588656091,-5.121410015218001
34,214,214,2019-12-30,44300.0,-50.0,644977,232265,179526,52739,241221,398888,-157667,104928,171491,66563,26.588700062172762,-24.469321574264544,10.320212968834547,2.1982465754953644,16.268487093338212,8.176880725979379,-24.44536781931759
35,213,213,2020-01-02,42500.0,-1800.0,1355029,400218,882003,-481785,262960,362971,-100011,581796,691851,110055,51.0580216364373,9.831433455105604,8.121966393339184,-4.533857575266683,42.93605524309812,-35.555327598154726,-7.380727644943392
36,212,212,2020-01-03,42000.0,-500.0,1569720,470693,928299,-457606,451885,442760,9125,448481,647142,198661,41.2265881813317,5.488936534884559,12.655823968605864,-0.7059129849855079,28.57076421272584,-29.152078077618942,0.581313864893102
37,211,211,2020-01-06,41900.0,-100.0,830880,289787,401397,-111610,244156,318463,-74307,185917,296937,111020,35.73765164644714,4.168507583640814,13.361736953591375,1.7437945260550798,22.37591469285577,-13.432746004236472,-8.943168688619295
38,210,210,2020-01-07,42050.0,150.0,1124218,380695,429687,-48992,388617,563920,-175303,224295,354906,130611,31.56914406280633,-3.9677617912948513,11.617942427536294,-4.234103274258988,19.951201635270028,-4.357873650839962,-15.593327984430067
39,209,209,2020-01-08,41300.0,-750.0,997335,314553,511330,-196777,328360,327907,453,196324,354422,158098,35.53690585410118,-5.089017502821194,15.852045701795285,6.185533408181927,19.68486015230589,-19.73028119939639,0.04542104709049617
40,208,208,2020-01-09,40750.0,-550.0,1908796,492233,781008,-288775,641097,943274,-302177,590952,775466,184514,40.62592335692237,-1.3369043949840744,9.666512293613355,-2.374951174660204,30.95941106330902,-15.128646539494007,-15.830764523815011
41,207,207,2020-01-10,40400.0,-350.0,1455064,379440,579077,-199637,465038,700776,-235738,435375,610586,175211,41.96282775190645,0.4103613193098568,12.04146346827356,2.4667301065152336,29.92136428363289,-13.72015251562818,-16.201211768004708
42,206,206,2020-01-13,40450.0,50.0,1299326,298128,404575,-106447,461296,770344,-309048,415495,539902,124407,41.5524664325966,6.6103560634484015,9.574733361758328,-9.605747741791527,31.977733070838266,-8.192478254110208,-23.785254816728052
43,205,205,2020-01-14,41150.0,700.0,1412170,425828,463364,-37536,492900,677945,-185045,222581,493442,270861,34.94211036914819,-3.7437147807086153,19.18048110354985,1.197338974632249,15.761629265598335,-2.658036921900338,-13.103592343697994
44,204,204,2020-01-15,41200.0,50.0,920045,279916,322345,-42429,284202,432247,-148045,190474,355927,165453,38.6858251498568,-10.087097185580006,17.983142128917606,2.4595467777915707,20.702683020939194,-4.611622257606965,-16.09106076333223
45,203,203,2020-01-16,41150.0,-50.0,1105472,295258,339314,-44056,271043,594549,-323506,367562,539171,171609,48.77292233543681,14.049786200662332,15.523595351126033,-6.29217758283325,33.24932698431078,-3.98526602211544,-29.26406096219533
46,202,202,2020-01-17,41400.0,250.0,1016691,252916,413255,-160339,410748,381637,29111,131228,353027,221799,34.72313613477448,-9.95315490996034,21.815772933959284,-3.3091668790875874,12.907363200815196,-15.770671718349035,2.8633085175338424
47,201,201,2020-01-20,41600.0,200.0,722748,257056,359278,-102222,142795,181880,-39085,141307,322897,181590,44.67629104473483,-3.692204305278665,25.124939813046872,1.5281748008249068,19.551351231687946,-14.143518902854106,-5.40783232883384
48,200,200,2020-01-21,41600.0,0.0,567421,196201,210994,-14793,96767,222534,-125767,140560,274453,133893,48.368495350013475,11.170693840988443,23.596765012221965,-4.189965763169536,24.77173033779152,-2.6070589562247437,-22.164671381566773
49,199,199,2020-01-22,42600.0,1000.0,1435894,566777,344199,222578,334996,692707,-357711,135133,534121,398988,37.19780150902504,1.7385464153962076,27.7867307753915,-11.064395182112708,9.411070733633544,15.50100494883327,-24.912075682466806
50,198,198,2020-01-23,43400.0,800.0,2060957,658321,632725,25596,671836,627527,44309,-69905,730800,800705,35.459255093628826,12.568326976328175,38.85112595750421,19.407725376223983,-3.3918708638753743,1.24194730894434,2.1499235549310343
51,197,197,2020-01-28,42700.0,-700.0,1631227,648247,530841,117406,609577,783220,-173643,56237,373403,317166,22.890928117300657,-11.646810354819262,19.443400581280226,1.8925354719891416,3.4475275360204307,7.197404162633403,-10.644931698653837
52,196,196,2020-01-29,42550.0,-150.0,1025015,336240,577555,-241315,334758,267561,67197,174118,354017,179899,34.53773847211992,5.383886719117374,17.550865109291085,-0.6502752522277788,16.986873362828838,-23.542582303673605,6.5557089408447675
53,195,195,2020-01-30,41950.0,-600.0,1030375,329718,460717,-130999,400263,382118,18145,112854,300394,187540,29.153851753002552,10.417231004631397,18.201140361518863,8.516729537634829,10.952711391483684,-12.713720732742932,1.7610093412592502
54,194,194,2020-01-31,40900.0,-1050.0,1349571,448067,574837,-126770,648640,644036,4604,122166,252864,130698,18.73662074837115,3.140639747428475,9.684410823884036,-2.825518052121712,9.052209924487112,-9.393355369965716,0.34114544547860026
55,193,193,2020-02-03,40100.0,-800.0,1428913,712281,683911,28370,493779,566246,-72467,44097,222853,178756,15.595981000942675,-6.695817848443882,12.509928876005747,5.246592382168728,3.0860521249369275,1.985425284814401,-5.071477409751329
56,192,192,2020-02-04,40250.0,150.0,1122184,482229,769101,-286872,389800,271575,118225,168647,250155,81508,22.29179884938656,-11.165939800370767,7.263336493837018,-0.895237500841068,15.028462355549536,-25.56372217033927,10.53525981478973
57,191,191,2020-02-05,39400.0,-850.0,1554328,483794,845316,-361522,550491,582201,-31710,393232,520043,126811,33.457738649757324,17.004353704879108,8.158573994678086,-21.95138505608488,25.299164655079235,-23.25905471689373,-2.040109938185505
58,190,190,2020-02-06,41300.0,1900.0,1405887,716378,503737,212641,458193,478838,-20645,-191996,231316,423312,16.453384944878216,-11.20636913878797,30.109959050762967,21.38545914039921,-13.656574105884758,15.12504205530032,-1.4684679494155648
59,189,189,2020-02-07,40500.0,-800.0,1054261,402375,598766,-196391,360280,363516,-3236,199627,291606,91979,27.659754083666183,2.344205952865696,8.724499910363752,-6.222396778002268,18.93525417330244,-18.628309308605747,-0.30694486469669274
60,188,188,2020-02-10,40650.0,150.0,701557,291930,429153,-137223,232024,167543,64481,72742,177603,104861,25.31554813080049,6.1910456721035345,14.946896688366019,-6.974083462527473,10.368651442434473,-19.55977917688798,9.191127734453508
61,187,187,2020-02-11,41350.0,700.0,1141865,594950,461779,133171,328539,429778,-101239,-31932,218376,250308,19.124502458696963,-3.4572130888352315,21.920980150893488,6.014569117097256,-2.7964776921965377,11.662587083411784,-8.866109391215248
62,186,186,2020-02-12,41650.0,300.0,1012598,471322,346460,124862,312614,505070,-192456,67594,228662,161068,22.58171554753219,1.8810916568375864,15.906411033796234,-0.9090037006167436,6.675304513735955,12.330855877653324,-19.006160391389283
