,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,"50,400",100,18877252,4568636,2162147,2406489,12846467,15671284,-2824817,418328,,,1462149,1043821,7.745560635626414,-13.816425571123741,5.529517749723319,-1.8115751296681681,2.2160428859030965,12.748089605415025,-14.964132491318123
16,232,232,2019-12-03,"49,900",-500,12059812,4996217,3289254,1706963,4463260,7885236,-3421976,1715013,,,2600335,885322,21.56198620675016,-2.1362766389162893,7.3410928793914865,-4.347106062083761,14.220893327358668,14.154142701395346,-28.37503602875401
17,231,231,2019-12-04,"49,450",-450,13246549,4538778,4391588,147190,5568569,7306678,-1738109,1590919,,,3139202,1548283,23.698262845666445,6.126338635293244,11.688198941475248,1.892572936364104,12.010063904191195,1.1111573285993204,-13.121221232790518
18,230,230,2019-12-05,"49,500",50,10449715,3608102,4022346,-414244,5005397,5403754,-398357,812601,,,1836216,1023615,17.5719242103732,6.232357378073095,9.795626005111144,-7.810514501538124,7.776298205262058,-3.9641655298733034,-3.8121326753887543
19,229,229,2019-12-06,"50,400",900,11414563,4587232,3300842,1286390,5532969,6104057,-571088,-715302,,,1294362,2009664,11.339566832300106,2.48459068944787,17.606140506649265,-1.483556159252796,-6.2665736743491625,11.269726226050002,-5.003152551700841
20,228,228,2019-12-09,"51,200",800,8470627,3244473,3131330,113143,4476082,3722280,753802,-866945,,,750072,1617017,8.854976142852236,0.7133715478424634,19.089696665902068,-2.6523168341838748,-10.234720523049829,1.3357098594944623,8.899010663555368
21,227,227,2019-12-10,"51,500",300,6882771,3042780,2218547,824233,3279623,3167771,111852,-936085,,,560368,1496453,8.141604595009772,-0.9133459604661578,21.74201350008594,1.811209734268381,-13.600408905076167,11.975307619561946,1.6251012855142208
22,226,226,2019-12-11,"51,900",400,11379521,5360738,4583015,777723,4988373,4528476,459897,-1237620,,,1030410,2268030,9.05495055547593,5.6417378270254455,19.930803765817558,-7.224641180884483,-10.87585321034163,6.834408935138834,4.041444275202797
23,225,225,2019-12-12,"53,300","1,400",29178697,17546359,16164568,1381791,10636407,5090524,5545883,-6927674,,,995931,7923605,3.4132127284504854,-7.8451129656440965,27.155444946702037,-26.44505782751297,-23.74223221825155,4.7356158501525965,19.00661636809896
24,224,224,2019-12-13,"54,700","1,400",18120261,7569213,5106749,2462464,8511010,3300961,5210049,-7672513,,,2040038,9712551,11.258325694094582,0.4057714276315796,53.60050277421501,22.93553746071188,-42.34217708012042,13.589561430710075,28.75261564941035
25,223,223,2019-12-16,"54,700",0,11512405,5441995,3093545,2348450,4821020,4888585,-67565,-2280885,,,1249390,3530275,10.852554266463,-2.6324525003553667,30.664965313503128,-12.8576224909953,-19.81241104704013,20.399299711919447,-0.5868886648793193
26,222,222,2019-12-17,"56,700","2,000",19358433,6276350,6589026,-312676,10471597,4344116,6127481,-5814805,,,2610486,8425291,13.485006766818366,-5.528506871770341,43.522587804498436,23.108900058454672,-30.037581037680066,-1.6151927173031002,31.652773754983173
27,221,221,2019-12-18,"56,300",-400,15558208,4412916,6078754,-1665838,8187130,6303450,1883680,-217842,,,2958162,3176004,19.01351363858871,-3.1559272563855214,20.41368774604376,-4.498078536151816,-1.4001741074550489,-10.70713285231821,12.10730695977326
28,220,220,2019-12-19,"56,000",-300,14180520,4375684,5436231,-1060547,6661094,5211671,1449423,-388876,,,3143742,3532618,22.169440894974237,4.425415194216786,24.91176628219557,4.620177306145846,-2.7423253872213436,-7.4789006326989425,10.221226019920287
29,219,219,2019-12-20,"56,000",0,12095519,2741824,2882694,-140870,7207463,6758452,449011,-308141,,,2146232,2454373,17.744025700757447,-4.396021123940201,20.291588976049727,-10.140002775030537,-2.54756327529228,-1.1646461801267065,3.712209455418986
30,218,218,2019-12-23,"55,500",-500,9839252,4737230,3691280,1045950,2923607,3153731,-230124,-815826,,,2178415,2994241,22.14004682469765,3.0789940160905047,30.431591751080266,8.185981683458197,-8.291544926382615,10.63038125255863,-2.3388363261760143
31,217,217,2019-12-24,"55,000",-500,11868463,4924390,3533795,1390595,4681819,5694456,-1012637,-377958,,,2262254,2640212,19.061052808607144,-17.180561269684333,22.245610067622067,-33.76763985974989,-3.1845572590149205,11.716723555526945,-8.532166296512028
32,216,216,2019-12-26,"55,400",400,9645034,5251572,2295997,2955575,897946,1946540,-1048594,-1906981,,,3495516,5402497,36.24161407829148,5.197290069694425,56.01324992737196,29.84125005991419,-19.771635849080468,30.643489696355662,-10.871853847275188
33,215,215,2019-12-27,"56,500","1,100",12313056,6438579,5842109,596470,2051972,3248374,-1196402,599932,,,3822505,3222573,31.044324008597048,3.814822456142615,26.17199986745777,14.357311244453195,4.872324141139291,4.844207644308611,-9.716531785447902
34,214,214,2019-12-30,"55,800",-700,8356767,4155717,2291956,1863761,1925544,5077485,-3151941,1288180,,,2275506,987326,27.229501552454444,-3.7796287421882795,11.814688623004566,2.995302093344653,15.414812929449868,22.30241671210889,-37.71722964155875
35,213,213,2020-01-02,"55,200",-600,12993228,4587665,6942431,-2354766,4376476,4904874,-528398,2883164,,,4029087,1145923,31.00913029464272,8.128073017350907,8.819386529659912,-6.875964117829706,22.189743764982804,-18.123025317496158,-4.066718447486645
36,212,212,2020-01-03,"55,500",300,15422255,6860314,9088643,-2228329,5033166,3913035,1120131,1108198,,,3528775,2420577,22.88105727729181,0.4823222312739794,15.695350647489615,-2.592867673621166,7.185706629802191,-14.448788455384767,7.263081825582574
37,211,211,2020-01-06,"55,500",0,10278951,4431535,5631189,-1199654,3545061,2767925,777136,422518,,,2302355,1879837,22.398735046017823,4.86992471675778,18.288218321110786,0.5836098872374222,4.110516724907045,-11.670976931400881,7.5604602064938335
38,210,210,2020-01-07,"55,800",300,10009778,4359392,4307496,51896,3895791,3930090,-34299,-17597,,,1754595,1772192,17.52881032926005,2.250720569392339,17.70460843387336,-16.009149914593614,-0.1757981046133091,0.5184530566012553,-0.3426549519879462
39,209,209,2020-01-08,"56,800","1,000",23501171,9268860,9195447,73413,10641781,6382596,4259185,-4332598,,,3590530,7923128,15.278089759867713,1.361201446795489,33.71375834846697,14.100703662493329,-18.435668588599263,0.3123801788430032,18.123288409756263
40,208,208,2020-01-09,"58,600","1,800",24102579,9264381,11567351,-2302970,11483869,7807976,3675893,-1372923,,,3354329,4727252,13.916888313072224,-16.05195576795941,19.613054685973648,-2.067039963020708,-5.696166372901423,-9.554869626192284,15.251035999093707
41,207,207,2020-01-10,"59,500",900,16000170,4809954,7764148,-2954194,6395150,4767170,1627980,1326214,,,4795066,3468852,29.96884408103164,1.6560907992908265,21.68009464899436,-5.8565786851377455,8.288749432037285,-18.463516325139047,10.17476689310176
42,206,206,2020-01-13,"60,000",500,11359139,3772640,5285463,-1512823,4370414,2945747,1424667,88156,,,3216085,3127929,28.312753281740807,-1.5941719197891508,27.536673334132104,5.446351356430895,0.7760799476087052,-13.318113283057807,12.542033335449105
43,205,205,2020-01-14,"60,000",0,16906295,5833294,7499380,-1666086,6016848,5672260,344588,1321498,,,5056153,3734655,29.906925201529962,-0.3520342170476276,22.0903219777012,10.9203965015363,7.816603223828758,-9.854826264418076,2.0382230405893194
44,204,204,2020-01-15,"59,000","-1,000",14300928,5619653,5375506,244147,4353963,7328019,-2974056,2729909,,,4327312,1597403,30.25895941857759,10.752388115204306,11.169925476164904,-11.55864750794679,19.089033942412687,1.7072108886919786,-20.796244831104666
45,203,203,2020-01-16,"60,700","1,700",14381774,5117080,5793111,-676031,6459303,5319891,1139412,-463381,,,2805391,3268772,19.50657130337328,-2.171592236963683,22.72857298411169,2.7521302027499783,-3.2220016807384124,-4.700609257244621,7.922610937983032
46,202,202,2020-01-17,"61,300",600,16025661,6303523,7571072,-1267549,6248069,5253232,994837,272712,,,3474069,3201357,21.678163540336968,-8.299308463289861,19.976442781361715,-10.0754574122314,1.7017207589752459,-7.909495901604308,6.207775142629062
47,201,201,2020-01-20,"62,400","1,100",12528855,5296326,5074244,222082,3476695,3689452,-212757,-9325,,,3755834,3765159,29.977472003626822,-9.921913180906213,30.05190019359311,9.40754608637684,-0.07442818996628184,1.7725642127712389,-1.6981360228049571
48,200,200,2020-01-21,"61,400","-1,000",11142693,4238313,5493358,-1255045,2458514,3348998,-890484,2145529,,,4445866,2300337,39.89938518453304,18.37942682847796,20.644354107216273,-12.37237094333112,19.255031077316772,-11.263390277377288,-7.991640799939476
49,199,199,2020-01-22,"62,300",900,15339565,6882158,5233150,1649008,5156339,5041793,114546,-1763554,,,3301068,5064622,21.519958356055078,-19.359943202984525,33.01672505054739,19.824670987125913,-11.496766694492313,10.750031047164637,0.7467356473276785
50,198,198,2020-01-23,"60,800","-1,500",14916555,5581260,7487596,-1906336,3237422,5461159,-2223737,4130073,,,6097873,1967800,40.8799015590396,3.393106442244396,13.19205406342148,-6.364298202189758,27.68784749561812,-12.780001816773375,-14.907845678844748
51,197,197,2020-01-28,"58,800","-2,000",23664541,8873498,7815901,1057597,5919965,11220719,-5300754,4243157,,,8871078,4627921,37.48679511679522,5.591285773608596,19.55635226561124,0.21153730581103852,17.930442851183972,4.469121120920959,-22.399563972104925
52,196,196,2020-01-29,"59,100",300,16446102,6803858,9341679,-2537821,4396676,3922955,473721,2064100,,,5245568,3181468,31.895509343186607,-15.465627388603835,19.3448149598002,0.36383052794685256,12.550694383386409,-15.431139853078866,2.8804454696924537
53,195,195,2020-01-30,"57,200","-1,900",20821939,7553738,9816238,-2262500,3406694,7053492,-3646798,5909298,,,9861507,3952209,47.36113673179046,17.660882188083246,18.980984431853347,0.05588183282999282,28.3801522999371,-10.865942888412073,-17.514209411525027
54,194,194,2020-01-31,"56,400",-800,19749457,8379882,6731201,1648681,5503936,9280651,-3776715,2128034,,,5865639,3737605,29.7002545437072,2.44800555786583,18.925102599023358,-6.107833072438427,10.775151944683847,8.347981415387776,-19.12313336007162
55,193,193,2020-02-03,"57,200",800,23995260,10171327,9094374,1076953,7284685,8894168,-1609483,532530,,,6539248,6006718,27.25224898584137,1.1730795913699836,25.032935671461786,-0.2344702302844049,2.21931331437959,4.488190584307066,-6.7075038986866575
