,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,462492,296187,203226,379616,33148,23063,4.743112413538504,1.3521155552162738,3.3000603835356133,-0.0520272618781914,1.4430520300028904,23.79640732271995,-25.23945935272284
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.0,0.4055555555555556,0.5944444444444444,0.7179555555555556,9.0,367688,502523,533617,399145,31636,31273,3.39099685832223,0.9589554096065824,3.3520876454138047,-2.7509373237180603,0.03890921290842615,-14.452682431150524,14.413773218242094
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,-0.5,0.0,0.39075,0.60925,0.710925,4.0,319110,390411,583298,478044,22494,56447,2.432041448715648,-2.4091939329102208,6.103024969131867,-4.947593931722994,-3.670983520416217,-7.709032957005174,11.380016477421393
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,0.0,0.21600000000000003,0.0,0.784,-0.29600000000000004,1.0,286193,351002,783323,648725,54412,124201,4.841235381625869,0.524940301584297,11.05061890085486,-3.856086511942088,-6.2093835192289895,-5.766294638090696,11.975678157319686
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,-1.0,0.07738709677419355,0.32403225806451613,0.5986451612903229,0.4855967741935486,31.0,299225,208205,450187,458261,33806,116752,4.316295080041572,-4.0292838121471855,14.906705412796947,-10.465936242608807,-10.590410332755377,11.62128551693143,-1.030875184176053
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,-1.0,0.035625000000000004,0.2275,0.7368750000000001,0.38868749999999996,8.0,370361,395788,607017,400018,88995,270567,8.345578892188755,2.87051786091691,25.372641655405754,10.346724097688664,-17.027062763217,-2.3844377155085508,19.41150047872555
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,222574,275631,546790,415996,44563,122300,5.475061031271847,-0.4148000654347079,15.025917557717092,9.865434810498083,-9.550856526445246,-6.518643563857692,16.069500090302938
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,404554,302790,511931,620798,57358,50255,5.889861096706554,3.6073526519325183,5.160482747219008,-2.918283062319128,0.7293783494875458,10.449733683971647,-11.179112033459194
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,0.0,0.0,0.474,0.526,0.3818,1.0,1178197,921667,497914,655023,39151,138572,2.2825084447740345,-2.742170000735677,8.078765809538135,-25.30792260641028,-5.7962573647641005,14.955732710221527,-9.159475345457427
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,0.0,0.0,0.076,0.9239999999999999,0.1806,2.0,490379,392859,660134,414082,60868,404440,5.024678445509712,-1.579537281063503,33.38668841594841,24.145866860193944,-28.3620099704387,8.050316126800734,20.311693843637965
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,,,,,,,546052,865934,1398904,1024115,137532,192439,6.604215726573215,-14.481429045494616,9.240821555754463,-0.7870938927735427,-2.6366058291812484,-15.360568704357481,17.99717453353873
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,,,,,,,830212,1004819,963460,1040188,479263,227928,21.085644772067834,15.100562442126307,10.027915448528004,-8.851533876163527,11.05772932353983,-7.682005864663969,-3.375723458875859
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,,,,,,,385251,617913,851629,449326,78741,248382,5.985082329941528,-2.099052237392115,18.87944932469153,10.692670185426737,-12.894366994750008,-17.684576333153696,30.578943327903705
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,,,,,,,517400,403320,402255,515308,80885,81912,8.08413456733364,-3.8085929418589486,8.186779139264798,0.2716938344018871,-0.10264457193115717,11.401843004777419,-11.299198432846262
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,-1.0,0.0,0.177,0.823,0.4215,1.0,396863,314461,497380,620153,120705,80334,11.892727509192591,4.270410655610639,7.915085304862909,-17.561010532736617,3.97764220432968,8.11883958587041,-12.096481790200093
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,0.0,0.0,0.0,1.0,0.0,1.0,407668,321940,403433,332400,66926,223687,7.6223168535819505,-7.874350770807086,25.47609583759953,15.43196864099684,-17.853778984017573,9.763708860889244,8.090070123128331
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,,,,,,,426741,312981,82073,228664,93309,60478,15.496667624389035,-8.067349544811794,10.044127196602687,-17.82390025515947,5.452540427786349,18.893149738508576,-24.34569016629493
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,478720,289316,69579,228109,169032,199906,23.56401716920083,4.365899201100554,27.86802745176216,17.304364530747886,-4.304010282561328,26.40398923230699,-22.09997894974565
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,-0.1111111111111111,0.0,0.043555555555555556,0.9564444444444445,0.09135555555555556,9.0,471358,755521,561446,387648,245389,135024,19.19811796810028,6.205671886165536,10.563662921014275,3.8333615490871424,8.634455047086004,-22.231619168623205,13.5971641215372
