,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,92770,80302,92059,80108,52408,76827,22.090989179596768,10.362613989320518,32.38407162457796,-14.29718863654314,-10.293082444981179,5.2555039896812055,5.0375784552999745
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.0058,0.021559999999999996,0.9726400000000001,0.015899999999999997,25.0,90465,76590,101479,39350,25503,101507,11.728375190276251,-8.658956992341617,46.6812602611211,23.663107668111525,-34.95288507084485,6.380865222330039,28.57201984851481
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,0.0,0.0,0.1768,0.8231999999999999,0.31820000000000004,15.0,121278,108805,113491,118206,60120,67878,20.387332182617868,-5.624304682321512,23.01815259300957,-0.18968911318999915,-2.6308204103917068,4.229727117661222,-1.598906707269515
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,0.3076923076923077,0.0,0.13323076923076924,0.8667692307692308,0.2690769230769231,13.0,78457,123394,140516,103877,76983,68685,26.01163686493938,1.7675327796505336,23.20784170619957,-2.5711826410646634,2.803795158739813,-15.183675951830676,12.379880793090866
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,,,,,,,75395,88864,130958,113308,66039,70220,24.244104085288853,-25.42361678193223,25.779024347264233,1.50662868794646,-1.5349202619753883,-4.944712032658815,6.479632294634204
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,0.22727272727272727,0.0,0.061454545454545456,0.9385454545454543,0.12562727272727275,22.0,121555,183772,98388,147144,217039,106066,49.66772086722108,37.15151942377237,24.27239565931777,-31.60216955127493,25.395325207903294,-14.237886228723381,-11.157438979179918
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,0.0,0.012,0.13579999999999998,0.8521999999999998,0.24622000000000002,20.0,136342,205783,367185,48188,72039,321595,12.516201443448713,-20.422562900614665,55.874565210592706,21.645607337499968,-43.35836376714399,-12.06481967315651,55.423183440300505
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,0.0,0.0,0.09357142857142857,0.9064285714285714,0.11775,14.0,118056,114941,109918,108647,111975,116361,32.93876434406337,24.327505407730808,34.22895787309273,5.819004542735198,-1.2901935290293545,0.9163139176758868,0.3738796113534677
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,0.0,0.0,0.12300000000000001,0.877,0.175075,4.0,476645,342579,418059,358294,84305,278136,8.611258936332558,-17.636916030126287,28.40995333035753,-12.822240261308474,-19.798694394024977,13.69405184222004,6.104642551804937
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,0.0,0.0,0.355,0.645,0.6705,2.0,156541,88632,142502,149655,106429,167185,26.248174966458844,7.8250579561134925,41.232193591666004,7.416642054595486,-14.984018625207169,16.74813550627417,-1.7641168810670034
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,0.0,0.0,0.0845,0.9154999999999999,0.16768928571428574,28.0,140633,63338,80867,116368,50023,91817,18.42311701034535,-12.006241094126596,33.81555153707053,-7.140295768101673,-15.392434526725175,28.46720167352305,-13.074767146797875
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,0.0,0.0,0.058625000000000003,0.9413749999999999,0.09873749999999999,24.0,135774,145618,180954,123187,138533,186456,30.429358104471945,7.256874224460733,40.95584730517221,2.2796388066340114,-10.526489200700258,-2.1622761448927097,12.688765345592964
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,-0.36363636363636365,0.023545454545454543,0.08006060606060605,0.8963939393939395,0.09934545454545453,33.0,131322,139186,175607,105805,92575,154513,23.17248388001121,1.5383794490971177,38.67620849853819,-3.7791860392171226,-15.503724618526974,-1.9684408666746769,17.47216548520165
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,-0.13333333333333333,0.0,0.007666666666666667,0.9923333333333333,0.005146666666666667,15.0,70530,100947,166164,72859,65343,128231,21.634104430914093,-5.448179562128619,42.45539453775531,8.929933717123646,-20.82129010684121,-10.07062048689399,30.891910593735204
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,-0.125,0.025625,0.13449999999999998,0.839875,0.1533875,8.0,59292,68203,234589,199710,109150,135118,27.08228399304272,-0.4827651240923281,33.525460820631665,-16.20952425770706,-6.443176827588947,-2.210996176472777,8.654173004061724
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,,,,,,,129620,93044,56787,36310,70937,127990,27.565049117135054,2.8165882512333766,49.73498507833872,-1.7824040790901137,-22.16993596120368,14.212882367570256,7.957053593633424
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,0.0,0.0,0.0,1.0,0.0,3.0,119619,71529,46492,35492,54630,113720,24.748460865901666,-21.391422707659654,51.51738915742886,-14.334435644409922,-26.76892829152717,21.785712667787127,4.9832156237400405
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,141755,72202,58833,54974,171836,245248,46.13988357356133,8.636170533364151,65.85182480183876,44.309969807097225,-19.71194122827745,18.675756664446975,1.0361845638304727
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,,,,,,,127698,178544,183686,212369,186860,107331,37.50371304019717,16.945099970825925,21.54185499474153,-5.312451628198176,15.961858045455642,-10.205040100834127,-5.756817944621512
19,2019-12-30,55800,8356767,-0.012389380530973493,900.0,1192.857142857143,0.0,0.0,0.0,1.0,0.0,2.0,64743,53961,160293,153241,58237,76071,20.558613069371244,-29.85823211144896,26.85430662293971,-0.2922529118231374,-6.295693553568466,3.8062222661531457,2.4894712874153204
20,2020-01-02,55200,12993228,-0.010752688172043,1000.0,1200.0,-0.16666666666666666,0.022166666666666668,0.17400000000000002,0.8036666666666666,0.3186666666666667,6.0,87761,140782,53431,66674,143566,77302,50.41684518082021,14.633487985961304,27.14655953476285,5.6397921535134055,23.270285646057356,-18.619670035609182,-4.6506156104481695
21,2020-01-03,55500,15422255,0.005434782608695564,1700.0,1264.2857142857142,-0.05555555555555555,0.016944444444444443,0.11699999999999999,0.8660555555555557,0.12796666666666667,18.0,135048,233436,102228,56591,132217,79466,35.7833571948589,-6.276305857843269,21.506767381249446,-20.14224486112948,14.276589813609462,-26.627838687065786,12.351248873456333
22,2020-01-06,55500,10278951,0.0,1000.0,1235.7142857142858,-0.04,0.0166,0.07636000000000001,0.9070400000000001,0.11651999999999997,25.0,130010,146783,65264,49875,141752,140368,42.05966305270218,11.010441573004757,41.64901224237892,5.375732958821138,0.4106508103232391,-4.97676737106336,4.566116560740121
23,2020-01-07,55800,10009778,0.00540540540540535,900.0,1192.857142857143,-0.1,0.0,0.08929999999999999,0.9107,0.17885500000000001,20.0,77886,115138,105048,53936,82377,96237,31.049221479697408,-12.236307803305836,36.27327928355777,8.135311759305512,-5.224057803860375,-14.04088032535402,19.264938129214393
24,2020-01-08,56800,23501171,0.017921146953405076,1600.0,1264.2857142857142,-0.26865671641791045,0.031895522388059705,0.0863731343283582,0.881731343283582,0.13200746268656718,67.0,226543,445679,305120,227983,405775,263776,43.28552928300326,-15.627839476923366,28.13796752425227,6.999709932771001,15.147561758750978,-23.376052602945474,8.228490844194496
25,2020-01-09,58600,24102579,0.031690140845070484,1800.0,1250.0,-0.16216216216216217,0.035405405405405405,0.10686486486486488,0.8578108108108108,0.13759189189189192,37.0,411415,650378,231947,584492,922505,330997,58.913368759926605,8.932799380076794,21.138257591481267,-6.3332546122017686,37.77511116844534,-15.260746921673427,-22.514364246771912
26,2020-01-10,59500,16000170,0.015358361774743924,1400.0,1264.2857142857142,0.2777777777777778,0.0,0.16930555555555551,0.8306944444444444,0.30539999999999995,36.0,209509,290128,189501,288439,398700,219143,49.980569379849825,-11.077066922666717,27.471512203683037,4.4494421960612165,22.509057176166774,-10.106304296047435,-12.402752880119342
27,2020-01-13,60000,11359139,0.008403361344537784,900.0,1200.0,0.0,0.0,0.0,1.0,0.0,8.0,164831,259737,69176,202828,366899,138341,61.057636302516535,19.50332108227071,23.02207000762182,-22.611851067105288,38.03556629489471,-15.793818001484425,-22.241748293410282
28,2020-01-14,60000,16906295,0.0,1100.0,1214.2857142857142,0.0625,0.0,0.06978124999999999,0.93021875,0.13790625,32.0,381049,347752,250999,240178,449380,493498,41.554315220245826,10.923216104420645,45.633921074727105,-3.2377962185404314,-4.079605854481297,3.078984453888747,1.0006214005925498
29,2020-01-15,59000,14300928,-0.01666666666666672,1100.0,1200.0,-0.09523809523809523,0.0,0.007666666666666667,0.9923333333333333,0.0172,21.0,204645,163254,279586,193648,213821,341150,30.63109911582519,-1.7103193451405794,48.87171729326754,7.250560679669462,-18.240618177442368,5.92950095408365,12.311117223358718
30,2020-01-16,60700,14381774,0.028813559322034,1700.0,1257.142857142857,0.047619047619047616,0.0,0.06014285714285714,0.9398571428571427,0.13215714285714283,21.0,116680,144851,181398,112344,142484,183367,32.34141846096576,-16.634247410073698,41.621156613598096,9.572100595123453,-9.27973815263232,-6.394332693241812,15.674070845874136
31,2020-01-17,61300,16025661,0.009884678747940743,1300.0,1278.5714285714287,0.0,0.051500000000000004,0.06125,0.88725,0.10197500000000001,4.0,120283,210040,116574,105391,227347,148773,48.97566587103946,20.55106920366858,32.049056018474644,-34.2612538487411,16.92660985256482,-19.335680002757407,2.4090701501925875
32,2020-01-20,62400,12528855,0.01794453507340954,1500.0,1278.5714285714287,0.0,0.0,0.0,1.0,0.0,2.0,269546,179618,370774,121773,254289,593218,28.424596667370878,-23.22804843537038,66.31030986721574,27.384971067714854,-37.88571319984485,10.05221275439885,27.833500445446
33,2020-01-21,61400,11142693,-0.01602564102564108,1200.0,1300.0,0.0,0.0,0.019818181818181818,0.9801818181818182,0.0544909090909091,11.0,110167,140738,73098,90771,195794,147550,51.65264510274126,10.4619051926326,38.925338799500864,-0.6338091550591471,12.727306303240391,-8.064971416059242,-4.662334887181151
