,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,47054,35626,59676,62173,16621,25552,13.47455634733403,-3.0300097692145584,20.714870572593654,-3.0504351319806524,-7.240314225259625,9.264618851894188,-2.0243046266345632
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.14,0.0,0.86,-0.3818,2.0,41430,45178,40125,29285,16121,23213,16.504566116548588,-48.20304527936917,23.765305704574303,12.789433848597266,-7.260739588025718,-3.8371759695319216,11.09791555755764
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,-1.0,0.33899999999999997,0.0,0.6609999999999999,-0.4767,2.0,55693,144050,55970,137617,204731,34727,64.70761139591775,21.68903631956467,10.975871855977044,-3.5066795884729647,53.73173953994071,-27.926256502967817,-25.80548303697289
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,-0.6046511627906976,0.09706976744186045,0.05430232558139536,0.8486279069767441,-0.02992790697674419,43.0,28288,85214,85521,85590,85921,28926,43.01857507635308,9.091600651389273,14.482551444450008,-9.918284971827939,28.53602363190307,-28.50147699394182,-0.034546637961247684
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,-0.3,0.007566666666666666,0.09703333333333333,0.8954,0.17721333333333333,30.0,36179,53605,66515,63895,52731,37925,33.92697442496381,3.3922692713627813,24.400836416277947,4.130270706042957,9.526138008685859,-11.211838507318642,1.6857004986327808
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,62013,40400,42840,79946,46090,30597,30.53470515360103,-2.83152629406268,20.270565710234987,-6.982274109474961,10.26413944336604,14.318650086456476,-24.58278952982252
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,41175,20138,64824,95586,53078,43353,33.366231447663715,2.8756461688641335,27.252839819709948,9.733810064092076,6.113391627953758,13.224413334422955,-19.337804962376712
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,39026,43990,56400,69244,41859,24051,30.49058527879957,18.50624748057797,17.519029755617876,2.8958458097796136,12.971555523181706,-3.6158356703208656,-9.355719852860835
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,,,,,,,126176,147329,91191,63521,29597,36114,11.984337798221604,-18.12141118237615,14.62318394583826,-11.12221194070563,-2.6388461476166567,-8.565215982896293,11.204062130512948
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,,,,,,,78156,47254,77827,118460,67187,57456,30.105748980597753,11.998658379384475,25.74539588654389,-19.59685892354592,4.3603530940538615,13.846843213693594,-18.20719630774745
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,,,,,,,60796,39268,88643,60472,33042,82741,18.10709060121328,-9.566822688285722,45.34225481008982,24.16766816183205,-27.235164208876533,11.797392605257533,15.437771603619009
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,,,,,,,46697,44947,81122,94358,48907,37421,27.673913289499,-0.0006771951565553991,21.174586648257755,-2.117670359756236,6.499326641241241,0.9902334687595488,-7.4895601100007925
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,,,,,,,36383,66905,113340,91890,57290,48218,27.674590484655557,-1.2055417131326749,23.292257008013987,-17.47750456383224,4.382333476641564,-14.744001584441554,10.361668107799993
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,,,,,,,29535,26949,48795,38286,31808,44903,28.880132197788228,6.9440503052319045,40.769761571846225,-13.734329025824346,-11.889629374058002,2.3479634640178686,9.541665910040132
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,,,,,,,55954,39766,137746,73123,54430,135241,21.936081892556324,-10.332049939475283,54.504090597670576,7.379806138771586,-32.56800870511425,6.52399951638254,26.044009188731714
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,0.0,0.0,0.0,1.0,0.0,2.0,48442,37741,34029,26641,39290,57379,32.26813183203161,-3.6107587414099314,47.12428445889899,-8.98915529852543,-14.856152626867388,8.788528346514894,6.067624280352495
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,,,,,,,65003,67975,78795,30445,80462,125840,35.87889057344154,-30.43199698913065,56.11343975742442,-1.8849718713780348,-20.234549183982878,-1.3252474806028716,21.559796664585747
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,39949,56007,16045,13803,110214,96398,66.31088756257218,17.591447907975937,57.99841162880247,22.596532226040825,8.312475933769734,-9.661388140161725,1.3489122063919907
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,,,,,,,38617,68287,38110,28366,72895,52969,48.71943965459625,20.502385391030355,35.40187940276163,-22.39917391400268,13.317560251834625,-19.8299715282512,6.51241127641657
19,2019-12-30,55800,8356767,-0.012389380530973493,900.0,1192.857142857143,,,,,,,51910,23655,69396,47657,47684,97678,28.21705426356589,-20.261038298227987,57.801053316764296,31.53291659599812,-29.583999053198408,16.719924255873128,12.864074797325285
20,2020-01-02,55200,12993228,-0.010752688172043,1000.0,1200.0,,,,,,,34602,55636,37269,47217,67625,36643,48.47809256179389,14.212807462115045,26.26813672076619,5.437984627207445,22.2099558410277,-15.078568561105694,-7.131387279922005
21,2020-01-03,55500,15422255,0.005434782608695564,1700.0,1264.2857142857142,,,,,,,45297,69198,63185,61456,56548,34376,34.26528509967884,-6.020193424287164,20.830152093558745,-12.757004268182499,13.4351330061201,-14.482821305217236,1.047688299097134
22,2020-01-06,55500,10278951,0.0,1000.0,1235.7142857142858,,,,,,,38577,44799,43921,46953,55656,46402,40.285478523966006,19.786629598800825,33.587156361741236,-14.654090984807027,6.6983221622247635,-4.503669817739624,-2.19465234448514
23,2020-01-07,55800,10009778,0.00540540540540535,900.0,1192.857142857143,,,,,,,43903,33899,62460,35348,27425,64541,20.498848925165188,-45.236877620599,48.24124734654827,24.124620374565172,-27.74239842138309,7.477501719137741,20.26489670224534
24,2020-01-08,56800,23501171,0.017921146953405076,1600.0,1264.2857142857142,,,,,,,40693,68063,36563,103032,148215,54376,65.73572654576421,37.095250463174736,24.116626971983088,4.531084657726293,41.61909957378111,-12.139033401191284,-29.480066172589826
25,2020-01-09,58600,24102579,0.031690140845070484,1800.0,1250.0,,,,,,,56133,64634,85602,95086,56886,38901,28.64047608258945,10.207824330734653,19.585542314256802,-41.56627746409964,9.054933768332656,-4.280010673594433,-4.77492309473822
