,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,0.0,0.0,0.029857142857142856,0.9701428571428572,0.0817,7.0,63691,57597,182949,224072,53415,18386,17.801736348336142,-3.5644981909273485,6.127543283731316,-9.52970761568308,11.674193064604822,2.0309609904850783,-13.705154055089901
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.0,0.14300000000000002,0.857,0.4588,2.0,42117,33684,47715,62670,24409,17887,21.366234539263488,16.106570488054302,15.657250899414391,13.121621963306286,5.708983639849091,7.381763114818673,-13.090746754667766
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,0.4166666666666667,0.005833333333333334,0.18874999999999997,0.8054166666666668,0.30544166666666667,12.0,69041,81469,865760,880210,51897,25019,5.259664051209184,-21.000794746530786,2.53562893610811,-12.550511420185693,2.7240351151010747,-1.2595545952256921,-1.4644805198753823
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,-0.19230769230769232,0.01776923076923077,0.26369230769230767,0.7185384615384613,0.42292692307692314,26.0,53588,55110,41946,54901,34022,19545,26.260458797739968,0.06471676287638317,15.086140356293805,6.062872053615089,11.174318441446172,-1.1747815616412978,-9.999536879804873
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,,,,,,,48424,44830,56026,83923,37073,12770,26.195742034863592,13.908662518091884,9.023268302678717,-6.8332554380543815,17.172473732184873,2.539516545013885,-19.711990277198762
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,0.0,0.0,0.0,1.0,0.0,7.0,55324,47858,55182,58151,15480,19977,12.287079516771705,-1.0813003377051764,15.856523740733097,0.4582920778913042,-3.5694442239613924,5.926055275983046,-2.356611052021653
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,0.08695652173913043,0.013521739130434782,0.19160869565217395,0.7949130434782611,0.28773478260869567,23.0,67182,44026,30211,51085,15029,17311,13.368379854476881,4.699138210189068,15.398231662841791,-0.7997755479974646,-2.029851808364911,20.597391969543327,-18.567540161178414
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,0.0,0.0,0.102,0.8979999999999999,0.1591,4.0,67888,65746,67129,58141,12816,23946,8.669241644287812,-6.098851169249183,16.198007210839258,11.195375580044393,-7.528765566551447,1.4489322411099008,6.0798333254415455
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,-0.2,0.0,0.1352,0.8648,0.21913999999999997,10.0,207572,202843,95251,134676,52470,17774,14.768092813536995,-4.149723151258836,5.002631630794865,-9.81704533653311,9.765461182742133,1.3310141207397843,-11.096475303481915
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,-0.4444444444444444,0.014444444444444446,0.056,0.9295555555555555,0.1046111111111111,9.0,97634,93904,67275,79340,38476,30141,18.917815964795828,-8.744270609285074,14.819676967327974,4.3535996616621375,4.098138997467856,1.8339602232219685,-5.932099220689825
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,0.0,0.0,0.4515,0.5485,0.5957,4.0,73187,60962,24841,60369,37486,14183,27.662086574080906,-3.691240777629631,10.466077305665836,3.8295852609280354,17.196009268415068,9.021208140856297,-26.21721740927137
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,-1.0,0.10099999999999999,0.223,0.6759999999999999,0.4215,2.0,79509,77054,75038,133139,70587,14941,31.35332735171053,9.039907092430704,6.636492044737801,-12.143507081425495,24.716835306972733,1.09046168059911,-25.80729698757185
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,-0.18181818181818182,0.0,0.04090909090909091,0.959090909090909,0.10398181818181818,11.0,70982,81899,53482,48226,35749,30088,22.313420259279837,10.57468968848675,18.779999126163297,-7.8570114339327155,3.5334211331165384,-6.814053790890879,3.2806326577743383
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,0.0,0.0,0.319,0.681,0.4504250000000001,8.0,76721,46385,58595,66090,17997,40838,11.738730570793084,-9.15452087188036,26.637010560096012,4.325516797764478,-14.898279989302932,19.78697175060171,-4.888691761298781
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,,,,,,,49132,49740,78767,75866,33780,36073,20.89325144267345,-14.063875044069354,22.311493762331533,-11.13695923486292,-1.418242319658088,-0.3760537855874913,1.7942961052455793
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,-0.25,0.0,0.0795,0.9205,0.1702,4.0,62613,51847,19689,32364,44233,42324,34.9571264867428,-3.0261056544202773,33.448452997194444,12.429930086654654,1.5086734895483462,8.508317856719486,-10.016991346267833
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,0.0,0.0,0.0,1.0,0.0,2.0,70323,82318,34272,50889,64061,35449,37.98323214116308,-12.165138143904386,21.0185229105398,-26.19702865353848,16.964709230623278,-7.112109856749834,-9.852599373873447
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,96346,92712,30492,41588,127593,120131,50.148370285067465,5.452832470163556,47.21555156407828,31.369904044979172,2.932818720989188,1.4282850753249408,-4.361103796314128
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,0.0,0.0,0.0,1.0,0.0,1.0,83702,195957,83667,58721,135263,47954,44.69553781490391,14.138607121834605,15.845647519099105,-17.672298025455355,28.849890295804805,-37.092904914219254,8.243014618414444
19,2019-12-30,55800,8356767,-0.012389380530973493,900.0,1192.857142857143,0.0,0.0,0.08349999999999999,0.9165,0.21075,2.0,28470,39604,38862,24857,29628,32499,30.556930693069305,-19.74241867831584,33.517945544554465,20.38420354570595,-2.9610148514851486,-11.483085808580856,14.444100660066006
20,2020-01-02,55200,12993228,-0.010752688172043,1000.0,1200.0,0.0,0.0,0.03516666666666667,0.9648333333333333,0.08231666666666666,6.0,70604,175543,61472,55298,133667,34902,50.29934937138515,22.52250341400321,13.13374199884851,4.055862991491366,37.16560737253664,-39.48890469363257,2.323297321095946
21,2020-01-03,55500,15422255,0.005434782608695564,1700.0,1264.2857142857142,,,,,,,82189,199395,107274,39121,72867,23814,27.77684595738193,-4.070347127009612,9.077879007357144,-10.031412621793796,18.698966950024786,-44.678839629474325,25.97987267944955
22,2020-01-06,55500,10278951,0.0,1000.0,1235.7142857142858,0.4117647058823529,0.0,0.11658823529411765,0.8834117647058823,0.1681764705882353,17.0,60576,123740,93082,58637,71803,43084,31.84719308439153,17.701967993543594,19.109291629150945,0.6699020103101391,12.737901455240594,-28.015488266263343,15.277586811022749
23,2020-01-07,55800,10009778,0.00540540540540535,900.0,1192.857142857143,0.0,0.0,0.1368,0.8632,0.15272,5.0,50878,67263,66543,44285,19346,25219,14.145225090847935,-2.741938637654947,18.439389618840803,-6.674273292007943,-4.294164527992864,-11.980229148844385,16.274393676837253
24,2020-01-08,56800,23501171,0.017921146953405076,1600.0,1264.2857142857142,0.0,0.018846153846153846,0.011000000000000001,0.9701538461538461,-0.010138461538461537,13.0,88625,142537,142624,65823,46986,69875,16.887163728502884,2.741253257496666,25.113662910848745,20.246735925984886,-8.226499182345858,-19.376426402142073,27.60292558448793
25,2020-01-09,58600,24102579,0.031690140845070484,1800.0,1250.0,-0.46153846153846156,0.08423076923076925,0.05230769230769231,0.8634615384615386,-0.04177692307692307,13.0,179541,246092,279107,262126,75570,26000,14.145910471006218,-36.421245227944695,4.8669269848638566,-8.86098032221189,9.278983486142364,-12.457648375756714,3.1786648896143523
26,2020-01-10,59500,16000170,0.015358361774743924,1400.0,1264.2857142857142,,,,,,,61589,148708,35855,21355,99680,27061,50.56715569895091,20.595066190370574,13.727907307075748,-15.370912895732365,36.839248391875174,-44.19502445161421,7.355776059739047
