,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,67851,61611,78566,67553,12266,29519,7.729876546321912,-7.984635814136159,18.602496801799813,-19.850498842472838,-10.872620255477905,3.932368306623898,6.940251948854004
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.18181818181818182,0.0,0.20781818181818182,0.7921818181818182,0.34053636363636364,11.0,56427,43895,60450,41451,21791,53322,15.714512360458071,-44.83798437853919,38.452995644272654,25.96839982844544,-22.738483283814567,9.037413101797098,13.701070182017482
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,-0.2,0.0,0.2838,0.7162,0.57292,5.0,100625,286884,118326,198865,336093,69295,60.552496738997256,14.277933139422515,12.484595815827214,-6.657693014379584,48.06790092317006,-33.55751976419887,-14.510381158971178
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,,,,,,,39014,134833,117644,100940,134932,55817,46.27456359957475,21.489000748489275,19.1422888302068,-25.0526218233622,27.132274769367946,-32.860866284852015,5.728591515484071
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,,,,,,,59802,39037,71818,58618,43373,77338,24.78556285108548,-9.098726268554273,44.194910653569,24.95364386186993,-19.409347802483527,11.866188933271616,7.543158869211911
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,0.0,0.05142857142857143,0.032857142857142856,0.9157142857142857,-0.01651428571428573,7.0,68176,82293,61906,76599,66667,37857,33.884289119639746,11.605371257550859,19.241266791699072,-19.283790788524442,14.643022327940676,-7.17513176687048,-7.467890561070196
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,27499,25407,77447,57602,30083,52020,22.278917862088885,7.701794005637634,38.52505758022351,5.188852812493842,-16.24613971813462,1.5492968177206383,14.696842900413985
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,46817,43052,101929,73029,25383,58048,14.577123856451252,4.850784949982732,33.336204767729676,21.74910397275105,-18.75908091127842,2.162190100442776,16.596890810835646
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,0.0,0.0,0.171,0.8290000000000001,0.47669999999999996,3.0,166174,182723,77174,55609,26219,31235,9.726338906468524,-16.897388801603775,11.587100794978616,-11.284974864553494,-1.860761888510092,-6.139104563985947,7.99986645249604
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,,,,,,,74287,43201,96712,136541,62045,53302,26.6237277080723,19.379514342621626,22.872075659532108,-25.701727785731286,3.7516520485401896,13.339111927361355,-17.090763975901545
