,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,91069,256403,323179,227213,240472,171104,36.7289833822092,15.948131481915095,26.133919843597265,13.908644079812856,10.595063538611926,-25.25262707722385,14.657563538611925
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.0,0.256,0.7440000000000001,0.4767,2.0,164509,655537,673750,273253,219893,129362,20.780851900294106,1.5212469873740917,12.225275763784408,-0.8500026577664439,8.555576136509691,-46.40429730322298,37.84872116671329
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,,,,,,,115437,532732,972908,638975,259611,176249,19.259604912920008,2.974076911159784,13.075278421550848,3.5310916827496155,6.1843264913691565,-30.957612859766932,24.77328636839778
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,,,,,,,283120,464204,751765,654018,201323,117986,16.285528001760227,0.686589135311598,9.544186738801237,-22.05210253684215,6.7413412629589855,-14.648343968005385,7.9070027050464
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,0.0,0.0,0.22,0.78,0.4767,1.0,160810,382729,880191,460961,192397,389708,15.598938866448623,-11.025172150333734,31.596289275643386,3.8433666346863617,-15.99735040919476,-17.99248904246642,33.98983945166118
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,168383,100727,580969,637097,271899,283427,26.62411101678236,7.44479627578982,27.75292264095702,8.29987398726848,-1.1288116241746642,6.624816034451864,-5.4960044102772
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,89451,231121,505188,361504,141112,143126,19.17931474099253,-5.432088020736681,19.453048653688548,-7.213724633158388,-0.2737339126960072,-19.25515561650613,19.528889529202136
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,205050,147457,360611,402782,184666,200088,24.611402761729217,9.063249579275958,26.66677328684693,-31.16575742052371,-2.0553705251177155,7.675720052723677,-5.6203495276059625
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,,,,,,,157329,80806,1290315,642014,266521,991345,15.548153182453266,-4.802285586043782,57.832530707370644,21.713018075367245,-42.28437752491738,4.464156017652909,37.82022150726447
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,,,,,,,530371,103494,1488422,1515617,515801,915483,20.350438768497046,0.4122215790693744,36.119512632003385,12.338586116709475,-15.769073863506346,16.842026770362434,-1.0729529068560881
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,0.0,0.0,0.0,1.0,0.0,1.0,254983,308007,1227220,1103055,369121,440262,19.93821718942767,-5.100104985581943,23.78092651529393,-8.906250363543709,-3.842709325866245,-2.8641123865946745,6.706821712460918
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,,,,,,,406531,320677,1412145,1312427,607465,793037,25.038322175009608,4.4308163360367105,32.687176878837626,7.7944631293290065,-7.648854703828015,3.5387061180698067,4.110148585758206
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,0.0,0.0,0.0,1.0,0.0,1.0,430332,555099,1706436,1466337,554630,669962,20.60750583897291,-19.73688390438069,24.89271374950862,5.656259114475311,-4.285207910535714,-4.6357692173361205,8.920977127871836
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,0.0,0.0,0.256,0.7440000000000001,0.4767,1.0,1156059,375238,761292,2220529,1296682,618266,40.3443897433536,10.51973463293928,19.236454635033308,7.231295396777008,21.107935108320294,24.294118946507396,-45.40205405482769
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,,,,,,,742799,121378,1122835,2217993,792898,319161,29.82465511041432,-12.54697784473066,12.005159238256304,-24.999626801554022,17.81949587215802,23.37459169195631,-41.194087564114334
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,,,,,,,317686,169698,413078,629121,537299,469244,42.371632955144975,-11.000166759091272,37.00478603981032,-1.1391064433471314,5.366846915334649,11.670398079590685,-17.03724499492533
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,,,,,,,194378,237115,266089,373732,527062,376682,53.37179971423625,-14.914772581535473,38.14389248315745,-11.772431751720823,15.227907231078785,-4.3276703772749965,-10.900236853803786
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,173161,330223,181776,230314,764264,558664,68.28657229577172,7.177722259285113,49.91632423487828,18.536702181832034,18.37024806089344,-14.033404187451588,-4.3368438734418575
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,,,,,,,257197,388495,287479,572543,855838,439476,61.10885003648661,42.5553061328369,31.379622053046237,15.735815067127804,29.72922798344037,-9.374986612058144,-20.354241371382226
19,2019-12-30,55800,8356767,-0.012389380530973493,900.0,1192.857142857143,,,,,,,119835,442092,1438928,1172359,355087,299399,18.55354390364971,-11.54930184359863,15.643806985918438,-3.111755505072473,2.9097369177312737,-16.838153460302536,13.928416542571261
20,2020-01-02,55200,12993228,-0.010752688172043,1000.0,1200.0,,,,,,,156642,555516,900456,673194,455264,283652,30.10284574724833,2.3436638017842526,18.75556249099091,2.110433867908789,11.347283256257427,-26.374241087781893,15.026957831524465
21,2020-01-03,55500,15422255,0.005434782608695564,1700.0,1264.2857142857142,,,,,,,453619,647902,913178,929173,525204,314926,27.759181945464093,0.11340465071993933,16.645128623082122,-12.181231599428527,11.114053322381963,-10.268652077879453,-0.8454012445025135
22,2020-01-06,55500,10278951,0.0,1000.0,1235.7142857142858,,,,,,,604770,422574,272674,440553,335262,349579,27.64577729474415,11.205156554811422,28.826360222510647,6.5528787770005525,-1.180582927766499,15.023921708971507,-13.843338781205007
23,2020-01-07,55800,10009778,0.00540540540540535,900.0,1192.857142857143,,,,,,,232153,574413,1151287,712456,272197,368768,16.440620739932726,-3.8834531170410393,22.273481445510093,-17.345212356222927,-5.83286070557737,-20.67240584741704,26.50526655299441
24,2020-01-08,56800,23501171,0.017921146953405076,1600.0,1264.2857142857142,0.0,0.0,0.128,0.8720000000000001,0.23835,2.0,1050343,938430,1838087,1250527,736793,1436266,20.324073856973765,-4.476620996765725,39.61869380173302,7.340566184398902,-19.294619944759265,3.0870652646747523,16.20755468008451
25,2020-01-09,58600,24102579,0.031690140845070484,1800.0,1250.0,,,,,,,388256,295520,1599588,1494663,655590,853251,24.80069485373949,-16.083852926843274,32.27812761733412,15.315059058306279,-7.477432763594627,3.5081640018248987,3.969268761769728
26,2020-01-10,59500,16000170,0.015358361774743924,1400.0,1264.2857142857142,-1.0,0.0,0.0,1.0,0.0,1.0,309664,288919,1074973,1656021,957622,397319,40.88454778058277,19.209743409771594,16.963068559027842,-7.92890390815255,23.92147922155492,0.8856834363748842,-24.8071626579298
27,2020-01-13,60000,11359139,0.008403361344537784,900.0,1200.0,-1.0,0.0,0.0,1.0,0.0,1.0,203209,557577,1596180,1167903,497942,571851,21.67480437081117,-5.869588367878919,24.89197246718039,9.897936342830937,-3.217168096369221,-15.425204291414687,18.64237238778391
28,2020-01-14,60000,16906295,0.0,1100.0,1214.2857142857142,0.5,0.0,0.0,1.0,0.0,2.0,301961,803496,2434012,2406387,1040095,566185,27.54439273869009,7.172123104206992,14.994036124349456,6.491434990474675,12.550356614340632,-13.281937719341919,0.731581105001287
29,2020-01-15,59000,14300928,-0.01666666666666672,1100.0,1200.0,,,,,,,269963,1264883,2239360,1618491,641995,267944,20.372269634483093,-10.77519385877356,8.50260113387478,-12.562187527071938,11.869668500608315,-31.57155196651052,19.701883465902203
30,2020-01-16,60700,14381774,0.028813559322034,1700.0,1257.142857142857,,,,,,,262148,232448,932270,1136879,540330,365421,31.14746349325665,-5.445213291811764,21.06478866094672,2.4909369012944147,10.082674832309936,1.7120642306548268,-11.794739062964766
31,2020-01-17,61300,16025661,0.009884678747940743,1300.0,1278.5714285714287,,,,,,,383248,276110,1006962,1509164,802297,407233,36.59267678506842,8.722128896379242,18.57385175965231,-3.9767584166776255,18.01882502541611,4.8865522436188344,-22.905377269034943
32,2020-01-20,62400,12528855,0.01794453507340954,1500.0,1278.5714285714287,,,,,,,614050,577838,1842312,2059694,949129,767959,27.87054788868917,-20.739407831767853,22.55061017632993,7.340224470488707,5.319937712359246,1.063341526963366,-6.383279239322611
33,2020-01-21,61400,11142693,-0.01602564102564108,1200.0,1300.0,,,,,,,203372,410712,1128512,1786794,1259832,394210,48.60995572045702,9.542170347235356,15.210385705841224,-4.1015348172787585,33.399570014615804,-8.000104949770732,-25.39946506484507
34,2020-01-22,62300,15339565,0.014657980456026062,2200.0,1385.7142857142858,,,,,,,361095,431756,1329986,1807619,1084267,535973,39.06778537322168,-3.6041714348869776,19.311920523119984,-2.170357930162581,19.75586485010168,-2.5460230572886715,-17.20984179281301
35,2020-01-23,60800,14916555,-0.024077046548956704,1600.0,1378.571428571429,,,,,,,287887,564308,1099075,1335305,1032381,519730,42.671956808108646,-4.926439726815865,21.482278453282564,-13.324782290354602,21.18967835482608,-11.425457241904105,-9.764221112921977
36,2020-01-28,58800,23664541,-0.03289473684210531,2500.0,1485.7142857142858,,,,,,,779457,295430,875339,1763305,1503115,1099176,47.5983965349245,3.4969673994508312,34.80706074363717,12.892892096361114,12.791335791287342,15.327442730336607,-28.11877852162395
37,2020-01-29,59100,16446102,0.005102040816326482,900.0,1485.7142857142858,,,,,,,355729,752283,799529,861520,911446,452901,44.10142913547368,-10.605116648607648,21.91416864727605,-0.7438367900659059,22.18726048819764,-19.187750156771358,-2.999510331426271
38,2020-01-30,57200,20821939,-0.032148900169204686,2300.0,1535.7142857142858,,,,,,,601198,1182999,543354,771410,1382418,572561,54.70654578408133,20.002738179355312,22.658005437341966,2.096153659038439,32.04854034673937,-23.023660747852173,-9.024879598887203
39,2020-01-31,56400,19749457,-0.013986013986013957,2000.0,1550.0,,,,,,,672726,502373,1270569,1861804,1032828,611946,34.703807604726016,-10.245982686410805,20.56185177830352,-9.534380545588654,14.141955826422494,5.723990574314301,-19.865946400736803
40,2020-02-03,57200,23995260,0.014184397163120588,2200.0,1607.142857142857,,,,,,,480228,485579,918676,1290775,1142238,764788,44.94979029113682,4.491972874067564,30.096232323892174,-2.0667460561993884,14.853557967244651,-0.21057461566492547,-14.642983351579726
41,2020-02-04,58900,21800192,0.0297202797202798,2200.0,1700.0,,,,,,,572618,718071,1097517,1184731,1134826,902159,40.45781741706926,-15.05419322957055,32.16297838009156,4.372669443082092,8.294839036977697,-5.185562294805526,-3.109276742172173
42,2020-02-05,59500,19278165,0.01018675721561979,1300.0,1714.2857142857142,,,,,,,253341,1029296,812702,701028,1330206,665925,55.51201064663982,-2.4021696772410053,27.790308937009467,-0.7255150318588406,27.72170170963034,-32.38206880837509,4.6603670987447465
43,2020-02-06,61100,14727159,0.026890756302520916,1600.0,1750.0,0.0,0.0,0.22,0.78,0.4767,1.0,262990,337526,714462,1322709,1345069,662286,57.91418032388083,13.556532499450904,28.515823968868308,-8.739442285077839,29.398356355012503,-3.2092713047589236,-26.189085050253574
