,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,327772,408274,336223,333064,198140,120797,22.98247954206708,13.977474800857141,14.011378728389404,-0.4727235123322942,8.971100813677673,-9.33751674621724,0.36641593253956745
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,,,,,,,345741,350645,427711,376235,76542,123114,9.005004741209937,-1.5850342068846217,14.4841022407217,2.820288743252192,-5.479097499511762,-0.5769452490252872,6.056042748537049
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,,,,,,,499268,519745,840914,804342,158736,174831,10.590038948094561,-19.97593785511591,11.663813497469508,3.708843539496949,-1.073774549374949,-1.3661187603324532,2.4398933097074025
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,,,,,,,521525,476964,562095,959534,477027,124149,30.565976803210464,17.697398796864732,7.954969957972557,1.8399944888551527,22.61100684523791,2.855290145689576,-25.466296990927482
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,,,,,,,278507,284615,1032502,1128011,193625,92008,12.868578006345727,-0.548255583237836,6.114975469117407,-5.722233394960598,6.753602537228322,-0.4059458978063769,-6.347656639421946
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,261308,250701,519770,544627,121035,106785,13.416833589583565,0.21907178189522905,11.837208864078006,5.475010805221553,1.579624725505563,1.1757950500657899,-2.7554197755713528
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,147619,198174,533243,536305,103521,49904,13.197761807688336,-0.3287255045244404,6.362198058856452,0.9673908929461996,6.835563748831884,-6.44519322830811,-0.3903705205237747
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,271317,273476,607234,687691,137426,54810,13.526487312212774,10.855029057701099,5.394807165910252,3.829389803306016,8.131680146302525,-0.2125048106403984,-7.919175335662127
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,,,,,,,853512,655913,4209145,4464276,138959,81427,2.6714582545116747,-23.343877626611622,1.5654173626042367,-9.228858048198543,1.106040891907438,3.7988002190088617,-4.9048411109162995
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,,,,,,,264822,229697,518063,714253,275287,114222,26.015335881123296,-8.642994874330153,10.79427541080278,5.908289948074984,15.221060470320516,3.3194036508242517,-18.540464121144765
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,,,,,,,251938,228964,411310,736487,351798,49595,34.65833075545345,22.245770237592243,4.885985462727797,-14.919244288564204,29.77234529272565,2.263345700588939,-32.03569099331459
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,,,,,,,615182,369202,1053011,1158190,236410,377211,12.412560517861204,-2.9778677602804686,19.805229751292003,-2.387516990625212,-7.392669233430799,12.915027436163864,-5.522358202733064
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,,,,,,,387015,323681,573648,559748,174744,251978,15.390428278141673,-1.451189795003225,22.192746741917205,12.185887129789071,-6.802318463775546,5.578087857481941,1.224230606293602
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,,,,,,,238402,311385,514430,503322,152467,90592,16.841618073144893,1.4735021253297962,10.006859612128148,-5.2160321164792265,6.834758461016746,-8.061756392087034,1.2269979310702872
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,,,,,,,216206,202787,631720,646594,153973,152518,15.368115947815099,-4.077631078993184,15.222891728607376,5.197093762094147,0.14522421920772452,1.339356561888973,-1.4845807810966969
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,,,,,,,811526,323750,366907,992488,284473,146668,19.445747026808284,-5.631742544144199,10.025797966513226,-7.160240260565343,9.419949060295057,33.342948897605176,-42.76289795790024
16,2019-12-24,55000,11868463,-0.009009009009009028,900.0,1189.2857142857142,,,,,,,364137,166889,85942,330596,150647,103241,25.077489570952483,-31.657277447649463,17.186038227078573,-7.038307392313647,7.8914513438739124,32.83493639363037,-40.72638773750429
17,2019-12-26,55400,9645034,0.007272727272727319,1000.0,1192.857142857143,,,,,,,202120,202026,36907,216611,313442,133832,56.73476701860195,12.584399619503586,24.22434561939221,6.574753248987662,32.510421399209726,0.017014529322007206,-32.52743592853174
18,2019-12-27,56500,12313056,0.019855595667870096,1500.0,1200.0,,,,,,,165762,235206,70239,112778,186564,74581,44.150367399098364,15.279967180198591,17.649592370404555,-1.0004971989357934,26.50077502869381,-16.433921408540698,-10.066853620153113
19,2019-12-30,55800,8356767,-0.012389380530973493,900.0,1192.857142857143,,,,,,,144435,106221,188305,274329,135054,87244,28.87040021889977,-24.143262966685253,18.650089569340352,5.762241251543705,10.220310649559421,8.168980363151302,-18.389291012710718
20,2020-01-02,55200,12993228,-0.010752688172043,1000.0,1200.0,,,,,,,216336,321975,45158,162832,295038,71725,53.013663185585024,3.552832770988971,12.88784831779664,-0.018952056290736152,40.12581486778838,-18.98165783818361,-21.144157029604767
21,2020-01-03,55500,15422255,0.005434782608695564,1700.0,1264.2857142857142,,,,,,,379575,559345,199193,438035,566419,147807,49.460830414596046,11.688917474558867,12.906800374087375,-8.85579923018552,36.55403004050867,-15.697872923810694,-20.85615711669797
22,2020-01-06,55500,10278951,0.0,1000.0,1235.7142857142858,,,,,,,131448,175106,76751,86656,126375,72812,37.771912940037176,4.018820367550845,21.762599604272896,10.087359763039784,16.009313335764283,-13.048832246378975,-2.960481089385308
23,2020-01-07,55800,10009778,0.00540540540540535,900.0,1192.857142857143,,,,,,,217943,316208,228691,279274,227562,78714,33.75309257248634,-2.003708805734896,11.675239841233113,-5.0809633506889815,22.077852731253227,-14.575138387056587,-7.502714344196643
24,2020-01-08,56800,23501171,0.017921146953405076,1600.0,1264.2857142857142,,,,,,,332171,517507,339058,352245,373596,175073,35.756801378221226,6.3627584414196106,16.756203191922094,6.622507326388582,19.00059818629914,-17.73847295001555,-1.2621252362835882
25,2020-01-09,58600,24102579,0.031690140845070484,1800.0,1250.0,,,,,,,455592,793703,515600,442417,404318,139390,29.394042936801625,-4.3836074329110515,10.133695865533511,-8.715571345988543,19.26034707126811,-24.58077367667265,5.320426605404541
26,2020-01-10,59500,16000170,0.015358361774743924,1400.0,1264.2857142857142,,,,,,,208126,243828,385562,483694,302819,168985,33.777650369712674,0.8126632211797329,18.84926721152205,-5.653956118256263,14.928383158190622,-3.9823448115854085,-10.946038346605214
27,2020-01-13,60000,11359139,0.008403361344537784,900.0,1200.0,,,,,,,154366,166452,310131,356678,228420,169787,32.96498714853294,-0.2753680603367385,24.50322332977832,4.707937374745672,8.461763818754628,-1.7442204477592549,-6.717543370995371
28,2020-01-14,60000,16906295,0.0,1100.0,1214.2857142857142,,,,,,,228198,224025,265796,369457,245965,146477,33.24035520886968,2.1768995540877287,19.795285955032643,7.361537005300128,13.445069253837035,0.5639501648064285,-14.009019418643465
29,2020-01-15,59000,14300928,-0.01666666666666672,1100.0,1200.0,,,,,,,241876,175571,147024,318427,175242,70144,31.063455654781947,1.6181999397997018,12.433748949732509,-18.281095999279493,18.62970670504944,11.753246523038525,-30.382953228087963
30,2020-01-16,60700,14381774,0.028813559322034,1700.0,1257.142857142857,,,,,,,539889,436627,616305,698762,482525,503330,29.445255714982252,-8.45455640444641,30.714844949012004,7.567227236349133,-1.2695892340297512,6.301385411409767,-5.031796177380015
31,2020-01-17,61300,16025661,0.009884678747940743,1300.0,1278.5714285714287,,,,,,,233284,279932,123358,161432,217659,132937,37.89981211942866,-10.773049950619466,23.147617712662875,-10.63609333994274,14.75219440676579,-8.122569871896445,-6.629624534869348
32,2020-01-20,62400,12528855,0.01794453507340954,1500.0,1278.5714285714287,,,,,,,166814,183366,62065,111907,217043,150649,48.67286207004813,10.919998669480217,33.78371105260561,13.628746235195553,14.889151017442513,-3.7118599216903414,-11.177291095752173
33,2020-01-21,61400,11142693,-0.01602564102564108,1200.0,1300.0,,,,,,,189418,155537,149926,279743,205812,109876,37.75286340056791,4.997865151113537,20.15496481741005,-30.88690729648826,17.597898583157853,6.2149182986154425,-23.81281688177329
34,2020-01-22,62300,15339565,0.014657980456026062,2200.0,1385.7142857142858,,,,,,,1017139,757743,847848,600072,908434,1415606,32.75499824945437,2.843914862800492,51.04187211389832,6.185015224916725,-18.286873864443947,9.352925502475102,8.933948361968847
35,2020-01-23,60800,14916555,-0.024077046548956704,1600.0,1378.571428571429,,,,,,,757055,539212,990111,835388,745619,1118185,29.911083386653882,0.503866779857745,44.856856888981596,10.896692871241967,-14.945773502327715,8.738940582521156,6.206832919806563
36,2020-01-28,58800,23664541,-0.03289473684210531,2500.0,1485.7142857142858,,,,,,,606828,584186,693316,632104,541608,625462,29.407216606796137,5.187185634036087,33.96016401773963,6.5681553538608135,-4.552947410943493,1.229372901454702,3.3235745094887914
37,2020-01-29,59100,16446102,0.005102040816326482,900.0,1485.7142857142858,,,,,,,415940,561483,583278,395910,319360,361185,24.220030972760053,-5.149878591821974,27.392008663878823,-4.392024947130008,-3.1719776911187663,-11.037875650890578,14.209853342009346
38,2020-01-30,57200,20821939,-0.032148900169204686,2300.0,1535.7142857142858,,,,,,,476835,487636,253947,218168,303879,328857,29.369909564582024,0.3042692463985333,31.78403361100883,0.32815287764882584,-2.414124046426801,-1.0439167998020609,3.4580408462288617
39,2020-01-31,56400,19749457,-0.013986013986013957,2000.0,1550.0,,,,,,,403713,511727,330547,197791,300866,325608,29.06564031818349,-2.151526620566962,31.45588073336,0.4617857648372308,-2.390240415176509,-10.434864934317176,12.825105349493684
40,2020-02-03,57200,23995260,0.014184397163120588,2200.0,1607.142857142857,,,,,,,470480,458402,403366,418278,396596,393762,31.21716693875045,4.185259749998366,30.994094968522766,7.931981598998712,0.22307197022768446,0.950692751026808,-1.1737647212544926
41,2020-02-04,58900,21800192,0.0297202797202798,2200.0,1700.0,,,,,,,311203,502867,567327,423459,325462,277666,27.03190718875209,0.7398722791792736,23.06211336952405,-1.6113480508255265,3.9697938192280353,-15.919042651446187,11.949248832218153
42,2020-02-05,59500,19278165,0.01018675721561979,1300.0,1714.2857142857142,,,,,,,193534,350383,567329,427188,271404,254696,26.292034909572806,-11.865087686636064,24.67346142034958,-22.483139418077826,1.618573489223234,-15.194615346610904,13.576041857387672
43,2020-02-06,61100,14727159,0.026890756302520916,1600.0,1750.0,,,,,,,625468,523077,400984,354004,633322,782693,38.15712259620888,1.8567298383202056,47.1566008384274,15.278685916628842,-8.999478242218519,6.168972402266816,2.8305058399517034
44,2020-02-07,60400,16402493,-0.011456628477905071,1500.0,1735.7142857142858,,,,,,,335078,403082,301662,277865,362858,318651,36.30039275788867,-2.6155426569983997,31.87791492179856,-3.3464185887475932,4.422477836090108,-6.803134860213808,2.3806570241236966
45,2020-02-10,59700,13107121,-0.011589403973509936,1300.0,1735.7142857142858,,,,,,,189649,222811,219387,210945,260592,235872,38.91593541488707,-3.6135642832947497,35.22433351054615,-11.60562750065536,3.6916019043409176,-4.952301875070933,1.2606999707300173
46,2020-02-11,59900,11071231,0.003350083752093891,1000.0,1700.0,,,,,,,465141,309916,80396,194799,403710,444532,42.52949969818182,12.66891550038702,46.829961011201505,9.034122950818585,-4.300461313019688,16.352435140695732,-12.051973827676045
47,2020-02-12,60500,12904207,0.01001669449081799,1000.0,1685.7142857142858,,,,,,,448913,543777,514313,310474,410076,519051,29.860584197794804,-10.759851502083864,37.79583806038293,15.264520682619233,-7.935253862588127,-6.907730419092085,14.842984281680213
48,2020-02-13,60700,18449775,0.0033057851239668428,1100.0,1607.142857142857,,,,,,,282234,514840,332468,287122,420506,233246,40.620435699878676,7.966408545662197,22.531317377763692,-6.855210993524238,18.089118322114974,-22.469494053368983,4.380375731254009
49,2020-02-14,61800,13276067,0.01812191103789118,1700.0,1614.2857142857142,,,,,,,163148,151162,235260,266576,193176,173846,32.65402715421647,2.0417859304181505,29.386528371287927,-5.354969978701536,3.2674987829285445,2.026085898198734,-5.293584681127278
